,0
0,BJNA
1,BHSc
2,QAZx
3,Can Win N0 Need
4,lT0Tl
5,NA chopsticks
6,Hyacintho
7,Cawwo
8,LFT RCON
9,catnip1
10,Cyrus D
11,UF Trollzelda
12,Euphorian
13,Princess Mico
14,Jachsparrow
15,Hero of mischief
16,i will crush you
17,HAYES
18,GraceWangFinal18
19,BratEvolved
20,usu
21,SSAK
22,Adan
23,SC itssyaboinate
24,MeIody
25,LGM Snow
26,INSSA HUNTER
27,Young Tiller
28,nifty jg
29,FaceCheckOnBush
30,LPL x LCK Aggro
31,Z Z T A 
32,Youli
33,buhudong
34,thats fervor
35,PLEASEHELPADC
36,Augustine
37,ciri of cintra
38,Exiled Heretic
39,POTATOOOOOOOOO
40,Gweiss
41,Kyusung
42,TrevorKTran
43,Xiao Hun zii
44,Nanjingwaiguoyu
45,Weaker
46,MEMEME670
47,Fanthom
48,SuperKoolGus
49,eliron
50,SKT T1 Kaisaa
51,o2h
52,Nice Bunz
53,WQ only
54,Bio1
55,Swiftzzz
56,smallplaypi
57,Steam Sale
58,Elekktro
59,qwer123456
60,Two Beginnings
61,Xiao Suan Nai
62,Yellow dog
63,Venaz
64,Sam123
65,01186
66,Spladaddy
67,Dahyun x Twice
68,AllGirlsRTheSame
69,jbraggs
70,Runepage
71,Breezyyy
72,Hypnotic Viper
73,TRUNDLE REBORN
74,Midwest Diamond
75,Aymmy
76,072
77,1982657489
78,KIDCUDI666
79,T21 Kedeck
80,90CalBottomplug
81,Jerrel
82,Mamitas Puebla
83,Hi Im Famous
84,hyunta
85,Enthralled
86,Hung AYAYA
87,KingArtLeywin
88,ayuh1
89,Scenari0
90,shuoleza1jian
91,cematary
92,Alex Blais
93,Ineza
94,bu yao
95,small pp asian
96,OrangeManV2
97,Rocky9
98,ashmine
99,dear u
100,Unfamed JG
101,JulianC
102,Eshyn
103,UF trdblaster
104,Vesum
105,ttv 7Wylly7
106,OmBII
107,Daisoujou
108,AbrahamEst
109,Your Tea
110,Myx
111,Bubble Gum LCL
112,Immortal Kolg
113,Slamx
114,Lacrniez
115,JonnyRockets
116,BussyEnjoyerr808
117,BaconSeeker
118,colingogo
119,pprr
120,Kayn98
121,OGC PikaPika
122,picapica
123,Gaming Tanker
124,Alien Hominid
125,Doopliss1
126,saving na
127,AlphaFredo
128,KingOfAbeyance
129,Twitch BTangLoL
130,Oner v2
