airdragon_team100,assistsplayer_1,assistsplayer_10,assistsplayer_2,assistsplayer_3,assistsplayer_4,assistsplayer_5,assistsplayer_6,assistsplayer_7,assistsplayer_8,assistsplayer_9,baron_team100,chemtechdragon_team100,currentGold_1,currentGold_10,currentGold_2,currentGold_3,currentGold_4,currentGold_5,currentGold_6,currentGold_7,currentGold_8,currentGold_9,deathsplayer_1,deathsplayer_10,deathsplayer_2,deathsplayer_3,deathsplayer_4,deathsplayer_5,deathsplayer_6,deathsplayer_7,deathsplayer_8,deathsplayer_9,dragon_team100,dragon_team200,earthdragon_team100,earthdragon_team200,firedragon_team100,firedragon_team200,gameDuration,gameEndTimestamp,gameId,gameMode,gameName,gameStartTimestamp,gameType,gameVersion,goldPerSecond_1,goldPerSecond_10,goldPerSecond_2,goldPerSecond_3,goldPerSecond_4,goldPerSecond_5,goldPerSecond_6,goldPerSecond_7,goldPerSecond_8,goldPerSecond_9,hextechdragon_team200,inhibs_lost_team200,jungleMinionsKilled_1,jungleMinionsKilled_10,jungleMinionsKilled_2,jungleMinionsKilled_3,jungleMinionsKilled_4,jungleMinionsKilled_5,jungleMinionsKilled_6,jungleMinionsKilled_7,jungleMinionsKilled_8,jungleMinionsKilled_9,killsplayer_0,killsplayer_1,killsplayer_10,killsplayer_2,killsplayer_3,killsplayer_4,killsplayer_5,killsplayer_6,killsplayer_7,killsplayer_8,killsplayer_9,level_1,level_10,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,magicDamageDoneToChampions_1,magicDamageDoneToChampions_10,magicDamageDoneToChampions_2,magicDamageDoneToChampions_3,magicDamageDoneToChampions_4,magicDamageDoneToChampions_5,magicDamageDoneToChampions_6,magicDamageDoneToChampions_7,magicDamageDoneToChampions_8,magicDamageDoneToChampions_9,matchId,minionsKilled_1,minionsKilled_10,minionsKilled_2,minionsKilled_3,minionsKilled_4,minionsKilled_5,minionsKilled_6,minionsKilled_7,minionsKilled_8,minionsKilled_9,physicalDamageDoneToChampions_1,physicalDamageDoneToChampions_10,physicalDamageDoneToChampions_2,physicalDamageDoneToChampions_3,physicalDamageDoneToChampions_4,physicalDamageDoneToChampions_5,physicalDamageDoneToChampions_6,physicalDamageDoneToChampions_7,physicalDamageDoneToChampions_8,physicalDamageDoneToChampions_9,queueId,riftherald_team100,riftherald_team200,riftherald_team300,timeEnemySpentControlled_1,timeEnemySpentControlled_10,timeEnemySpentControlled_2,timeEnemySpentControlled_3,timeEnemySpentControlled_4,timeEnemySpentControlled_5,timeEnemySpentControlled_6,timeEnemySpentControlled_7,timeEnemySpentControlled_8,timeEnemySpentControlled_9,time_cutoff,timestamp,totalDamageDoneToChampions_1,totalDamageDoneToChampions_10,totalDamageDoneToChampions_2,totalDamageDoneToChampions_3,totalDamageDoneToChampions_4,totalDamageDoneToChampions_5,totalDamageDoneToChampions_6,totalDamageDoneToChampions_7,totalDamageDoneToChampions_8,totalDamageDoneToChampions_9,totalGold_1,totalGold_10,totalGold_2,totalGold_3,totalGold_4,totalGold_5,totalGold_6,totalGold_7,totalGold_8,totalGold_9,towers_lost_team100,towers_lost_team200,trueDamageDoneToChampions_1,trueDamageDoneToChampions_10,trueDamageDoneToChampions_2,trueDamageDoneToChampions_3,trueDamageDoneToChampions_4,trueDamageDoneToChampions_5,trueDamageDoneToChampions_6,trueDamageDoneToChampions_7,trueDamageDoneToChampions_8,trueDamageDoneToChampions_9,ward_player_0,ward_player_1,ward_player_10,ward_player_2,ward_player_3,ward_player_4,ward_player_5,ward_player_6,ward_player_7,ward_player_8,ward_player_9,waterdragon_team100,winningTeam,xp_1,xp_10,xp_2,xp_3,xp_4,xp_5,xp_6,xp_7,xp_8,xp_9,airdragon_team200,hextechdragon_team100,chemtechdragon_team200,waterdragon_team200
0.0,0.0,1.0,3.0,3.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,576.0,140.0,1937.0,1018.0,181.0,135.0,2231.0,218.0,121.0,490.0,3.0,3.0,0.0,4.0,1.0,0.0,3.0,3.0,4.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,1666,1637511380504,4111810689,CLASSIC,teambuilder-match-4111810689,1637509713892,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,3.0,0.0,8.0,1.0,4.0,1.0,3.0,2.0,2.0,1.0,10.0,7.0,11.0,11.0,9.0,8.0,11.0,9.0,9.0,8.0,536.0,1833.0,3574.0,883.0,0.0,3803.0,753.0,305.0,259.0,0.0,NA1_4111810689,88.0,17.0,15.0,99.0,100.0,14.0,98.0,18.0,86.0,100.0,6118.0,1016.0,4249.0,3570.0,5228.0,460.0,8292.0,5108.0,4011.0,3561.0,400,0.0,1.0,0.0,112333.0,37656.0,232217.0,81878.0,3665.0,170875.0,14299.0,153841.0,31251.0,16482.0,15.0,900232.0,8117.0,3235.0,8380.0,5617.0,6627.0,4263.0,9512.0,5708.0,4313.0,3561.0,4976.0,2990.0,7237.0,4918.0,5731.0,4430.0,5531.0,4768.0,4596.0,4890.0,0.0,0.0,1462.0,384.0,557.0,1164.0,1399.0,0.0,466.0,294.0,42.0,0.0,0.0,4.0,8.0,343.0,5.0,3.0,6.0,5.0,4.0,6.0,3.0,0.0,100.0,6731.0,3727.0,7519.0,7590.0,5209.0,4844.0,7892.0,5194.0,5885.0,4388.0,,,,
0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0,2.0,1.0,0.0,0.0,706.0,159.0,1134.0,52.0,73.0,736.0,1019.0,147.0,375.0,520.0,6.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1990,1637470965854,4111327468,CLASSIC,teambuilder-match-4111327468,1637468975205,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,75.0,4.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,8.0,3.0,1.0,1.0,9.0,8.0,8.0,10.0,9.0,8.0,12.0,10.0,10.0,8.0,0.0,2236.0,60.0,870.0,101.0,2334.0,7186.0,0.0,287.0,0.0,NA1_4111327468,81.0,3.0,3.0,102.0,114.0,8.0,94.0,3.0,107.0,97.0,4620.0,45.0,2454.0,4924.0,3179.0,224.0,2336.0,4564.0,3313.0,2479.0,400,0.0,1.0,0.0,68359.0,73627.0,154192.0,0.0,9613.0,107215.0,154436.0,133854.0,93696.0,4154.0,15.0,900295.0,4934.0,2281.0,2682.0,6013.0,3280.0,2793.0,10387.0,4654.0,4110.0,3020.0,4301.0,2934.0,4684.0,5537.0,5248.0,3611.0,7519.0,6207.0,5435.0,4620.0,2.0,0.0,313.0,0.0,168.0,218.0,0.0,234.0,864.0,90.0,509.0,541.0,0.0,2.0,7.0,10.0,12.0,3.0,9.0,22.0,1.0,4.0,3.0,0.0,200.0,5906.0,4293.0,4727.0,7282.0,5102.0,4631.0,8594.0,6237.0,6913.0,4871.0,1.0,1.0,,
0.0,0.0,0.0,4.0,3.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,434.0,515.0,1879.0,178.0,696.0,741.0,796.0,621.0,712.0,1591.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1543,1637468426723,4111290519,CLASSIC,teambuilder-match-4111290519,1637466883100,MATCHED_GAME,11.23.409.111,0.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,76.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,10.0,9.0,10.0,7.0,7.0,9.0,8.0,10.0,8.0,9.0,857.0,3221.0,5700.0,3100.0,108.0,366.0,3487.0,2095.0,346.0,169.0,NA1_4111290519,95.0,77.0,105.0,2.0,55.0,8.0,2.0,101.0,12.0,112.0,3387.0,475.0,1008.0,897.0,1891.0,1623.0,567.0,478.0,2768.0,3615.0,700,1.0,,0.0,205325.0,22925.0,240310.0,26904.0,9879.0,331067.0,49384.0,211899.0,308829.0,29205.0,15.0,900279.0,4486.0,5236.0,7173.0,3998.0,1999.0,2113.0,4416.0,2573.0,3367.0,4512.0,5159.0,4405.0,5594.0,3913.0,3621.0,6306.0,4146.0,4196.0,4512.0,5391.0,0.0,1.0,242.0,1539.0,464.0,0.0,0.0,124.0,361.0,0.0,251.0,727.0,0.0,5.0,7.0,5.0,7.0,3.0,5.0,7.0,5.0,1.0,3.0,0.0,200.0,6635.0,5484.0,6962.0,3769.0,3578.0,5846.0,4369.0,7130.0,4896.0,5418.0,,,,
0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,900.0,877.0,894.0,414.0,545.0,44.0,362.0,607.0,1402.0,945.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1968,1637465877571,4111201336,CLASSIC,teambuilder-match-4111201336,1637463909266,MATCHED_GAME,11.23.409.111,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,76.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,2.0,1.0,10.0,10.0,11.0,7.0,8.0,10.0,9.0,8.0,11.0,9.0,883.0,3027.0,2923.0,701.0,106.0,329.0,0.0,902.0,3764.0,738.0,NA1_4111201336,89.0,95.0,120.0,1.0,73.0,13.0,0.0,6.0,107.0,126.0,2108.0,375.0,575.0,426.0,988.0,1904.0,2016.0,371.0,1078.0,2498.0,700,0.0,1.0,0.0,57293.0,10900.0,12219.0,24906.0,6640.0,241423.0,122604.0,33133.0,303124.0,3237.0,15.0,900307.0,3164.0,3536.0,4294.0,1128.0,1095.0,2370.0,2833.0,1432.0,4842.0,3237.0,4100.0,4377.0,5179.0,2724.0,3870.0,5844.0,4852.0,2857.0,5152.0,5245.0,0.0,0.0,172.0,134.0,795.0,0.0,0.0,136.0,817.0,158.0,0.0,0.0,0.0,7.0,5.0,5.0,6.0,4.0,2.0,6.0,5.0,7.0,4.0,0.0,200.0,6230.0,7189.0,7486.0,3534.0,4322.0,6561.0,5215.0,4271.0,7912.0,5157.0,,,,
1.0,1.0,4.0,5.0,3.0,5.0,4.0,0.0,3.0,1.0,2.0,0.0,0.0,110.0,62.0,279.0,223.0,1167.0,969.0,285.0,-77.0,103.0,235.0,1.0,3.0,2.0,6.0,4.0,0.0,2.0,3.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1743,1637348338078,4109431159,CLASSIC,teambuilder-match-4109431159,1637346594292,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,64.0,0.0,0.0,0.0,0.0,64.0,16.0,0.0,0.0,0.0,2.0,3.0,2.0,4.0,6.0,1.0,2.0,4.0,4.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,11.0,9.0,808.0,0.0,2596.0,2226.0,0.0,4735.0,4211.0,1902.0,526.0,252.0,NA1_4109431159,111.0,20.0,8.0,67.0,97.0,5.0,114.0,6.0,107.0,86.0,2577.0,2241.0,2131.0,726.0,10653.0,541.0,1342.0,653.0,8286.0,7848.0,400,0.0,,0.0,33951.0,48720.0,374847.0,58882.0,36099.0,116495.0,158001.0,310009.0,110779.0,50966.0,15.0,900287.0,3385.0,2743.0,4886.0,2953.0,10653.0,5582.0,5973.0,2840.0,9343.0,8101.0,4410.0,4437.0,5314.0,4253.0,6717.0,5469.0,5325.0,4983.0,7918.0,5735.0,2.0,0.0,0.0,502.0,158.0,0.0,0.0,305.0,420.0,283.0,530.0,0.0,0.0,2.0,5.0,6.0,2.0,4.0,5.0,20.0,6.0,6.0,4.0,0.0,200.0,7086.0,5006.0,5462.0,5337.0,5669.0,5453.0,6760.0,5476.0,7516.0,5119.0,,1.0,,
0.0,1.0,6.0,2.0,2.0,0.0,4.0,1.0,1.0,1.0,3.0,0.0,0.0,35.0,1010.0,149.0,234.0,513.0,506.0,232.0,843.0,676.0,1581.0,1.0,2.0,1.0,5.0,3.0,5.0,1.0,2.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,2308,1637344239535,4109325208,CLASSIC,teambuilder-match-4109325208,1637341930792,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,1.0,0.0,2.0,10.0,2.0,10.0,8.0,9.0,10.0,9.0,8.0,10.0,9.0,12.0,10.0,871.0,4105.0,2443.0,5382.0,272.0,2689.0,1875.0,600.0,9841.0,854.0,NA1_4109325208,98.0,10.0,9.0,93.0,88.0,15.0,89.0,10.0,94.0,105.0,2673.0,846.0,391.0,183.0,3489.0,1777.0,662.0,3072.0,925.0,4994.0,400,0.0,1.0,0.0,272186.0,186401.0,232147.0,119975.0,27641.0,138612.0,82698.0,138148.0,9048.0,0.0,15.0,900231.0,3685.0,5285.0,3807.0,5566.0,3761.0,4872.0,2837.0,3698.0,11756.0,5849.0,4935.0,4610.0,5749.0,4964.0,4888.0,3536.0,4082.0,4493.0,7616.0,5381.0,0.0,0.0,140.0,334.0,972.0,0.0,0.0,406.0,299.0,25.0,989.0,0.0,34.0,3.0,10.0,2.0,3.0,5.0,38.0,22.0,4.0,2.0,4.0,0.0,200.0,6928.0,4706.0,5994.0,7045.0,5621.0,4522.0,6393.0,5429.0,9547.0,6217.0,,,,
0.0,1.0,5.0,7.0,1.0,4.0,5.0,1.0,2.0,0.0,2.0,0.0,0.0,215.0,251.0,1019.0,212.0,1092.0,666.0,822.0,145.0,431.0,1072.0,4.0,3.0,2.0,1.0,2.0,3.0,2.0,4.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1605,1637276489687,4108253784,CLASSIC,teambuilder-match-4108253784,1637274884159,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,4.0,68.0,0.0,0.0,0.0,2.0,1.0,6.0,2.0,4.0,4.0,4.0,1.0,1.0,5.0,10.0,8.0,10.0,11.0,9.0,8.0,11.0,8.0,10.0,8.0,541.0,2679.0,1024.0,4068.0,142.0,5508.0,5700.0,500.0,236.0,1142.0,NA1_4108253784,96.0,1.0,6.0,81.0,89.0,6.0,121.0,9.0,98.0,95.0,4666.0,1183.0,6971.0,733.0,6330.0,801.0,2547.0,1876.0,7125.0,9153.0,400,0.0,1.0,0.0,236552.0,18500.0,291241.0,118667.0,33592.0,101222.0,196494.0,51173.0,71150.0,8356.0,15.0,900172.0,5285.0,4154.0,8513.0,4801.0,6910.0,6528.0,8816.0,2467.0,7361.0,10296.0,4885.0,4176.0,7419.0,4637.0,6232.0,5016.0,7047.0,4745.0,4756.0,6747.0,1.0,0.0,78.0,292.0,518.0,0.0,438.0,218.0,568.0,90.0,0.0,0.0,0.0,3.0,9.0,4.0,1.0,6.0,7.0,23.0,4.0,6.0,5.0,1.0,100.0,7101.0,4424.0,7108.0,8073.0,5575.0,4377.0,8108.0,4989.0,7249.0,4890.0,,,,
0.0,1.0,5.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,0.0,0.0,288.0,298.0,2562.0,617.0,114.0,104.0,884.0,485.0,351.0,513.0,2.0,1.0,2.0,4.0,1.0,3.0,4.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1879,1637214287777,4107579197,CLASSIC,teambuilder-match-4107579197,1637212408589,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,68.0,0.0,4.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,2.0,4.0,3.0,3.0,11.0,8.0,10.0,10.0,8.0,8.0,9.0,9.0,11.0,9.0,1082.0,2175.0,881.0,2365.0,612.0,1719.0,3318.0,1623.0,1513.0,463.0,NA1_4107579197,104.0,6.0,28.0,92.0,94.0,4.0,98.0,9.0,120.0,123.0,3528.0,974.0,6377.0,577.0,3291.0,97.0,1119.0,145.0,5786.0,7033.0,440,0.0,1.0,0.0,54033.0,37628.0,127306.0,35583.0,0.0,40076.0,196466.0,186204.0,23547.0,0.0,15.0,900288.0,4817.0,3150.0,7592.0,2942.0,3904.0,1817.0,4919.0,2101.0,7300.0,7496.0,5403.0,3773.0,7497.0,4342.0,4089.0,3109.0,5069.0,5835.0,5441.0,5713.0,0.0,0.0,206.0,0.0,334.0,0.0,0.0,0.0,482.0,331.0,0.0,0.0,0.0,6.0,12.0,3.0,5.0,3.0,7.0,16.0,7.0,7.0,4.0,0.0,200.0,7507.0,4914.0,6487.0,6390.0,4373.0,4156.0,5952.0,5807.0,7586.0,5120.0,,,,
0.0,1.0,3.0,1.0,2.0,0.0,1.0,2.0,4.0,1.0,2.0,0.0,0.0,1636.0,955.0,309.0,921.0,400.0,889.0,226.0,1996.0,232.0,225.0,3.0,0.0,0.0,3.0,3.0,3.0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2452,1637200984843,4107316189,CLASSIC,teambuilder-match-4107316189,1637198532661,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,72.0,0.0,0.0,0.0,4.0,92.0,0.0,0.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,1.0,4.0,5.0,2.0,11.0,8.0,9.0,10.0,8.0,7.0,10.0,10.0,10.0,9.0,1145.0,902.0,0.0,3691.0,105.0,0.0,2709.0,3533.0,372.0,2812.0,NA1_4107316189,122.0,6.0,4.0,113.0,93.0,19.0,83.0,8.0,82.0,98.0,5127.0,371.0,2300.0,844.0,2343.0,819.0,1165.0,703.0,5839.0,5420.0,400,1.0,,0.0,99280.0,83307.0,38877.0,53944.0,19955.0,41397.0,206312.0,84670.0,25135.0,0.0,15.0,900274.0,7246.0,1273.0,2963.0,4688.0,2449.0,885.0,4262.0,4318.0,6446.0,8645.0,6656.0,3655.0,6109.0,6166.0,4245.0,3714.0,4701.0,6471.0,5712.0,5635.0,1.0,2.0,973.0,0.0,662.0,152.0,0.0,66.0,386.0,82.0,234.0,412.0,0.0,5.0,8.0,3.0,1.0,5.0,9.0,20.0,3.0,2.0,8.0,1.0,100.0,7893.0,4420.0,5549.0,6901.0,4255.0,3335.0,6470.0,6731.0,7161.0,5214.0,,,,
0.0,0.0,2.0,0.0,4.0,4.0,2.0,8.0,2.0,3.0,4.0,0.0,0.0,998.0,1402.0,308.0,312.0,431.0,836.0,532.0,1856.0,277.0,589.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,1.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1953,1637554010779,4112425347,CLASSIC,teambuilder-match-4112425347,1637552057673,MATCHED_GAME,11.23.409.111,0.0,0.0,0.0,0.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,3.0,2.0,1.0,2.0,6.0,3.0,4.0,10.0,9.0,9.0,8.0,7.0,10.0,9.0,10.0,8.0,11.0,856.0,1676.0,466.0,454.0,3069.0,2762.0,3504.0,5780.0,0.0,8070.0,NA1_4112425347,110.0,4.0,12.0,84.0,6.0,83.0,27.0,106.0,85.0,120.0,2532.0,1213.0,4628.0,6812.0,896.0,0.0,1165.0,754.0,4188.0,404.0,700,1.0,,0.0,16684.0,134012.0,210360.0,338162.0,113828.0,162160.0,98946.0,66208.0,56481.0,187608.0,15.0,900328.0,3388.0,3105.0,5607.0,7429.0,4546.0,2762.0,5576.0,6859.0,5272.0,8588.0,5248.0,5202.0,5733.0,5582.0,4831.0,4526.0,4867.0,6591.0,5427.0,6809.0,0.0,1.0,0.0,215.0,513.0,162.0,580.0,0.0,906.0,324.0,1083.0,113.0,0.0,3.0,174.0,2.0,4.0,13.0,0.0,7.0,4.0,2.0,5.0,0.0,200.0,6388.0,5507.0,5321.0,4844.0,3901.0,6213.0,5432.0,6899.0,4736.0,8307.0,,1.0,,
