,airdragon_team100,assistsplayer_1,assistsplayer_10,assistsplayer_2,assistsplayer_3,assistsplayer_4,assistsplayer_5,assistsplayer_6,assistsplayer_7,assistsplayer_8,assistsplayer_9,baron_team100,chemtechdragon_team100,currentGold_1,currentGold_10,currentGold_2,currentGold_3,currentGold_4,currentGold_5,currentGold_6,currentGold_7,currentGold_8,currentGold_9,deathsplayer_1,deathsplayer_10,deathsplayer_2,deathsplayer_3,deathsplayer_4,deathsplayer_5,deathsplayer_6,deathsplayer_7,deathsplayer_8,deathsplayer_9,dragon_team100,dragon_team200,earthdragon_team100,earthdragon_team200,firedragon_team100,firedragon_team200,gameDuration,gameEndTimestamp,gameId,gameMode,gameName,gameStartTimestamp,gameType,gameVersion,goldPerSecond_1,goldPerSecond_10,goldPerSecond_2,goldPerSecond_3,goldPerSecond_4,goldPerSecond_5,goldPerSecond_6,goldPerSecond_7,goldPerSecond_8,goldPerSecond_9,hextechdragon_team100,hextechdragon_team200,inhibs_lost_team200,jungleMinionsKilled_1,jungleMinionsKilled_10,jungleMinionsKilled_2,jungleMinionsKilled_3,jungleMinionsKilled_4,jungleMinionsKilled_5,jungleMinionsKilled_6,jungleMinionsKilled_7,jungleMinionsKilled_8,jungleMinionsKilled_9,killsplayer_0,killsplayer_1,killsplayer_10,killsplayer_2,killsplayer_3,killsplayer_4,killsplayer_5,killsplayer_6,killsplayer_7,killsplayer_8,killsplayer_9,level_1,level_10,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,magicDamageDoneToChampions_1,magicDamageDoneToChampions_10,magicDamageDoneToChampions_2,magicDamageDoneToChampions_3,magicDamageDoneToChampions_4,magicDamageDoneToChampions_5,magicDamageDoneToChampions_6,magicDamageDoneToChampions_7,magicDamageDoneToChampions_8,magicDamageDoneToChampions_9,matchId,minionsKilled_1,minionsKilled_10,minionsKilled_2,minionsKilled_3,minionsKilled_4,minionsKilled_5,minionsKilled_6,minionsKilled_7,minionsKilled_8,minionsKilled_9,physicalDamageDoneToChampions_1,physicalDamageDoneToChampions_10,physicalDamageDoneToChampions_2,physicalDamageDoneToChampions_3,physicalDamageDoneToChampions_4,physicalDamageDoneToChampions_5,physicalDamageDoneToChampions_6,physicalDamageDoneToChampions_7,physicalDamageDoneToChampions_8,physicalDamageDoneToChampions_9,queueId,riftherald_team100,riftherald_team300,timeEnemySpentControlled_1,timeEnemySpentControlled_10,timeEnemySpentControlled_2,timeEnemySpentControlled_3,timeEnemySpentControlled_4,timeEnemySpentControlled_5,timeEnemySpentControlled_6,timeEnemySpentControlled_7,timeEnemySpentControlled_8,timeEnemySpentControlled_9,time_cutoff,timestamp,totalDamageDoneToChampions_1,totalDamageDoneToChampions_10,totalDamageDoneToChampions_2,totalDamageDoneToChampions_3,totalDamageDoneToChampions_4,totalDamageDoneToChampions_5,totalDamageDoneToChampions_6,totalDamageDoneToChampions_7,totalDamageDoneToChampions_8,totalDamageDoneToChampions_9,totalGold_1,totalGold_10,totalGold_2,totalGold_3,totalGold_4,totalGold_5,totalGold_6,totalGold_7,totalGold_8,totalGold_9,towers_lost_team100,towers_lost_team200,trueDamageDoneToChampions_1,trueDamageDoneToChampions_10,trueDamageDoneToChampions_2,trueDamageDoneToChampions_3,trueDamageDoneToChampions_4,trueDamageDoneToChampions_5,trueDamageDoneToChampions_6,trueDamageDoneToChampions_7,trueDamageDoneToChampions_8,trueDamageDoneToChampions_9,ward_player_0,ward_player_1,ward_player_10,ward_player_2,ward_player_3,ward_player_4,ward_player_5,ward_player_6,ward_player_7,ward_player_8,ward_player_9,waterdragon_team100,winningTeam,xp_1,xp_10,xp_2,xp_3,xp_4,xp_5,xp_6,xp_7,xp_8,xp_9,chemtechdragon_team200,riftherald_team200,airdragon_team200,waterdragon_team200
0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,876.0,1331.0,556.0,629.0,437.0,400.0,625.0,102.0,1331.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1752,1637449991725,4110664149,CLASSIC,teambuilder-match-4110664149,1637448239216,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,7.0,7.0,6.0,5.0,7.0,7.0,8.0,6.0,1221.0,1084.0,127.0,626.0,0.0,607.0,138.0,133.0,1180.0,235.0,NA1_4110664149,52.0,4.0,4.0,38.0,58.0,17.0,60.0,0.0,67.0,80.0,491.0,296.0,522.0,732.0,1598.0,614.0,974.0,585.0,529.0,3107.0,440,1.0,0.0,5549.0,56236.0,194447.0,74183.0,52527.0,32233.0,44924.0,96862.0,166801.0,43839.0,10.0,600225.0,1827.0,1381.0,679.0,1358.0,1598.0,1462.0,1221.0,718.0,2077.0,3342.0,2793.0,2336.0,3006.0,2956.0,2679.0,2062.0,2750.0,2950.0,2842.0,3231.0,0.0,0.0,114.0,0.0,30.0,0.0,0.0,240.0,109.0,0.0,367.0,0.0,22.0,3.0,6.0,1.0,3.0,14.0,31.0,3.0,2.0,3.0,4.0,0.0,200.0,4178.0,2458.0,3256.0,3942.0,3033.0,2297.0,3978.0,3193.0,4131.0,2971.0,,,,
1,0.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,4.0,0.0,0.0,1606.0,126.0,1198.0,801.0,902.0,730.0,359.0,958.0,348.0,566.0,0.0,2.0,2.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2225,1637462076871,4111070443,CLASSIC,teambuilder-match-4111070443,1637459851219,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,4.0,65.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,8.0,6.0,7.0,7.0,6.0,6.0,6.0,7.0,8.0,7.0,0.0,1238.0,1758.0,0.0,1522.0,2203.0,0.0,1597.0,507.0,211.0,NA1_4111070443,83.0,13.0,10.0,33.0,60.0,8.0,31.0,2.0,76.0,75.0,4261.0,540.0,610.0,1613.0,928.0,1001.0,2105.0,755.0,1661.0,4874.0,420,1.0,0.0,13511.0,51305.0,256174.0,36146.0,53089.0,119319.0,27454.0,386248.0,36401.0,11333.0,10.0,600240.0,4261.0,1921.0,2417.0,1698.0,2565.0,3204.0,2555.0,2745.0,2440.0,5086.0,4656.0,2676.0,3723.0,3131.0,3177.0,3065.0,2559.0,4608.0,3703.0,3716.0,0.0,0.0,0.0,142.0,48.0,85.0,115.0,0.0,449.0,393.0,271.0,0.0,0.0,2.0,2.0,2.0,4.0,1.0,3.0,3.0,2.0,4.0,3.0,0.0,200.0,4729.0,2445.0,3499.0,3229.0,2907.0,2719.0,2691.0,3758.0,4331.0,3662.0,,,,
2,0.0,1.0,2.0,1.0,4.0,5.0,7.0,1.0,3.0,2.0,4.0,0.0,0.0,877.0,712.0,432.0,281.0,172.0,208.0,482.0,991.0,415.0,1582.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1572,1637459323343,4110795699,CLASSIC,teambuilder-match-4110795699,1637457750750,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,5.0,2.0,1.0,3.0,3.0,2.0,7.0,5.0,7.0,7.0,7.0,7.0,8.0,7.0,8.0,6.0,0.0,674.0,306.0,0.0,4765.0,1414.0,306.0,2114.0,186.0,53.0,NA1_4110795699,63.0,12.0,14.0,35.0,64.0,21.0,60.0,1.0,72.0,51.0,4505.0,439.0,2875.0,1726.0,1751.0,812.0,3953.0,532.0,4341.0,3538.0,420,0.0,0.0,45263.0,65383.0,124849.0,35748.0,250258.0,51060.0,58384.0,126759.0,23199.0,43247.0,10.0,600230.0,4745.0,1142.0,3315.0,1831.0,6516.0,2448.0,4683.0,3938.0,4596.0,4475.0,3677.0,2137.0,4082.0,3066.0,5107.0,3483.0,3232.0,4591.0,3870.0,4187.0,0.0,0.0,240.0,28.0,134.0,105.0,0.0,222.0,424.0,1292.0,68.0,883.0,0.0,2.0,5.0,2.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,0.0,100.0,4001.0,2264.0,3918.0,3302.0,3192.0,3234.0,4260.0,3189.0,4858.0,2538.0,,,,
3,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,156.0,356.0,-217.0,411.0,434.0,299.0,216.0,584.0,268.0,537.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1505,1637465231089,4111251390,CLASSIC,teambuilder-match-4111251390,1637463725301,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,64.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,7.0,6.0,8.0,8.0,6.0,6.0,8.0,8.0,7.0,6.0,107.0,781.0,1427.0,0.0,77.0,745.0,112.0,1653.0,383.0,0.0,NA1_4111251390,62.0,16.0,8.0,80.0,59.0,14.0,71.0,16.0,64.0,74.0,1835.0,576.0,212.0,2962.0,1906.0,352.0,3265.0,0.0,252.0,2957.0,420,0.0,0.0,20751.0,45823.0,68045.0,17639.0,8292.0,49977.0,63991.0,365017.0,5052.0,25744.0,10.0,600250.0,2516.0,1618.0,1958.0,3342.0,2186.0,1098.0,3377.0,1803.0,635.0,2957.0,2731.0,2381.0,3898.0,3261.0,3184.0,2199.0,3566.0,4069.0,3023.0,3962.0,0.0,0.0,573.0,260.0,318.0,380.0,201.0,0.0,0.0,149.0,0.0,0.0,0.0,3.0,5.0,2.0,3.0,3.0,2.0,4.0,1.0,3.0,3.0,0.0,200.0,4005.0,2591.0,4294.0,4486.0,2921.0,2417.0,4801.0,4457.0,3837.0,2916.0,1.0,,,
4,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,682.0,311.0,2050.0,188.0,639.0,366.0,804.0,59.0,778.0,492.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1740,1637390822385,4110087805,CLASSIC,teambuilder-match-4110087805,1637389082235,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,2.0,7.0,5.0,8.0,8.0,6.0,6.0,8.0,7.0,8.0,6.0,0.0,1205.0,27.0,2148.0,2652.0,0.0,372.0,0.0,1506.0,791.0,NA1_4110087805,58.0,2.0,11.0,81.0,69.0,6.0,77.0,2.0,71.0,66.0,2693.0,575.0,286.0,920.0,584.0,3564.0,3137.0,2374.0,362.0,1967.0,420,0.0,0.0,69028.0,12022.0,60052.0,26633.0,134457.0,9279.0,22726.0,60543.0,58633.0,4163.0,10.0,600182.0,2693.0,1780.0,344.0,3528.0,3236.0,3677.0,3510.0,2623.0,1869.0,2759.0,2632.0,2236.0,3325.0,3713.0,2964.0,3191.0,4309.0,3309.0,3278.0,3342.0,0.0,0.0,0.0,0.0,30.0,459.0,0.0,112.0,0.0,249.0,0.0,0.0,0.0,4.0,4.0,2.0,9.0,4.0,6.0,4.0,1.0,3.0,3.0,0.0,100.0,3918.0,2243.0,4109.0,4321.0,3005.0,2671.0,4865.0,3579.0,4496.0,2644.0,,,,
5,0.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,4.0,0.0,0.0,653.0,580.0,74.0,1009.0,1044.0,138.0,920.0,517.0,1299.0,116.0,1.0,1.0,0.0,2.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1685,1637387297940,4109978422,CLASSIC,teambuilder-match-4109978422,1637385612493,MATCHED_GAME,11.23.409.111,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,7.0,6.0,8.0,8.0,7.0,5.0,8.0,7.0,8.0,6.0,2000.0,1335.0,0.0,1581.0,162.0,784.0,0.0,59.0,1231.0,1611.0,NA1_4109978422,52.0,71.0,9.0,64.0,57.0,3.0,73.0,6.0,70.0,5.0,448.0,3085.0,2751.0,354.0,1763.0,644.0,5723.0,1552.0,1922.0,437.0,420,0.0,0.0,199079.0,0.0,128783.0,34355.0,54731.0,26702.0,60191.0,96213.0,5317.0,69980.0,10.0,600093.0,2594.0,4421.0,3053.0,1936.0,1926.0,1521.0,6001.0,1673.0,3302.0,2243.0,2703.0,4180.0,4574.0,2884.0,2944.0,2323.0,3570.0,4057.0,3664.0,2936.0,0.0,0.0,145.0,0.0,302.0,0.0,0.0,92.0,278.0,60.0,148.0,194.0,22.0,2.0,3.0,1.0,2.0,3.0,29.0,3.0,2.0,4.0,4.0,0.0,200.0,3840.0,3055.0,4599.0,4221.0,3402.0,2078.0,4707.0,3941.0,4109.0,2844.0,1.0,1.0,,
6,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,975.0,254.0,1015.0,487.0,469.0,478.0,216.0,1351.0,534.0,502.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1901,1637394563536,4110156633,CLASSIC,teambuilder-match-4110156633,1637392661856,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,8.0,6.0,7.0,7.0,6.0,6.0,8.0,7.0,8.0,6.0,1007.0,597.0,802.0,3899.0,106.0,3271.0,2765.0,1096.0,2530.0,232.0,NA1_4110156633,79.0,13.0,4.0,45.0,72.0,9.0,92.0,7.0,69.0,73.0,1344.0,386.0,47.0,1261.0,3529.0,439.0,1334.0,41.0,768.0,2538.0,440,0.0,0.0,24746.0,10701.0,133340.0,160756.0,15591.0,76923.0,110819.0,305540.0,70040.0,8652.0,10.0,600178.0,2352.0,1043.0,951.0,5161.0,3636.0,4005.0,4100.0,1221.0,3298.0,2883.0,3125.0,2379.0,2990.0,2377.0,3144.0,2578.0,3516.0,4186.0,3949.0,3842.0,0.0,0.0,0.0,60.0,102.0,0.0,0.0,294.0,0.0,83.0,0.0,112.0,0.0,3.0,3.0,4.0,3.0,2.0,76.0,2.0,0.0,3.0,3.0,0.0,100.0,4644.0,2935.0,3285.0,3576.0,2881.0,3037.0,4982.0,3710.0,4768.0,2978.0,,,,
7,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,77.0,506.0,799.0,779.0,93.0,127.0,605.0,2266.0,78.0,146.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1754,1637369401448,4109667658,CLASSIC,teambuilder-match-4109667658,1637367646668,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,52.0,0.0,4.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0,8.0,6.0,7.0,9.0,6.0,6.0,8.0,7.0,8.0,6.0,0.0,1146.0,127.0,3800.0,1203.0,1348.0,2172.0,0.0,0.0,0.0,NA1_4109667658,66.0,15.0,0.0,84.0,56.0,17.0,58.0,15.0,62.0,71.0,2351.0,705.0,1163.0,1272.0,55.0,433.0,484.0,1191.0,991.0,4463.0,420,0.0,0.0,32315.0,18070.0,74323.0,40462.0,6278.0,37582.0,151773.0,140951.0,38642.0,43640.0,10.0,600216.0,2351.0,2145.0,1403.0,5349.0,1258.0,1988.0,2657.0,1295.0,1364.0,4722.0,3527.0,3331.0,3474.0,3934.0,3263.0,2827.0,2825.0,3876.0,2968.0,5146.0,1.0,0.0,0.0,294.0,112.0,276.0,0.0,206.0,0.0,104.0,372.0,258.0,0.0,3.0,5.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,0.0,100.0,4320.0,2664.0,3312.0,5399.0,2809.0,3169.0,4643.0,3569.0,4069.0,3025.0,,1.0,,
8,0.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,749.0,194.0,1624.0,1307.0,850.0,134.0,107.0,-155.0,787.0,48.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2714,1637364976603,4109586763,CLASSIC,teambuilder-match-4109586763,1637362262328,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,2.0,0.0,5.0,2.0,1.0,2.0,1.0,5.0,0.0,2.0,8.0,6.0,9.0,8.0,7.0,6.0,7.0,7.0,7.0,6.0,666.0,205.0,2704.0,1963.0,95.0,2610.0,479.0,203.0,266.0,2435.0,NA1_4109586763,83.0,14.0,5.0,63.0,67.0,7.0,54.0,5.0,72.0,77.0,2443.0,492.0,454.0,1291.0,2657.0,234.0,3213.0,3153.0,2253.0,65.0,420,1.0,0.0,9511.0,14335.0,148509.0,193375.0,13475.0,397.0,0.0,52973.0,56609.0,8259.0,10.0,600188.0,3110.0,787.0,3242.0,3594.0,2752.0,3082.0,3954.0,3403.0,2702.0,2557.0,4549.0,2544.0,5059.0,3782.0,3555.0,3359.0,3377.0,4570.0,3277.0,3763.0,0.0,0.0,0.0,90.0,84.0,339.0,0.0,238.0,261.0,46.0,181.0,56.0,0.0,3.0,4.0,17.0,4.0,2.0,7.0,3.0,5.0,2.0,1.0,0.0,200.0,4550.0,2947.0,5106.0,4435.0,3309.0,3063.0,3555.0,3978.0,3935.0,2892.0,,,1.0,
9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,262.0,994.0,1419.0,503.0,748.0,540.0,700.0,951.0,539.0,879.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1661,1637277773070,4108256239,CLASSIC,teambuilder-match-4108256239,1637276111294,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,76.0,4.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,8.0,7.0,8.0,7.0,7.0,6.0,8.0,6.0,8.0,6.0,0.0,261.0,991.0,3333.0,81.0,990.0,2015.0,110.0,132.0,1408.0,NA1_4108256239,74.0,21.0,4.0,50.0,88.0,14.0,59.0,1.0,78.0,73.0,5488.0,323.0,339.0,192.0,2113.0,329.0,440.0,1521.0,1736.0,497.0,420,1.0,0.0,43629.0,8224.0,57576.0,36049.0,15624.0,57098.0,162772.0,140132.0,41321.0,57676.0,10.0,600175.0,5655.0,695.0,1431.0,3847.0,2194.0,1385.0,2515.0,1712.0,2063.0,1905.0,3687.0,2294.0,3779.0,3618.0,3448.0,2390.0,3225.0,3316.0,3229.0,3229.0,0.0,0.0,167.0,110.0,100.0,320.0,0.0,66.0,60.0,80.0,194.0,0.0,0.0,3.0,3.0,24.0,3.0,4.0,5.0,4.0,1.0,3.0,4.0,0.0,100.0,4344.0,3456.0,4372.0,3947.0,3217.0,2763.0,4087.0,3040.0,4594.0,2771.0,,,,
