iter	Passed	Remaining
0	30	30795
1	52	26358
2	74	24748
3	101	25167
4	122	24390
5	145	24084
6	167	23784
7	187	23279
8	208	22978
9	230	22817
10	253	22764
11	275	22656
12	298	22645
13	318	22447
14	339	22293
15	359	22130
16	381	22040
17	402	21965
18	423	21877
19	444	21804
20	465	21721
21	490	21784
22	514	21857
23	535	21759
24	556	21712
25	578	21681
26	599	21599
27	619	21506
28	640	21453
29	661	21402
30	681	21314
31	705	21334
32	727	21303
33	749	21282
34	769	21219
35	791	21201
36	812	21150
37	834	21125
38	856	21111
39	877	21057
40	899	21030
41	921	21028
42	944	21024
43	966	20999
44	995	21126
45	1016	21089
46	1049	21283
47	1070	21237
48	1094	21243
49	1116	21213
50	1140	21219
51	1163	21214
52	1184	21169
53	1206	21136
54	1227	21095
55	1249	21065
56	1271	21030
57	1291	20982
58	1312	20931
59	1333	20884
60	1354	20846
61	1377	20838
62	1399	20814
63	1419	20758
64	1440	20714
65	1460	20664
66	1480	20620
67	1501	20576
68	1521	20531
69	1541	20479
70	1562	20449
71	1586	20446
72	1607	20418
73	1629	20392
74	1650	20350
75	1671	20320
76	1692	20285
77	1713	20250
78	1734	20215
79	1754	20181
80	1776	20155
81	1801	20169
82	1824	20154
83	1845	20127
84	1867	20100
85	1890	20091
86	1910	20054
87	1931	20017
88	1952	19985
89	1972	19947
90	1995	19932
91	2019	19927
92	2040	19902
93	2061	19870
94	2083	19843
95	2103	19810
96	2124	19778
97	2145	19750
98	2166	19720
99	2187	19685
100	2208	19658
101	2232	19655
102	2253	19626
103	2273	19583
104	2296	19575
105	2318	19552
106	2338	19519
107	2360	19494
108	2381	19467
109	2401	19433
110	2423	19406
111	2446	19399
112	2469	19380
113	2490	19352
114	2510	19320
115	2533	19308
116	2557	19297
117	2579	19281
