assistsplayer_1,assistsplayer_10,assistsplayer_2,assistsplayer_3,assistsplayer_4,assistsplayer_5,assistsplayer_6,assistsplayer_7,assistsplayer_8,assistsplayer_9,currentGold_1,currentGold_10,currentGold_2,currentGold_3,currentGold_4,currentGold_5,currentGold_6,currentGold_7,currentGold_8,currentGold_9,deathsplayer_1,deathsplayer_10,deathsplayer_2,deathsplayer_3,deathsplayer_4,deathsplayer_5,deathsplayer_6,deathsplayer_7,deathsplayer_8,deathsplayer_9,dragon_team100,gameMode,gameType,gameVersion,goldPerSecond_1,goldPerSecond_10,goldPerSecond_2,goldPerSecond_3,goldPerSecond_4,goldPerSecond_5,goldPerSecond_6,goldPerSecond_7,goldPerSecond_8,goldPerSecond_9,jungleMinionsKilled_1,jungleMinionsKilled_10,jungleMinionsKilled_2,jungleMinionsKilled_3,jungleMinionsKilled_4,jungleMinionsKilled_5,jungleMinionsKilled_6,jungleMinionsKilled_7,jungleMinionsKilled_8,jungleMinionsKilled_9,killsplayer_0,killsplayer_1,killsplayer_10,killsplayer_2,killsplayer_3,killsplayer_4,killsplayer_5,killsplayer_6,killsplayer_7,killsplayer_8,killsplayer_9,level_1,level_10,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,magicDamageDoneToChampions_1,magicDamageDoneToChampions_10,magicDamageDoneToChampions_2,magicDamageDoneToChampions_3,magicDamageDoneToChampions_4,magicDamageDoneToChampions_5,magicDamageDoneToChampions_6,magicDamageDoneToChampions_7,magicDamageDoneToChampions_8,magicDamageDoneToChampions_9,minionsKilled_1,minionsKilled_10,minionsKilled_2,minionsKilled_3,minionsKilled_4,minionsKilled_5,minionsKilled_6,minionsKilled_7,minionsKilled_8,minionsKilled_9,physicalDamageDoneToChampions_1,physicalDamageDoneToChampions_10,physicalDamageDoneToChampions_2,physicalDamageDoneToChampions_3,physicalDamageDoneToChampions_4,physicalDamageDoneToChampions_5,physicalDamageDoneToChampions_6,physicalDamageDoneToChampions_7,physicalDamageDoneToChampions_8,physicalDamageDoneToChampions_9,riftherald_team100,timeEnemySpentControlled_1,timeEnemySpentControlled_10,timeEnemySpentControlled_2,timeEnemySpentControlled_3,timeEnemySpentControlled_4,timeEnemySpentControlled_5,timeEnemySpentControlled_6,timeEnemySpentControlled_7,timeEnemySpentControlled_8,timeEnemySpentControlled_9,timestamp,totalDamageDoneToChampions_1,totalDamageDoneToChampions_10,totalDamageDoneToChampions_2,totalDamageDoneToChampions_3,totalDamageDoneToChampions_4,totalDamageDoneToChampions_5,totalDamageDoneToChampions_6,totalDamageDoneToChampions_7,totalDamageDoneToChampions_8,totalDamageDoneToChampions_9,totalGold_1,totalGold_10,totalGold_2,totalGold_3,totalGold_4,totalGold_5,totalGold_6,totalGold_7,totalGold_8,totalGold_9,towers_lost_team100,towers_lost_team200,trueDamageDoneToChampions_1,trueDamageDoneToChampions_10,trueDamageDoneToChampions_2,trueDamageDoneToChampions_3,trueDamageDoneToChampions_4,trueDamageDoneToChampions_5,trueDamageDoneToChampions_6,trueDamageDoneToChampions_7,trueDamageDoneToChampions_8,trueDamageDoneToChampions_9,ward_player_0,ward_player_1,ward_player_10,ward_player_2,ward_player_3,ward_player_4,ward_player_5,ward_player_6,ward_player_7,ward_player_8,ward_player_9,winningTeam,xp_1,xp_10,xp_2,xp_3,xp_4,xp_5,xp_6,xp_7,xp_8,xp_9,baron_team100,dragon_team200,inhibs_lost_team100,riftherald_team200,inhibs_lost_team200,baron_team200,riftherald_team300,team_deathsplayer_100,team_deathsplayer_200,team_goldPerSecond_100,team_goldPerSecond_200,team_jungleMinionsKilled_100,team_jungleMinionsKilled_200,team_killsplayer_100,team_killsplayer_200,team_level_100,team_level_200,team_magicDamageDoneToChampions_100,team_magicDamageDoneToChampions_200,team_minionsKilled_100,team_minionsKilled_200,team_physicalDamageDoneToChampions_100,team_physicalDamageDoneToChampions_200,team_timeEnemySpentControlled_100,team_timeEnemySpentControlled_200,team_totalDamageDoneToChampions_100,team_totalDamageDoneToChampions_200,team_totalGold_100,team_totalGold_200,team_trueDamageDoneToChampions_100,team_trueDamageDoneToChampions_200,team_ward_player_100,team_ward_player_200,team_assistsplayer_100,team_assistsplayer_200,team_xp_100,team_xp_200
2.0,2.0,8.0,1.0,6.0,9.0,3.0,3.0,1.0,2.0,387.0,280.0,179.0,203.0,870.0,403.0,356.0,584.0,474.0,727.0,4.0,8.0,4.0,3.0,2.0,1.0,2.0,6.0,6.0,7.0,3.0,CLASSIC,MATCHED_GAME,11.17.394.4489,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,16.0,14.0,0.0,4.0,72.0,0.0,16.0,1.0,6.0,1.0,6.0,4.0,10.0,3.0,1.0,3.0,4.0,4.0,12.0,9.0,13.0,12.0,13.0,10.0,11.0,10.0,12.0,12.0,3664.0,2989.0,10808.0,120.0,844.0,4172.0,3051.0,1388.0,6302.0,18474.0,134.0,17.0,50.0,131.0,171.0,28.0,95.0,26.0,154.0,127.0,2327.0,923.0,831.0,5941.0,15052.0,1390.0,2811.0,5152.0,2061.0,327.0,2.0,96165.0,8056.0,281470.0,191230.0,155907.0,88388.0,154914.0,239828.0,225229.0,255227.0,1203654.0,6072.0,3912.0,12402.0,8781.0,16354.0,6126.0,6830.0,7089.0,9011.0,19305.0,9437.0,4915.0,9254.0,8123.0,11784.0,6013.0,5786.0,6834.0,8154.0,7592.0,1.0,5.0,80.0,0.0,763.0,2719.0,458.0,564.0,967.0,548.0,648.0,504.0,1.0,162.0,13.0,4.0,4.0,6.0,23.0,87.0,7.0,34.0,3.0,100.0,9638.0,6019.0,10942.0,9646.0,10061.0,6446.0,7654.0,7026.0,9818.0,8908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,29,30,30,141,92,29,13,60,54,19608,32204,514,419,25541,11274,813160,883254,49735,46147,44611,33281,4584,2667,199,144,26,11,46733,39425
3.0,4.0,5.0,1.0,1.0,2.0,2.0,3.0,4.0,2.0,796.0,1134.0,390.0,535.0,1022.0,646.0,799.0,2841.0,21.0,208.0,2.0,2.0,4.0,1.0,0.0,5.0,3.0,0.0,0.0,5.0,3.0,CLASSIC,MATCHED_GAME,11.17.394.4489,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,4.0,0.0,0.0,0.0,120.0,4.0,0.0,0.0,2.0,2.0,2.0,5.0,1.0,0.0,4.0,3.0,1.0,2.0,12.0,9.0,11.0,12.0,11.0,8.0,10.0,12.0,13.0,12.0,11012.0,2339.0,644.0,799.0,328.0,2778.0,218.0,4929.0,4073.0,7624.0,140.0,27.0,8.0,127.0,152.0,28.0,146.0,16.0,177.0,110.0,340.0,388.0,5410.0,5487.0,3082.0,222.0,7606.0,797.0,109.0,2711.0,1.0,275265.0,25925.0,432109.0,1618.0,0.0,117364.0,43494.0,346581.0,138574.0,42817.0,1200423.0,11353.0,3599.0,6548.0,6965.0,3410.0,3233.0,8258.0,6126.0,4183.0,10335.0,7501.0,4899.0,7355.0,7300.0,6722.0,5195.0,7729.0,7281.0,8256.0,6258.0,6.0,6.0,0.0,871.0,494.0,678.0,0.0,232.0,433.0,400.0,0.0,0.0,0.0,16.0,49.0,15.0,26.0,11.0,69.0,8.0,3.0,13.0,8.0,200.0,9349.0,5608.0,7968.0,8591.0,7385.0,5003.0,7244.0,8704.0,10385.0,8621.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,12,10,30,30,113,124,10,12,54,56,15561,19183,455,476,14541,11611,826356,597391,31509,32501,34073,34423,1404,1704,137,81,12,15,38296,40562
2.0,6.0,1.0,1.0,2.0,3.0,1.0,7.0,5.0,2.0,752.0,966.0,832.0,763.0,139.0,321.0,1134.0,796.0,636.0,1795.0,2.0,3.0,3.0,2.0,1.0,3.0,0.0,2.0,1.0,2.0,2.0,CLASSIC,MATCHED_GAME,11.17.394.4489,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,4.0,0.0,139.0,4.0,8.0,0.0,0.0,80.0,4.0,12.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,12.0,10.0,12.0,12.0,11.0,9.0,12.0,11.0,13.0,11.0,4686.0,1936.0,3180.0,432.0,602.0,3754.0,1367.0,885.0,467.0,1165.0,157.0,10.0,11.0,147.0,166.0,30.0,153.0,7.0,183.0,159.0,1221.0,732.0,615.0,5752.0,8522.0,963.0,5291.0,1070.0,7693.0,11716.0,2.0,149397.0,123148.0,179157.0,111213.0,149420.0,107740.0,29760.0,118072.0,825.0,89432.0,1200351.0,5908.0,3403.0,4009.0,6365.0,9125.0,5106.0,6867.0,2294.0,8161.0,13167.0,8352.0,4941.0,7472.0,7813.0,7904.0,5746.0,6999.0,5571.0,7846.0,8180.0,0.0,10.0,0.0,734.0,213.0,181.0,0.0,388.0,208.0,338.0,0.0,286.0,0.0,12.0,35.0,7.0,12.0,11.0,28.0,6.0,13.0,6.0,11.0,100.0,9213.0,6332.0,9262.0,8787.0,7549.0,5570.0,9584.0,7553.0,10792.0,7503.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,11,8,30,30,155,96,8,11,56,57,12654,5820,511,512,17073,26502,696927,361237,30513,33892,37287,33537,782,1566,70,71,9,21,40381,41764
3.0,6.0,3.0,7.0,4.0,9.0,1.0,1.0,0.0,3.0,2001.0,547.0,174.0,249.0,564.0,296.0,53.0,723.0,1490.0,1671.0,3.0,5.0,1.0,0.0,3.0,4.0,4.0,4.0,4.0,6.0,2.0,CLASSIC,MATCHED_GAME,11.17.394.4489,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,4.0,0.0,121.0,12.0,12.0,0.0,5.0,77.0,1.0,0.0,0.0,5.0,0.0,7.0,4.0,4.0,3.0,2.0,3.0,2.0,4.0,12.0,8.0,12.0,13.0,11.0,10.0,12.0,10.0,11.0,10.0,0.0,1449.0,445.0,11299.0,1769.0,2975.0,1446.0,5866.0,5934.0,379.0,118.0,21.0,24.0,165.0,133.0,29.0,127.0,17.0,127.0,119.0,5795.0,2364.0,10561.0,262.0,5625.0,940.0,6626.0,379.0,187.0,9167.0,2.0,112585.0,77075.0,379691.0,173573.0,528.0,68661.0,92602.0,351342.0,97929.0,320701.0,1200374.0,7280.0,4415.0,11448.0,11561.0,7638.0,4237.0,8120.0,6991.0,6121.0,9546.0,8856.0,4297.0,9399.0,10019.0,8489.0,6121.0,6326.0,6713.0,6105.0,7131.0,1.0,9.0,1484.0,602.0,441.0,0.0,243.0,321.0,48.0,745.0,0.0,0.0,1.0,8.0,59.0,5.0,3.0,8.0,22.0,6.0,7.0,7.0,4.0,100.0,8895.0,4958.0,9835.0,11029.0,7631.0,6837.0,8989.0,7121.0,8429.0,7243.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,11,23,30,30,149,83,23,11,58,51,16488,15074,469,411,23183,18723,735038,939649,42164,35193,42884,30572,2489,1395,46,83,26,11,44227,36740
2.0,1.0,8.0,3.0,6.0,14.0,0.0,2.0,2.0,0.0,1026.0,1139.0,877.0,937.0,509.0,534.0,163.0,1071.0,727.0,890.0,2.0,6.0,1.0,3.0,2.0,1.0,2.0,3.0,6.0,6.0,4.0,CLASSIC,MATCHED_GAME,11.17.394.4489,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,18.0,0.0,119.0,0.0,0.0,0.0,12.0,109.0,0.0,0.0,0.0,4.0,1.0,5.0,3.0,9.0,2.0,3.0,1.0,2.0,2.0,13.0,9.0,12.0,13.0,12.0,10.0,13.0,11.0,12.0,10.0,0.0,3502.0,3185.0,6848.0,1310.0,510.0,2462.0,6043.0,688.0,0.0,129.0,28.0,22.0,136.0,170.0,34.0,163.0,14.0,142.0,131.0,7371.0,1597.0,4772.0,462.0,10728.0,4676.0,6983.0,86.0,8650.0,9998.0,1.0,33589.0,183480.0,257561.0,52056.0,82578.0,179724.0,59749.0,548771.0,64417.0,91104.0,1200392.0,7371.0,5664.0,8603.0,7670.0,12039.0,5688.0,9446.0,6663.0,9859.0,10744.0,8166.0,4674.0,8702.0,7137.0,9834.0,6384.0,8302.0,6396.0,7362.0,6440.0,1.0,9.0,0.0,564.0,645.0,360.0,0.0,502.0,0.0,533.0,520.0,745.0,0.0,9.0,15.0,15.0,5.0,48.0,41.0,6.0,13.0,3.0,8.0,100.0,10111.0,5339.0,8988.0,10425.0,9226.0,6993.0,10866.0,7897.0,9074.0,6959.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,9,23,30,30,137,121,23,9,60,55,11853,12695,491,478,28009,27314,605508,947521,41371,42376,40223,33174,1507,2362,118,45,33,5,45743,40135
5.0,5.0,6.0,8.0,3.0,15.0,2.0,3.0,2.0,2.0,1529.0,653.0,532.0,39.0,1008.0,817.0,535.0,1635.0,455.0,165.0,3.0,7.0,3.0,5.0,0.0,0.0,7.0,5.0,7.0,2.0,3.0,CLASSIC,MATCHED_GAME,11.17.394.4489,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,7.0,12.0,0.0,0.0,104.0,2.0,0.0,0.0,3.0,0.0,10.0,6.0,6.0,3.0,2.0,5.0,4.0,0.0,12.0,8.0,12.0,11.0,12.0,11.0,11.0,11.0,11.0,10.0,1355.0,3171.0,1353.0,6723.0,120.0,5716.0,3254.0,8117.0,2285.0,7383.0,122.0,25.0,37.0,91.0,186.0,10.0,136.0,15.0,117.0,149.0,9901.0,552.0,10443.0,1414.0,8396.0,2467.0,9441.0,355.0,10667.0,442.0,1.0,304006.0,54670.0,210842.0,173656.0,107448.0,73037.0,93608.0,136166.0,278266.0,146265.0,1200430.0,11256.0,4309.0,14025.0,8529.0,8698.0,8968.0,12826.0,9009.0,13593.0,7826.0,7629.0,4418.0,9522.0,7269.0,9403.0,6907.0,6985.0,7895.0,7630.0,6075.0,1.0,9.0,0.0,586.0,2228.0,392.0,182.0,784.0,130.0,536.0,640.0,0.0,0.0,7.0,95.0,6.0,6.0,10.0,32.0,7.0,4.0,8.0,8.0,100.0,9660.0,4979.0,9229.0,8030.0,9495.0,8281.0,8564.0,8304.0,7625.0,6990.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,11,28,30,30,113,106,28,11,58,51,15267,24210,446,442,32621,21457,868989,708975,51476,47563,40730,33003,3586,1892,61,122,37,14,44695,36462
8.0,1.0,9.0,9.0,4.0,14.0,2.0,2.0,2.0,4.0,1475.0,810.0,2008.0,1596.0,397.0,828.0,514.0,742.0,730.0,57.0,2.0,5.0,1.0,1.0,5.0,2.0,3.0,4.0,8.0,5.0,3.0,CLASSIC,MATCHED_GAME,11.17.394.4489,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,4.0,1.0,126.0,4.0,0.0,0.0,7.0,109.0,0.0,0.0,0.0,6.0,3.0,7.0,11.0,0.0,1.0,1.0,3.0,4.0,0.0,13.0,10.0,12.0,12.0,9.0,10.0,8.0,12.0,11.0,8.0,1796.0,3629.0,0.0,9731.0,783.0,1881.0,725.0,5599.0,10.0,3086.0,166.0,75.0,24.0,119.0,91.0,25.0,39.0,51.0,132.0,45.0,17027.0,837.0,9293.0,1020.0,4495.0,1466.0,1066.0,478.0,8757.0,1217.0,2.0,67213.0,117974.0,445234.0,128863.0,21796.0,73203.0,14707.0,46410.0,67013.0,7496.0,1200390.0,18824.0,4467.0,11885.0,11167.0,5278.0,3578.0,1791.0,6553.0,9268.0,4304.0,11215.0,6215.0,10072.0,9895.0,5234.0,5663.0,4214.0,7517.0,6735.0,4892.0,0.0,10.0,0.0,0.0,2591.0,416.0,0.0,230.0,0.0,475.0,500.0,0.0,0.0,7.0,7.0,4.0,6.0,9.0,22.0,7.0,45.0,1.0,14.0,100.0,10755.0,6389.0,9385.0,8850.0,5545.0,6635.0,4904.0,8992.0,8255.0,4996.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,11,25,30,60,134,117,25,11,56,49,14191,13049,425,342,33301,12355,736309,253600,50732,26383,42079,29573,3237,975,48,74,44,11,41170,33536
4.0,6.0,6.0,1.0,3.0,4.0,4.0,3.0,7.0,4.0,800.0,354.0,544.0,208.0,123.0,204.0,339.0,261.0,150.0,1717.0,4.0,3.0,4.0,1.0,4.0,4.0,6.0,1.0,2.0,4.0,1.0,CLASSIC,MATCHED_GAME,11.17.393.607,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,88.0,7.0,10.0,0.0,0.0,111.0,8.0,3.0,1.0,4.0,3.0,2.0,4.0,5.0,1.0,5.0,5.0,0.0,3.0,13.0,9.0,11.0,12.0,11.0,10.0,12.0,12.0,12.0,11.0,3080.0,1404.0,4524.0,435.0,3584.0,2893.0,165.0,532.0,9968.0,1553.0,157.0,23.0,18.0,136.0,132.0,32.0,141.0,36.0,139.0,154.0,8557.0,1168.0,625.0,5628.0,11935.0,488.0,9160.0,7139.0,1176.0,6747.0,1.0,47365.0,33824.0,359281.0,58023.0,58334.0,159527.0,74639.0,97699.0,232295.0,26632.0,1200312.0,11637.0,2983.0,5505.0,6628.0,16119.0,3381.0,9385.0,7941.0,11144.0,9008.0,9024.0,5274.0,6894.0,7813.0,7921.0,5224.0,8829.0,8421.0,6875.0,8142.0,8.0,4.0,0.0,410.0,356.0,564.0,600.0,0.0,60.0,269.0,0.0,708.0,0.0,11.0,29.0,5.0,15.0,10.0,42.0,6.0,2.0,14.0,14.0,200.0,10376.0,5194.0,8011.0,8759.0,7991.0,6633.0,8931.0,9090.0,8976.0,8212.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,17,16,30,30,106,122,16,16,57,56,14516,13622,475,493,27233,25390,682530,465089,43270,40461,36876,37541,1520,1447,83,65,18,24,41770,40403
0.0,6.0,6.0,1.0,4.0,5.0,1.0,6.0,4.0,2.0,123.0,512.0,261.0,156.0,609.0,141.0,349.0,921.0,224.0,221.0,1.0,3.0,4.0,2.0,4.0,3.0,4.0,2.0,4.0,0.0,2.0,CLASSIC,MATCHED_GAME,11.17.393.607,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,6.0,0.0,112.0,0.0,12.0,0.0,9.0,121.0,6.0,0.0,0.0,5.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,7.0,2.0,13.0,9.0,12.0,9.0,12.0,9.0,12.0,11.0,12.0,11.0,0.0,206.0,7267.0,53.0,0.0,1374.0,1148.0,5121.0,586.0,2805.0,152.0,37.0,31.0,140.0,153.0,37.0,127.0,21.0,115.0,186.0,7633.0,4974.0,1233.0,5011.0,11300.0,593.0,4449.0,941.0,10158.0,7036.0,1.0,66843.0,23680.0,114633.0,7761.0,94454.0,130493.0,173068.0,390467.0,104037.0,0.0,1200281.0,8115.0,5567.0,9040.0,5162.0,11384.0,1977.0,5598.0,6633.0,11340.0,9842.0,8288.0,5492.0,8271.0,6121.0,9189.0,4881.0,7199.0,7546.0,9114.0,8326.0,9.0,4.0,482.0,386.0,539.0,97.0,84.0,10.0,0.0,569.0,596.0,0.0,0.0,5.0,53.0,14.0,12.0,10.0,51.0,11.0,5.0,10.0,13.0,200.0,9996.0,5934.0,9467.0,6025.0,8720.0,5423.0,8970.0,8182.0,8739.0,8489.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0,14,13,30,30,130,136,13,14,55,55,8694,9866,513,486,25770,27558,414184,691252,35678,38980,36750,37677,1212,1551,92,92,16,19,39631,40314
7.0,3.0,8.0,6.0,3.0,10.0,2.0,2.0,3.0,1.0,375.0,56.0,202.0,457.0,123.0,107.0,871.0,692.0,81.0,485.0,1.0,3.0,3.0,5.0,0.0,1.0,2.0,4.0,4.0,5.0,1.0,CLASSIC,MATCHED_GAME,11.17.393.607,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,17.0,0.0,107.0,0.0,14.0,0.0,0.0,119.0,8.0,0.0,0.0,4.0,0.0,4.0,0.0,8.0,2.0,1.0,1.0,6.0,2.0,13.0,8.0,12.0,11.0,12.0,10.0,12.0,11.0,12.0,11.0,9377.0,5712.0,1571.0,6170.0,506.0,2123.0,2145.0,342.0,3080.0,11402.0,153.0,9.0,13.0,77.0,178.0,31.0,155.0,25.0,147.0,126.0,418.0,457.0,6714.0,822.0,10378.0,167.0,582.0,4305.0,7579.0,0.0,2.0,155622.0,99479.0,96782.0,85673.0,44854.0,21634.0,146228.0,176363.0,153426.0,61182.0,1200381.0,9861.0,6339.0,8696.0,6992.0,12226.0,2553.0,2727.0,5265.0,10710.0,11622.0,8985.0,4231.0,8362.0,4777.0,10258.0,5382.0,7061.0,6757.0,8311.0,6245.0,1.0,2.0,66.0,170.0,409.0,0.0,1342.0,262.0,0.0,617.0,50.0,220.0,0.0,11.0,15.0,3.0,8.0,10.0,28.0,8.0,2.0,6.0,6.0,100.0,9983.0,4722.0,8876.0,8234.0,9262.0,6624.0,9433.0,8320.0,9155.0,7801.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10,18,30,30,138,127,18,10,58,54,19747,22681,452,462,18499,12923,404565,636678,40328,36663,37764,32605,2079,1057,60,37,34,11,42979,39431
