,assistsplayer_1,assistsplayer_10,assistsplayer_2,assistsplayer_3,assistsplayer_4,assistsplayer_5,assistsplayer_6,assistsplayer_7,assistsplayer_8,assistsplayer_9,baron_team100,baron_team200,currentGold_1,currentGold_10,currentGold_2,currentGold_3,currentGold_4,currentGold_5,currentGold_6,currentGold_7,currentGold_8,currentGold_9,deathsplayer_1,deathsplayer_10,deathsplayer_2,deathsplayer_3,deathsplayer_4,deathsplayer_5,deathsplayer_6,deathsplayer_7,deathsplayer_8,deathsplayer_9,dragon_team100,dragon_team200,gameMode,gameType,gameVersion,goldPerSecond_1,goldPerSecond_10,goldPerSecond_2,goldPerSecond_3,goldPerSecond_4,goldPerSecond_5,goldPerSecond_6,goldPerSecond_7,goldPerSecond_8,goldPerSecond_9,inhibs_lost_team200,jungleMinionsKilled_1,jungleMinionsKilled_10,jungleMinionsKilled_2,jungleMinionsKilled_3,jungleMinionsKilled_4,jungleMinionsKilled_5,jungleMinionsKilled_6,jungleMinionsKilled_7,jungleMinionsKilled_8,jungleMinionsKilled_9,killsplayer_1,killsplayer_10,killsplayer_2,killsplayer_3,killsplayer_4,killsplayer_5,killsplayer_7,killsplayer_8,level_1,level_10,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,magicDamageDoneToChampions_1,magicDamageDoneToChampions_10,magicDamageDoneToChampions_2,magicDamageDoneToChampions_3,magicDamageDoneToChampions_4,magicDamageDoneToChampions_5,magicDamageDoneToChampions_6,magicDamageDoneToChampions_7,magicDamageDoneToChampions_8,magicDamageDoneToChampions_9,minionsKilled_1,minionsKilled_10,minionsKilled_2,minionsKilled_3,minionsKilled_4,minionsKilled_5,minionsKilled_6,minionsKilled_7,minionsKilled_8,minionsKilled_9,physicalDamageDoneToChampions_1,physicalDamageDoneToChampions_10,physicalDamageDoneToChampions_2,physicalDamageDoneToChampions_3,physicalDamageDoneToChampions_4,physicalDamageDoneToChampions_5,physicalDamageDoneToChampions_6,physicalDamageDoneToChampions_7,physicalDamageDoneToChampions_8,physicalDamageDoneToChampions_9,riftherald_team200,timeEnemySpentControlled_1,timeEnemySpentControlled_10,timeEnemySpentControlled_2,timeEnemySpentControlled_3,timeEnemySpentControlled_4,timeEnemySpentControlled_5,timeEnemySpentControlled_6,timeEnemySpentControlled_7,timeEnemySpentControlled_8,timeEnemySpentControlled_9,timestamp,totalDamageDoneToChampions_1,totalDamageDoneToChampions_10,totalDamageDoneToChampions_2,totalDamageDoneToChampions_3,totalDamageDoneToChampions_4,totalDamageDoneToChampions_5,totalDamageDoneToChampions_6,totalDamageDoneToChampions_7,totalDamageDoneToChampions_8,totalDamageDoneToChampions_9,totalGold_1,totalGold_10,totalGold_2,totalGold_3,totalGold_4,totalGold_5,totalGold_6,totalGold_7,totalGold_8,totalGold_9,towers_lost_team100,towers_lost_team200,trueDamageDoneToChampions_1,trueDamageDoneToChampions_10,trueDamageDoneToChampions_2,trueDamageDoneToChampions_3,trueDamageDoneToChampions_4,trueDamageDoneToChampions_5,trueDamageDoneToChampions_6,trueDamageDoneToChampions_7,trueDamageDoneToChampions_8,trueDamageDoneToChampions_9,ward_player_1,ward_player_10,ward_player_2,ward_player_3,ward_player_4,ward_player_5,ward_player_6,ward_player_7,ward_player_8,ward_player_9,winningTeam,xp_1,xp_10,xp_2,xp_3,xp_4,xp_5,xp_6,xp_7,xp_8,xp_9,inhibs_lost_team100,killsplayer_6,killsplayer_9,riftherald_team100,ward_player_0,killsplayer_0,riftherald_team300,team_deathsplayer_100,team_deathsplayer_200,team_goldPerSecond_100,team_goldPerSecond_200,team_jungleMinionsKilled_100,team_jungleMinionsKilled_200,team_killsplayer_100,team_killsplayer_200,team_level_100,team_level_200,team_magicDamageDoneToChampions_100,team_magicDamageDoneToChampions_200,team_minionsKilled_100,team_minionsKilled_200,team_physicalDamageDoneToChampions_100,team_physicalDamageDoneToChampions_200,team_timeEnemySpentControlled_100,team_timeEnemySpentControlled_200,team_totalDamageDoneToChampions_100,team_totalDamageDoneToChampions_200,team_totalGold_100,team_totalGold_200,team_trueDamageDoneToChampions_100,team_trueDamageDoneToChampions_200,team_ward_player_100,team_ward_player_200,team_assistsplayer_100,team_assistsplayer_200,team_xp_100,team_xp_200
0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,273.0,943.0,112.0,1708.0,694.0,439.0,398.0,419.0,1107.0,286.0,3.0,1.0,3.0,2.0,2.0,1.0,4.0,3.0,2.0,4.0,1.0,2.0,CLASSIC,MATCHED_GAME,11.19.398.9466,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,8.0,4.0,95.0,10.0,0.0,0.0,13.0,95.0,4.0,0.0,4.0,2.0,2.0,3.0,4.0,1.0,1.0,8.0,13.0,10.0,12.0,12.0,11.0,9.0,12.0,11.0,14.0,10.0,7023.0,9104.0,0.0,968.0,587.0,1949.0,5174.0,2056.0,875.0,0.0,155.0,24.0,30.0,135.0,162.0,25.0,113.0,18.0,181.0,146.0,1851.0,469.0,4945.0,3325.0,7762.0,587.0,280.0,1925.0,8908.0,6877.0,2.0,37558.0,148245.0,285024.0,72571.0,57425.0,49573.0,219433.0,483587.0,52346.0,57835.0,1200347.0,10052.0,9909.0,5609.0,5004.0,8569.0,2716.0,5455.0,4634.0,11392.0,6877.0,9088.0,5752.0,6852.0,7518.0,8059.0,4839.0,5763.0,6369.0,11017.0,6336.0,3.0,10.0,1176.0,334.0,664.0,711.0,220.0,180.0,0.0,652.0,1608.0,0.0,10.0,319.0,8.0,4.0,20.0,32.0,12.0,15.0,33.0,12.0,100.0,11079.0,7085.0,9001.0,9434.0,7304.0,5380.0,8767.0,7652.0,11676.0,6517.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,14,30,30,113,116,14,11,57,57,10527,17209,507,482,18470,18459,502151,961446,31950,38267,36356,35237,2951,2594,74,391,13,12,42198,41697
1,1.0,15.0,3.0,1.0,4.0,5.0,0.0,5.0,11.0,7.0,0.0,0.0,687.0,702.0,244.0,1231.0,408.0,388.0,1529.0,173.0,143.0,533.0,5.0,3.0,7.0,7.0,7.0,5.0,4.0,3.0,0.0,3.0,0.0,3.0,CLASSIC,MATCHED_GAME,11.21.403.3002,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,8.0,4.0,8.0,12.0,135.0,0.0,20.0,4.0,3.0,1.0,4.0,0.0,4.0,10.0,5.0,12.0,10.0,9.0,12.0,11.0,9.0,12.0,13.0,13.0,12.0,3525.0,2750.0,4520.0,10586.0,770.0,3296.0,1819.0,828.0,9713.0,170.0,132.0,6.0,17.0,134.0,143.0,26.0,158.0,5.0,156.0,140.0,2351.0,1511.0,249.0,137.0,8461.0,928.0,5579.0,11923.0,386.0,10024.0,1.0,115204.0,115070.0,75819.0,111896.0,145053.0,49611.0,66945.0,97527.0,685974.0,89032.0,1200317.0,6292.0,4688.0,4970.0,11086.0,9244.0,4995.0,7398.0,13370.0,10553.0,10394.0,7512.0,7052.0,5224.0,8501.0,6238.0,5764.0,9594.0,9463.0,9508.0,11487.0,8.0,1.0,415.0,426.0,200.0,361.0,12.0,769.0,0.0,618.0,453.0,200.0,5.0,71.0,7.0,3.0,7.0,16.0,7.0,3.0,10.0,4.0,200.0,9469.0,7278.0,6066.0,8697.0,8074.0,5600.0,9674.0,10095.0,10591.0,9845.0,2.0,5.0,8.0,1.0,46.0,0.0,0.0,31,13,30,30,75,167,13,31,53,60,22697,15280,452,465,12126,29423,497583,1054548,36587,46403,33239,47104,1757,1697,38,95,14,38,37906,47483
2,0.0,5.0,4.0,2.0,1.0,3.0,1.0,5.0,4.0,7.0,0.0,1.0,594.0,1053.0,1131.0,1771.0,788.0,1073.0,1090.0,2455.0,498.0,955.0,2.0,4.0,5.0,5.0,5.0,4.0,3.0,2.0,4.0,3.0,4.0,2.0,CLASSIC,MATCHED_GAME,11.16.390.1945,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,2.0,1.0,0.0,80.0,4.0,2.0,0.0,11.0,80.0,0.0,0.0,2.0,6.0,1.0,8.0,3.0,2.0,8.0,3.0,12.0,10.0,10.0,12.0,10.0,8.0,13.0,11.0,12.0,10.0,3611.0,1876.0,2399.0,2369.0,2241.0,10309.0,2393.0,1211.0,5293.0,3500.0,121.0,116.0,5.0,106.0,101.0,14.0,115.0,10.0,140.0,14.0,1954.0,9943.0,947.0,10297.0,4069.0,1600.0,5887.0,7200.0,1754.0,643.0,1.0,35275.0,27741.0,504531.0,33589.0,0.0,150783.0,182280.0,188539.0,30458.0,207658.0,1200364.0,7703.0,12703.0,3726.0,13327.0,6310.0,12629.0,9387.0,8687.0,9135.0,4144.0,6689.0,7978.0,6006.0,8976.0,6313.0,5273.0,7268.0,8305.0,7973.0,5715.0,11.0,8.0,2137.0,884.0,380.0,660.0,0.0,720.0,1106.0,275.0,2086.0,0.0,7.0,13.0,12.0,78.0,18.0,43.0,11.0,21.0,13.0,32.0,100.0,9783.0,6815.0,6841.0,9911.0,6254.0,4957.0,10030.0,8296.0,9502.0,6542.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,21,16,30,30,87,91,16,21,52,56,20929,14273,347,395,18867,25427,724178,636676,43695,44056,33257,37239,3897,4351,158,90,10,22,37746,41185
3,3.0,4.0,0.0,7.0,4.0,14.0,5.0,4.0,5.0,2.0,0.0,2.0,1303.0,447.0,568.0,1206.0,1049.0,462.0,296.0,535.0,774.0,1797.0,7.0,7.0,2.0,4.0,2.0,5.0,5.0,4.0,6.0,3.0,2.0,3.0,CLASSIC,MATCHED_GAME,11.21.403.3002,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,111.0,6.0,0.0,0.0,16.0,61.0,16.0,8.0,3.0,3.0,10.0,5.0,5.0,1.0,7.0,2.0,11.0,9.0,12.0,12.0,11.0,10.0,13.0,11.0,8.0,11.0,179.0,5616.0,9232.0,1164.0,849.0,3710.0,1117.0,12416.0,0.0,2476.0,113.0,11.0,35.0,138.0,122.0,3.0,157.0,42.0,12.0,137.0,6669.0,1106.0,1547.0,11695.0,5740.0,407.0,12145.0,423.0,2696.0,6787.0,0.0,138675.0,129210.0,293609.0,86924.0,114324.0,104231.0,109611.0,88276.0,75042.0,39939.0,1200307.0,8815.0,7183.0,11388.0,13334.0,7297.0,4670.0,13262.0,13312.0,3123.0,9643.0,7253.0,6112.0,10607.0,8521.0,7699.0,6136.0,9030.0,7350.0,5124.0,8255.0,5.0,10.0,1966.0,460.0,608.0,474.0,708.0,552.0,0.0,472.0,426.0,380.0,3.0,41.0,10.0,4.0,5.0,60.0,27.0,18.0,8.0,14.0,100.0,8226.0,5346.0,8976.0,9856.0,7467.0,6829.0,11173.0,7589.0,4718.0,7598.0,1.0,4.0,4.0,2.0,0.0,1.0,0.0,20,25,30,30,117,101,24,20,56,52,15134,21625,411,359,26058,23157,737763,442078,45504,46523,40216,35871,4308,1738,82,108,28,20,41354,36424
4,3.0,4.0,6.0,6.0,6.0,5.0,3.0,1.0,2.0,0.0,1.0,0.0,1760.0,942.0,1002.0,477.0,1819.0,808.0,432.0,61.0,294.0,367.0,2.0,4.0,3.0,3.0,0.0,0.0,3.0,1.0,2.0,4.0,3.0,0.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,116.0,10.0,7.0,0.0,0.0,124.0,0.0,2.0,6.0,0.0,2.0,1.0,1.0,4.0,4.0,3.0,13.0,8.0,11.0,11.0,11.0,9.0,11.0,12.0,13.0,10.0,3514.0,2125.0,0.0,4366.0,6437.0,3561.0,2579.0,918.0,59.0,2667.0,189.0,4.0,5.0,98.0,191.0,6.0,89.0,26.0,182.0,99.0,5889.0,547.0,4450.0,239.0,645.0,1126.0,1132.0,4828.0,7860.0,266.0,1.0,42784.0,22629.0,225675.0,55112.0,197442.0,96290.0,317340.0,139006.0,0.0,9913.0,1200437.0,9404.0,2672.0,4677.0,4605.0,7082.0,5334.0,3712.0,6360.0,8739.0,3385.0,9260.0,4141.0,6927.0,5892.0,9453.0,6368.0,5482.0,8176.0,8169.0,5392.0,2.0,5.0,0.0,0.0,227.0,0.0,0.0,646.0,0.0,613.0,820.0,452.0,5.0,14.0,8.0,12.0,8.0,17.0,9.0,3.0,7.0,8.0,100.0,10620.0,4289.0,8030.0,7840.0,8230.0,6003.0,7340.0,8866.0,10265.0,6457.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8,14,30,0,141,126,14,8,55,54,17878,8348,489,400,12349,14633,617303,488888,31102,24868,37900,31360,873,1885,50,41,26,10,40723,37217
5,5.0,7.0,4.0,3.0,10.0,9.0,0.0,5.0,5.0,3.0,1.0,0.0,722.0,287.0,1286.0,78.0,637.0,670.0,133.0,511.0,208.0,1316.0,4.0,7.0,4.0,3.0,5.0,3.0,7.0,6.0,6.0,4.0,4.0,0.0,CLASSIC,MATCHED_GAME,11.21.403.3002,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,87.0,8.0,0.0,1.0,8.0,107.0,0.0,4.0,4.0,2.0,13.0,2.0,5.0,6.0,6.0,2.0,12.0,9.0,12.0,13.0,11.0,12.0,13.0,12.0,11.0,11.0,0.0,3865.0,1316.0,6877.0,1706.0,776.0,3721.0,277.0,4408.0,1145.0,107.0,7.0,21.0,137.0,131.0,49.0,100.0,30.0,92.0,137.0,11568.0,931.0,11496.0,41.0,9703.0,17613.0,9359.0,10903.0,1202.0,8171.0,0.0,105868.0,105294.0,180270.0,116892.0,125990.0,36034.0,104700.0,175506.0,103591.0,154058.0,1200271.0,11568.0,4797.0,13259.0,6919.0,11432.0,18390.0,13891.0,11491.0,6300.0,9316.0,7947.0,5372.0,10751.0,8218.0,8802.0,9460.0,9366.0,9186.0,5998.0,7536.0,4.0,9.0,0.0,0.0,446.0,0.0,22.0,0.0,810.0,310.0,690.0,0.0,6.0,29.0,7.0,13.0,11.0,9.0,7.0,3.0,10.0,55.0,100.0,9807.0,5768.0,9671.0,9983.0,8387.0,8792.0,10295.0,9763.0,8026.0,8318.0,0.0,6.0,3.0,2.0,0.0,0.0,0.0,19,30,30,30,104,119,30,19,60,56,10675,13416,445,366,50421,30566,565054,643149,61568,45795,45178,37458,468,1810,46,104,31,20,46640,42170
6,4.0,12.0,5.0,3.0,7.0,6.0,7.0,7.0,6.0,6.0,1.0,1.0,321.0,317.0,476.0,655.0,540.0,565.0,1492.0,386.0,2335.0,26.0,4.0,2.0,2.0,6.0,3.0,4.0,4.0,3.0,2.0,5.0,3.0,2.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,97.0,0.0,0.0,0.0,5.0,102.0,22.0,0.0,2.0,1.0,4.0,6.0,3.0,1.0,6.0,5.0,11.0,10.0,11.0,12.0,12.0,9.0,12.0,11.0,13.0,11.0,0.0,3353.0,6238.0,10135.0,330.0,2690.0,367.0,10756.0,1597.0,1472.0,110.0,31.0,29.0,139.0,161.0,37.0,136.0,6.0,164.0,128.0,7644.0,1115.0,1256.0,848.0,12520.0,1521.0,6688.0,279.0,8769.0,7387.0,1.0,64969.0,99076.0,422898.0,5880.0,12289.0,79902.0,43140.0,180833.0,53577.0,90769.0,1200266.0,7644.0,4468.0,8308.0,11765.0,12850.0,4376.0,8950.0,11411.0,11031.0,8860.0,6771.0,5117.0,7316.0,7755.0,8515.0,5110.0,8842.0,8261.0,10225.0,7051.0,9.0,6.0,0.0,0.0,813.0,781.0,0.0,164.0,1894.0,376.0,663.0,0.0,9.0,50.0,2.0,4.0,16.0,41.0,10.0,15.0,13.0,57.0,200.0,7433.0,6201.0,8355.0,8858.0,8955.0,5586.0,9910.0,7895.0,11204.0,7508.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,19,16,30,30,97,129,16,19,55,57,19393,17545,476,465,23789,24238,585938,467395,44943,44720,35467,39496,1758,2933,72,145,25,38,39187,42718
7,0.0,13.0,2.0,0.0,3.0,4.0,3.0,6.0,3.0,9.0,0.0,1.0,1096.0,983.0,1637.0,192.0,85.0,1160.0,55.0,550.0,202.0,1459.0,5.0,1.0,5.0,9.0,7.0,5.0,2.0,0.0,6.0,5.0,0.0,3.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,16.0,10.0,0.0,8.0,127.0,4.0,12.0,4.0,2.0,4.0,4.0,2.0,0.0,13.0,1.0,12.0,10.0,10.0,12.0,11.0,9.0,13.0,14.0,12.0,11.0,9074.0,2696.0,5587.0,1006.0,0.0,2918.0,11384.0,0.0,6971.0,323.0,143.0,28.0,13.0,148.0,122.0,35.0,142.0,19.0,126.0,103.0,1005.0,1551.0,355.0,7052.0,6958.0,875.0,546.0,12692.0,569.0,5335.0,2.0,58194.0,30722.0,74566.0,102493.0,261703.0,59041.0,281153.0,197415.0,191359.0,1651.0,1200339.0,10080.0,4809.0,6240.0,8568.0,8620.0,4174.0,12787.0,13126.0,7541.0,5658.0,7791.0,6493.0,7432.0,7642.0,6660.0,4420.0,10655.0,11314.0,7062.0,8224.0,7.0,0.0,0.0,562.0,298.0,510.0,1661.0,380.0,856.0,433.0,0.0,0.0,7.0,16.0,6.0,9.0,5.0,13.0,12.0,4.0,8.0,7.0,200.0,9788.0,6716.0,6801.0,9062.0,7689.0,5315.0,10159.0,12092.0,9277.0,7867.0,1.0,13.0,2.0,0.0,0.0,0.0,0.0,31,14,30,30,95,151,14,31,54,60,18585,21374,461,418,16245,20693,555997,702300,37682,43921,33945,43748,2849,1851,40,47,9,34,38655,46111
8,1.0,4.0,5.0,7.0,6.0,7.0,1.0,2.0,0.0,0.0,1.0,1.0,719.0,480.0,700.0,1143.0,2166.0,1636.0,619.0,438.0,492.0,573.0,5.0,3.0,2.0,1.0,1.0,4.0,2.0,6.0,4.0,5.0,4.0,1.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,92.0,12.0,8.0,4.0,4.0,110.0,0.0,16.0,1.0,0.0,5.0,4.0,8.0,2.0,2.0,4.0,12.0,9.0,12.0,13.0,12.0,10.0,14.0,12.0,12.0,11.0,167.0,2364.0,879.0,9336.0,464.0,5253.0,5950.0,174.0,517.0,682.0,164.0,12.0,16.0,148.0,169.0,10.0,168.0,29.0,144.0,146.0,4082.0,407.0,5005.0,845.0,12420.0,773.0,1792.0,6101.0,5367.0,3706.0,1.0,131814.0,90219.0,378455.0,75124.0,61216.0,196711.0,36209.0,139545.0,87900.0,759.0,1200347.0,4345.0,3151.0,6059.0,10324.0,13253.0,6540.0,11140.0,6539.0,6363.0,4480.0,7429.0,4480.0,7660.0,8728.0,10866.0,6161.0,10599.0,7688.0,7532.0,6923.0,8.0,9.0,96.0,378.0,174.0,142.0,368.0,514.0,3397.0,263.0,478.0,91.0,13.0,42.0,20.0,17.0,10.0,37.0,8.0,2.0,8.0,15.0,100.0,9427.0,5303.0,8604.0,10755.0,9756.0,6318.0,11472.0,8871.0,9265.0,8231.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,13,20,30,30,128,130,20,13,59,58,16099,9687,507,499,23125,17373,843320,354632,40521,31673,40844,37222,1294,4607,97,75,26,7,44860,43142
9,3.0,4.0,6.0,3.0,3.0,9.0,3.0,6.0,5.0,5.0,0.0,1.0,202.0,745.0,904.0,297.0,434.0,138.0,382.0,1538.0,2000.0,167.0,0.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,4.0,1.0,CLASSIC,CUSTOM_GAME,11.22.406.3587,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,98.0,4.0,0.0,4.0,0.0,95.0,0.0,4.0,1.0,0.0,2.0,5.0,3.0,0.0,4.0,3.0,11.0,8.0,10.0,12.0,11.0,8.0,11.0,10.0,12.0,10.0,456.0,1416.0,862.0,7642.0,1217.0,2218.0,1240.0,542.0,9134.0,2292.0,123.0,28.0,18.0,117.0,170.0,24.0,106.0,21.0,133.0,132.0,2587.0,718.0,4980.0,410.0,9563.0,448.0,5751.0,6680.0,366.0,4407.0,1.0,112580.0,34846.0,286413.0,229734.0,792.0,104381.0,285025.0,381528.0,133523.0,795.0,1200422.0,3442.0,2665.0,6215.0,8053.0,10780.0,2667.0,6992.0,7583.0,9675.0,6699.0,6657.0,4470.0,6604.0,7197.0,8459.0,4913.0,5917.0,7463.0,7785.0,7242.0,2.0,9.0,398.0,530.0,372.0,0.0,0.0,0.0,0.0,360.0,174.0,0.0,14.0,50.0,3.0,10.0,12.0,47.0,12.0,7.0,9.0,15.0,100.0,7928.0,4837.0,7205.0,8592.0,8443.0,4912.0,7895.0,6937.0,8584.0,7285.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,11,11,30,30,106,99,11,11,52,51,12395,14624,452,420,17988,17922,733900,835717,31157,33614,33830,32877,770,1064,86,93,24,23,37080,35538
