airdragon_team100,assistsplayer_1,assistsplayer_10,assistsplayer_2,assistsplayer_3,assistsplayer_4,assistsplayer_5,assistsplayer_6,assistsplayer_7,assistsplayer_8,assistsplayer_9,baron_team100,chemtechdragon_team100,currentGold_1,currentGold_10,currentGold_2,currentGold_3,currentGold_4,currentGold_5,currentGold_6,currentGold_7,currentGold_8,currentGold_9,deathsplayer_1,deathsplayer_10,deathsplayer_2,deathsplayer_3,deathsplayer_4,deathsplayer_5,deathsplayer_6,deathsplayer_7,deathsplayer_8,deathsplayer_9,dragon_team100,dragon_team200,earthdragon_team100,earthdragon_team200,firedragon_team100,firedragon_team200,gameDuration,gameEndTimestamp,gameId,gameMode,gameName,gameStartTimestamp,gameType,gameVersion,goldPerSecond_1,goldPerSecond_10,goldPerSecond_2,goldPerSecond_3,goldPerSecond_4,goldPerSecond_5,goldPerSecond_6,goldPerSecond_7,goldPerSecond_8,goldPerSecond_9,hextechdragon_team200,inhibs_lost_team200,jungleMinionsKilled_1,jungleMinionsKilled_10,jungleMinionsKilled_2,jungleMinionsKilled_3,jungleMinionsKilled_4,jungleMinionsKilled_5,jungleMinionsKilled_6,jungleMinionsKilled_7,jungleMinionsKilled_8,jungleMinionsKilled_9,killsplayer_0,killsplayer_1,killsplayer_10,killsplayer_2,killsplayer_3,killsplayer_4,killsplayer_5,killsplayer_6,killsplayer_7,killsplayer_8,killsplayer_9,level_1,level_10,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,magicDamageDoneToChampions_1,magicDamageDoneToChampions_10,magicDamageDoneToChampions_2,magicDamageDoneToChampions_3,magicDamageDoneToChampions_4,magicDamageDoneToChampions_5,magicDamageDoneToChampions_6,magicDamageDoneToChampions_7,magicDamageDoneToChampions_8,magicDamageDoneToChampions_9,matchId,minionsKilled_1,minionsKilled_10,minionsKilled_2,minionsKilled_3,minionsKilled_4,minionsKilled_5,minionsKilled_6,minionsKilled_7,minionsKilled_8,minionsKilled_9,physicalDamageDoneToChampions_1,physicalDamageDoneToChampions_10,physicalDamageDoneToChampions_2,physicalDamageDoneToChampions_3,physicalDamageDoneToChampions_4,physicalDamageDoneToChampions_5,physicalDamageDoneToChampions_6,physicalDamageDoneToChampions_7,physicalDamageDoneToChampions_8,physicalDamageDoneToChampions_9,queueId,riftherald_team100,riftherald_team200,riftherald_team300,timeEnemySpentControlled_1,timeEnemySpentControlled_10,timeEnemySpentControlled_2,timeEnemySpentControlled_3,timeEnemySpentControlled_4,timeEnemySpentControlled_5,timeEnemySpentControlled_6,timeEnemySpentControlled_7,timeEnemySpentControlled_8,timeEnemySpentControlled_9,time_cutoff,timestamp,totalDamageDoneToChampions_1,totalDamageDoneToChampions_10,totalDamageDoneToChampions_2,totalDamageDoneToChampions_3,totalDamageDoneToChampions_4,totalDamageDoneToChampions_5,totalDamageDoneToChampions_6,totalDamageDoneToChampions_7,totalDamageDoneToChampions_8,totalDamageDoneToChampions_9,totalGold_1,totalGold_10,totalGold_2,totalGold_3,totalGold_4,totalGold_5,totalGold_6,totalGold_7,totalGold_8,totalGold_9,towers_lost_team100,towers_lost_team200,trueDamageDoneToChampions_1,trueDamageDoneToChampions_10,trueDamageDoneToChampions_2,trueDamageDoneToChampions_3,trueDamageDoneToChampions_4,trueDamageDoneToChampions_5,trueDamageDoneToChampions_6,trueDamageDoneToChampions_7,trueDamageDoneToChampions_8,trueDamageDoneToChampions_9,ward_player_0,ward_player_1,ward_player_10,ward_player_2,ward_player_3,ward_player_4,ward_player_5,ward_player_6,ward_player_7,ward_player_8,ward_player_9,waterdragon_team100,waterdragon_team200,winningTeam,xp_1,xp_10,xp_2,xp_3,xp_4,xp_5,xp_6,xp_7,xp_8,xp_9,hextechdragon_team100,airdragon_team200,chemtechdragon_team200
0.0,1.0,6.0,6.0,1.0,1.0,9.0,4.0,9.0,5.0,3.0,0.0,0.0,73.0,1312.0,230.0,571.0,14.0,179.0,319.0,1672.0,318.0,43.0,3.0,5.0,7.0,7.0,3.0,3.0,0.0,2.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1640,1637210056794,4107566693,CLASSIC,teambuilder-match-4107566693,1637208415785,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,75.0,4.0,4.0,0.0,0.0,79.0,8.0,0.0,0.0,0.0,2.0,0.0,3.0,9.0,1.0,2.0,5.0,7.0,7.0,10.0,8.0,9.0,10.0,9.0,8.0,11.0,10.0,11.0,9.0,4886.0,4096.0,1443.0,6541.0,97.0,1662.0,3645.0,407.0,10073.0,354.0,NA1_4107566693,90.0,12.0,2.0,92.0,100.0,18.0,101.0,9.0,132.0,101.0,662.0,723.0,1838.0,641.0,7078.0,972.0,744.0,7749.0,449.0,7251.0,420,0.0,1.0,0.0,59289.0,84498.0,233142.0,32756.0,251854.0,108932.0,392706.0,136941.0,213215.0,57024.0,15.0,900289.0,5548.0,5026.0,3584.0,7183.0,8116.0,2796.0,4753.0,8322.0,10523.0,7629.0,4208.0,4762.0,4625.0,5256.0,7954.0,4529.0,5994.0,7122.0,8518.0,7713.0,3.0,0.0,0.0,206.0,303.0,0.0,940.0,162.0,364.0,165.0,0.0,24.0,0.0,5.0,7.0,5.0,7.0,2.0,7.0,5.0,4.0,5.0,4.0,0.0,1.0,100.0,6377.0,4458.0,5372.0,6372.0,5656.0,4871.0,8066.0,7000.0,8187.0,5484.0,,,
0.0,0.0,8.0,2.0,0.0,1.0,1.0,2.0,3.0,0.0,3.0,0.0,0.0,7.0,549.0,519.0,403.0,304.0,342.0,62.0,1110.0,219.0,401.0,4.0,1.0,4.0,2.0,7.0,4.0,2.0,1.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2319,1637193865535,4107179574,CLASSIC,teambuilder-match-4107179574,1637191545906,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,80.0,0.0,6.0,0.0,0.0,76.0,0.0,5.0,0.0,2.0,5.0,0.0,7.0,0.0,0.0,2.0,2.0,3.0,9.0,11.0,9.0,9.0,11.0,7.0,6.0,10.0,9.0,10.0,10.0,0.0,266.0,34.0,8135.0,1123.0,2302.0,8054.0,2809.0,2341.0,1317.0,NA1_4107179574,101.0,6.0,12.0,99.0,78.0,4.0,81.0,9.0,124.0,118.0,7443.0,6651.0,1935.0,1200.0,3690.0,540.0,2129.0,688.0,5002.0,7832.0,400,0.0,,0.0,18896.0,22595.0,122027.0,127019.0,32675.0,102012.0,8293.0,251549.0,40616.0,64550.0,15.0,900322.0,7443.0,6918.0,2285.0,9630.0,4814.0,3229.0,10483.0,3753.0,7716.0,9169.0,5157.0,6349.0,4544.0,7963.0,4004.0,3067.0,5187.0,5035.0,5999.0,7801.0,1.0,0.0,0.0,0.0,314.0,293.0,0.0,386.0,300.0,256.0,373.0,20.0,0.0,4.0,12.0,1.0,4.0,4.0,12.0,4.0,1.0,5.0,5.0,0.0,,100.0,7397.0,5820.0,5765.0,7888.0,3725.0,3126.0,6998.0,5711.0,7024.0,6349.0,,,
1.0,2.0,6.0,3.0,4.0,4.0,8.0,1.0,3.0,3.0,1.0,0.0,0.0,-70.0,218.0,1365.0,1082.0,1830.0,691.0,350.0,443.0,20.0,1109.0,2.0,3.0,3.0,4.0,1.0,3.0,1.0,3.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1705,1637366060531,4109601154,CLASSIC,teambuilder-match-4109601154,1637364355109,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,86.0,0.0,0.0,0.0,0.0,71.0,0.0,4.0,0.0,2.0,1.0,6.0,1.0,7.0,3.0,1.0,4.0,6.0,1.0,9.0,7.0,10.0,9.0,10.0,8.0,11.0,9.0,9.0,9.0,929.0,1313.0,1191.0,601.0,10054.0,2837.0,483.0,404.0,9041.0,2597.0,NA1_4109601154,77.0,22.0,25.0,86.0,119.0,15.0,136.0,21.0,78.0,66.0,1631.0,989.0,5804.0,5763.0,1114.0,792.0,1810.0,5988.0,431.0,1396.0,420,0.0,1.0,0.0,57633.0,24703.0,109371.0,43138.0,130270.0,147584.0,14371.0,127396.0,167376.0,222318.0,15.0,900308.0,2560.0,2303.0,7785.0,6671.0,11168.0,3866.0,2294.0,7061.0,9472.0,4155.0,4780.0,3888.0,6881.0,5137.0,8570.0,5476.0,5300.0,5868.0,7135.0,4144.0,0.0,2.0,0.0,0.0,789.0,306.0,0.0,236.0,0.0,668.0,0.0,162.0,0.0,203.0,11.0,2.0,7.0,5.0,20.0,6.0,7.0,7.0,11.0,0.0,,100.0,5829.0,3849.0,6988.0,5993.0,7138.0,4616.0,7383.0,5955.0,5582.0,5455.0,,,
0.0,3.0,8.0,7.0,6.0,6.0,13.0,3.0,7.0,5.0,1.0,0.0,0.0,1534.0,416.0,87.0,1416.0,1217.0,182.0,1304.0,21.0,180.0,1045.0,4.0,4.0,4.0,4.0,2.0,6.0,3.0,6.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1555,1637364465174,4109587944,CLASSIC,teambuilder-match-4109587944,1637362910041,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,76.0,0.0,4.0,0.0,2.0,1.0,6.0,8.0,9.0,0.0,2.0,6.0,3.0,8.0,10.0,7.0,10.0,11.0,10.0,8.0,11.0,10.0,9.0,9.0,3826.0,2341.0,467.0,7410.0,441.0,3781.0,694.0,1056.0,3052.0,1316.0,NA1_4109587944,91.0,24.0,82.0,90.0,17.0,25.0,125.0,12.0,65.0,91.0,717.0,1665.0,11187.0,1556.0,10307.0,333.0,5782.0,8867.0,1269.0,9902.0,420,1.0,,0.0,46177.0,68065.0,35882.0,22238.0,419033.0,96099.0,53990.0,142530.0,49057.0,1652.0,15.0,900283.0,4861.0,4006.0,11655.0,9354.0,11662.0,4114.0,6476.0,10614.0,4871.0,11218.0,4934.0,4166.0,7212.0,8361.0,8776.0,4292.0,6804.0,6846.0,5210.0,7220.0,2.0,2.0,318.0,0.0,0.0,387.0,913.0,0.0,0.0,691.0,550.0,0.0,0.0,5.0,8.0,7.0,2.0,3.0,8.0,5.0,2.0,5.0,5.0,1.0,,100.0,6739.0,3687.0,6404.0,7443.0,7224.0,4798.0,7415.0,6895.0,5759.0,5420.0,1.0,,
0.0,3.0,3.0,2.0,5.0,2.0,9.0,2.0,1.0,1.0,2.0,0.0,0.0,253.0,158.0,1595.0,1131.0,188.0,382.0,303.0,618.0,1.0,1473.0,4.0,5.0,0.0,2.0,3.0,3.0,6.0,5.0,5.0,4.0,0.0,2.0,0.0,1.0,0.0,1.0,1811,1637362431191,4109553906,CLASSIC,teambuilder-match-4109553906,1637360619305,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,7.0,84.0,0.0,0.0,6.0,2.0,9.0,3.0,4.0,3.0,1.0,0.0,5.0,4.0,11.0,7.0,10.0,11.0,9.0,9.0,10.0,10.0,9.0,9.0,446.0,1622.0,721.0,5793.0,327.0,1410.0,517.0,700.0,0.0,1781.0,NA1_4109553906,100.0,20.0,24.0,115.0,96.0,22.0,84.0,103.0,5.0,114.0,10299.0,1105.0,6872.0,756.0,6763.0,2162.0,7388.0,1701.0,4773.0,4065.0,420,0.0,1.0,0.0,40094.0,132254.0,125650.0,102652.0,20349.0,51758.0,87059.0,329398.0,87150.0,257423.0,15.0,900271.0,11122.0,2938.0,7781.0,6551.0,7143.0,4087.0,8101.0,2402.0,5476.0,8006.0,6953.0,4993.0,7720.0,6071.0,5813.0,4627.0,4773.0,4598.0,6211.0,6799.0,1.0,1.0,376.0,210.0,187.0,1.0,52.0,515.0,196.0,0.0,703.0,2159.0,0.0,2.0,13.0,1.0,4.0,7.0,4.0,2.0,4.0,3.0,5.0,0.0,,100.0,8265.0,4028.0,7038.0,7635.0,5285.0,5256.0,6392.0,6931.0,5981.0,5944.0,,,
0.0,2.0,1.0,1.0,0.0,3.0,7.0,0.0,2.0,0.0,2.0,0.0,0.0,934.0,270.0,290.0,958.0,463.0,133.0,157.0,197.0,1089.0,1077.0,3.0,5.0,0.0,2.0,2.0,2.0,4.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2066,1637372340269,4109733668,CLASSIC,teambuilder-match-4109733668,1637370273505,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,3.0,3.0,1.0,3.0,2.0,10.0,7.0,11.0,11.0,9.0,8.0,11.0,9.0,11.0,9.0,352.0,1152.0,1211.0,6042.0,8931.0,2195.0,2039.0,236.0,2489.0,119.0,NA1_4109733668,68.0,9.0,16.0,121.0,90.0,1.0,101.0,16.0,80.0,97.0,3432.0,699.0,2461.0,897.0,1975.0,1423.0,4906.0,2317.0,227.0,3869.0,400,1.0,,0.0,92466.0,86661.0,398618.0,135780.0,277320.0,104662.0,289212.0,370290.0,30657.0,8819.0,15.0,900274.0,4753.0,2171.0,3903.0,7220.0,11146.0,3619.0,6946.0,2766.0,3116.0,4433.0,4509.0,2695.0,5915.0,5078.0,6048.0,5032.0,5257.0,4772.0,5224.0,5177.0,0.0,1.0,968.0,320.0,231.0,280.0,240.0,0.0,0.0,212.0,400.0,444.0,0.0,5.0,5.0,3.0,134.0,3.0,4.0,3.0,5.0,6.0,5.0,0.0,1.0,100.0,6355.0,3215.0,7355.0,7405.0,5501.0,4834.0,7977.0,5421.0,7484.0,5400.0,,,
0.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,531.0,780.0,103.0,539.0,144.0,253.0,1213.0,153.0,1861.0,347.0,1.0,1.0,5.0,4.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2442,1637366737816,4109660553,CLASSIC,teambuilder-match-4109660553,1637364295257,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,100.0,0.0,4.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,6.0,5.0,10.0,8.0,9.0,10.0,8.0,8.0,11.0,10.0,12.0,9.0,853.0,2017.0,0.0,3735.0,177.0,4018.0,1904.0,188.0,14047.0,292.0,NA1_4109660553,113.0,24.0,1.0,76.0,100.0,11.0,111.0,10.0,111.0,105.0,1611.0,877.0,2866.0,455.0,2823.0,609.0,5207.0,607.0,1058.0,4713.0,400,0.0,,0.0,316806.0,42225.0,151553.0,46902.0,20422.0,173661.0,51686.0,328822.0,31708.0,240800.0,15.0,900291.0,2465.0,3098.0,2995.0,4434.0,3001.0,4993.0,7112.0,876.0,15665.0,5265.0,4646.0,3855.0,4518.0,4609.0,5094.0,4278.0,5373.0,5153.0,6991.0,6222.0,1.0,0.0,0.0,204.0,129.0,244.0,0.0,366.0,1.0,80.0,560.0,259.0,0.0,5.0,3.0,2.0,4.0,1.0,6.0,6.0,4.0,7.0,4.0,0.0,,100.0,6758.0,4891.0,5150.0,6552.0,4954.0,4806.0,7434.0,6377.0,8678.0,5754.0,,1.0,
0.0,1.0,4.0,0.0,3.0,2.0,5.0,1.0,2.0,5.0,4.0,0.0,0.0,446.0,1169.0,215.0,476.0,3018.0,84.0,407.0,373.0,24.0,1198.0,4.0,4.0,3.0,3.0,2.0,8.0,2.0,5.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1742,1637393313938,4110134274,CLASSIC,teambuilder-match-4110134274,1637391571197,MATCHED_GAME,11.23.409.111,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0,4.0,4.0,0.0,55.0,0.0,0.0,7.0,62.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,9.0,2.0,3.0,9.0,3.0,3.0,10.0,9.0,9.0,8.0,11.0,7.0,10.0,9.0,8.0,11.0,4602.0,53.0,4867.0,2002.0,400.0,2996.0,231.0,659.0,3137.0,7859.0,NA1_4110134274,115.0,66.0,65.0,5.0,126.0,5.0,114.0,9.0,31.0,118.0,1851.0,4208.0,770.0,1350.0,12887.0,1070.0,3191.0,10006.0,1283.0,668.0,440,1.0,,0.0,241907.0,33362.0,30576.0,358889.0,49281.0,110663.0,81389.0,55733.0,121448.0,85450.0,15.0,900233.0,6882.0,4261.0,6197.0,3675.0,14382.0,4066.0,3422.0,11033.0,5025.0,8943.0,5846.0,4744.0,4380.0,4576.0,9428.0,5384.0,6282.0,7173.0,4684.0,6268.0,1.0,2.0,428.0,0.0,560.0,322.0,1095.0,0.0,0.0,368.0,604.0,416.0,0.0,22.0,3.0,4.0,1.0,4.0,17.0,3.0,2.0,11.0,5.0,0.0,,200.0,7161.0,5280.0,5444.0,4602.0,7624.0,3812.0,7250.0,6081.0,4760.0,7561.0,,1.0,
0.0,2.0,1.0,3.0,3.0,3.0,6.0,0.0,0.0,2.0,4.0,0.0,1.0,251.0,761.0,559.0,432.0,496.0,44.0,644.0,327.0,2102.0,798.0,1.0,2.0,2.0,3.0,3.0,0.0,2.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1756,1637390537002,4110057124,CLASSIC,teambuilder-match-4110057124,1637388780647,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,88.0,0.0,1.0,0.0,3.0,0.0,0.0,72.0,0.0,3.0,1.0,2.0,2.0,2.0,0.0,2.0,5.0,1.0,0.0,10.0,8.0,9.0,10.0,9.0,7.0,10.0,11.0,9.0,9.0,3871.0,2506.0,424.0,3406.0,1004.0,1708.0,1718.0,3883.0,142.0,526.0,NA1_4110057124,93.0,3.0,7.0,93.0,104.0,5.0,118.0,120.0,123.0,7.0,858.0,561.0,1835.0,432.0,3166.0,614.0,2309.0,569.0,3149.0,3081.0,440,0.0,,0.0,96980.0,24519.0,170809.0,77574.0,18345.0,43744.0,110894.0,54020.0,18500.0,240254.0,15.0,900201.0,4902.0,3208.0,2703.0,3838.0,4268.0,2443.0,4520.0,5721.0,3292.0,4257.0,6401.0,3486.0,5199.0,5502.0,5721.0,3469.0,5594.0,6472.0,5302.0,4598.0,0.0,1.0,173.0,140.0,443.0,0.0,97.0,119.0,491.0,1267.0,0.0,649.0,1.0,4.0,9.0,2.0,6.0,5.0,5.0,6.0,15.0,4.0,2.0,0.0,,200.0,7099.0,4374.0,5539.0,6284.0,5688.0,3890.0,7060.0,7828.0,5348.0,5371.0,,,
0.0,5.0,4.0,2.0,2.0,4.0,8.0,1.0,4.0,2.0,5.0,0.0,0.0,268.0,368.0,1543.0,1453.0,1645.0,128.0,1361.0,129.0,849.0,481.0,3.0,4.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2113,1637380097615,4109874603,CLASSIC,teambuilder-match-4109874603,1637377984129,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,4.0,0.0,4.0,60.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,4.0,1.0,4.0,4.0,3.0,0.0,10.0,7.0,9.0,9.0,9.0,8.0,11.0,9.0,10.0,8.0,2176.0,0.0,3007.0,4072.0,206.0,4076.0,4452.0,598.0,4595.0,370.0,NA1_4109874603,75.0,5.0,10.0,101.0,128.0,7.0,118.0,7.0,107.0,86.0,2233.0,3223.0,244.0,985.0,9651.0,818.0,2207.0,5957.0,484.0,3378.0,440,0.0,,0.0,103459.0,22727.0,158878.0,380376.0,25339.0,100586.0,35768.0,323332.0,71023.0,270230.0,15.0,900320.0,4409.0,3338.0,3495.0,5343.0,10154.0,4895.0,6659.0,6632.0,5080.0,3748.0,4593.0,3743.0,5468.0,4863.0,7545.0,4453.0,6821.0,5604.0,5794.0,4481.0,1.0,1.0,0.0,114.0,243.0,286.0,296.0,0.0,0.0,76.0,0.0,0.0,1.0,56.0,8.0,2.0,5.0,1.0,10.0,6.0,3.0,5.0,4.0,1.0,,200.0,6782.0,3602.0,5929.0,6117.0,5860.0,4289.0,7432.0,5220.0,7227.0,4264.0,,,
