airdragon_team100,assistsplayer_1,assistsplayer_10,assistsplayer_2,assistsplayer_3,assistsplayer_4,assistsplayer_5,assistsplayer_6,assistsplayer_7,assistsplayer_8,assistsplayer_9,baron_team100,chemtechdragon_team100,currentGold_1,currentGold_10,currentGold_2,currentGold_3,currentGold_4,currentGold_5,currentGold_6,currentGold_7,currentGold_8,currentGold_9,deathsplayer_1,deathsplayer_10,deathsplayer_2,deathsplayer_3,deathsplayer_4,deathsplayer_5,deathsplayer_6,deathsplayer_7,deathsplayer_8,deathsplayer_9,dragon_team100,dragon_team200,earthdragon_team100,earthdragon_team200,firedragon_team100,firedragon_team200,gameDuration,gameEndTimestamp,gameId,gameMode,gameName,gameStartTimestamp,gameType,gameVersion,goldPerSecond_1,goldPerSecond_10,goldPerSecond_2,goldPerSecond_3,goldPerSecond_4,goldPerSecond_5,goldPerSecond_6,goldPerSecond_7,goldPerSecond_8,goldPerSecond_9,hextechdragon_team200,inhibs_lost_team200,jungleMinionsKilled_1,jungleMinionsKilled_10,jungleMinionsKilled_2,jungleMinionsKilled_3,jungleMinionsKilled_4,jungleMinionsKilled_5,jungleMinionsKilled_6,jungleMinionsKilled_7,jungleMinionsKilled_8,jungleMinionsKilled_9,killsplayer_0,killsplayer_1,killsplayer_10,killsplayer_2,killsplayer_3,killsplayer_4,killsplayer_5,killsplayer_6,killsplayer_7,killsplayer_8,killsplayer_9,level_1,level_10,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,magicDamageDoneToChampions_1,magicDamageDoneToChampions_10,magicDamageDoneToChampions_2,magicDamageDoneToChampions_3,magicDamageDoneToChampions_4,magicDamageDoneToChampions_5,magicDamageDoneToChampions_6,magicDamageDoneToChampions_7,magicDamageDoneToChampions_8,magicDamageDoneToChampions_9,matchId,minionsKilled_1,minionsKilled_10,minionsKilled_2,minionsKilled_3,minionsKilled_4,minionsKilled_5,minionsKilled_6,minionsKilled_7,minionsKilled_8,minionsKilled_9,physicalDamageDoneToChampions_1,physicalDamageDoneToChampions_10,physicalDamageDoneToChampions_2,physicalDamageDoneToChampions_3,physicalDamageDoneToChampions_4,physicalDamageDoneToChampions_5,physicalDamageDoneToChampions_6,physicalDamageDoneToChampions_7,physicalDamageDoneToChampions_8,physicalDamageDoneToChampions_9,queueId,riftherald_team100,riftherald_team300,timeEnemySpentControlled_1,timeEnemySpentControlled_10,timeEnemySpentControlled_2,timeEnemySpentControlled_3,timeEnemySpentControlled_4,timeEnemySpentControlled_5,timeEnemySpentControlled_6,timeEnemySpentControlled_7,timeEnemySpentControlled_8,timeEnemySpentControlled_9,time_cutoff,timestamp,totalDamageDoneToChampions_1,totalDamageDoneToChampions_10,totalDamageDoneToChampions_2,totalDamageDoneToChampions_3,totalDamageDoneToChampions_4,totalDamageDoneToChampions_5,totalDamageDoneToChampions_6,totalDamageDoneToChampions_7,totalDamageDoneToChampions_8,totalDamageDoneToChampions_9,totalGold_1,totalGold_10,totalGold_2,totalGold_3,totalGold_4,totalGold_5,totalGold_6,totalGold_7,totalGold_8,totalGold_9,towers_lost_team100,towers_lost_team200,trueDamageDoneToChampions_1,trueDamageDoneToChampions_10,trueDamageDoneToChampions_2,trueDamageDoneToChampions_3,trueDamageDoneToChampions_4,trueDamageDoneToChampions_5,trueDamageDoneToChampions_6,trueDamageDoneToChampions_7,trueDamageDoneToChampions_8,trueDamageDoneToChampions_9,ward_player_0,ward_player_1,ward_player_10,ward_player_2,ward_player_3,ward_player_4,ward_player_5,ward_player_6,ward_player_7,ward_player_8,ward_player_9,waterdragon_team100,waterdragon_team200,winningTeam,xp_1,xp_10,xp_2,xp_3,xp_4,xp_5,xp_6,xp_7,xp_8,xp_9,hextechdragon_team100,riftherald_team200,airdragon_team200,chemtechdragon_team200
0.0,0.0,2.0,3.0,0.0,1.0,5.0,2.0,7.0,0.0,2.0,0.0,0.0,224.0,530.0,712.0,780.0,337.0,126.0,1993.0,1840.0,384.0,723.0,1.0,3.0,4.0,4.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1640,1637210056794,4107566693,CLASSIC,teambuilder-match-4107566693,1637208415785,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,60.0,4.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,8.0,6.0,7.0,8.0,7.0,6.0,9.0,8.0,9.0,7.0,4052.0,1584.0,1219.0,3892.0,58.0,909.0,2812.0,330.0,4917.0,154.0,NA1_4107566693,69.0,5.0,1.0,73.0,75.0,14.0,69.0,8.0,99.0,81.0,662.0,448.0,1639.0,476.0,2654.0,691.0,632.0,4264.0,397.0,2655.0,420,0.0,0.0,47598.0,53614.0,211269.0,25442.0,189882.0,75956.0,129284.0,122435.0,174080.0,47276.0,11.0,660219.0,4715.0,2068.0,3087.0,4369.0,3315.0,1763.0,3708.0,4733.0,5314.0,2834.0,2999.0,3130.0,3437.0,3915.0,4537.0,3226.0,4118.0,4965.0,5134.0,4148.0,0.0,0.0,0.0,36.0,228.0,0.0,602.0,162.0,264.0,139.0,0.0,24.0,0.0,4.0,2.0,4.0,4.0,0.0,3.0,4.0,3.0,4.0,3.0,0.0,1.0,100.0,4858.0,2729.0,3638.0,4816.0,3647.0,3087.0,5643.0,4522.0,5244.0,3555.0,,,,
0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,1716.0,1611.0,1391.0,781.0,763.0,1.0,39.0,1775.0,878.0,2431.0,1.0,0.0,3.0,1.0,6.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2319,1637193865535,4107179574,CLASSIC,teambuilder-match-4107179574,1637191545906,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,56.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,7.0,9.0,7.0,7.0,8.0,6.0,5.0,8.0,8.0,9.0,7.0,0.0,155.0,34.0,3421.0,584.0,1948.0,5778.0,1615.0,1190.0,936.0,NA1_4107179574,79.0,3.0,3.0,77.0,60.0,2.0,48.0,9.0,89.0,92.0,4484.0,4937.0,870.0,750.0,2831.0,506.0,1588.0,333.0,3488.0,4707.0,400,0.0,0.0,15294.0,21076.0,122027.0,80925.0,14075.0,95870.0,4923.0,208006.0,32509.0,38853.0,11.0,660237.0,4484.0,5092.0,1063.0,4305.0,3416.0,2685.0,7667.0,2096.0,4918.0,5643.0,4166.0,4661.0,3041.0,3921.0,2913.0,2326.0,3224.0,3800.0,4238.0,5531.0,0.0,0.0,0.0,0.0,157.0,133.0,0.0,230.0,300.0,148.0,240.0,0.0,0.0,3.0,5.0,1.0,4.0,2.0,5.0,3.0,1.0,3.0,3.0,0.0,,100.0,5769.0,3939.0,3364.0,5001.0,2463.0,2309.0,4117.0,4186.0,5198.0,3999.0,,,,
1.0,1.0,3.0,3.0,1.0,2.0,6.0,0.0,1.0,3.0,1.0,0.0,0.0,57.0,547.0,570.0,429.0,31.0,244.0,445.0,520.0,444.0,972.0,1.0,2.0,2.0,3.0,0.0,2.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1705,1637366060531,4109601154,CLASSIC,teambuilder-match-4109601154,1637364355109,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,66.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,5.0,1.0,0.0,4.0,3.0,0.0,7.0,5.0,8.0,7.0,7.0,6.0,9.0,8.0,8.0,6.0,381.0,409.0,802.0,442.0,3971.0,1509.0,139.0,389.0,4351.0,1385.0,NA1_4109601154,56.0,15.0,5.0,55.0,87.0,8.0,106.0,17.0,65.0,26.0,595.0,649.0,2803.0,3829.0,809.0,702.0,408.0,3057.0,327.0,1038.0,420,0.0,0.0,46570.0,13176.0,101247.0,29164.0,84813.0,107186.0,9182.0,117533.0,120830.0,12532.0,11.0,660233.0,977.0,1059.0,3999.0,4492.0,4780.0,2312.0,548.0,3842.0,4678.0,2423.0,3357.0,2832.0,4285.0,3584.0,6081.0,3779.0,3795.0,4645.0,4274.0,2372.0,0.0,1.0,0.0,0.0,393.0,220.0,0.0,100.0,0.0,396.0,0.0,0.0,0.0,129.0,5.0,2.0,5.0,2.0,10.0,2.0,5.0,7.0,2.0,0.0,,100.0,3992.0,2273.0,4193.0,3687.0,4036.0,2758.0,5403.0,4399.0,4323.0,2476.0,,,,
0.0,1.0,5.0,3.0,4.0,5.0,8.0,2.0,5.0,2.0,0.0,0.0,0.0,384.0,672.0,1094.0,325.0,1765.0,735.0,325.0,656.0,199.0,303.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1555,1637364465174,4109587944,CLASSIC,teambuilder-match-4109587944,1637362910041,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,60.0,0.0,0.0,0.0,1.0,1.0,4.0,5.0,6.0,0.0,1.0,6.0,2.0,6.0,8.0,6.0,8.0,8.0,8.0,7.0,8.0,9.0,7.0,7.0,1475.0,1348.0,161.0,4419.0,269.0,2272.0,296.0,845.0,1921.0,832.0,NA1_4109587944,63.0,19.0,68.0,60.0,9.0,22.0,82.0,9.0,39.0,66.0,294.0,1274.0,6104.0,1355.0,6703.0,230.0,3210.0,6482.0,997.0,5290.0,420,1.0,0.0,30984.0,41533.0,19367.0,15365.0,313032.0,67332.0,30433.0,125981.0,19816.0,1023.0,11.0,660213.0,1937.0,2623.0,6265.0,6014.0,7448.0,2503.0,3506.0,7694.0,3259.0,6122.0,3319.0,2897.0,5244.0,5110.0,5775.0,3045.0,4275.0,5566.0,3269.0,4803.0,0.0,0.0,168.0,0.0,0.0,239.0,475.0,0.0,0.0,366.0,340.0,0.0,0.0,3.0,3.0,6.0,2.0,2.0,5.0,3.0,2.0,3.0,4.0,0.0,,100.0,4806.0,2438.0,4439.0,4631.0,4687.0,3251.0,4917.0,5333.0,3924.0,3821.0,1.0,,,
0.0,1.0,2.0,2.0,3.0,1.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,644.0,1202.0,2632.0,362.0,455.0,127.0,377.0,658.0,442.0,1674.0,3.0,4.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1811,1637362431191,4109553906,CLASSIC,teambuilder-match-4109553906,1637360619305,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,6.0,64.0,0.0,0.0,4.0,1.0,5.0,2.0,2.0,3.0,1.0,0.0,3.0,3.0,8.0,5.0,8.0,9.0,7.0,7.0,8.0,8.0,8.0,8.0,137.0,824.0,388.0,1958.0,173.0,932.0,0.0,611.0,0.0,530.0,NA1_4109553906,68.0,14.0,4.0,88.0,68.0,16.0,74.0,74.0,5.0,83.0,6644.0,761.0,2982.0,756.0,3144.0,1540.0,3912.0,1701.0,2592.0,2432.0,420,0.0,0.0,29791.0,68478.0,111975.0,46442.0,8520.0,32140.0,72429.0,257449.0,76939.0,183331.0,11.0,660202.0,7111.0,1693.0,3494.0,2716.0,3318.0,2777.0,4108.0,2313.0,3174.0,4309.0,4419.0,3377.0,4882.0,4502.0,3805.0,3587.0,4102.0,3388.0,4627.0,4909.0,1.0,0.0,330.0,108.0,123.0,1.0,0.0,305.0,196.0,0.0,582.0,1346.0,0.0,2.0,7.0,1.0,3.0,6.0,4.0,2.0,3.0,3.0,3.0,0.0,,100.0,4948.0,2331.0,4100.0,5791.0,3722.0,3593.0,4899.0,5002.0,4075.0,4234.0,,1.0,,
0.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,134.0,379.0,2570.0,871.0,819.0,1069.0,672.0,957.0,1199.0,43.0,2.0,3.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2066,1637372340269,4109733668,CLASSIC,teambuilder-match-4109733668,1637370273505,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,0.0,8.0,5.0,8.0,9.0,7.0,7.0,9.0,7.0,9.0,7.0,208.0,596.0,316.0,4074.0,3829.0,1426.0,1397.0,183.0,1942.0,0.0,NA1_4109733668,50.0,8.0,9.0,77.0,66.0,0.0,69.0,13.0,51.0,68.0,1971.0,541.0,1060.0,897.0,1437.0,1253.0,3553.0,1537.0,227.0,1939.0,400,1.0,0.0,67495.0,58569.0,254860.0,95061.0,178822.0,72941.0,210203.0,303735.0,21174.0,5615.0,11.0,660217.0,2815.0,1322.0,1410.0,5251.0,5423.0,2680.0,4950.0,1848.0,2340.0,2247.0,2909.0,2004.0,3945.0,3506.0,4069.0,3769.0,3747.0,3407.0,3414.0,3043.0,0.0,0.0,635.0,184.0,33.0,280.0,156.0,0.0,0.0,128.0,170.0,307.0,0.0,3.0,4.0,3.0,92.0,2.0,3.0,2.0,3.0,4.0,3.0,0.0,1.0,100.0,4680.0,1968.0,4485.0,5112.0,3719.0,3484.0,5485.0,3544.0,5506.0,3307.0,,,,
0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,828.0,664.0,733.0,695.0,433.0,208.0,101.0,133.0,117.0,469.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2442,1637366737816,4109660553,CLASSIC,teambuilder-match-4109660553,1637364295257,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,8.0,6.0,7.0,9.0,7.0,7.0,9.0,8.0,9.0,7.0,612.0,1087.0,0.0,1704.0,84.0,2232.0,818.0,188.0,6270.0,269.0,NA1_4109660553,86.0,17.0,1.0,64.0,76.0,5.0,84.0,6.0,77.0,82.0,1611.0,522.0,1967.0,346.0,2170.0,405.0,2797.0,607.0,949.0,3030.0,400,0.0,0.0,233314.0,29006.0,118361.0,29659.0,10932.0,92955.0,37122.0,262173.0,8623.0,183674.0,11.0,660219.0,2224.0,1729.0,2043.0,2202.0,2254.0,2877.0,3616.0,876.0,7629.0,3461.0,3403.0,2564.0,3298.0,3580.0,3883.0,2783.0,3351.0,3833.0,4172.0,4094.0,0.0,0.0,0.0,120.0,76.0,152.0,0.0,240.0,0.0,80.0,410.0,162.0,0.0,3.0,1.0,2.0,1.0,1.0,5.0,4.0,3.0,5.0,4.0,0.0,,100.0,5002.0,3043.0,3791.0,5298.0,3446.0,3355.0,5407.0,4299.0,5454.0,3961.0,,,,
0.0,1.0,4.0,0.0,1.0,2.0,3.0,1.0,2.0,4.0,2.0,0.0,0.0,306.0,243.0,2019.0,836.0,332.0,582.0,2000.0,178.0,841.0,276.0,3.0,3.0,1.0,1.0,2.0,6.0,2.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1742,1637393313938,4110134274,CLASSIC,teambuilder-match-4110134274,1637391571197,MATCHED_GAME,11.23.409.111,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,3.0,44.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,7.0,2.0,3.0,5.0,2.0,2.0,9.0,7.0,8.0,7.0,9.0,5.0,9.0,7.0,6.0,8.0,3023.0,53.0,1686.0,1104.0,241.0,2248.0,186.0,374.0,1906.0,3562.0,NA1_4110134274,86.0,44.0,56.0,4.0,84.0,4.0,80.0,6.0,22.0,72.0,1326.0,2946.0,354.0,833.0,9663.0,904.0,2422.0,5293.0,1127.0,636.0,440,1.0,0.0,91230.0,25331.0,27038.0,296971.0,20195.0,73838.0,66847.0,37781.0,81388.0,52851.0,11.0,660195.0,4689.0,2999.0,2370.0,2113.0,10381.0,3153.0,2608.0,5727.0,3508.0,4405.0,4341.0,3218.0,3344.0,3536.0,6382.0,4107.0,4550.0,4978.0,3341.0,3851.0,0.0,0.0,340.0,0.0,330.0,174.0,476.0,0.0,0.0,60.0,474.0,206.0,0.0,13.0,2.0,2.0,1.0,3.0,13.0,2.0,1.0,5.0,4.0,0.0,,200.0,5273.0,3928.0,4382.0,3380.0,5591.0,2222.0,5050.0,3752.0,3051.0,4594.0,,,,
0.0,1.0,0.0,3.0,1.0,2.0,4.0,0.0,0.0,1.0,2.0,0.0,1.0,1392.0,64.0,337.0,176.0,281.0,987.0,899.0,516.0,262.0,1531.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1756,1637390537002,4110057124,CLASSIC,teambuilder-match-4110057124,1637388780647,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,1.0,0.0,0.0,0.0,0.0,60.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,3.0,0.0,0.0,9.0,6.0,7.0,8.0,7.0,6.0,8.0,9.0,7.0,8.0,3557.0,2282.0,172.0,1840.0,354.0,966.0,1230.0,1970.0,87.0,169.0,NA1_4110057124,63.0,1.0,2.0,73.0,75.0,5.0,86.0,86.0,86.0,5.0,858.0,561.0,940.0,335.0,1583.0,395.0,1714.0,515.0,1744.0,1437.0,440,0.0,0.0,63259.0,23594.0,133176.0,61913.0,12762.0,29340.0,67734.0,30562.0,12221.0,177962.0,11.0,660119.0,4589.0,2984.0,1487.0,2175.0,1937.0,1435.0,3437.0,3224.0,1832.0,2096.0,4092.0,2789.0,3362.0,4236.0,4281.0,2547.0,3924.0,4251.0,3462.0,3481.0,0.0,0.0,173.0,140.0,374.0,0.0,0.0,74.0,491.0,738.0,0.0,489.0,1.0,3.0,6.0,2.0,4.0,3.0,3.0,4.0,10.0,2.0,2.0,0.0,,200.0,5185.0,2850.0,3458.0,4916.0,3611.0,2997.0,4911.0,5579.0,3396.0,4202.0,,,,
0.0,1.0,3.0,0.0,0.0,3.0,3.0,1.0,3.0,2.0,3.0,0.0,0.0,266.0,245.0,1765.0,171.0,725.0,331.0,832.0,204.0,10.0,289.0,3.0,2.0,0.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2113,1637380097615,4109874603,CLASSIC,teambuilder-match-4109874603,1637377984129,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,4.0,48.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,3.0,2.0,0.0,8.0,6.0,7.0,8.0,7.0,6.0,9.0,8.0,9.0,7.0,1117.0,0.0,813.0,1699.0,160.0,2485.0,2153.0,162.0,2377.0,222.0,NA1_4109874603,60.0,0.0,5.0,76.0,96.0,5.0,78.0,7.0,87.0,71.0,1351.0,2671.0,44.0,700.0,3967.0,521.0,1737.0,3355.0,302.0,1892.0,440,0.0,0.0,69607.0,15786.0,155342.0,316522.0,18824.0,64403.0,23617.0,275638.0,46438.0,214666.0,11.0,660233.0,2468.0,2743.0,964.0,2557.0,4127.0,3006.0,3890.0,3565.0,2680.0,2114.0,3191.0,2745.0,3790.0,3571.0,4000.0,2956.0,4992.0,4379.0,4160.0,3339.0,0.0,0.0,0.0,71.0,106.0,157.0,0.0,0.0,0.0,48.0,0.0,0.0,1.0,41.0,6.0,2.0,3.0,1.0,7.0,4.0,0.0,2.0,3.0,1.0,,200.0,4390.0,2554.0,3803.0,4445.0,3764.0,3081.0,5071.0,4166.0,5664.0,3433.0,,,,
