airdragon_team100,assistsplayer_1,assistsplayer_10,assistsplayer_2,assistsplayer_3,assistsplayer_4,assistsplayer_5,assistsplayer_6,assistsplayer_7,assistsplayer_8,assistsplayer_9,baron_team100,chemtechdragon_team100,currentGold_1,currentGold_10,currentGold_2,currentGold_3,currentGold_4,currentGold_5,currentGold_6,currentGold_7,currentGold_8,currentGold_9,deathsplayer_1,deathsplayer_10,deathsplayer_2,deathsplayer_3,deathsplayer_4,deathsplayer_5,deathsplayer_6,deathsplayer_7,deathsplayer_8,deathsplayer_9,dragon_team100,dragon_team200,earthdragon_team100,earthdragon_team200,firedragon_team100,firedragon_team200,gameDuration,gameEndTimestamp,gameId,gameMode,gameName,gameStartTimestamp,gameType,gameVersion,goldPerSecond_1,goldPerSecond_10,goldPerSecond_2,goldPerSecond_3,goldPerSecond_4,goldPerSecond_5,goldPerSecond_6,goldPerSecond_7,goldPerSecond_8,goldPerSecond_9,hextechdragon_team200,inhibs_lost_team200,jungleMinionsKilled_1,jungleMinionsKilled_10,jungleMinionsKilled_2,jungleMinionsKilled_3,jungleMinionsKilled_4,jungleMinionsKilled_5,jungleMinionsKilled_6,jungleMinionsKilled_7,jungleMinionsKilled_8,jungleMinionsKilled_9,killsplayer_0,killsplayer_1,killsplayer_10,killsplayer_2,killsplayer_3,killsplayer_4,killsplayer_5,killsplayer_6,killsplayer_7,killsplayer_8,killsplayer_9,level_1,level_10,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,magicDamageDoneToChampions_1,magicDamageDoneToChampions_10,magicDamageDoneToChampions_2,magicDamageDoneToChampions_3,magicDamageDoneToChampions_4,magicDamageDoneToChampions_5,magicDamageDoneToChampions_6,magicDamageDoneToChampions_7,magicDamageDoneToChampions_8,magicDamageDoneToChampions_9,matchId,minionsKilled_1,minionsKilled_10,minionsKilled_2,minionsKilled_3,minionsKilled_4,minionsKilled_5,minionsKilled_6,minionsKilled_7,minionsKilled_8,minionsKilled_9,physicalDamageDoneToChampions_1,physicalDamageDoneToChampions_10,physicalDamageDoneToChampions_2,physicalDamageDoneToChampions_3,physicalDamageDoneToChampions_4,physicalDamageDoneToChampions_5,physicalDamageDoneToChampions_6,physicalDamageDoneToChampions_7,physicalDamageDoneToChampions_8,physicalDamageDoneToChampions_9,queueId,riftherald_team100,riftherald_team300,timeEnemySpentControlled_1,timeEnemySpentControlled_10,timeEnemySpentControlled_2,timeEnemySpentControlled_3,timeEnemySpentControlled_4,timeEnemySpentControlled_5,timeEnemySpentControlled_6,timeEnemySpentControlled_7,timeEnemySpentControlled_8,timeEnemySpentControlled_9,time_cutoff,timestamp,totalDamageDoneToChampions_1,totalDamageDoneToChampions_10,totalDamageDoneToChampions_2,totalDamageDoneToChampions_3,totalDamageDoneToChampions_4,totalDamageDoneToChampions_5,totalDamageDoneToChampions_6,totalDamageDoneToChampions_7,totalDamageDoneToChampions_8,totalDamageDoneToChampions_9,totalGold_1,totalGold_10,totalGold_2,totalGold_3,totalGold_4,totalGold_5,totalGold_6,totalGold_7,totalGold_8,totalGold_9,towers_lost_team100,towers_lost_team200,trueDamageDoneToChampions_1,trueDamageDoneToChampions_10,trueDamageDoneToChampions_2,trueDamageDoneToChampions_3,trueDamageDoneToChampions_4,trueDamageDoneToChampions_5,trueDamageDoneToChampions_6,trueDamageDoneToChampions_7,trueDamageDoneToChampions_8,trueDamageDoneToChampions_9,ward_player_0,ward_player_1,ward_player_10,ward_player_2,ward_player_3,ward_player_4,ward_player_5,ward_player_6,ward_player_7,ward_player_8,ward_player_9,waterdragon_team100,waterdragon_team200,winningTeam,xp_1,xp_10,xp_2,xp_3,xp_4,xp_5,xp_6,xp_7,xp_8,xp_9,riftherald_team200,hextechdragon_team100,airdragon_team200,chemtechdragon_team200
0.0,1.0,6.0,5.0,1.0,1.0,9.0,4.0,9.0,5.0,3.0,0.0,0.0,708.0,1032.0,295.0,274.0,453.0,39.0,1271.0,1159.0,2163.0,2078.0,3.0,5.0,6.0,7.0,3.0,3.0,0.0,2.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1640,1637210056794,4107566693,CLASSIC,teambuilder-match-4107566693,1637208415785,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,75.0,4.0,4.0,0.0,0.0,67.0,8.0,0.0,0.0,0.0,2.0,0.0,3.0,8.0,1.0,2.0,5.0,6.0,7.0,9.0,8.0,8.0,9.0,8.0,8.0,11.0,10.0,11.0,9.0,4886.0,3988.0,1443.0,5774.0,97.0,1452.0,3645.0,407.0,8569.0,354.0,NA1_4107566693,80.0,12.0,2.0,85.0,89.0,18.0,94.0,9.0,128.0,99.0,662.0,723.0,1838.0,586.0,5455.0,972.0,744.0,7293.0,449.0,7251.0,420,0.0,0.0,56977.0,80468.0,233142.0,29585.0,215987.0,104143.0,347721.0,131423.0,206214.0,57024.0,14.0,840284.0,5548.0,4917.0,3584.0,6360.0,6375.0,2587.0,4753.0,7866.0,9018.0,7629.0,3918.0,4482.0,4340.0,4959.0,7143.0,4389.0,5396.0,6609.0,7763.0,7449.0,1.0,0.0,0.0,206.0,303.0,0.0,822.0,162.0,364.0,165.0,0.0,24.0,0.0,4.0,5.0,5.0,5.0,1.0,6.0,5.0,4.0,5.0,4.0,0.0,1.0,100.0,5956.0,4289.0,5028.0,5724.0,4803.0,4507.0,7675.0,6277.0,7721.0,5315.0,,,,
0.0,0.0,8.0,2.0,0.0,1.0,1.0,2.0,3.0,0.0,2.0,0.0,0.0,278.0,894.0,155.0,281.0,8.0,192.0,1310.0,703.0,-172.0,1866.0,3.0,1.0,4.0,2.0,7.0,4.0,2.0,1.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2319,1637193865535,4107179574,CLASSIC,teambuilder-match-4107179574,1637191545906,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,76.0,0.0,2.0,0.0,0.0,64.0,0.0,5.0,0.0,2.0,4.0,0.0,7.0,0.0,0.0,2.0,2.0,3.0,9.0,10.0,9.0,9.0,11.0,7.0,6.0,10.0,8.0,10.0,9.0,0.0,213.0,34.0,8135.0,1123.0,2302.0,8054.0,2809.0,1949.0,1075.0,NA1_4107179574,91.0,6.0,3.0,99.0,73.0,3.0,75.0,9.0,113.0,112.0,7443.0,6142.0,1935.0,1200.0,3598.0,540.0,2129.0,688.0,4771.0,6705.0,400,0.0,0.0,18896.0,22595.0,122027.0,125335.0,29767.0,102012.0,8028.0,234505.0,37034.0,58934.0,14.0,840290.0,7443.0,6355.0,2285.0,9630.0,4722.0,3229.0,10483.0,3753.0,7035.0,7800.0,4803.0,5919.0,4180.0,7841.0,3708.0,2917.0,4960.0,4628.0,5558.0,7366.0,1.0,0.0,0.0,0.0,314.0,293.0,0.0,386.0,300.0,256.0,314.0,20.0,0.0,4.0,9.0,1.0,4.0,4.0,9.0,4.0,1.0,4.0,4.0,0.0,,100.0,6884.0,5232.0,5188.0,7851.0,3388.0,2759.0,6727.0,4972.0,6511.0,5727.0,,,,
1.0,2.0,6.0,3.0,4.0,2.0,7.0,1.0,3.0,3.0,1.0,0.0,0.0,790.0,64.0,584.0,595.0,664.0,65.0,1172.0,221.0,951.0,310.0,1.0,2.0,3.0,4.0,1.0,3.0,1.0,3.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1705,1637366060531,4109601154,CLASSIC,teambuilder-match-4109601154,1637364355109,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,78.0,0.0,0.0,0.0,0.0,67.0,0.0,4.0,0.0,2.0,1.0,5.0,1.0,6.0,2.0,1.0,4.0,6.0,0.0,9.0,7.0,10.0,9.0,9.0,7.0,10.0,9.0,9.0,7.0,694.0,762.0,1079.0,601.0,7171.0,2153.0,483.0,404.0,8334.0,1499.0,NA1_4109601154,75.0,21.0,21.0,75.0,111.0,14.0,126.0,21.0,77.0,49.0,1397.0,834.0,5041.0,5763.0,980.0,792.0,1810.0,5988.0,431.0,1038.0,420,0.0,0.0,53406.0,17900.0,105804.0,42213.0,115371.0,123112.0,14371.0,127066.0,162322.0,93961.0,14.0,840303.0,2091.0,1597.0,6791.0,6671.0,8152.0,3181.0,2294.0,7061.0,8765.0,2537.0,4490.0,3734.0,6099.0,4650.0,7404.0,4850.0,4947.0,5646.0,6991.0,3345.0,0.0,1.0,0.0,0.0,671.0,306.0,0.0,236.0,0.0,668.0,0.0,0.0,0.0,184.0,10.0,2.0,7.0,4.0,14.0,5.0,6.0,7.0,7.0,0.0,,100.0,5527.0,3719.0,6259.0,5448.0,5838.0,4019.0,6930.0,5654.0,5484.0,3982.0,1.0,,,
0.0,2.0,6.0,6.0,6.0,5.0,12.0,2.0,6.0,3.0,0.0,0.0,0.0,790.0,58.0,199.0,735.0,4374.0,1017.0,453.0,510.0,415.0,46.0,4.0,4.0,3.0,4.0,2.0,5.0,3.0,5.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1555,1637364465174,4109587944,CLASSIC,teambuilder-match-4109587944,1637362910041,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,72.0,0.0,4.0,0.0,1.0,1.0,5.0,8.0,9.0,0.0,1.0,6.0,3.0,7.0,9.0,7.0,9.0,10.0,10.0,8.0,10.0,10.0,9.0,8.0,2502.0,1887.0,267.0,7410.0,313.0,3457.0,478.0,963.0,2656.0,1072.0,NA1_4109587944,83.0,23.0,82.0,79.0,17.0,25.0,115.0,12.0,59.0,84.0,559.0,1578.0,9524.0,1556.0,8816.0,283.0,4065.0,7600.0,1179.0,8293.0,420,1.0,0.0,44162.0,63504.0,29740.0,22238.0,394947.0,89428.0,47878.0,141176.0,44830.0,1652.0,14.0,840261.0,3230.0,3466.0,9791.0,9354.0,9801.0,3740.0,4544.0,9166.0,4386.0,9365.0,4190.0,3808.0,6624.0,7680.0,8384.0,4027.0,5953.0,6460.0,4795.0,6221.0,1.0,1.0,168.0,0.0,0.0,387.0,671.0,0.0,0.0,602.0,550.0,0.0,0.0,4.0,6.0,7.0,2.0,3.0,6.0,5.0,2.0,5.0,5.0,0.0,,100.0,5896.0,3375.0,6075.0,6869.0,6654.0,4419.0,6546.0,6451.0,5288.0,4830.0,,1.0,,
0.0,3.0,3.0,2.0,5.0,2.0,9.0,2.0,1.0,1.0,1.0,0.0,0.0,1155.0,412.0,824.0,524.0,315.0,385.0,181.0,202.0,714.0,998.0,4.0,5.0,0.0,2.0,3.0,2.0,5.0,5.0,4.0,4.0,0.0,2.0,0.0,1.0,0.0,1.0,1811,1637362431191,4109553906,CLASSIC,teambuilder-match-4109553906,1637360619305,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,7.0,82.0,0.0,0.0,5.0,1.0,8.0,3.0,4.0,3.0,1.0,0.0,5.0,4.0,10.0,7.0,10.0,10.0,9.0,8.0,10.0,9.0,9.0,9.0,423.0,1430.0,644.0,5793.0,327.0,1343.0,220.0,700.0,0.0,1505.0,NA1_4109553906,87.0,18.0,22.0,94.0,96.0,19.0,84.0,89.0,5.0,106.0,10174.0,1000.0,6240.0,756.0,6061.0,2162.0,6274.0,1701.0,4560.0,3767.0,420,0.0,0.0,38014.0,107153.0,115411.0,63945.0,20349.0,49876.0,87059.0,284344.0,86027.0,234868.0,14.0,840256.0,10974.0,2640.0,7050.0,6551.0,6441.0,3811.0,6691.0,2402.0,5263.0,7256.0,6055.0,4147.0,6949.0,5464.0,5640.0,4330.0,4651.0,4182.0,6049.0,6323.0,1.0,0.0,376.0,210.0,165.0,1.0,52.0,305.0,196.0,0.0,703.0,1983.0,0.0,2.0,12.0,1.0,4.0,7.0,4.0,2.0,4.0,3.0,5.0,0.0,,100.0,6951.0,3550.0,6233.0,6705.0,5285.0,4744.0,6301.0,6087.0,5774.0,5556.0,1.0,,,
0.0,2.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,243.0,461.0,1273.0,583.0,285.0,522.0,665.0,1105.0,149.0,328.0,3.0,4.0,0.0,2.0,1.0,1.0,4.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2066,1637372340269,4109733668,CLASSIC,teambuilder-match-4109733668,1637370273505,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,4.0,3.0,3.0,1.0,2.0,1.0,9.0,6.0,11.0,10.0,9.0,8.0,11.0,9.0,10.0,8.0,352.0,1152.0,1211.0,5131.0,6468.0,2012.0,2039.0,183.0,2178.0,22.0,NA1_4109733668,61.0,9.0,15.0,109.0,90.0,1.0,97.0,16.0,73.0,86.0,3318.0,699.0,2461.0,897.0,1935.0,1423.0,4906.0,1744.0,227.0,2708.0,400,1.0,0.0,77206.0,85538.0,398618.0,122495.0,274084.0,98352.0,272759.0,355293.0,27254.0,7498.0,14.0,840273.0,4640.0,2035.0,3903.0,6309.0,8644.0,3435.0,6946.0,2055.0,2806.0,3070.0,3818.0,2486.0,5698.0,4703.0,5435.0,4622.0,5065.0,4480.0,4284.0,4428.0,0.0,0.0,968.0,184.0,231.0,280.0,240.0,0.0,0.0,128.0,400.0,339.0,0.0,5.0,5.0,3.0,124.0,3.0,4.0,3.0,5.0,5.0,4.0,0.0,1.0,100.0,5843.0,2838.0,7318.0,6801.0,5164.0,4421.0,7736.0,5143.0,6923.0,4545.0,,,,
0.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,527.0,541.0,581.0,319.0,301.0,1453.0,880.0,1096.0,688.0,770.0,1.0,1.0,4.0,4.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2442,1637366737816,4109660553,CLASSIC,teambuilder-match-4109660553,1637364295257,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,92.0,0.0,4.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,5.0,10.0,8.0,9.0,10.0,8.0,8.0,10.0,9.0,11.0,9.0,853.0,2017.0,0.0,3735.0,177.0,3715.0,1904.0,188.0,11407.0,292.0,NA1_4109660553,106.0,21.0,1.0,74.0,99.0,7.0,102.0,10.0,97.0,100.0,1611.0,877.0,2866.0,455.0,2823.0,609.0,5207.0,607.0,1058.0,4713.0,400,0.0,0.0,294080.0,39021.0,151553.0,43863.0,20422.0,154139.0,49671.0,319179.0,16053.0,238289.0,14.0,840272.0,2465.0,3098.0,2995.0,4434.0,3001.0,4690.0,7111.0,876.0,13025.0,5265.0,4342.0,3616.0,4396.0,4389.0,4951.0,4028.0,5040.0,4796.0,5818.0,5895.0,0.0,0.0,0.0,204.0,129.0,244.0,0.0,366.0,0.0,80.0,560.0,259.0,0.0,5.0,3.0,2.0,3.0,1.0,6.0,5.0,4.0,7.0,4.0,0.0,,100.0,6214.0,4436.0,5094.0,6312.0,4894.0,4476.0,7092.0,5829.0,7653.0,5538.0,,,1.0,
0.0,1.0,4.0,0.0,2.0,2.0,4.0,1.0,2.0,4.0,4.0,0.0,0.0,813.0,422.0,79.0,279.0,2228.0,593.0,1030.0,695.0,198.0,446.0,4.0,4.0,2.0,2.0,2.0,7.0,2.0,4.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1742,1637393313938,4110134274,CLASSIC,teambuilder-match-4110134274,1637391571197,MATCHED_GAME,11.23.409.111,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,20.0,0.0,0.0,0.0,4.0,0.0,0.0,55.0,0.0,0.0,7.0,60.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,8.0,2.0,3.0,8.0,3.0,2.0,10.0,8.0,9.0,8.0,10.0,7.0,10.0,9.0,8.0,10.0,4427.0,53.0,4003.0,1838.0,350.0,2863.0,231.0,659.0,2717.0,6235.0,NA1_4110134274,109.0,59.0,64.0,5.0,117.0,5.0,108.0,9.0,27.0,106.0,1851.0,3501.0,647.0,1230.0,11350.0,943.0,3191.0,8760.0,1164.0,668.0,440,1.0,0.0,226599.0,29231.0,30576.0,348633.0,24986.0,104980.0,80892.0,55733.0,105058.0,75803.0,14.0,840230.0,6707.0,3554.0,4980.0,3367.0,12376.0,3807.0,3422.0,9788.0,4458.0,7320.0,5563.0,3997.0,4244.0,4379.0,8638.0,5168.0,5755.0,6670.0,4208.0,5516.0,0.0,2.0,428.0,0.0,330.0,297.0,675.0,0.0,0.0,368.0,577.0,416.0,0.0,19.0,2.0,4.0,1.0,4.0,17.0,3.0,2.0,9.0,5.0,0.0,,200.0,6767.0,4820.0,5354.0,4387.0,7040.0,3377.0,6979.0,5638.0,4115.0,6467.0,,,1.0,
0.0,2.0,1.0,3.0,3.0,3.0,6.0,0.0,0.0,2.0,3.0,0.0,1.0,1641.0,620.0,16.0,140.0,112.0,699.0,102.0,2521.0,1457.0,392.0,1.0,2.0,2.0,3.0,2.0,0.0,2.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1756,1637390537002,4110057124,CLASSIC,teambuilder-match-4110057124,1637388780647,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,1.0,0.0,0.0,0.0,0.0,68.0,0.0,3.0,1.0,2.0,2.0,2.0,0.0,2.0,5.0,0.0,0.0,10.0,7.0,8.0,10.0,9.0,7.0,10.0,11.0,8.0,8.0,3871.0,2506.0,424.0,3406.0,700.0,1708.0,1718.0,3883.0,87.0,436.0,NA1_4110057124,87.0,3.0,7.0,90.0,93.0,5.0,103.0,115.0,111.0,6.0,858.0,561.0,1835.0,432.0,2489.0,614.0,2309.0,569.0,2483.0,2611.0,440,0.0,0.0,87395.0,24519.0,158748.0,74899.0,17254.0,43744.0,93671.0,51906.0,14930.0,234987.0,14.0,840176.0,4902.0,3208.0,2703.0,3838.0,3190.0,2443.0,4520.0,5721.0,2571.0,3612.0,5691.0,3345.0,4656.0,5210.0,5337.0,3249.0,5052.0,6266.0,4657.0,4192.0,0.0,0.0,173.0,140.0,443.0,0.0,0.0,119.0,491.0,1267.0,0.0,565.0,1.0,4.0,9.0,2.0,6.0,5.0,5.0,5.0,14.0,4.0,2.0,0.0,,200.0,6772.0,4024.0,4539.0,6132.0,5083.0,3829.0,6220.0,7557.0,4661.0,4774.0,,,,
0.0,1.0,3.0,0.0,2.0,3.0,5.0,1.0,3.0,2.0,4.0,0.0,0.0,460.0,930.0,579.0,973.0,253.0,149.0,429.0,661.0,334.0,574.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2113,1637380097615,4109874603,CLASSIC,teambuilder-match-4109874603,1637377984129,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,4.0,0.0,4.0,60.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,4.0,4.0,2.0,0.0,9.0,7.0,8.0,9.0,8.0,7.0,10.0,9.0,10.0,7.0,2163.0,0.0,1856.0,4072.0,160.0,3390.0,4367.0,426.0,3048.0,222.0,NA1_4109874603,72.0,4.0,10.0,87.0,117.0,7.0,102.0,7.0,105.0,84.0,2174.0,3103.0,95.0,985.0,6439.0,698.0,2158.0,4598.0,362.0,3018.0,440,0.0,0.0,103459.0,21468.0,156663.0,354142.0,21502.0,92042.0,33423.0,315447.0,63122.0,250744.0,14.0,840299.0,4338.0,3197.0,2058.0,5343.0,6599.0,4088.0,6525.0,5072.0,3411.0,3241.0,4135.0,3430.0,4504.0,4383.0,6153.0,4034.0,5889.0,5361.0,5279.0,4224.0,0.0,0.0,0.0,94.0,106.0,286.0,0.0,0.0,0.0,48.0,0.0,0.0,1.0,52.0,8.0,2.0,4.0,1.0,9.0,4.0,2.0,5.0,4.0,1.0,,200.0,6054.0,3420.0,4925.0,5314.0,5018.0,3909.0,6610.0,5067.0,6929.0,4052.0,,,,
