airdragon_team100,assistsplayer_1,assistsplayer_10,assistsplayer_2,assistsplayer_3,assistsplayer_4,assistsplayer_5,assistsplayer_6,assistsplayer_7,assistsplayer_8,assistsplayer_9,baron_team100,chemtechdragon_team100,currentGold_1,currentGold_10,currentGold_2,currentGold_3,currentGold_4,currentGold_5,currentGold_6,currentGold_7,currentGold_8,currentGold_9,deathsplayer_1,deathsplayer_10,deathsplayer_2,deathsplayer_3,deathsplayer_4,deathsplayer_5,deathsplayer_6,deathsplayer_7,deathsplayer_8,deathsplayer_9,dragon_team100,dragon_team200,earthdragon_team100,earthdragon_team200,firedragon_team100,firedragon_team200,gameDuration,gameEndTimestamp,gameId,gameMode,gameName,gameStartTimestamp,gameType,gameVersion,goldPerSecond_1,goldPerSecond_10,goldPerSecond_2,goldPerSecond_3,goldPerSecond_4,goldPerSecond_5,goldPerSecond_6,goldPerSecond_7,goldPerSecond_8,goldPerSecond_9,hextechdragon_team200,inhibs_lost_team200,jungleMinionsKilled_1,jungleMinionsKilled_10,jungleMinionsKilled_2,jungleMinionsKilled_3,jungleMinionsKilled_4,jungleMinionsKilled_5,jungleMinionsKilled_6,jungleMinionsKilled_7,jungleMinionsKilled_8,jungleMinionsKilled_9,killsplayer_0,killsplayer_1,killsplayer_10,killsplayer_2,killsplayer_3,killsplayer_4,killsplayer_5,killsplayer_6,killsplayer_7,killsplayer_8,killsplayer_9,level_1,level_10,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,magicDamageDoneToChampions_1,magicDamageDoneToChampions_10,magicDamageDoneToChampions_2,magicDamageDoneToChampions_3,magicDamageDoneToChampions_4,magicDamageDoneToChampions_5,magicDamageDoneToChampions_6,magicDamageDoneToChampions_7,magicDamageDoneToChampions_8,magicDamageDoneToChampions_9,matchId,minionsKilled_1,minionsKilled_10,minionsKilled_2,minionsKilled_3,minionsKilled_4,minionsKilled_5,minionsKilled_6,minionsKilled_7,minionsKilled_8,minionsKilled_9,physicalDamageDoneToChampions_1,physicalDamageDoneToChampions_10,physicalDamageDoneToChampions_2,physicalDamageDoneToChampions_3,physicalDamageDoneToChampions_4,physicalDamageDoneToChampions_5,physicalDamageDoneToChampions_6,physicalDamageDoneToChampions_7,physicalDamageDoneToChampions_8,physicalDamageDoneToChampions_9,queueId,riftherald_team100,riftherald_team200,riftherald_team300,timeEnemySpentControlled_1,timeEnemySpentControlled_10,timeEnemySpentControlled_2,timeEnemySpentControlled_3,timeEnemySpentControlled_4,timeEnemySpentControlled_5,timeEnemySpentControlled_6,timeEnemySpentControlled_7,timeEnemySpentControlled_8,timeEnemySpentControlled_9,time_cutoff,timestamp,totalDamageDoneToChampions_1,totalDamageDoneToChampions_10,totalDamageDoneToChampions_2,totalDamageDoneToChampions_3,totalDamageDoneToChampions_4,totalDamageDoneToChampions_5,totalDamageDoneToChampions_6,totalDamageDoneToChampions_7,totalDamageDoneToChampions_8,totalDamageDoneToChampions_9,totalGold_1,totalGold_10,totalGold_2,totalGold_3,totalGold_4,totalGold_5,totalGold_6,totalGold_7,totalGold_8,totalGold_9,towers_lost_team100,towers_lost_team200,trueDamageDoneToChampions_1,trueDamageDoneToChampions_10,trueDamageDoneToChampions_2,trueDamageDoneToChampions_3,trueDamageDoneToChampions_4,trueDamageDoneToChampions_5,trueDamageDoneToChampions_6,trueDamageDoneToChampions_7,trueDamageDoneToChampions_8,trueDamageDoneToChampions_9,ward_player_0,ward_player_1,ward_player_10,ward_player_2,ward_player_3,ward_player_4,ward_player_5,ward_player_6,ward_player_7,ward_player_8,ward_player_9,waterdragon_team100,waterdragon_team200,winningTeam,xp_1,xp_10,xp_2,xp_3,xp_4,xp_5,xp_6,xp_7,xp_8,xp_9,hextechdragon_team100,airdragon_team200,chemtechdragon_team200,inhibs_lost_team100
0.0,1.0,6.0,9.0,5.0,1.0,13.0,4.0,9.0,5.0,3.0,0.0,0.0,586.0,518.0,1144.0,1221.0,2503.0,728.0,679.0,1893.0,510.0,265.0,3.0,6.0,7.0,7.0,3.0,3.0,1.0,3.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,1640,1637210056794,4107566693,CLASSIC,teambuilder-match-4107566693,1637208415785,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,79.0,4.0,4.0,0.0,0.0,83.0,8.0,4.0,0.0,0.0,2.0,1.0,3.0,13.0,1.0,2.0,5.0,7.0,7.0,10.0,8.0,10.0,11.0,10.0,10.0,12.0,11.0,11.0,9.0,4886.0,4096.0,2190.0,7944.0,225.0,2203.0,3895.0,407.0,10929.0,604.0,NA1_4107566693,103.0,15.0,5.0,98.0,108.0,18.0,111.0,10.0,136.0,101.0,662.0,723.0,2227.0,680.0,10348.0,1516.0,744.0,7950.0,449.0,9448.0,420,0.0,1.0,0.0,76565.0,89685.0,239383.0,34506.0,277951.0,157915.0,423509.0,138891.0,218369.0,76677.0,16.0,960308.0,5548.0,5026.0,4720.0,8624.0,11881.0,4139.0,5003.0,8572.0,11378.0,10317.0,4721.0,5018.0,5539.0,5906.0,10443.0,5078.0,6354.0,7343.0,8710.0,7935.0,3.0,1.0,0.0,206.0,303.0,0.0,1307.0,419.0,364.0,215.0,0.0,264.0,0.0,7.0,8.0,6.0,7.0,2.0,8.0,5.0,4.0,5.0,5.0,0.0,1.0,100.0,7041.0,4611.0,6587.0,7342.0,6770.0,6235.0,8580.0,7301.0,8318.0,5610.0,,,,
0.0,0.0,9.0,3.0,0.0,1.0,1.0,2.0,3.0,0.0,4.0,0.0,0.0,150.0,1358.0,107.0,1131.0,427.0,102.0,615.0,92.0,844.0,263.0,4.0,1.0,5.0,3.0,8.0,4.0,2.0,1.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,2319,1637193865535,4107179574,CLASSIC,teambuilder-match-4107179574,1637191545906,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,88.0,0.0,6.0,0.0,3.0,84.0,0.0,5.0,0.0,2.0,6.0,0.0,8.0,0.0,0.0,3.0,2.0,3.0,10.0,11.0,10.0,10.0,11.0,7.0,7.0,11.0,9.0,11.0,11.0,0.0,450.0,34.0,9482.0,1132.0,2426.0,9304.0,2809.0,2853.0,1572.0,NA1_4107179574,102.0,6.0,12.0,105.0,78.0,4.0,86.0,9.0,142.0,131.0,8673.0,8467.0,2766.0,1268.0,3839.0,540.0,2204.0,688.0,5706.0,8541.0,400,0.0,,0.0,18896.0,25701.0,124075.0,136410.0,34029.0,104126.0,11298.0,259245.0,44943.0,73769.0,16.0,960347.0,8912.0,8917.0,3650.0,11044.0,4971.0,3353.0,11809.0,3753.0,9017.0,10133.0,5300.0,7158.0,5007.0,8691.0,4127.0,3227.0,5740.0,5392.0,6624.0,8813.0,2.0,0.0,239.0,0.0,849.0,293.0,0.0,386.0,300.0,256.0,457.0,20.0,0.0,4.0,14.0,1.0,5.0,4.0,13.0,4.0,1.0,5.0,5.0,0.0,,100.0,7458.0,6875.0,6646.0,8517.0,3879.0,3375.0,7728.0,6095.0,7868.0,7468.0,,,,
1.0,2.0,6.0,3.0,4.0,5.0,9.0,1.0,3.0,3.0,1.0,0.0,0.0,471.0,443.0,1873.0,481.0,647.0,345.0,778.0,692.0,427.0,574.0,2.0,4.0,3.0,4.0,1.0,3.0,1.0,3.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1705,1637366060531,4109601154,CLASSIC,teambuilder-match-4109601154,1637364355109,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,101.0,0.0,0.0,0.0,4.0,75.0,0.0,4.0,0.0,3.0,1.0,6.0,1.0,7.0,3.0,1.0,4.0,6.0,1.0,10.0,8.0,11.0,10.0,11.0,9.0,11.0,10.0,9.0,9.0,929.0,1837.0,1191.0,601.0,10862.0,3276.0,483.0,404.0,9934.0,2597.0,NA1_4109601154,88.0,26.0,25.0,98.0,133.0,16.0,145.0,23.0,89.0,73.0,2750.0,989.0,5804.0,6040.0,1204.0,918.0,1941.0,5988.0,431.0,1396.0,420,0.0,1.0,0.0,57633.0,26951.0,136760.0,54144.0,154593.0,157032.0,20117.0,127727.0,199973.0,254521.0,16.0,960339.0,3680.0,2826.0,7785.0,6948.0,12090.0,4640.0,2425.0,7061.0,10365.0,4155.0,5321.0,4188.0,7388.0,5536.0,9072.0,5715.0,5728.0,6117.0,7542.0,4459.0,0.0,2.0,0.0,0.0,789.0,306.0,24.0,446.0,0.0,668.0,0.0,162.0,0.0,221.0,13.0,2.0,7.0,5.0,24.0,6.0,7.0,8.0,12.0,0.0,,100.0,6555.0,4192.0,7826.0,6566.0,7701.0,5155.0,7951.0,6239.0,6045.0,5849.0,,,,
0.0,4.0,8.0,7.0,6.0,7.0,14.0,3.0,7.0,5.0,1.0,0.0,0.0,65.0,31.0,415.0,2395.0,549.0,601.0,1468.0,326.0,470.0,424.0,4.0,5.0,4.0,4.0,2.0,6.0,4.0,6.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1555,1637364465174,4109587944,CLASSIC,teambuilder-match-4109587944,1637362910041,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,91.0,0.0,0.0,83.0,0.0,4.0,0.0,2.0,1.0,6.0,10.0,9.0,0.0,2.0,6.0,3.0,8.0,10.0,7.0,10.0,11.0,11.0,9.0,11.0,10.0,10.0,9.0,4021.0,2410.0,467.0,9864.0,483.0,3881.0,753.0,1077.0,3052.0,1316.0,NA1_4109587944,101.0,24.0,89.0,96.0,17.0,28.0,128.0,12.0,75.0,104.0,717.0,1716.0,11187.0,1721.0,11303.0,333.0,6568.0,9083.0,1269.0,9902.0,420,1.0,,0.0,48588.0,68065.0,35882.0,25408.0,443803.0,96958.0,53990.0,145472.0,50543.0,1652.0,16.0,960309.0,5056.0,4127.0,11655.0,12020.0,12772.0,4215.0,7322.0,10852.0,4871.0,11218.0,5365.0,4306.0,7540.0,9340.0,9284.0,4711.0,6968.0,7151.0,5500.0,7639.0,2.0,2.0,318.0,0.0,0.0,434.0,985.0,0.0,0.0,691.0,550.0,0.0,1.0,5.0,8.0,7.0,4.0,3.0,11.0,5.0,2.0,6.0,5.0,1.0,,100.0,7290.0,3687.0,6976.0,8124.0,8043.0,5456.0,7504.0,7277.0,6168.0,6054.0,1.0,,,
0.0,3.0,5.0,2.0,5.0,2.0,9.0,2.0,1.0,1.0,2.0,0.0,0.0,642.0,706.0,2187.0,209.0,781.0,696.0,861.0,1032.0,252.0,1102.0,4.0,5.0,0.0,3.0,3.0,4.0,7.0,5.0,6.0,4.0,0.0,2.0,0.0,1.0,0.0,1.0,1811,1637362431191,4109553906,CLASSIC,teambuilder-match-4109553906,1637360619305,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,4.0,0.0,4.0,7.0,86.0,0.0,0.0,7.0,2.0,10.0,3.0,4.0,3.0,1.0,0.0,5.0,6.0,12.0,9.0,11.0,11.0,10.0,9.0,11.0,11.0,9.0,10.0,646.0,1836.0,866.0,6640.0,327.0,1558.0,776.0,700.0,0.0,2625.0,NA1_4109553906,103.0,22.0,24.0,119.0,109.0,22.0,98.0,116.0,5.0,120.0,11600.0,1248.0,8233.0,756.0,6763.0,2245.0,8935.0,1701.0,5742.0,5170.0,420,1.0,1.0,0.0,42637.0,155801.0,130344.0,106123.0,20349.0,73327.0,90660.0,342509.0,88273.0,275950.0,16.0,960283.0,12622.0,3342.0,9331.0,7397.0,7143.0,4318.0,9908.0,2402.0,6882.0,10506.0,7342.0,5541.0,8312.0,6424.0,6406.0,4941.0,5331.0,5012.0,6462.0,7692.0,1.0,2.0,376.0,257.0,231.0,1.0,52.0,515.0,196.0,0.0,1139.0,2710.0,0.0,2.0,16.0,2.0,4.0,8.0,5.0,2.0,4.0,4.0,5.0,0.0,,100.0,9161.0,5111.0,7719.0,7732.0,6305.0,5293.0,7468.0,7645.0,6089.0,6859.0,,,,
0.0,2.0,1.0,1.0,2.0,3.0,9.0,0.0,2.0,0.0,2.0,0.0,1.0,1163.0,54.0,1038.0,1369.0,1155.0,628.0,511.0,335.0,46.0,50.0,3.0,6.0,0.0,2.0,2.0,2.0,4.0,3.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,2066,1637372340269,4109733668,CLASSIC,teambuilder-match-4109733668,1637370273505,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,6.0,3.0,3.0,1.0,3.0,2.0,10.0,7.0,11.0,11.0,10.0,9.0,12.0,9.0,11.0,9.0,352.0,1152.0,1649.0,8394.0,8931.0,2594.0,2542.0,273.0,2489.0,169.0,NA1_4109733668,71.0,9.0,16.0,128.0,109.0,2.0,111.0,16.0,85.0,97.0,3732.0,699.0,2912.0,897.0,1975.0,1504.0,6103.0,3081.0,227.0,4142.0,400,1.0,,0.0,97891.0,86661.0,418219.0,144499.0,294767.0,115537.0,317748.0,370885.0,32440.0,9083.0,16.0,960299.0,5309.0,2171.0,4793.0,9572.0,11146.0,4099.0,8646.0,3678.0,3116.0,4770.0,4738.0,2829.0,6663.0,5489.0,6740.0,5528.0,5611.0,4910.0,5431.0,5300.0,0.0,2.0,1223.0,320.0,231.0,280.0,240.0,0.0,0.0,324.0,400.0,458.0,0.0,6.0,5.0,3.0,146.0,3.0,7.0,3.0,6.0,6.0,5.0,0.0,1.0,100.0,6962.0,3215.0,7847.0,8053.0,6437.0,5514.0,8734.0,5421.0,7755.0,5400.0,,,,
0.0,0.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,745.0,956.0,376.0,1661.0,599.0,414.0,1689.0,669.0,550.0,714.0,1.0,1.0,6.0,4.0,2.0,2.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2442,1637366737816,4109660553,CLASSIC,teambuilder-match-4109660553,1637364295257,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,112.0,0.0,8.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,7.0,5.0,11.0,9.0,9.0,11.0,9.0,9.0,11.0,10.0,12.0,10.0,1279.0,2017.0,0.0,5292.0,177.0,4044.0,2413.0,188.0,15159.0,292.0,NA1_4109660553,119.0,26.0,1.0,84.0,112.0,11.0,123.0,12.0,113.0,112.0,2211.0,877.0,3351.0,455.0,2977.0,609.0,6363.0,768.0,1098.0,5811.0,400,0.0,,0.0,345307.0,42225.0,156408.0,77319.0,22238.0,173661.0,57038.0,343782.0,37388.0,275022.0,16.0,960300.0,3490.0,3098.0,3592.0,6141.0,3155.0,5019.0,8778.0,1037.0,16844.0,6392.0,4860.0,4031.0,4791.0,5731.0,5549.0,4439.0,5849.0,5669.0,7430.0,6589.0,1.0,0.0,0.0,204.0,241.0,394.0,0.0,366.0,1.0,80.0,586.0,288.0,0.0,5.0,4.0,2.0,4.0,1.0,7.0,6.0,4.0,7.0,6.0,0.0,,100.0,7392.0,5103.0,5676.0,7662.0,5499.0,5265.0,8221.0,7273.0,9092.0,6191.0,,1.0,,
0.0,1.0,4.0,0.0,3.0,2.0,5.0,1.0,2.0,5.0,4.0,0.0,0.0,1004.0,886.0,423.0,274.0,254.0,397.0,914.0,810.0,396.0,355.0,4.0,4.0,3.0,3.0,2.0,8.0,2.0,5.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1742,1637393313938,4110134274,CLASSIC,teambuilder-match-4110134274,1637391571197,MATCHED_GAME,11.23.409.111,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0,4.0,4.0,0.0,69.0,0.0,0.0,11.0,72.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,9.0,2.0,3.0,9.0,3.0,3.0,11.0,9.0,9.0,9.0,11.0,8.0,11.0,10.0,8.0,11.0,4602.0,53.0,4867.0,2002.0,400.0,3201.0,231.0,659.0,3137.0,8257.0,NA1_4110134274,122.0,75.0,67.0,5.0,137.0,9.0,129.0,11.0,34.0,126.0,1851.0,4208.0,770.0,1350.0,12887.0,1070.0,3191.0,10006.0,1283.0,668.0,440,1.0,,0.0,255364.0,35412.0,31237.0,402238.0,57085.0,124114.0,87074.0,55733.0,122208.0,89281.0,16.0,960260.0,6882.0,4261.0,6197.0,3675.0,14382.0,4272.0,3422.0,11033.0,5025.0,9341.0,6404.0,5086.0,4588.0,5074.0,9864.0,5697.0,6789.0,7610.0,4956.0,6590.0,1.0,3.0,428.0,0.0,560.0,322.0,1095.0,0.0,0.0,368.0,604.0,416.0,0.0,25.0,4.0,4.0,1.0,4.0,19.0,3.0,3.0,13.0,5.0,0.0,,200.0,7469.0,5815.0,5627.0,5500.0,8023.0,4202.0,8169.0,6781.0,4976.0,8014.0,,1.0,,
0.0,3.0,1.0,4.0,5.0,5.0,8.0,0.0,0.0,2.0,4.0,0.0,1.0,779.0,1051.0,1780.0,767.0,492.0,379.0,1469.0,654.0,248.0,971.0,1.0,2.0,2.0,3.0,3.0,0.0,2.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1756,1637390537002,4110057124,CLASSIC,teambuilder-match-4110057124,1637388780647,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,94.0,0.0,1.0,0.0,3.0,0.0,0.0,72.0,0.0,4.0,1.0,3.0,2.0,2.0,0.0,2.0,5.0,1.0,0.0,11.0,8.0,10.0,10.0,9.0,8.0,11.0,11.0,9.0,9.0,4758.0,3120.0,679.0,3915.0,1229.0,2515.0,1718.0,5116.0,195.0,666.0,NA1_4110057124,95.0,3.0,7.0,99.0,106.0,5.0,137.0,130.0,125.0,7.0,976.0,604.0,3240.0,432.0,4027.0,700.0,2309.0,714.0,4136.0,4113.0,440,0.0,,0.0,106790.0,29274.0,186899.0,78665.0,19699.0,51806.0,122263.0,64661.0,21869.0,245903.0,16.0,960230.0,5908.0,3949.0,4774.0,4347.0,5566.0,3418.0,4520.0,7368.0,4332.0,5512.0,6929.0,3776.0,6420.0,5837.0,6067.0,3804.0,6419.0,6799.0,5573.0,4771.0,1.0,1.0,173.0,224.0,854.0,0.0,309.0,202.0,491.0,1537.0,0.0,733.0,1.0,4.0,9.0,2.0,7.0,5.0,6.0,7.0,18.0,4.0,2.0,0.0,,200.0,7430.0,4488.0,6186.0,6920.0,6060.0,4470.0,7965.0,8445.0,5416.0,5485.0,,,,
0.0,5.0,4.0,2.0,2.0,4.0,8.0,1.0,5.0,2.0,5.0,0.0,0.0,642.0,598.0,660.0,657.0,322.0,268.0,2102.0,640.0,397.0,849.0,3.0,4.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2113,1637380097615,4109874603,CLASSIC,teambuilder-match-4109874603,1637377984129,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,4.0,0.0,8.0,68.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,4.0,1.0,5.0,4.0,3.0,0.0,11.0,7.0,10.0,10.0,9.0,8.0,11.0,9.0,11.0,8.0,2176.0,0.0,3164.0,4072.0,206.0,4777.0,5351.0,598.0,4595.0,370.0,NA1_4109874603,85.0,6.0,10.0,109.0,133.0,7.0,122.0,7.0,119.0,97.0,2233.0,3313.0,244.0,985.0,9714.0,861.0,2385.0,6638.0,484.0,3378.0,440,0.0,,0.0,111451.0,23982.0,182171.0,403732.0,25339.0,104879.0,41783.0,347155.0,73665.0,290885.0,16.0,960349.0,4409.0,3437.0,3652.0,5343.0,10217.0,5638.0,7737.0,7373.0,5080.0,3748.0,4967.0,3973.0,5885.0,5192.0,7817.0,4593.0,7562.0,6115.0,6192.0,4849.0,1.0,1.0,0.0,123.0,243.0,286.0,296.0,0.0,0.0,136.0,0.0,0.0,1.0,63.0,10.0,2.0,5.0,1.0,13.0,6.0,3.0,5.0,4.0,1.0,,200.0,7393.0,4020.0,6535.0,6510.0,6049.0,4516.0,8031.0,5994.0,7800.0,5012.0,,,,
