airdragon_team100,assistsplayer_1,assistsplayer_10,assistsplayer_2,assistsplayer_3,assistsplayer_4,assistsplayer_5,assistsplayer_6,assistsplayer_7,assistsplayer_8,assistsplayer_9,baron_team100,chemtechdragon_team100,currentGold_1,currentGold_10,currentGold_2,currentGold_3,currentGold_4,currentGold_5,currentGold_6,currentGold_7,currentGold_8,currentGold_9,deathsplayer_1,deathsplayer_10,deathsplayer_2,deathsplayer_3,deathsplayer_4,deathsplayer_5,deathsplayer_6,deathsplayer_7,deathsplayer_8,deathsplayer_9,dragon_team100,dragon_team200,earthdragon_team100,earthdragon_team200,firedragon_team100,firedragon_team200,gameDuration,gameEndTimestamp,gameId,gameMode,gameName,gameStartTimestamp,gameType,gameVersion,goldPerSecond_1,goldPerSecond_10,goldPerSecond_2,goldPerSecond_3,goldPerSecond_4,goldPerSecond_5,goldPerSecond_6,goldPerSecond_7,goldPerSecond_8,goldPerSecond_9,hextechdragon_team200,inhibs_lost_team200,jungleMinionsKilled_1,jungleMinionsKilled_10,jungleMinionsKilled_2,jungleMinionsKilled_3,jungleMinionsKilled_4,jungleMinionsKilled_5,jungleMinionsKilled_6,jungleMinionsKilled_7,jungleMinionsKilled_8,jungleMinionsKilled_9,killsplayer_0,killsplayer_1,killsplayer_10,killsplayer_2,killsplayer_3,killsplayer_4,killsplayer_5,killsplayer_6,killsplayer_7,killsplayer_8,killsplayer_9,level_1,level_10,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,magicDamageDoneToChampions_1,magicDamageDoneToChampions_10,magicDamageDoneToChampions_2,magicDamageDoneToChampions_3,magicDamageDoneToChampions_4,magicDamageDoneToChampions_5,magicDamageDoneToChampions_6,magicDamageDoneToChampions_7,magicDamageDoneToChampions_8,magicDamageDoneToChampions_9,matchId,minionsKilled_1,minionsKilled_10,minionsKilled_2,minionsKilled_3,minionsKilled_4,minionsKilled_5,minionsKilled_6,minionsKilled_7,minionsKilled_8,minionsKilled_9,physicalDamageDoneToChampions_1,physicalDamageDoneToChampions_10,physicalDamageDoneToChampions_2,physicalDamageDoneToChampions_3,physicalDamageDoneToChampions_4,physicalDamageDoneToChampions_5,physicalDamageDoneToChampions_6,physicalDamageDoneToChampions_7,physicalDamageDoneToChampions_8,physicalDamageDoneToChampions_9,queueId,riftherald_team100,riftherald_team200,riftherald_team300,timeEnemySpentControlled_1,timeEnemySpentControlled_10,timeEnemySpentControlled_2,timeEnemySpentControlled_3,timeEnemySpentControlled_4,timeEnemySpentControlled_5,timeEnemySpentControlled_6,timeEnemySpentControlled_7,timeEnemySpentControlled_8,timeEnemySpentControlled_9,time_cutoff,timestamp,totalDamageDoneToChampions_1,totalDamageDoneToChampions_10,totalDamageDoneToChampions_2,totalDamageDoneToChampions_3,totalDamageDoneToChampions_4,totalDamageDoneToChampions_5,totalDamageDoneToChampions_6,totalDamageDoneToChampions_7,totalDamageDoneToChampions_8,totalDamageDoneToChampions_9,totalGold_1,totalGold_10,totalGold_2,totalGold_3,totalGold_4,totalGold_5,totalGold_6,totalGold_7,totalGold_8,totalGold_9,towers_lost_team100,towers_lost_team200,trueDamageDoneToChampions_1,trueDamageDoneToChampions_10,trueDamageDoneToChampions_2,trueDamageDoneToChampions_3,trueDamageDoneToChampions_4,trueDamageDoneToChampions_5,trueDamageDoneToChampions_6,trueDamageDoneToChampions_7,trueDamageDoneToChampions_8,trueDamageDoneToChampions_9,ward_player_0,ward_player_1,ward_player_10,ward_player_2,ward_player_3,ward_player_4,ward_player_5,ward_player_6,ward_player_7,ward_player_8,ward_player_9,waterdragon_team100,waterdragon_team200,winningTeam,xp_1,xp_10,xp_2,xp_3,xp_4,xp_5,xp_6,xp_7,xp_8,xp_9,hextechdragon_team100,airdragon_team200,chemtechdragon_team200,baron_team200,inhibs_lost_team100
0.0,4.0,9.0,9.0,7.0,2.0,14.0,6.0,9.0,7.0,5.0,0.0,0.0,1104.0,222.0,980.0,640.0,981.0,932.0,58.0,74.0,1682.0,1471.0,4.0,7.0,8.0,7.0,4.0,4.0,2.0,3.0,5.0,4.0,0.0,3.0,0.0,1.0,0.0,1.0,1640,1637210056794,4107566693,CLASSIC,teambuilder-match-4107566693,1637208415785,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,107.0,4.0,12.0,0.0,4.0,111.0,20.0,12.0,0.0,0.0,2.0,2.0,3.0,14.0,2.0,4.0,5.0,8.0,8.0,13.0,10.0,12.0,12.0,12.0,12.0,13.0,13.0,14.0,12.0,5723.0,5545.0,3131.0,9370.0,299.0,3485.0,5590.0,444.0,17152.0,815.0,NA1_4107566693,149.0,35.0,18.0,138.0,160.0,24.0,123.0,40.0,190.0,148.0,698.0,831.0,2535.0,814.0,17231.0,2020.0,1026.0,9233.0,516.0,11242.0,420,0.0,1.0,0.0,116297.0,121200.0,297920.0,42705.0,302487.0,257749.0,551168.0,171697.0,348889.0,78626.0,22.0,1320422.0,6422.0,6721.0,6027.0,10185.0,19289.0,5925.0,7163.0,9893.0,17668.0,12322.0,7079.0,6722.0,7650.0,7910.0,13121.0,6682.0,8433.0,9498.0,12467.0,10440.0,5.0,2.0,0.0,344.0,360.0,0.0,1758.0,419.0,546.0,215.0,0.0,264.0,0.0,9.0,13.0,8.0,10.0,2.0,21.0,8.0,6.0,9.0,7.0,0.0,1.0,100.0,10655.0,6405.0,9142.0,9890.0,9302.0,8581.0,10760.0,10342.0,12110.0,8695.0,,,,,
0.0,0.0,12.0,4.0,1.0,3.0,4.0,2.0,5.0,2.0,4.0,0.0,0.0,70.0,358.0,635.0,142.0,824.0,615.0,598.0,1985.0,-47.0,992.0,4.0,4.0,6.0,5.0,10.0,5.0,4.0,2.0,6.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,2319,1637193865535,4107179574,CLASSIC,teambuilder-match-4107179574,1637191545906,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,4.0,116.0,0.0,22.0,0.0,11.0,92.0,8.0,13.0,0.0,4.0,6.0,1.0,10.0,2.0,2.0,4.0,3.0,4.0,13.0,14.0,12.0,12.0,14.0,11.0,10.0,13.0,11.0,13.0,14.0,0.0,820.0,34.0,16107.0,2484.0,3221.0,12732.0,6566.0,3723.0,2183.0,NA1_4107179574,161.0,8.0,22.0,147.0,122.0,6.0,116.0,26.0,180.0,174.0,14551.0,12814.0,4209.0,1268.0,8821.0,848.0,2889.0,874.0,7072.0,12378.0,400,0.0,1.0,0.0,23157.0,32704.0,128204.0,180446.0,172589.0,157720.0,16583.0,309620.0,61097.0,93161.0,22.0,1320475.0,15856.0,13634.0,6360.0,17744.0,12630.0,4636.0,16211.0,7929.0,11295.0,14581.0,10085.0,8833.0,7710.0,11752.0,7774.0,5915.0,7728.0,7285.0,9153.0,12042.0,4.0,4.0,1304.0,0.0,2116.0,368.0,1323.0,566.0,590.0,488.0,498.0,20.0,0.0,6.0,14.0,2.0,6.0,7.0,22.0,7.0,1.0,6.0,6.0,0.0,,100.0,12863.0,8982.0,9829.0,11554.0,8294.0,6991.0,10148.0,8559.0,10567.0,11498.0,,,,,
1.0,2.0,10.0,5.0,4.0,6.0,13.0,3.0,4.0,6.0,1.0,0.0,0.0,2963.0,279.0,1377.0,1360.0,1812.0,139.0,817.0,576.0,517.0,258.0,2.0,4.0,4.0,6.0,2.0,5.0,1.0,3.0,9.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,1705,1637366060531,4109601154,CLASSIC,teambuilder-match-4109601154,1637364355109,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,125.0,7.0,8.0,0.0,12.0,89.0,5.0,4.0,0.0,3.0,1.0,8.0,3.0,10.0,3.0,3.0,6.0,7.0,2.0,13.0,10.0,13.0,13.0,13.0,10.0,14.0,12.0,12.0,12.0,1338.0,3028.0,2184.0,836.0,15592.0,4785.0,1970.0,501.0,15704.0,5360.0,NA1_4109601154,144.0,40.0,41.0,153.0,161.0,19.0,217.0,43.0,125.0,118.0,3840.0,1068.0,10221.0,8454.0,1336.0,963.0,5706.0,9188.0,474.0,1846.0,420,1.0,1.0,0.0,99596.0,47805.0,194472.0,88048.0,225039.0,187192.0,30686.0,132716.0,272285.0,335145.0,22.0,1320433.0,5179.0,4096.0,14095.0,9597.0,16979.0,6195.0,7676.0,10603.0,16178.0,7369.0,8546.0,5899.0,10017.0,8455.0,11487.0,7199.0,10067.0,8676.0,9742.0,6628.0,2.0,5.0,0.0,0.0,1688.0,306.0,50.0,446.0,0.0,913.0,0.0,162.0,0.0,312.0,24.0,3.0,9.0,7.0,38.0,8.0,8.0,9.0,22.0,1.0,,100.0,10008.0,6227.0,11079.0,11109.0,10171.0,7268.0,12359.0,9253.0,8832.0,8836.0,,,,,
0.0,9.0,14.0,13.0,11.0,13.0,23.0,5.0,11.0,8.0,2.0,0.0,1.0,246.0,315.0,432.0,1398.0,1431.0,362.0,134.0,335.0,327.0,1454.0,6.0,8.0,6.0,5.0,4.0,8.0,6.0,10.0,8.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,1555,1637364465174,4109587944,CLASSIC,teambuilder-match-4109587944,1637362910041,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,1.0,135.0,0.0,4.0,83.0,0.0,14.0,0.0,6.0,1.0,11.0,11.0,11.0,1.0,5.0,7.0,6.0,10.0,13.0,10.0,13.0,13.0,14.0,11.0,13.0,12.0,12.0,11.0,10506.0,4042.0,1502.0,14322.0,616.0,6296.0,1077.0,1610.0,7495.0,1794.0,NA1_4109587944,136.0,35.0,108.0,120.0,25.0,30.0,152.0,26.0,96.0,125.0,1009.0,2057.0,20413.0,1942.0,19120.0,381.0,12884.0,13779.0,1972.0,16406.0,420,2.0,,0.0,62789.0,87792.0,73899.0,32280.0,499473.0,199646.0,71568.0,159179.0,89096.0,12495.0,22.0,1320442.0,12904.0,6100.0,22289.0,16862.0,21093.0,6678.0,13961.0,16386.0,10229.0,18381.0,8381.0,5890.0,11142.0,11823.0,12355.0,6522.0,9949.0,8660.0,8807.0,10569.0,2.0,3.0,1388.0,0.0,373.0,597.0,1355.0,0.0,0.0,996.0,762.0,179.0,3.0,8.0,13.0,9.0,5.0,4.0,16.0,7.0,3.0,7.0,7.0,1.0,,100.0,10401.0,6654.0,10223.0,11025.0,11665.0,7722.0,10516.0,8921.0,9209.0,8402.0,1.0,,,,
0.0,9.0,6.0,3.0,8.0,6.0,15.0,2.0,1.0,2.0,2.0,1.0,0.0,2281.0,710.0,595.0,404.0,523.0,905.0,1653.0,12.0,261.0,805.0,4.0,8.0,0.0,4.0,5.0,4.0,9.0,7.0,10.0,7.0,1.0,2.0,0.0,1.0,0.0,1.0,1811,1637362431191,4109553906,CLASSIC,teambuilder-match-4109553906,1637360619305,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,102.0,4.0,12.0,0.0,8.0,7.0,114.0,0.0,0.0,11.0,2.0,16.0,4.0,6.0,4.0,2.0,0.0,6.0,7.0,15.0,10.0,14.0,14.0,12.0,12.0,13.0,12.0,12.0,12.0,2100.0,2829.0,1364.0,11459.0,876.0,3005.0,1018.0,1119.0,0.0,3933.0,NA1_4109553906,146.0,28.0,39.0,175.0,137.0,33.0,155.0,148.0,18.0,153.0,17238.0,1575.0,17184.0,915.0,10219.0,3384.0,11746.0,4131.0,9325.0,6345.0,420,1.0,1.0,0.0,144462.0,273582.0,204119.0,260800.0,43110.0,149886.0,93137.0,422242.0,115256.0,321491.0,22.0,1320373.0,20083.0,4714.0,19192.0,12375.0,11350.0,7464.0,12960.0,5251.0,11160.0,14508.0,11431.0,6930.0,11820.0,9624.0,9192.0,7100.0,8673.0,7342.0,9246.0,9745.0,6.0,2.0,744.0,308.0,643.0,1.0,253.0,1075.0,196.0,0.0,1835.0,4229.0,0.0,4.0,21.0,2.0,5.0,11.0,13.0,4.0,7.0,5.0,6.0,1.0,,100.0,13709.0,7126.0,12387.0,12269.0,9843.0,9550.0,11001.0,9334.0,9157.0,8885.0,,,,,
0.0,3.0,3.0,4.0,7.0,3.0,11.0,4.0,6.0,1.0,6.0,0.0,1.0,131.0,285.0,109.0,711.0,152.0,263.0,1030.0,874.0,1726.0,1676.0,6.0,9.0,2.0,4.0,4.0,4.0,5.0,5.0,1.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,2066,1637372340269,4109733668,CLASSIC,teambuilder-match-4109733668,1637370273505,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,107.0,4.0,8.0,0.0,0.0,97.0,0.0,5.0,0.0,3.0,1.0,8.0,4.0,7.0,3.0,5.0,1.0,9.0,4.0,11.0,9.0,14.0,13.0,11.0,10.0,14.0,12.0,13.0,12.0,606.0,2046.0,4328.0,18850.0,16895.0,4216.0,3072.0,308.0,10214.0,843.0,NA1_4109733668,82.0,10.0,30.0,148.0,133.0,6.0,153.0,22.0,113.0,138.0,5591.0,1193.0,7339.0,1605.0,2501.0,1643.0,10624.0,5991.0,770.0,7263.0,400,2.0,,0.0,107841.0,140095.0,581455.0,221157.0,437704.0,161632.0,459759.0,438944.0,35942.0,13676.0,22.0,1320348.0,8206.0,3727.0,12617.0,20975.0,19890.0,5859.0,13697.0,6965.0,12229.0,10137.0,6561.0,4460.0,9734.0,8631.0,8537.0,6633.0,8530.0,6749.0,9996.0,8316.0,1.0,3.0,2009.0,488.0,950.0,520.0,493.0,0.0,0.0,664.0,1245.0,2030.0,0.0,7.0,10.0,3.0,205.0,3.0,9.0,5.0,8.0,8.0,6.0,0.0,1.0,100.0,8167.0,5517.0,11600.0,10722.0,8212.0,6572.0,12269.0,8751.0,11139.0,9477.0,,,,,
0.0,1.0,13.0,5.0,2.0,8.0,6.0,1.0,6.0,9.0,5.0,0.0,1.0,1230.0,870.0,632.0,101.0,337.0,801.0,1559.0,538.0,1604.0,2330.0,2.0,3.0,9.0,7.0,4.0,5.0,3.0,2.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,2442,1637366737816,4109660553,CLASSIC,teambuilder-match-4109660553,1637364295257,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,4.0,0.0,0.0,12.0,145.0,0.0,8.0,0.0,3.0,1.0,2.0,7.0,3.0,2.0,2.0,2.0,10.0,12.0,13.0,11.0,12.0,12.0,12.0,11.0,13.0,13.0,14.0,12.0,2420.0,5048.0,0.0,12639.0,274.0,6747.0,3642.0,1128.0,26588.0,1363.0,NA1_4109660553,134.0,30.0,12.0,93.0,147.0,12.0,158.0,12.0,145.0,142.0,5488.0,1320.0,6535.0,1014.0,9797.0,687.0,9533.0,2162.0,1238.0,14315.0,400,0.0,1.0,0.0,563754.0,82330.0,287037.0,92842.0,41892.0,220269.0,77481.0,422034.0,159404.0,405192.0,22.0,1320386.0,8101.0,6802.0,6984.0,14214.0,10071.0,8070.0,13176.0,3729.0,28471.0,16487.0,7495.0,6295.0,7097.0,8406.0,9062.0,6161.0,9164.0,8188.0,10634.0,11155.0,6.0,1.0,192.0,434.0,448.0,559.0,0.0,635.0,1.0,438.0,645.0,808.0,0.0,6.0,10.0,2.0,6.0,1.0,12.0,9.0,4.0,11.0,6.0,0.0,,100.0,10220.0,8058.0,8669.0,9703.0,9311.0,7853.0,11269.0,10700.0,11873.0,9296.0,,1.0,,,
0.0,1.0,7.0,1.0,5.0,7.0,9.0,5.0,4.0,10.0,5.0,0.0,0.0,1319.0,907.0,20.0,133.0,1573.0,199.0,1043.0,773.0,750.0,630.0,6.0,7.0,3.0,5.0,4.0,11.0,3.0,6.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1742,1637393313938,4110134274,CLASSIC,teambuilder-match-4110134274,1637391571197,MATCHED_GAME,11.23.409.111,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0,16.0,4.0,0.0,81.0,8.0,0.0,23.0,94.0,1.0,2.0,0.0,3.0,4.0,8.0,2.0,9.0,2.0,4.0,11.0,4.0,6.0,13.0,11.0,12.0,11.0,13.0,9.0,13.0,12.0,10.0,13.0,10134.0,109.0,11436.0,3754.0,625.0,5706.0,408.0,713.0,7659.0,15304.0,NA1_4110134274,167.0,97.0,87.0,6.0,169.0,12.0,162.0,25.0,42.0,161.0,2489.0,6529.0,1222.0,2143.0,17323.0,1175.0,9138.0,15461.0,1781.0,719.0,440,2.0,,0.0,389724.0,49129.0,41257.0,463783.0,89453.0,179359.0,112952.0,173087.0,260747.0,144034.0,22.0,1320391.0,13213.0,6844.0,13219.0,6507.0,19322.0,6881.0,9546.0,16827.0,10583.0,16710.0,8684.0,7377.0,8205.0,6708.0,12127.0,6898.0,9308.0,9923.0,6910.0,9754.0,3.0,3.0,590.0,205.0,560.0,610.0,1373.0,0.0,0.0,652.0,1142.0,686.0,0.0,47.0,6.0,6.0,1.0,6.0,28.0,3.0,3.0,25.0,5.0,0.0,,200.0,10532.0,7998.0,9405.0,7542.0,10812.0,5774.0,11199.0,9608.0,6939.0,10911.0,,1.0,,,
0.0,3.0,7.0,4.0,7.0,5.0,9.0,0.0,4.0,2.0,6.0,0.0,1.0,1299.0,228.0,1172.0,525.0,780.0,68.0,788.0,641.0,180.0,224.0,3.0,2.0,2.0,6.0,5.0,1.0,3.0,1.0,3.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,1756,1637390537002,4110057124,CLASSIC,teambuilder-match-4110057124,1637388780647,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,134.0,0.0,5.0,0.0,23.0,0.0,0.0,92.0,0.0,6.0,1.0,4.0,2.0,2.0,0.0,4.0,6.0,6.0,0.0,13.0,10.0,13.0,12.0,12.0,9.0,14.0,13.0,12.0,11.0,7537.0,5127.0,1565.0,6087.0,1646.0,4088.0,6360.0,7926.0,330.0,666.0,NA1_4110057124,130.0,6.0,27.0,124.0,160.0,10.0,177.0,164.0,176.0,18.0,1453.0,700.0,5582.0,787.0,6487.0,791.0,4002.0,1164.0,9688.0,5246.0,440,0.0,1.0,0.0,142232.0,35651.0,246876.0,101540.0,24626.0,86966.0,172813.0,75775.0,29809.0,298560.0,22.0,1320313.0,9432.0,6206.0,8530.0,6875.0,9003.0,5108.0,10912.0,11376.0,10472.0,7405.0,9899.0,5278.0,8837.0,8170.0,8505.0,5088.0,10188.0,9050.0,9355.0,6874.0,4.0,3.0,442.0,378.0,1382.0,0.0,868.0,228.0,549.0,2285.0,452.0,1492.0,1.0,5.0,18.0,3.0,9.0,7.0,14.0,9.0,23.0,5.0,3.0,0.0,,200.0,10169.0,7241.0,9962.0,9101.0,9508.0,5962.0,11813.0,11043.0,9007.0,8151.0,1.0,,,,
0.0,7.0,7.0,5.0,5.0,7.0,12.0,3.0,8.0,3.0,7.0,0.0,0.0,1356.0,884.0,6.0,517.0,929.0,428.0,25.0,1293.0,1565.0,912.0,3.0,5.0,2.0,4.0,2.0,5.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,2113,1637380097615,4109874603,CLASSIC,teambuilder-match-4109874603,1637377984129,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,8.0,0.0,12.0,104.0,8.0,0.0,0.0,4.0,1.0,3.0,2.0,5.0,1.0,6.0,5.0,4.0,0.0,13.0,9.0,12.0,12.0,11.0,9.0,13.0,12.0,14.0,11.0,3394.0,0.0,5266.0,6155.0,206.0,6387.0,9825.0,975.0,6968.0,667.0,NA1_4109874603,128.0,11.0,21.0,141.0,175.0,16.0,154.0,10.0,188.0,134.0,3495.0,5173.0,371.0,985.0,11607.0,906.0,2599.0,8882.0,694.0,4513.0,440,1.0,,0.0,187762.0,34124.0,187374.0,528224.0,53096.0,122004.0,75846.0,402376.0,113636.0,389409.0,22.0,1320478.0,6889.0,5354.0,5970.0,7569.0,12210.0,7294.0,12641.0,10104.0,7662.0,5181.0,7581.0,5858.0,7906.0,7197.0,10499.0,5853.0,9690.0,8808.0,9110.0,6677.0,2.0,3.0,0.0,180.0,333.0,428.0,397.0,0.0,216.0,246.0,0.0,0.0,1.0,93.0,17.0,3.0,8.0,4.0,24.0,8.0,12.0,7.0,8.0,1.0,,200.0,10242.0,5849.0,9079.0,8856.0,8556.0,6052.0,10288.0,8643.0,11657.0,7573.0,,,,,
