airdragon_team100,assistsplayer_1,assistsplayer_10,assistsplayer_2,assistsplayer_3,assistsplayer_4,assistsplayer_5,assistsplayer_6,assistsplayer_7,assistsplayer_8,assistsplayer_9,baron_team100,chemtechdragon_team100,currentGold_1,currentGold_10,currentGold_2,currentGold_3,currentGold_4,currentGold_5,currentGold_6,currentGold_7,currentGold_8,currentGold_9,deathsplayer_1,deathsplayer_10,deathsplayer_2,deathsplayer_3,deathsplayer_4,deathsplayer_5,deathsplayer_6,deathsplayer_7,deathsplayer_8,deathsplayer_9,dragon_team100,dragon_team200,earthdragon_team100,earthdragon_team200,firedragon_team100,firedragon_team200,gameDuration,gameEndTimestamp,gameId,gameMode,gameName,gameStartTimestamp,gameType,gameVersion,goldPerSecond_1,goldPerSecond_10,goldPerSecond_2,goldPerSecond_3,goldPerSecond_4,goldPerSecond_5,goldPerSecond_6,goldPerSecond_7,goldPerSecond_8,goldPerSecond_9,hextechdragon_team200,inhibs_lost_team200,jungleMinionsKilled_1,jungleMinionsKilled_10,jungleMinionsKilled_2,jungleMinionsKilled_3,jungleMinionsKilled_4,jungleMinionsKilled_5,jungleMinionsKilled_6,jungleMinionsKilled_7,jungleMinionsKilled_8,jungleMinionsKilled_9,killsplayer_0,killsplayer_1,killsplayer_10,killsplayer_2,killsplayer_3,killsplayer_4,killsplayer_5,killsplayer_6,killsplayer_7,killsplayer_8,killsplayer_9,level_1,level_10,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,magicDamageDoneToChampions_1,magicDamageDoneToChampions_10,magicDamageDoneToChampions_2,magicDamageDoneToChampions_3,magicDamageDoneToChampions_4,magicDamageDoneToChampions_5,magicDamageDoneToChampions_6,magicDamageDoneToChampions_7,magicDamageDoneToChampions_8,magicDamageDoneToChampions_9,matchId,minionsKilled_1,minionsKilled_10,minionsKilled_2,minionsKilled_3,minionsKilled_4,minionsKilled_5,minionsKilled_6,minionsKilled_7,minionsKilled_8,minionsKilled_9,physicalDamageDoneToChampions_1,physicalDamageDoneToChampions_10,physicalDamageDoneToChampions_2,physicalDamageDoneToChampions_3,physicalDamageDoneToChampions_4,physicalDamageDoneToChampions_5,physicalDamageDoneToChampions_6,physicalDamageDoneToChampions_7,physicalDamageDoneToChampions_8,physicalDamageDoneToChampions_9,queueId,riftherald_team100,riftherald_team300,timeEnemySpentControlled_1,timeEnemySpentControlled_10,timeEnemySpentControlled_2,timeEnemySpentControlled_3,timeEnemySpentControlled_4,timeEnemySpentControlled_5,timeEnemySpentControlled_6,timeEnemySpentControlled_7,timeEnemySpentControlled_8,timeEnemySpentControlled_9,time_cutoff,timestamp,totalDamageDoneToChampions_1,totalDamageDoneToChampions_10,totalDamageDoneToChampions_2,totalDamageDoneToChampions_3,totalDamageDoneToChampions_4,totalDamageDoneToChampions_5,totalDamageDoneToChampions_6,totalDamageDoneToChampions_7,totalDamageDoneToChampions_8,totalDamageDoneToChampions_9,totalGold_1,totalGold_10,totalGold_2,totalGold_3,totalGold_4,totalGold_5,totalGold_6,totalGold_7,totalGold_8,totalGold_9,towers_lost_team100,towers_lost_team200,trueDamageDoneToChampions_1,trueDamageDoneToChampions_10,trueDamageDoneToChampions_2,trueDamageDoneToChampions_3,trueDamageDoneToChampions_4,trueDamageDoneToChampions_5,trueDamageDoneToChampions_6,trueDamageDoneToChampions_7,trueDamageDoneToChampions_8,trueDamageDoneToChampions_9,ward_player_0,ward_player_1,ward_player_10,ward_player_2,ward_player_3,ward_player_4,ward_player_5,ward_player_6,ward_player_7,ward_player_8,ward_player_9,waterdragon_team100,winningTeam,xp_1,xp_10,xp_2,xp_3,xp_4,xp_5,xp_6,xp_7,xp_8,xp_9
0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,567.0,63.0,286.0,464.0,118.0,634.0,564.0,203.0,199.0,1148.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1640,1637210056794,4107566693,CLASSIC,teambuilder-match-4107566693,1637208415785,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,686.0,706.0,421.0,789.0,36.0,131.0,140.0,72.0,1210.0,49.0,NA1_4107566693,16.0,1.0,0.0,16.0,14.0,2.0,15.0,0.0,20.0,22.0,401.0,320.0,557.0,382.0,307.0,212.0,94.0,846.0,349.0,1191.0,420,0.0,0.0,4029.0,17675.0,112213.0,7369.0,64723.0,14238.0,14765.0,79752.0,4096.0,15095.0,4.0,240099.0,1087.0,1062.0,1067.0,1172.0,492.0,397.0,234.0,983.0,1560.0,1264.0,1067.0,1348.0,1461.0,1439.0,1318.0,1209.0,1064.0,1778.0,1769.0,1648.0,0.0,0.0,0.0,36.0,88.0,0.0,148.0,54.0,0.0,64.0,0.0,24.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,100.0,1207.0,853.0,1067.0,1135.0,862.0,657.0,1295.0,1171.0,1222.0,974.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613.0,550.0,823.0,256.0,676.0,493.0,648.0,775.0,356.0,707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2319,1637193865535,4107179574,CLASSIC,teambuilder-match-4107179574,1637191545906,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,0.0,50.0,0.0,485.0,38.0,584.0,1032.0,0.0,271.0,0.0,NA1_4107179574,17.0,0.0,1.0,21.0,21.0,1.0,19.0,0.0,23.0,24.0,584.0,693.0,112.0,343.0,544.0,249.0,297.0,0.0,570.0,637.0,400,0.0,0.0,0.0,3767.0,62092.0,23808.0,2216.0,19033.0,1519.0,57530.0,9913.0,8987.0,4.0,240084.0,584.0,744.0,112.0,862.0,582.0,834.0,1329.0,0.0,891.0,637.0,1113.0,1050.0,1323.0,1601.0,1176.0,993.0,1148.0,1275.0,1266.0,1207.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,100.0,1104.0,887.0,1126.0,1572.0,868.0,809.0,1386.0,1082.0,1385.0,887.0
0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,231.0,43.0,172.0,94.0,1683.0,844.0,694.0,1382.0,767.0,183.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1705,1637366060531,4109601154,CLASSIC,teambuilder-match-4109601154,1637364355109,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,162.0,54.0,29.0,253.0,1446.0,418.0,119.0,127.0,570.0,353.0,NA1_4109601154,18.0,3.0,0.0,22.0,22.0,0.0,22.0,0.0,18.0,4.0,53.0,87.0,514.0,911.0,512.0,400.0,347.0,808.0,0.0,445.0,420,0.0,0.0,19189.0,4227.0,31053.0,8949.0,24075.0,20553.0,2476.0,43166.0,18758.0,0.0,4.0,240090.0,216.0,142.0,696.0,1295.0,1959.0,875.0,466.0,1040.0,570.0,798.0,1081.0,968.0,1372.0,1204.0,2183.0,1344.0,1194.0,1882.0,1277.0,983.0,0.0,0.0,0.0,0.0,152.0,130.0,0.0,56.0,0.0,104.0,0.0,0.0,0.0,37.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,100.0,1356.0,344.0,1022.0,1163.0,788.0,788.0,1054.0,1211.0,1270.0,303.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,539.0,188.0,321.0,154.0,867.0,311.0,39.0,69.0,132.0,170.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1555,1637364465174,4109587944,CLASSIC,teambuilder-match-4109587944,1637362910041,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,269.0,161.0,0.0,520.0,0.0,470.0,0.0,58.0,217.0,115.0,NA1_4109587944,16.0,9.0,14.0,18.0,0.0,8.0,20.0,0.0,11.0,8.0,181.0,374.0,1629.0,355.0,49.0,47.0,1045.0,86.0,157.0,1534.0,420,0.0,0.0,10471.0,10410.0,0.0,5845.0,181717.0,24837.0,11464.0,83239.0,0.0,495.0,4.0,240103.0,451.0,535.0,1629.0,925.0,49.0,518.0,1045.0,165.0,374.0,1649.0,1039.0,1063.0,1321.0,1524.0,1367.0,1111.0,1589.0,1519.0,1282.0,1520.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,100.0,1386.0,833.0,684.0,1433.0,1198.0,806.0,1217.0,1340.0,1262.0,473.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,58.0,309.0,329.0,952.0,152.0,603.0,112.0,337.0,1209.0,177.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1811,1637362431191,4109553906,CLASSIC,teambuilder-match-4109553906,1637360619305,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,0.0,124.0,44.0,508.0,43.0,132.0,0.0,351.0,0.0,90.0,NA1_4109553906,17.0,2.0,0.0,20.0,15.0,2.0,11.0,22.0,0.0,14.0,1123.0,237.0,373.0,206.0,1197.0,550.0,1072.0,890.0,488.0,920.0,420,0.0,0.0,1089.0,12781.0,62360.0,18272.0,0.0,8454.0,792.0,60901.0,42289.0,54460.0,4.0,240089.0,1211.0,415.0,442.0,716.0,1240.0,754.0,1072.0,1242.0,673.0,1324.0,1433.0,1234.0,1479.0,1462.0,1352.0,1103.0,1112.0,1197.0,1709.0,1177.0,0.0,0.0,88.0,54.0,24.0,1.0,0.0,72.0,0.0,0.0,185.0,314.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,100.0,1200.0,349.0,857.0,1284.0,883.0,564.0,755.0,1446.0,1397.0,740.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.0,115.0,777.0,694.0,123.0,77.0,627.0,843.0,257.0,753.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2066,1637372340269,4109733668,CLASSIC,teambuilder-match-4109733668,1637370273505,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,19.0,0.0,0.0,1031.0,459.0,224.0,482.0,46.0,109.0,0.0,NA1_4109733668,15.0,4.0,0.0,22.0,18.0,0.0,18.0,0.0,13.0,25.0,403.0,0.0,148.0,353.0,351.0,282.0,779.0,89.0,0.0,370.0,400,0.0,0.0,25003.0,1948.0,126646.0,15957.0,43628.0,8126.0,44992.0,76048.0,9051.0,0.0,4.0,240098.0,552.0,0.0,148.0,1494.0,864.0,506.0,1261.0,152.0,109.0,420.0,1033.0,915.0,1277.0,1204.0,1273.0,1312.0,1127.0,1343.0,1067.0,1253.0,0.0,0.0,130.0,0.0,0.0,110.0,54.0,0.0,0.0,16.0,0.0,50.0,0.0,0.0,1.0,2.0,25.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,100.0,1255.0,508.0,1171.0,1416.0,771.0,771.0,1235.0,1070.0,1416.0,1109.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,767.0,436.0,777.0,687.0,728.0,372.0,606.0,636.0,1079.0,767.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2442,1637366737816,4109660553,CLASSIC,teambuilder-match-4109660553,1637364295257,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,36.0,240.0,0.0,76.0,0.0,125.0,101.0,0.0,1009.0,0.0,NA1_4109660553,25.0,5.0,0.0,22.0,26.0,0.0,17.0,0.0,24.0,26.0,230.0,177.0,362.0,139.0,331.0,39.0,759.0,0.0,434.0,680.0,400,0.0,0.0,23975.0,5490.0,71184.0,2509.0,1849.0,24619.0,12153.0,29791.0,1519.0,60382.0,4.0,240055.0,267.0,417.0,402.0,216.0,331.0,165.0,861.0,0.0,1547.0,704.0,1267.0,936.0,1277.0,1197.0,1228.0,872.0,1106.0,1136.0,1579.0,1267.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,104.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,100.0,1311.0,808.0,1077.0,1386.0,864.0,864.0,1175.0,1015.0,1704.0,808.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,690.0,371.0,505.0,140.0,1321.0,212.0,655.0,551.0,217.0,729.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1742,1637393313938,4110134274,CLASSIC,teambuilder-match-4110134274,1637391571197,MATCHED_GAME,11.23.409.111,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,496.0,0.0,400.0,223.0,77.0,627.0,45.0,97.0,300.0,614.0,NA1_4110134274,21.0,6.0,11.0,0.0,17.0,0.0,19.0,0.0,5.0,24.0,208.0,559.0,136.0,385.0,2335.0,735.0,394.0,1419.0,248.0,514.0,440,0.0,0.0,8400.0,4215.0,8165.0,159672.0,5452.0,26446.0,17986.0,8430.0,21181.0,13418.0,4.0,240056.0,704.0,559.0,537.0,669.0,2413.0,1362.0,439.0,1517.0,638.0,1258.0,1190.0,871.0,1015.0,1240.0,1821.0,1472.0,1155.0,1751.0,1017.0,1239.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,90.0,130.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,200.0,1296.0,682.0,1224.0,898.0,1490.0,454.0,1207.0,1027.0,693.0,1326.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.0,632.0,736.0,838.0,340.0,506.0,725.0,708.0,710.0,723.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1756,1637390537002,4110057124,CLASSIC,teambuilder-match-4110057124,1637388780647,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,3.0,123.0,463.0,0.0,303.0,0.0,235.0,217.0,309.0,0.0,0.0,NA1_4110057124,15.0,0.0,0.0,25.0,12.0,2.0,23.0,24.0,20.0,0.0,60.0,228.0,0.0,86.0,315.0,268.0,335.0,297.0,768.0,0.0,440,0.0,0.0,1254.0,7764.0,88909.0,11506.0,3041.0,11204.0,15328.0,4791.0,4757.0,15529.0,4.0,240042.0,184.0,763.0,0.0,389.0,315.0,530.0,553.0,670.0,768.0,0.0,1085.0,1132.0,1236.0,1348.0,990.0,1006.0,1225.0,1218.0,1210.0,1223.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,26.0,0.0,64.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,200.0,1386.0,808.0,985.0,1446.0,600.0,994.0,1195.0,1400.0,808.0,969.0
0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,725.0,61.0,173.0,239.0,238.0,199.0,655.0,905.0,1008.0,683.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2113,1637380097615,4109874603,CLASSIC,teambuilder-match-4109874603,1637377984129,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,42.0,0.0,0.0,509.0,53.0,529.0,112.0,0.0,283.0,0.0,NA1_4109874603,23.0,0.0,1.0,17.0,23.0,2.0,19.0,1.0,23.0,21.0,55.0,467.0,0.0,271.0,1038.0,209.0,543.0,355.0,57.0,219.0,440,0.0,0.0,17150.0,0.0,90016.0,84725.0,8520.0,11955.0,0.0,151963.0,10173.0,61718.0,4.0,240093.0,98.0,491.0,0.0,831.0,1092.0,738.0,655.0,403.0,340.0,219.0,1225.0,1011.0,1323.0,1499.0,1438.0,1384.0,1155.0,1405.0,1518.0,1183.0,0.0,0.0,0.0,24.0,0.0,50.0,0.0,0.0,0.0,48.0,0.0,0.0,1.0,12.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,200.0,1409.0,696.0,1100.0,1272.0,970.0,970.0,1235.0,1306.0,1315.0,936.0
