airdragon_team100,assistsplayer_1,assistsplayer_10,assistsplayer_2,assistsplayer_3,assistsplayer_4,assistsplayer_5,assistsplayer_6,assistsplayer_7,assistsplayer_8,assistsplayer_9,baron_team100,chemtechdragon_team100,currentGold_1,currentGold_10,currentGold_2,currentGold_3,currentGold_4,currentGold_5,currentGold_6,currentGold_7,currentGold_8,currentGold_9,deathsplayer_1,deathsplayer_10,deathsplayer_2,deathsplayer_3,deathsplayer_4,deathsplayer_5,deathsplayer_6,deathsplayer_7,deathsplayer_8,deathsplayer_9,dragon_team100,dragon_team200,earthdragon_team100,earthdragon_team200,firedragon_team100,firedragon_team200,gameDuration,gameEndTimestamp,gameId,gameMode,gameName,gameStartTimestamp,gameType,gameVersion,goldPerSecond_1,goldPerSecond_10,goldPerSecond_2,goldPerSecond_3,goldPerSecond_4,goldPerSecond_5,goldPerSecond_6,goldPerSecond_7,goldPerSecond_8,goldPerSecond_9,hextechdragon_team200,inhibs_lost_team200,jungleMinionsKilled_1,jungleMinionsKilled_10,jungleMinionsKilled_2,jungleMinionsKilled_3,jungleMinionsKilled_4,jungleMinionsKilled_5,jungleMinionsKilled_6,jungleMinionsKilled_7,jungleMinionsKilled_8,jungleMinionsKilled_9,killsplayer_0,killsplayer_1,killsplayer_10,killsplayer_2,killsplayer_3,killsplayer_4,killsplayer_5,killsplayer_6,killsplayer_7,killsplayer_8,killsplayer_9,level_1,level_10,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,magicDamageDoneToChampions_1,magicDamageDoneToChampions_10,magicDamageDoneToChampions_2,magicDamageDoneToChampions_3,magicDamageDoneToChampions_4,magicDamageDoneToChampions_5,magicDamageDoneToChampions_6,magicDamageDoneToChampions_7,magicDamageDoneToChampions_8,magicDamageDoneToChampions_9,matchId,minionsKilled_1,minionsKilled_10,minionsKilled_2,minionsKilled_3,minionsKilled_4,minionsKilled_5,minionsKilled_6,minionsKilled_7,minionsKilled_8,minionsKilled_9,physicalDamageDoneToChampions_1,physicalDamageDoneToChampions_10,physicalDamageDoneToChampions_2,physicalDamageDoneToChampions_3,physicalDamageDoneToChampions_4,physicalDamageDoneToChampions_5,physicalDamageDoneToChampions_6,physicalDamageDoneToChampions_7,physicalDamageDoneToChampions_8,physicalDamageDoneToChampions_9,queueId,riftherald_team100,riftherald_team300,timeEnemySpentControlled_1,timeEnemySpentControlled_10,timeEnemySpentControlled_2,timeEnemySpentControlled_3,timeEnemySpentControlled_4,timeEnemySpentControlled_5,timeEnemySpentControlled_6,timeEnemySpentControlled_7,timeEnemySpentControlled_8,timeEnemySpentControlled_9,time_cutoff,timestamp,totalDamageDoneToChampions_1,totalDamageDoneToChampions_10,totalDamageDoneToChampions_2,totalDamageDoneToChampions_3,totalDamageDoneToChampions_4,totalDamageDoneToChampions_5,totalDamageDoneToChampions_6,totalDamageDoneToChampions_7,totalDamageDoneToChampions_8,totalDamageDoneToChampions_9,totalGold_1,totalGold_10,totalGold_2,totalGold_3,totalGold_4,totalGold_5,totalGold_6,totalGold_7,totalGold_8,totalGold_9,towers_lost_team100,towers_lost_team200,trueDamageDoneToChampions_1,trueDamageDoneToChampions_10,trueDamageDoneToChampions_2,trueDamageDoneToChampions_3,trueDamageDoneToChampions_4,trueDamageDoneToChampions_5,trueDamageDoneToChampions_6,trueDamageDoneToChampions_7,trueDamageDoneToChampions_8,trueDamageDoneToChampions_9,ward_player_0,ward_player_1,ward_player_10,ward_player_2,ward_player_3,ward_player_4,ward_player_5,ward_player_6,ward_player_7,ward_player_8,ward_player_9,waterdragon_team100,winningTeam,xp_1,xp_10,xp_2,xp_3,xp_4,xp_5,xp_6,xp_7,xp_8,xp_9,chemtechdragon_team200,hextechdragon_team100,airdragon_team200,waterdragon_team200
0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,0.0,109.0,362.0,312.0,169.0,64.0,204.0,533.0,1235.0,118.0,370.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1640,1637210056794,4107566693,CLASSIC,teambuilder-match-4107566693,1637208415785,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,5.0,4.0,4.0,5.0,4.0,4.0,6.0,5.0,5.0,5.0,1003.0,781.0,664.0,1860.0,51.0,278.0,738.0,109.0,2318.0,49.0,NA1_4107566693,32.0,2.0,0.0,28.0,28.0,6.0,28.0,1.0,38.0,44.0,443.0,320.0,922.0,428.0,590.0,393.0,291.0,1567.0,397.0,1191.0,420,0.0,0.0,21267.0,19821.0,127999.0,10176.0,93722.0,43600.0,37791.0,91809.0,59421.0,33595.0,6.0,360148.0,1446.0,1138.0,1674.0,2289.0,809.0,766.0,1090.0,1741.0,2716.0,1264.0,1634.0,1647.0,1837.0,1974.0,2164.0,1754.0,1883.0,2810.0,2638.0,2320.0,0.0,0.0,0.0,36.0,88.0,0.0,168.0,94.0,60.0,64.0,0.0,24.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,0.0,100.0,2291.0,1249.0,1283.0,2193.0,1515.0,1219.0,2584.0,2213.0,2206.0,1933.0,,,,
0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,753.0,451.0,245.0,616.0,267.0,162.0,237.0,364.0,216.0,358.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2319,1637193865535,4107179574,CLASSIC,teambuilder-match-4107179574,1637191545906,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,5.0,4.0,4.0,6.0,4.0,4.0,5.0,5.0,6.0,4.0,0.0,93.0,34.0,1256.0,91.0,944.0,2514.0,602.0,612.0,220.0,NA1_4107179574,37.0,0.0,1.0,32.0,36.0,1.0,28.0,1.0,39.0,35.0,1742.0,1420.0,760.0,470.0,783.0,322.0,736.0,278.0,1634.0,1676.0,400,0.0,0.0,3632.0,9250.0,62092.0,34118.0,5949.0,45198.0,3799.0,129040.0,14703.0,14602.0,6.0,360158.0,1742.0,1513.0,952.0,1793.0,875.0,1376.0,3381.0,961.0,2407.0,1897.0,1753.0,2101.0,1645.0,2446.0,1767.0,1362.0,1887.0,2389.0,2296.0,2358.0,0.0,0.0,0.0,0.0,157.0,66.0,0.0,110.0,130.0,80.0,160.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,100.0,2358.0,1549.0,1380.0,2720.0,1486.0,1337.0,2308.0,1881.0,2653.0,1488.0,,,,
0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,-22.0,647.0,806.0,459.0,757.0,526.0,373.0,274.0,416.0,149.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1705,1637366060531,4109601154,CLASSIC,teambuilder-match-4109601154,1637364355109,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,5.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,2.0,260.0,54.0,182.0,300.0,1875.0,644.0,139.0,273.0,2064.0,684.0,NA1_4109601154,30.0,5.0,2.0,34.0,34.0,4.0,42.0,0.0,35.0,5.0,217.0,304.0,829.0,1631.0,662.0,531.0,408.0,1112.0,93.0,677.0,420,0.0,0.0,27182.0,6274.0,34982.0,18530.0,43163.0,65799.0,3931.0,79247.0,60215.0,3236.0,6.0,360132.0,477.0,359.0,1163.0,2061.0,2537.0,1276.0,548.0,1539.0,2157.0,1362.0,1578.0,1572.0,2006.0,1704.0,2957.0,1946.0,1848.0,2499.0,1971.0,1249.0,0.0,0.0,0.0,0.0,152.0,130.0,0.0,100.0,0.0,154.0,0.0,0.0,0.0,55.0,2.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,1.0,0.0,100.0,2171.0,713.0,2027.0,1891.0,1719.0,1221.0,2230.0,1921.0,2275.0,379.0,,,,
0.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,281.0,76.0,508.0,182.0,650.0,8.0,667.0,1556.0,295.0,228.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1555,1637364465174,4109587944,CLASSIC,teambuilder-match-4109587944,1637362910041,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,3.0,1.0,2.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,6.0,5.0,4.0,795.0,446.0,0.0,1349.0,134.0,1023.0,166.0,173.0,698.0,115.0,NA1_4109587944,24.0,13.0,30.0,31.0,0.0,14.0,37.0,5.0,22.0,29.0,294.0,670.0,2225.0,728.0,1762.0,183.0,1807.0,2059.0,509.0,1602.0,420,0.0,0.0,15922.0,18502.0,4755.0,7430.0,206362.0,39971.0,23460.0,89947.0,0.0,1023.0,6.0,360151.0,1219.0,1117.0,2225.0,2155.0,1896.0,1207.0,1974.0,2252.0,1358.0,1718.0,1581.0,1751.0,1933.0,2417.0,2325.0,1758.0,2517.0,3016.0,1880.0,2178.0,0.0,0.0,130.0,0.0,0.0,78.0,0.0,0.0,0.0,20.0,150.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,100.0,2104.0,1507.0,1688.0,2398.0,1709.0,1479.0,2324.0,2509.0,2175.0,1292.0,,,,
0.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,194.0,288.0,1269.0,759.0,215.0,237.0,1383.0,449.0,435.0,1046.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1811,1637362431191,4109553906,CLASSIC,teambuilder-match-4109553906,1637360619305,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,2.0,4.0,5.0,5.0,3.0,6.0,5.0,5.0,4.0,45.0,256.0,69.0,734.0,74.0,300.0,0.0,415.0,0.0,203.0,NA1_4109553906,24.0,4.0,1.0,38.0,32.0,6.0,41.0,34.0,0.0,32.0,2722.0,412.0,963.0,309.0,1854.0,828.0,1849.0,1104.0,1228.0,1293.0,420,0.0,0.0,24211.0,17306.0,66257.0,25438.0,1585.0,13804.0,28039.0,109824.0,54937.0,91518.0,6.0,360114.0,2995.0,776.0,1056.0,1044.0,1929.0,1201.0,1849.0,1520.0,1493.0,1936.0,2219.0,1613.0,2419.0,2149.0,1940.0,1512.0,2383.0,1659.0,2435.0,2046.0,0.0,0.0,228.0,108.0,24.0,1.0,0.0,72.0,0.0,0.0,265.0,439.0,0.0,0.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,0.0,100.0,1756.0,656.0,1489.0,2345.0,1735.0,1022.0,2731.0,2321.0,2076.0,1661.0,,,,
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,398.0,478.0,565.0,784.0,446.0,687.0,1340.0,750.0,111.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2066,1637372340269,4109733668,CLASSIC,teambuilder-match-4109733668,1637370273505,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,5.0,6.0,4.0,4.0,6.0,4.0,5.0,4.0,45.0,84.0,50.0,1460.0,978.0,407.0,751.0,46.0,323.0,0.0,NA1_4109733668,21.0,5.0,0.0,37.0,37.0,0.0,39.0,0.0,24.0,29.0,644.0,146.0,372.0,447.0,753.0,499.0,779.0,189.0,0.0,835.0,400,0.0,0.0,36140.0,8885.0,163153.0,47039.0,82332.0,35615.0,113870.0,160292.0,11463.0,1751.0,6.0,360102.0,819.0,284.0,423.0,2018.0,1786.0,906.0,1530.0,252.0,323.0,951.0,1383.0,1198.0,1853.0,1795.0,1934.0,1681.0,1837.0,1840.0,1570.0,1561.0,0.0,0.0,130.0,54.0,0.0,110.0,54.0,0.0,0.0,16.0,0.0,116.0,0.0,1.0,2.0,3.0,42.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,100.0,2070.0,602.0,1815.0,2590.0,1678.0,1617.0,2533.0,1570.0,2317.0,1232.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,855.0,149.0,686.0,1400.0,789.0,572.0,444.0,254.0,1365.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2442,1637366737816,4109660553,CLASSIC,teambuilder-match-4109660553,1637364295257,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,6.0,4.0,36.0,240.0,0.0,291.0,0.0,475.0,302.0,0.0,1488.0,0.0,NA1_4109660553,37.0,8.0,0.0,33.0,48.0,2.0,36.0,0.0,38.0,41.0,230.0,177.0,1017.0,186.0,469.0,131.0,1394.0,0.0,434.0,884.0,400,0.0,0.0,41945.0,5490.0,75444.0,5581.0,3929.0,44863.0,17373.0,92360.0,3038.0,77689.0,6.0,360106.0,267.0,417.0,1057.0,477.0,469.0,710.0,1697.0,0.0,2027.0,908.0,1764.0,1355.0,1689.0,1631.0,1900.0,1289.0,1722.0,1779.0,2149.0,1865.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,104.0,0.0,0.0,104.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,100.0,1949.0,1430.0,1453.0,2198.0,1674.0,1674.0,2351.0,1701.0,2580.0,1612.0,,,,
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,620.0,1093.0,77.0,589.0,944.0,66.0,213.0,992.0,63.0,1956.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1742,1637393313938,4110134274,CLASSIC,teambuilder-match-4110134274,1637391571197,MATCHED_GAME,11.23.409.111,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,2.0,5.0,5.0,5.0,4.0,6.0,3.0,5.0,4.0,3.0,6.0,744.0,0.0,493.0,526.0,134.0,1077.0,92.0,131.0,750.0,911.0,NA1_4110134274,43.0,17.0,18.0,1.0,36.0,0.0,31.0,4.0,9.0,42.0,387.0,943.0,136.0,691.0,3233.0,794.0,973.0,2432.0,686.0,595.0,440,0.0,0.0,10448.0,8346.0,10411.0,214522.0,8726.0,37587.0,31109.0,27634.0,41771.0,23861.0,6.0,360084.0,1261.0,943.0,750.0,1294.0,3368.0,1871.0,1066.0,2564.0,1679.0,1637.0,1855.0,1593.0,1372.0,1689.0,2744.0,1991.0,2013.0,2192.0,1563.0,2486.0,0.0,0.0,130.0,0.0,120.0,76.0,0.0,0.0,0.0,0.0,242.0,130.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,0.0,200.0,2383.0,1746.0,1991.0,1487.0,2443.0,796.0,2081.0,1572.0,1049.0,2480.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,196.0,99.0,539.0,1043.0,239.0,95.0,173.0,156.0,419.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1756,1637390537002,4110057124,CLASSIC,teambuilder-match-4110057124,1637388780647,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,4.0,6.0,4.0,4.0,5.0,5.0,4.0,4.0,535.0,622.0,0.0,421.0,42.0,235.0,446.0,309.0,0.0,0.0,NA1_4110057124,27.0,0.0,0.0,43.0,33.0,3.0,41.0,37.0,38.0,1.0,289.0,369.0,0.0,86.0,315.0,268.0,820.0,297.0,859.0,0.0,440,0.0,0.0,17429.0,9019.0,97928.0,27031.0,3041.0,13318.0,34523.0,4791.0,4757.0,55814.0,6.0,360056.0,824.0,1063.0,0.0,508.0,357.0,530.0,1267.0,670.0,859.0,0.0,2040.0,1481.0,1774.0,2069.0,1693.0,1289.0,1820.0,1788.0,1756.0,1794.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,26.0,0.0,64.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,200.0,2672.0,1489.0,1443.0,2714.0,1630.0,1388.0,2249.0,2278.0,1466.0,1565.0,,,,
0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,212.0,370.0,549.0,978.0,976.0,468.0,1796.0,35.0,903.0,253.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2113,1637380097615,4109874603,CLASSIC,teambuilder-match-4109874603,1637377984129,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0,3.0,4.0,6.0,5.0,4.0,6.0,5.0,5.0,4.0,341.0,0.0,232.0,628.0,53.0,529.0,516.0,101.0,329.0,0.0,NA1_4109874603,33.0,0.0,1.0,41.0,46.0,2.0,40.0,6.0,41.0,29.0,579.0,604.0,0.0,424.0,1038.0,209.0,1203.0,1184.0,57.0,359.0,440,0.0,0.0,39119.0,0.0,90809.0,191978.0,8520.0,14368.0,4263.0,181099.0,15127.0,85303.0,6.0,360114.0,920.0,628.0,232.0,1121.0,1092.0,738.0,1720.0,1334.0,386.0,359.0,1687.0,1320.0,1699.0,2258.0,2176.0,1653.0,2296.0,2335.0,2123.0,1603.0,0.0,0.0,0.0,24.0,0.0,68.0,0.0,0.0,0.0,48.0,0.0,0.0,1.0,19.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,200.0,2103.0,922.0,1422.0,2541.0,1925.0,1290.0,2605.0,2293.0,2313.0,1283.0,,,,
