airdragon_team100,assistsplayer_1,assistsplayer_10,assistsplayer_2,assistsplayer_3,assistsplayer_4,assistsplayer_5,assistsplayer_6,assistsplayer_7,assistsplayer_8,assistsplayer_9,baron_team100,chemtechdragon_team100,currentGold_1,currentGold_10,currentGold_2,currentGold_3,currentGold_4,currentGold_5,currentGold_6,currentGold_7,currentGold_8,currentGold_9,deathsplayer_1,deathsplayer_10,deathsplayer_2,deathsplayer_3,deathsplayer_4,deathsplayer_5,deathsplayer_6,deathsplayer_7,deathsplayer_8,deathsplayer_9,dragon_team100,dragon_team200,earthdragon_team100,earthdragon_team200,firedragon_team100,firedragon_team200,gameDuration,gameEndTimestamp,gameId,gameMode,gameName,gameStartTimestamp,gameType,gameVersion,goldPerSecond_1,goldPerSecond_10,goldPerSecond_2,goldPerSecond_3,goldPerSecond_4,goldPerSecond_5,goldPerSecond_6,goldPerSecond_7,goldPerSecond_8,goldPerSecond_9,hextechdragon_team200,inhibs_lost_team200,jungleMinionsKilled_1,jungleMinionsKilled_10,jungleMinionsKilled_2,jungleMinionsKilled_3,jungleMinionsKilled_4,jungleMinionsKilled_5,jungleMinionsKilled_6,jungleMinionsKilled_7,jungleMinionsKilled_8,jungleMinionsKilled_9,killsplayer_0,killsplayer_1,killsplayer_10,killsplayer_2,killsplayer_3,killsplayer_4,killsplayer_5,killsplayer_6,killsplayer_7,killsplayer_8,killsplayer_9,level_1,level_10,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,magicDamageDoneToChampions_1,magicDamageDoneToChampions_10,magicDamageDoneToChampions_2,magicDamageDoneToChampions_3,magicDamageDoneToChampions_4,magicDamageDoneToChampions_5,magicDamageDoneToChampions_6,magicDamageDoneToChampions_7,magicDamageDoneToChampions_8,magicDamageDoneToChampions_9,matchId,minionsKilled_1,minionsKilled_10,minionsKilled_2,minionsKilled_3,minionsKilled_4,minionsKilled_5,minionsKilled_6,minionsKilled_7,minionsKilled_8,minionsKilled_9,physicalDamageDoneToChampions_1,physicalDamageDoneToChampions_10,physicalDamageDoneToChampions_2,physicalDamageDoneToChampions_3,physicalDamageDoneToChampions_4,physicalDamageDoneToChampions_5,physicalDamageDoneToChampions_6,physicalDamageDoneToChampions_7,physicalDamageDoneToChampions_8,physicalDamageDoneToChampions_9,queueId,riftherald_team100,riftherald_team300,timeEnemySpentControlled_1,timeEnemySpentControlled_10,timeEnemySpentControlled_2,timeEnemySpentControlled_3,timeEnemySpentControlled_4,timeEnemySpentControlled_5,timeEnemySpentControlled_6,timeEnemySpentControlled_7,timeEnemySpentControlled_8,timeEnemySpentControlled_9,time_cutoff,timestamp,totalDamageDoneToChampions_1,totalDamageDoneToChampions_10,totalDamageDoneToChampions_2,totalDamageDoneToChampions_3,totalDamageDoneToChampions_4,totalDamageDoneToChampions_5,totalDamageDoneToChampions_6,totalDamageDoneToChampions_7,totalDamageDoneToChampions_8,totalDamageDoneToChampions_9,totalGold_1,totalGold_10,totalGold_2,totalGold_3,totalGold_4,totalGold_5,totalGold_6,totalGold_7,totalGold_8,totalGold_9,towers_lost_team100,towers_lost_team200,trueDamageDoneToChampions_1,trueDamageDoneToChampions_10,trueDamageDoneToChampions_2,trueDamageDoneToChampions_3,trueDamageDoneToChampions_4,trueDamageDoneToChampions_5,trueDamageDoneToChampions_6,trueDamageDoneToChampions_7,trueDamageDoneToChampions_8,trueDamageDoneToChampions_9,ward_player_0,ward_player_1,ward_player_10,ward_player_2,ward_player_3,ward_player_4,ward_player_5,ward_player_6,ward_player_7,ward_player_8,ward_player_9,waterdragon_team100,winningTeam,xp_1,xp_10,xp_2,xp_3,xp_4,xp_5,xp_6,xp_7,xp_8,xp_9,waterdragon_team200,airdragon_team200,chemtechdragon_team200,hextechdragon_team100
0.0,0.0,1.0,3.0,0.0,1.0,3.0,0.0,4.0,0.0,2.0,0.0,0.0,371.0,516.0,664.0,668.0,477.0,496.0,847.0,24.0,750.0,100.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1640,1637210056794,4107566693,CLASSIC,teambuilder-match-4107566693,1637208415785,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,4.0,5.0,6.0,5.0,4.0,7.0,6.0,6.0,5.0,1346.0,898.0,820.0,2089.0,51.0,369.0,965.0,109.0,2318.0,105.0,NA1_4107566693,40.0,2.0,0.0,32.0,39.0,9.0,37.0,1.0,56.0,53.0,443.0,320.0,1044.0,476.0,749.0,458.0,342.0,1567.0,397.0,1301.0,420,0.0,0.0,22324.0,21110.0,147190.0,11861.0,113603.0,48721.0,48560.0,95575.0,111438.0,37161.0,7.0,420155.0,1789.0,1255.0,1952.0,2566.0,988.0,922.0,1368.0,1741.0,2716.0,1431.0,1896.0,1801.0,2189.0,2473.0,2577.0,2046.0,2197.0,3149.0,3281.0,2650.0,0.0,0.0,0.0,36.0,88.0,0.0,187.0,94.0,60.0,64.0,0.0,24.0,0.0,2.0,2.0,3.0,4.0,0.0,2.0,2.0,3.0,3.0,2.0,0.0,100.0,2865.0,1550.0,1765.0,2519.0,1909.0,1625.0,3247.0,2604.0,3050.0,2333.0,,,,
0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1523.0,887.0,212.0,74.0,81.0,357.0,359.0,577.0,7.0,1087.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2319,1637193865535,4107179574,CLASSIC,teambuilder-match-4107179574,1637191545906,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,3.0,6.0,5.0,4.0,7.0,4.0,4.0,5.0,5.0,6.0,5.0,0.0,130.0,34.0,1400.0,155.0,1249.0,3166.0,602.0,637.0,242.0,NA1_4107179574,47.0,0.0,1.0,43.0,38.0,2.0,28.0,1.0,49.0,52.0,2420.0,2115.0,760.0,555.0,1171.0,358.0,970.0,278.0,1721.0,2174.0,400,0.0,0.0,3632.0,13017.0,62092.0,42970.0,5949.0,62445.0,3799.0,131154.0,19663.0,23455.0,7.0,420171.0,2420.0,2245.0,952.0,2043.0,1326.0,1718.0,4266.0,961.0,2520.0,2416.0,2523.0,2537.0,1852.0,2774.0,1931.0,1557.0,2009.0,2602.0,2587.0,3087.0,0.0,0.0,0.0,0.0,157.0,87.0,0.0,110.0,130.0,80.0,160.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,0.0,2.0,2.0,0.0,100.0,3108.0,2125.0,1638.0,3261.0,1637.0,1609.0,2368.0,2156.0,3073.0,2125.0,,,,
0.0,0.0,2.0,3.0,0.0,1.0,5.0,0.0,1.0,2.0,1.0,0.0,0.0,528.0,973.0,1569.0,241.0,1598.0,70.0,757.0,527.0,142.0,271.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1705,1637366060531,4109601154,CLASSIC,teambuilder-match-4109601154,1637364355109,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,6.0,4.0,6.0,5.0,6.0,4.0,6.0,5.0,6.0,2.0,260.0,108.0,489.0,346.0,2431.0,886.0,139.0,273.0,3125.0,1160.0,NA1_4109601154,37.0,7.0,3.0,34.0,46.0,4.0,54.0,0.0,41.0,5.0,489.0,518.0,1885.0,1631.0,759.0,531.0,408.0,1420.0,93.0,1038.0,420,0.0,0.0,38015.0,9874.0,46706.0,18530.0,50365.0,75014.0,3931.0,81164.0,67943.0,6869.0,7.0,420136.0,749.0,627.0,2663.0,2107.0,3190.0,1517.0,548.0,1848.0,3218.0,2199.0,2128.0,1898.0,2769.0,1986.0,3798.0,2215.0,2232.0,2752.0,2772.0,1371.0,0.0,0.0,0.0,0.0,288.0,130.0,0.0,100.0,0.0,154.0,0.0,0.0,0.0,73.0,2.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,1.0,0.0,100.0,2596.0,1207.0,2592.0,1948.0,2456.0,1402.0,2864.0,2192.0,2683.0,640.0,,,,
0.0,1.0,4.0,2.0,3.0,2.0,5.0,1.0,4.0,2.0,0.0,0.0,0.0,609.0,452.0,85.0,1499.0,795.0,289.0,273.0,374.0,67.0,1514.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1555,1637364465174,4109587944,CLASSIC,teambuilder-match-4109587944,1637362910041,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,3.0,0.0,1.0,4.0,1.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,795.0,558.0,53.0,2521.0,182.0,1509.0,166.0,525.0,1070.0,526.0,NA1_4109587944,33.0,15.0,36.0,38.0,0.0,15.0,42.0,6.0,22.0,36.0,294.0,1022.0,3560.0,1067.0,2464.0,230.0,1807.0,3460.0,739.0,2971.0,420,0.0,0.0,17607.0,18502.0,9749.0,10606.0,226969.0,51304.0,23460.0,102496.0,2674.0,1023.0,7.0,420152.0,1219.0,1581.0,3614.0,3714.0,2646.0,1740.0,1974.0,4005.0,1960.0,3498.0,1909.0,2127.0,2785.0,3734.0,3170.0,2039.0,2723.0,3709.0,2052.0,3464.0,0.0,0.0,130.0,0.0,0.0,125.0,0.0,0.0,0.0,20.0,150.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,0.0,100.0,2738.0,1888.0,2062.0,3128.0,2021.0,1763.0,2656.0,2944.0,2334.0,1857.0,,,,
0.0,1.0,2.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,508.0,109.0,731.0,1279.0,421.0,136.0,1638.0,906.0,978.0,118.0,2.0,3.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1811,1637362431191,4109553906,CLASSIC,teambuilder-match-4109553906,1637360619305,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,5.0,3.0,5.0,7.0,5.0,4.0,7.0,6.0,6.0,5.0,45.0,420.0,109.0,1262.0,74.0,468.0,0.0,460.0,0.0,203.0,NA1_4109553906,32.0,6.0,3.0,43.0,37.0,7.0,49.0,42.0,0.0,43.0,3537.0,634.0,1356.0,617.0,1854.0,1022.0,2229.0,1387.0,1769.0,1395.0,420,0.0,0.0,25631.0,41026.0,66257.0,25438.0,1585.0,16644.0,53601.0,156983.0,60982.0,109825.0,7.0,420128.0,3810.0,1163.0,1489.0,1881.0,1929.0,1692.0,2345.0,1847.0,2248.0,2113.0,2533.0,1984.0,2981.0,2669.0,2146.0,2111.0,2638.0,2126.0,2978.0,2703.0,0.0,0.0,228.0,108.0,24.0,1.0,0.0,202.0,116.0,0.0,479.0,513.0,0.0,1.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,0.0,100.0,2330.0,1085.0,1939.0,3288.0,2005.0,1694.0,3272.0,3089.0,2482.0,2073.0,,,,
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449.0,172.0,790.0,820.0,85.0,105.0,122.0,1668.0,180.0,485.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2066,1637372340269,4109733668,CLASSIC,teambuilder-match-4109733668,1637370273505,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,5.0,6.0,5.0,5.0,6.0,5.0,6.0,5.0,45.0,84.0,50.0,2386.0,978.0,407.0,799.0,89.0,323.0,0.0,NA1_4109733668,34.0,5.0,0.0,45.0,40.0,0.0,41.0,6.0,30.0,44.0,673.0,146.0,372.0,706.0,753.0,499.0,779.0,403.0,0.0,835.0,400,0.0,0.0,40370.0,8885.0,176696.0,63386.0,82332.0,35615.0,138878.0,198479.0,12487.0,1916.0,7.0,420135.0,849.0,284.0,423.0,3372.0,1786.0,906.0,1578.0,509.0,323.0,951.0,1774.0,1347.0,2165.0,2050.0,2105.0,1855.0,2147.0,2168.0,1845.0,1935.0,0.0,0.0,130.0,54.0,0.0,280.0,54.0,0.0,0.0,16.0,0.0,116.0,0.0,2.0,3.0,3.0,53.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,100.0,2944.0,620.0,2188.0,3071.0,1847.0,1786.0,2713.0,2177.0,2815.0,1944.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485.0,1024.0,402.0,990.0,1662.0,943.0,984.0,778.0,523.0,1676.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2442,1637366737816,4109660553,CLASSIC,teambuilder-match-4109660553,1637364295257,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,6.0,5.0,131.0,240.0,0.0,361.0,0.0,515.0,378.0,0.0,1839.0,0.0,NA1_4109660553,47.0,10.0,0.0,42.0,56.0,2.0,50.0,0.0,47.0,53.0,358.0,177.0,1017.0,186.0,527.0,131.0,1696.0,0.0,537.0,980.0,400,0.0,0.0,107358.0,6878.0,78878.0,11393.0,3929.0,47539.0,21865.0,125630.0,3863.0,101182.0,7.0,420135.0,489.0,417.0,1057.0,547.0,527.0,750.0,2074.0,0.0,2481.0,1004.0,2085.0,1524.0,1942.0,1945.0,2162.0,1443.0,2134.0,2113.0,2418.0,2176.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,104.0,0.0,0.0,104.0,24.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,0.0,100.0,2582.0,1861.0,1811.0,2922.0,1980.0,1980.0,3015.0,2119.0,3121.0,2042.0,,,,
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,507.0,375.0,667.0,992.0,1723.0,461.0,21.0,204.0,288.0,336.0,2.0,2.0,1.0,1.0,0.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1742,1637393313938,4110134274,CLASSIC,teambuilder-match-4110134274,1637391571197,MATCHED_GAME,11.23.409.111,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,28.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,1.0,2.0,2.0,0.0,2.0,6.0,5.0,6.0,5.0,7.0,3.0,6.0,5.0,4.0,6.0,1530.0,53.0,835.0,526.0,134.0,1287.0,137.0,166.0,816.0,911.0,NA1_4110134274,49.0,19.0,28.0,1.0,47.0,0.0,41.0,4.0,14.0,50.0,754.0,1108.0,298.0,691.0,4302.0,794.0,1846.0,2582.0,686.0,595.0,440,0.0,0.0,21018.0,13669.0,16294.0,236528.0,8726.0,48622.0,45286.0,29883.0,45703.0,27032.0,7.0,420095.0,2414.0,1161.0,1253.0,1294.0,4437.0,2081.0,1984.0,2748.0,1745.0,1637.0,2542.0,1750.0,1962.0,2092.0,3523.0,2386.0,2571.0,2454.0,1788.0,2741.0,0.0,0.0,130.0,0.0,120.0,76.0,0.0,0.0,0.0,0.0,242.0,130.0,0.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,0.0,200.0,3056.0,1878.0,2589.0,1775.0,3252.0,1037.0,2872.0,1935.0,1541.0,2840.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,689.0,444.0,406.0,724.0,291.0,373.0,437.0,435.0,512.0,626.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1756,1637390537002,4110057124,CLASSIC,teambuilder-match-4110057124,1637388780647,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,5.0,7.0,5.0,4.0,6.0,6.0,5.0,5.0,535.0,980.0,0.0,579.0,42.0,235.0,446.0,610.0,0.0,57.0,NA1_4110057124,37.0,1.0,0.0,46.0,40.0,3.0,51.0,46.0,49.0,1.0,289.0,509.0,0.0,86.0,442.0,268.0,820.0,297.0,1119.0,251.0,440,0.0,0.0,22188.0,11169.0,104339.0,39910.0,3041.0,13318.0,44768.0,15263.0,4757.0,75182.0,7.0,420065.0,824.0,1561.0,0.0,665.0,484.0,530.0,1267.0,1072.0,1119.0,308.0,2339.0,1729.0,2081.0,2254.0,1941.0,1423.0,2162.0,2050.0,2112.0,2001.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,26.0,0.0,165.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,1.0,2.0,0.0,200.0,3069.0,1941.0,1927.0,3196.0,1874.0,1632.0,2823.0,2796.0,1918.0,1854.0,,,,
0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,683.0,779.0,876.0,255.0,1319.0,37.0,312.0,498.0,37.0,700.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2113,1637380097615,4109874603,CLASSIC,teambuilder-match-4109874603,1637377984129,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,6.0,4.0,5.0,6.0,5.0,4.0,6.0,6.0,6.0,5.0,440.0,0.0,232.0,628.0,106.0,910.0,516.0,162.0,597.0,0.0,NA1_4109874603,36.0,0.0,1.0,47.0,53.0,2.0,49.0,7.0,48.0,42.0,776.0,1419.0,0.0,424.0,2211.0,209.0,1203.0,2216.0,118.0,972.0,440,0.0,0.0,47176.0,7001.0,90809.0,220747.0,11888.0,20547.0,4725.0,200421.0,27084.0,127257.0,7.0,420142.0,1216.0,1451.0,232.0,1121.0,2318.0,1119.0,1720.0,2426.0,715.0,972.0,2158.0,1729.0,2026.0,2485.0,2519.0,1962.0,2572.0,2798.0,2407.0,2050.0,0.0,0.0,0.0,32.0,0.0,68.0,0.0,0.0,0.0,48.0,0.0,0.0,1.0,23.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,200.0,2710.0,1491.0,2045.0,2811.0,2220.0,1575.0,3025.0,2439.0,2703.0,1852.0,,,,
