airdragon_team100,assistsplayer_1,assistsplayer_10,assistsplayer_2,assistsplayer_3,assistsplayer_4,assistsplayer_5,assistsplayer_6,assistsplayer_7,assistsplayer_8,assistsplayer_9,baron_team100,chemtechdragon_team100,currentGold_1,currentGold_10,currentGold_2,currentGold_3,currentGold_4,currentGold_5,currentGold_6,currentGold_7,currentGold_8,currentGold_9,deathsplayer_1,deathsplayer_10,deathsplayer_2,deathsplayer_3,deathsplayer_4,deathsplayer_5,deathsplayer_6,deathsplayer_7,deathsplayer_8,deathsplayer_9,dragon_team100,dragon_team200,earthdragon_team100,earthdragon_team200,firedragon_team100,firedragon_team200,gameDuration,gameEndTimestamp,gameId,gameMode,gameName,gameStartTimestamp,gameType,gameVersion,goldPerSecond_1,goldPerSecond_10,goldPerSecond_2,goldPerSecond_3,goldPerSecond_4,goldPerSecond_5,goldPerSecond_6,goldPerSecond_7,goldPerSecond_8,goldPerSecond_9,hextechdragon_team200,inhibs_lost_team200,jungleMinionsKilled_1,jungleMinionsKilled_10,jungleMinionsKilled_2,jungleMinionsKilled_3,jungleMinionsKilled_4,jungleMinionsKilled_5,jungleMinionsKilled_6,jungleMinionsKilled_7,jungleMinionsKilled_8,jungleMinionsKilled_9,killsplayer_0,killsplayer_1,killsplayer_10,killsplayer_2,killsplayer_3,killsplayer_4,killsplayer_5,killsplayer_6,killsplayer_7,killsplayer_8,killsplayer_9,level_1,level_10,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,magicDamageDoneToChampions_1,magicDamageDoneToChampions_10,magicDamageDoneToChampions_2,magicDamageDoneToChampions_3,magicDamageDoneToChampions_4,magicDamageDoneToChampions_5,magicDamageDoneToChampions_6,magicDamageDoneToChampions_7,magicDamageDoneToChampions_8,magicDamageDoneToChampions_9,matchId,minionsKilled_1,minionsKilled_10,minionsKilled_2,minionsKilled_3,minionsKilled_4,minionsKilled_5,minionsKilled_6,minionsKilled_7,minionsKilled_8,minionsKilled_9,physicalDamageDoneToChampions_1,physicalDamageDoneToChampions_10,physicalDamageDoneToChampions_2,physicalDamageDoneToChampions_3,physicalDamageDoneToChampions_4,physicalDamageDoneToChampions_5,physicalDamageDoneToChampions_6,physicalDamageDoneToChampions_7,physicalDamageDoneToChampions_8,physicalDamageDoneToChampions_9,queueId,riftherald_team100,riftherald_team300,timeEnemySpentControlled_1,timeEnemySpentControlled_10,timeEnemySpentControlled_2,timeEnemySpentControlled_3,timeEnemySpentControlled_4,timeEnemySpentControlled_5,timeEnemySpentControlled_6,timeEnemySpentControlled_7,timeEnemySpentControlled_8,timeEnemySpentControlled_9,time_cutoff,timestamp,totalDamageDoneToChampions_1,totalDamageDoneToChampions_10,totalDamageDoneToChampions_2,totalDamageDoneToChampions_3,totalDamageDoneToChampions_4,totalDamageDoneToChampions_5,totalDamageDoneToChampions_6,totalDamageDoneToChampions_7,totalDamageDoneToChampions_8,totalDamageDoneToChampions_9,totalGold_1,totalGold_10,totalGold_2,totalGold_3,totalGold_4,totalGold_5,totalGold_6,totalGold_7,totalGold_8,totalGold_9,towers_lost_team100,towers_lost_team200,trueDamageDoneToChampions_1,trueDamageDoneToChampions_10,trueDamageDoneToChampions_2,trueDamageDoneToChampions_3,trueDamageDoneToChampions_4,trueDamageDoneToChampions_5,trueDamageDoneToChampions_6,trueDamageDoneToChampions_7,trueDamageDoneToChampions_8,trueDamageDoneToChampions_9,ward_player_0,ward_player_1,ward_player_10,ward_player_2,ward_player_3,ward_player_4,ward_player_5,ward_player_6,ward_player_7,ward_player_8,ward_player_9,waterdragon_team100,waterdragon_team200,winningTeam,xp_1,xp_10,xp_2,xp_3,xp_4,xp_5,xp_6,xp_7,xp_8,xp_9,hextechdragon_team100,airdragon_team200,chemtechdragon_team200
0.0,0.0,2.0,3.0,0.0,1.0,3.0,0.0,5.0,0.0,2.0,0.0,0.0,211.0,1208.0,286.0,1017.0,843.0,699.0,370.0,403.0,1130.0,628.0,0.0,2.0,3.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1640,1637210056794,4107566693,CLASSIC,teambuilder-match-4107566693,1637208415785,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,36.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,7.0,5.0,5.0,6.0,6.0,5.0,7.0,6.0,7.0,6.0,1346.0,1374.0,915.0,2199.0,51.0,369.0,965.0,219.0,2466.0,154.0,NA1_4107566693,46.0,4.0,0.0,43.0,50.0,10.0,47.0,2.0,68.0,59.0,443.0,448.0,1044.0,476.0,749.0,458.0,342.0,1970.0,397.0,2081.0,420,0.0,0.0,37955.0,36407.0,152406.0,13380.0,128272.0,56317.0,50608.0,98780.0,144556.0,42319.0,8.0,480172.0,1789.0,1858.0,2047.0,2676.0,1044.0,922.0,1368.0,2254.0,2864.0,2260.0,2171.0,2493.0,2411.0,2832.0,2943.0,2249.0,2495.0,3528.0,3670.0,3178.0,0.0,0.0,0.0,36.0,88.0,0.0,243.0,94.0,60.0,64.0,0.0,24.0,0.0,3.0,2.0,4.0,4.0,0.0,2.0,3.0,3.0,3.0,2.0,0.0,1.0,100.0,3378.0,2023.0,1951.0,3153.0,2407.0,1852.0,3821.0,2982.0,3678.0,2667.0,,,
0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,216.0,1355.0,434.0,424.0,301.0,551.0,585.0,824.0,197.0,1446.0,1.0,0.0,3.0,1.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2319,1637193865535,4107179574,CLASSIC,teambuilder-match-4107179574,1637191545906,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,3.0,7.0,6.0,5.0,7.0,5.0,5.0,6.0,6.0,7.0,6.0,0.0,130.0,34.0,1791.0,275.0,1410.0,3959.0,864.0,910.0,371.0,NA1_4107179574,48.0,0.0,1.0,53.0,44.0,2.0,31.0,1.0,61.0,63.0,2715.0,2613.0,870.0,599.0,1450.0,395.0,1237.0,333.0,2480.0,2605.0,400,0.0,0.0,4425.0,13380.0,62092.0,48783.0,8030.0,78232.0,4593.0,143180.0,23923.0,25934.0,8.0,480190.0,2715.0,2743.0,1063.0,2501.0,1726.0,1916.0,5497.0,1278.0,3552.0,2977.0,2666.0,3005.0,2074.0,3134.0,2151.0,1751.0,2235.0,2849.0,3187.0,3446.0,0.0,0.0,0.0,0.0,157.0,110.0,0.0,110.0,300.0,80.0,160.0,0.0,0.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,0.0,2.0,2.0,0.0,,100.0,3259.0,2641.0,1924.0,3714.0,1861.0,1833.0,2853.0,2502.0,3822.0,2641.0,,,
0.0,1.0,2.0,3.0,0.0,1.0,6.0,0.0,1.0,2.0,1.0,0.0,0.0,929.0,1145.0,1909.0,294.0,94.0,493.0,242.0,755.0,307.0,94.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1705,1637366060531,4109601154,CLASSIC,teambuilder-match-4109601154,1637364355109,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,2.0,2.0,0.0,6.0,4.0,6.0,5.0,6.0,5.0,7.0,6.0,6.0,2.0,260.0,168.0,489.0,397.0,2431.0,1182.0,139.0,273.0,3580.0,1168.0,NA1_4109601154,41.0,9.0,3.0,38.0,53.0,7.0,72.0,6.0,43.0,5.0,573.0,518.0,1885.0,2522.0,759.0,611.0,408.0,1420.0,93.0,1038.0,420,0.0,0.0,38279.0,10996.0,52552.0,22790.0,51422.0,101835.0,3931.0,82288.0,74680.0,6869.0,8.0,480155.0,833.0,687.0,2663.0,3140.0,3190.0,1894.0,548.0,1848.0,3673.0,2206.0,2529.0,2070.0,3109.0,2639.0,4094.0,2638.0,2717.0,3055.0,2937.0,1494.0,0.0,0.0,0.0,0.0,288.0,220.0,0.0,100.0,0.0,154.0,0.0,0.0,0.0,110.0,2.0,1.0,2.0,2.0,7.0,1.0,3.0,3.0,1.0,0.0,,100.0,2986.0,1506.0,2987.0,2353.0,2820.0,1746.0,3708.0,2614.0,2894.0,640.0,,,
0.0,1.0,4.0,2.0,3.0,2.0,5.0,1.0,4.0,2.0,0.0,0.0,0.0,933.0,457.0,321.0,1091.0,1098.0,362.0,681.0,714.0,304.0,226.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1555,1637364465174,4109587944,CLASSIC,teambuilder-match-4109587944,1637362910041,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,3.0,0.0,1.0,4.0,1.0,5.0,7.0,5.0,5.0,7.0,6.0,5.0,7.0,7.0,6.0,5.0,917.0,616.0,53.0,2690.0,182.0,1725.0,166.0,657.0,1070.0,526.0,NA1_4109587944,41.0,16.0,42.0,45.0,1.0,16.0,56.0,7.0,26.0,38.0,294.0,1076.0,3901.0,1115.0,2464.0,230.0,1807.0,3674.0,739.0,2971.0,420,0.0,0.0,19456.0,18502.0,9749.0,12193.0,233280.0,52955.0,25210.0,113823.0,2674.0,1023.0,8.0,480176.0,1342.0,1693.0,3954.0,3935.0,2646.0,1956.0,1974.0,4351.0,1960.0,3498.0,2233.0,2282.0,3021.0,3976.0,3473.0,2187.0,3131.0,4049.0,2299.0,3676.0,0.0,0.0,130.0,0.0,0.0,129.0,0.0,0.0,0.0,20.0,150.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0,4.0,2.0,1.0,2.0,2.0,0.0,,100.0,3313.0,1982.0,2350.0,3488.0,2464.0,1954.0,3439.0,3417.0,2610.0,2192.0,1.0,,
0.0,1.0,2.0,1.0,2.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,1257.0,413.0,1013.0,333.0,168.0,271.0,866.0,341.0,-29.0,613.0,2.0,3.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1811,1637362431191,4109553906,CLASSIC,teambuilder-match-4109553906,1637360619305,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,7.0,4.0,5.0,7.0,5.0,5.0,7.0,7.0,6.0,6.0,137.0,572.0,109.0,1262.0,74.0,508.0,0.0,460.0,0.0,373.0,NA1_4109553906,47.0,8.0,4.0,50.0,37.0,10.0,52.0,46.0,0.0,57.0,4524.0,700.0,1356.0,617.0,2160.0,1263.0,3105.0,1387.0,1833.0,1784.0,420,0.0,0.0,26588.0,46178.0,66257.0,25438.0,4854.0,23053.0,63513.0,179836.0,68644.0,132363.0,8.0,480141.0,4991.0,1380.0,1489.0,1881.0,2234.0,1975.0,3301.0,1847.0,2318.0,2905.0,3282.0,2288.0,3263.0,3103.0,2268.0,2631.0,2816.0,2311.0,3196.0,3198.0,0.0,0.0,330.0,108.0,24.0,1.0,0.0,203.0,196.0,0.0,485.0,746.0,0.0,1.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,0.0,,100.0,3487.0,1423.0,2219.0,3717.0,2219.0,2174.0,3606.0,3449.0,2634.0,2774.0,,,
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,405.0,1058.0,97.0,445.0,279.0,851.0,240.0,769.0,830.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2066,1637372340269,4109733668,CLASSIC,teambuilder-match-4109733668,1637370273505,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,7.0,3.0,6.0,7.0,5.0,5.0,7.0,5.0,7.0,5.0,208.0,84.0,50.0,2571.0,1663.0,495.0,1204.0,89.0,974.0,0.0,NA1_4109733668,35.0,7.0,0.0,51.0,51.0,0.0,56.0,6.0,38.0,54.0,1562.0,146.0,372.0,756.0,951.0,544.0,2246.0,403.0,52.0,992.0,400,0.0,0.0,63068.0,8885.0,188228.0,67846.0,113464.0,45293.0,173146.0,210302.0,15657.0,1916.0,8.0,480160.0,2352.0,284.0,423.0,3607.0,2669.0,1040.0,3451.0,509.0,1197.0,1158.0,1917.0,1580.0,2433.0,2277.0,2465.0,2029.0,2876.0,2390.0,2434.0,2280.0,0.0,0.0,581.0,54.0,0.0,280.0,54.0,0.0,0.0,16.0,170.0,166.0,0.0,2.0,3.0,3.0,59.0,1.0,3.0,2.0,2.0,2.0,2.0,0.0,,100.0,3182.0,922.0,2476.0,3341.0,2374.0,2163.0,3899.0,2363.0,3700.0,2298.0,,,
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,851.0,1500.0,209.0,1576.0,317.0,1157.0,1329.0,1319.0,1221.0,2171.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2442,1637366737816,4109660553,CLASSIC,teambuilder-match-4109660553,1637364295257,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,7.0,5.0,6.0,7.0,5.0,5.0,7.0,6.0,7.0,6.0,327.0,584.0,0.0,805.0,0.0,803.0,378.0,0.0,3379.0,0.0,NA1_4109660553,58.0,12.0,0.0,49.0,58.0,2.0,59.0,0.0,54.0,62.0,806.0,340.0,1196.0,241.0,1143.0,390.0,1750.0,134.0,635.0,1933.0,400,0.0,0.0,165254.0,11435.0,99687.0,15951.0,5846.0,61845.0,29064.0,129894.0,6938.0,139110.0,8.0,480153.0,1133.0,1044.0,1272.0,1199.0,1143.0,1298.0,2128.0,134.0,4194.0,2032.0,2451.0,2000.0,2399.0,2541.0,2367.0,1657.0,2479.0,2654.0,3116.0,2671.0,0.0,0.0,0.0,120.0,76.0,152.0,0.0,104.0,0.0,0.0,180.0,99.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0,3.0,2.0,4.0,1.0,0.0,,100.0,3247.0,2252.0,2463.0,3689.0,2136.0,2347.0,3649.0,2598.0,3951.0,2707.0,,,
0.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,545.0,886.0,995.0,614.0,2577.0,351.0,265.0,1446.0,98.0,655.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1742,1637393313938,4110134274,CLASSIC,teambuilder-match-4110134274,1637391571197,MATCHED_GAME,11.23.409.111,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,32.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,4.0,0.0,2.0,7.0,6.0,6.0,5.0,7.0,4.0,7.0,6.0,4.0,7.0,2211.0,53.0,835.0,757.0,190.0,1637.0,137.0,212.0,877.0,1787.0,NA1_4110134274,58.0,30.0,38.0,1.0,58.0,0.0,49.0,5.0,14.0,55.0,1037.0,1914.0,298.0,788.0,5584.0,867.0,2221.0,3305.0,735.0,636.0,440,0.0,0.0,24422.0,18922.0,19400.0,240694.0,12525.0,53477.0,46806.0,30709.0,50031.0,34137.0,8.0,480107.0,3379.0,1967.0,1253.0,1641.0,5774.0,2505.0,2359.0,3518.0,1870.0,2630.0,3030.0,2261.0,2300.0,2614.0,4377.0,3051.0,2815.0,3696.0,1998.0,3070.0,0.0,0.0,130.0,0.0,120.0,94.0,0.0,0.0,0.0,0.0,258.0,206.0,0.0,4.0,2.0,2.0,1.0,2.0,5.0,2.0,1.0,2.0,3.0,0.0,,200.0,3718.0,2632.0,3163.0,2187.0,4048.0,1499.0,3202.0,2554.0,1660.0,3322.0,,,
0.0,1.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,93.0,914.0,445.0,1427.0,652.0,1040.0,50.0,397.0,173.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1756,1637390537002,4110057124,CLASSIC,teambuilder-match-4110057124,1637388780647,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,5.0,6.0,7.0,6.0,5.0,7.0,7.0,5.0,5.0,1055.0,1100.0,121.0,791.0,117.0,369.0,446.0,910.0,32.0,116.0,NA1_4110057124,42.0,1.0,2.0,52.0,53.0,3.0,67.0,52.0,53.0,1.0,444.0,509.0,675.0,86.0,1094.0,268.0,820.0,349.0,1311.0,598.0,440,0.0,0.0,33984.0,14274.0,105297.0,49196.0,12333.0,16688.0,56269.0,20483.0,8423.0,81294.0,8.0,480075.0,1500.0,1682.0,907.0,877.0,1211.0,681.0,1267.0,1527.0,1344.0,714.0,2928.0,1888.0,2589.0,2855.0,3077.0,1702.0,2765.0,2625.0,2297.0,2123.0,0.0,0.0,0.0,72.0,110.0,0.0,0.0,44.0,0.0,267.0,0.0,0.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,5.0,1.0,2.0,0.0,,200.0,3585.0,1941.0,2499.0,3674.0,2424.0,1874.0,3607.0,3269.0,2128.0,2203.0,,,
0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,979.0,287.0,213.0,611.0,211.0,221.0,769.0,1131.0,466.0,369.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2113,1637380097615,4109874603,CLASSIC,teambuilder-match-4109874603,1637377984129,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,7.0,4.0,5.0,7.0,6.0,5.0,7.0,6.0,7.0,5.0,508.0,0.0,232.0,1223.0,106.0,963.0,748.0,162.0,1021.0,0.0,NA1_4109874603,43.0,0.0,1.0,58.0,64.0,5.0,56.0,7.0,55.0,51.0,824.0,1419.0,0.0,493.0,2211.0,209.0,1254.0,2853.0,178.0,972.0,440,0.0,0.0,55305.0,7001.0,92658.0,253240.0,13969.0,26656.0,6146.0,207093.0,33425.0,144566.0,8.0,480166.0,1333.0,1451.0,232.0,1829.0,2318.0,1172.0,2003.0,3064.0,1200.0,972.0,2454.0,1887.0,2238.0,2851.0,2886.0,2146.0,3029.0,3431.0,2846.0,2319.0,0.0,0.0,0.0,32.0,0.0,113.0,0.0,0.0,0.0,48.0,0.0,0.0,1.0,28.0,2.0,1.0,2.0,1.0,4.0,4.0,0.0,1.0,2.0,1.0,,200.0,3285.0,1678.0,2260.0,3416.0,2759.0,1903.0,3449.0,3102.0,3459.0,2192.0,,,
