airdragon_team100,assistsplayer_1,assistsplayer_10,assistsplayer_2,assistsplayer_3,assistsplayer_4,assistsplayer_5,assistsplayer_6,assistsplayer_7,assistsplayer_8,assistsplayer_9,baron_team100,chemtechdragon_team100,currentGold_1,currentGold_10,currentGold_2,currentGold_3,currentGold_4,currentGold_5,currentGold_6,currentGold_7,currentGold_8,currentGold_9,deathsplayer_1,deathsplayer_10,deathsplayer_2,deathsplayer_3,deathsplayer_4,deathsplayer_5,deathsplayer_6,deathsplayer_7,deathsplayer_8,deathsplayer_9,dragon_team100,dragon_team200,earthdragon_team100,earthdragon_team200,firedragon_team100,firedragon_team200,gameDuration,gameEndTimestamp,gameId,gameMode,gameName,gameStartTimestamp,gameType,gameVersion,goldPerSecond_1,goldPerSecond_10,goldPerSecond_2,goldPerSecond_3,goldPerSecond_4,goldPerSecond_5,goldPerSecond_6,goldPerSecond_7,goldPerSecond_8,goldPerSecond_9,hextechdragon_team200,inhibs_lost_team200,jungleMinionsKilled_1,jungleMinionsKilled_10,jungleMinionsKilled_2,jungleMinionsKilled_3,jungleMinionsKilled_4,jungleMinionsKilled_5,jungleMinionsKilled_6,jungleMinionsKilled_7,jungleMinionsKilled_8,jungleMinionsKilled_9,killsplayer_0,killsplayer_1,killsplayer_10,killsplayer_2,killsplayer_3,killsplayer_4,killsplayer_5,killsplayer_6,killsplayer_7,killsplayer_8,killsplayer_9,level_1,level_10,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,magicDamageDoneToChampions_1,magicDamageDoneToChampions_10,magicDamageDoneToChampions_2,magicDamageDoneToChampions_3,magicDamageDoneToChampions_4,magicDamageDoneToChampions_5,magicDamageDoneToChampions_6,magicDamageDoneToChampions_7,magicDamageDoneToChampions_8,magicDamageDoneToChampions_9,matchId,minionsKilled_1,minionsKilled_10,minionsKilled_2,minionsKilled_3,minionsKilled_4,minionsKilled_5,minionsKilled_6,minionsKilled_7,minionsKilled_8,minionsKilled_9,physicalDamageDoneToChampions_1,physicalDamageDoneToChampions_10,physicalDamageDoneToChampions_2,physicalDamageDoneToChampions_3,physicalDamageDoneToChampions_4,physicalDamageDoneToChampions_5,physicalDamageDoneToChampions_6,physicalDamageDoneToChampions_7,physicalDamageDoneToChampions_8,physicalDamageDoneToChampions_9,queueId,riftherald_team100,riftherald_team300,timeEnemySpentControlled_1,timeEnemySpentControlled_10,timeEnemySpentControlled_2,timeEnemySpentControlled_3,timeEnemySpentControlled_4,timeEnemySpentControlled_5,timeEnemySpentControlled_6,timeEnemySpentControlled_7,timeEnemySpentControlled_8,timeEnemySpentControlled_9,time_cutoff,timestamp,totalDamageDoneToChampions_1,totalDamageDoneToChampions_10,totalDamageDoneToChampions_2,totalDamageDoneToChampions_3,totalDamageDoneToChampions_4,totalDamageDoneToChampions_5,totalDamageDoneToChampions_6,totalDamageDoneToChampions_7,totalDamageDoneToChampions_8,totalDamageDoneToChampions_9,totalGold_1,totalGold_10,totalGold_2,totalGold_3,totalGold_4,totalGold_5,totalGold_6,totalGold_7,totalGold_8,totalGold_9,towers_lost_team100,towers_lost_team200,trueDamageDoneToChampions_1,trueDamageDoneToChampions_10,trueDamageDoneToChampions_2,trueDamageDoneToChampions_3,trueDamageDoneToChampions_4,trueDamageDoneToChampions_5,trueDamageDoneToChampions_6,trueDamageDoneToChampions_7,trueDamageDoneToChampions_8,trueDamageDoneToChampions_9,ward_player_0,ward_player_1,ward_player_10,ward_player_2,ward_player_3,ward_player_4,ward_player_5,ward_player_6,ward_player_7,ward_player_8,ward_player_9,waterdragon_team100,waterdragon_team200,winningTeam,xp_1,xp_10,xp_2,xp_3,xp_4,xp_5,xp_6,xp_7,xp_8,xp_9,hextechdragon_team100,riftherald_team200,airdragon_team200,chemtechdragon_team200
0.0,0.0,2.0,3.0,0.0,1.0,5.0,1.0,7.0,0.0,2.0,0.0,0.0,743.0,382.0,257.0,351.0,1154.0,680.0,1187.0,1262.0,50.0,524.0,0.0,3.0,4.0,4.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1640,1637210056794,4107566693,CLASSIC,teambuilder-match-4107566693,1637208415785,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,48.0,2.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,1.0,2.0,1.0,4.0,2.0,8.0,6.0,6.0,8.0,7.0,6.0,8.0,7.0,8.0,7.0,2663.0,1584.0,1186.0,3063.0,58.0,791.0,2385.0,296.0,3414.0,154.0,NA1_4107566693,62.0,4.0,0.0,61.0,68.0,13.0,61.0,5.0,89.0,77.0,487.0,448.0,1571.0,476.0,2654.0,612.0,523.0,3129.0,397.0,2655.0,420,0.0,0.0,42281.0,51435.0,207305.0,22071.0,169923.0,71946.0,94206.0,116740.0,167871.0,47276.0,10.0,600215.0,3151.0,2068.0,2985.0,3540.0,3315.0,1566.0,3052.0,3564.0,3811.0,2834.0,2703.0,2982.0,2982.0,3476.0,4154.0,2930.0,3312.0,4387.0,4790.0,3949.0,0.0,0.0,0.0,36.0,228.0,0.0,602.0,162.0,144.0,139.0,0.0,24.0,0.0,4.0,2.0,4.0,4.0,0.0,3.0,4.0,3.0,4.0,3.0,0.0,1.0,100.0,4404.0,2421.0,2753.0,4119.0,3409.0,2864.0,4921.0,4045.0,4791.0,3368.0,,,,
0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,994.0,1057.0,1173.0,512.0,451.0,166.0,1451.0,1459.0,556.0,1646.0,1.0,0.0,3.0,1.0,5.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2319,1637193865535,4107179574,CLASSIC,teambuilder-match-4107179574,1637191545906,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,52.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,5.0,8.0,7.0,6.0,8.0,5.0,5.0,8.0,7.0,8.0,7.0,0.0,155.0,34.0,2734.0,584.0,1789.0,5224.0,1343.0,1125.0,670.0,NA1_4107179574,71.0,3.0,3.0,68.0,53.0,2.0,48.0,1.0,82.0,81.0,3831.0,4421.0,870.0,599.0,2510.0,506.0,1479.0,333.0,3125.0,3350.0,400,0.0,0.0,7959.0,19821.0,122027.0,60211.0,11828.0,88968.0,4593.0,172026.0,30792.0,32740.0,10.0,600220.0,3831.0,4576.0,1063.0,3467.0,3095.0,2526.0,7004.0,1757.0,4462.0,4021.0,3444.0,4107.0,2823.0,3652.0,2601.0,2126.0,3101.0,3484.0,3906.0,4746.0,0.0,0.0,0.0,0.0,157.0,133.0,0.0,230.0,300.0,80.0,210.0,0.0,0.0,3.0,5.0,1.0,3.0,2.0,4.0,3.0,1.0,3.0,3.0,0.0,,100.0,4618.0,3399.0,3125.0,4641.0,2237.0,2120.0,4117.0,3672.0,4775.0,3399.0,,,,
0.0,1.0,2.0,3.0,1.0,2.0,6.0,0.0,1.0,3.0,1.0,0.0,0.0,204.0,166.0,274.0,70.0,1169.0,1414.0,973.0,99.0,42.0,655.0,0.0,2.0,2.0,3.0,0.0,2.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1705,1637366060531,4109601154,CLASSIC,teambuilder-match-4109601154,1637364355109,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,58.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,5.0,1.0,0.0,3.0,3.0,0.0,7.0,5.0,7.0,6.0,7.0,6.0,8.0,8.0,7.0,5.0,260.0,223.0,786.0,442.0,3444.0,1476.0,139.0,331.0,4106.0,1168.0,NA1_4109601154,49.0,12.0,4.0,48.0,80.0,7.0,96.0,16.0,53.0,19.0,595.0,518.0,2450.0,3580.0,809.0,702.0,408.0,2118.0,327.0,1038.0,420,0.0,0.0,43234.0,10996.0,99563.0,27381.0,75896.0,107186.0,7531.0,109308.0,99098.0,6869.0,10.0,600202.0,855.0,742.0,3630.0,4243.0,4254.0,2279.0,548.0,2667.0,4434.0,2206.0,3004.0,2441.0,3989.0,3215.0,5169.0,3559.0,3448.0,4149.0,3872.0,2055.0,0.0,0.0,0.0,0.0,393.0,220.0,0.0,100.0,0.0,218.0,0.0,0.0,0.0,110.0,3.0,1.0,4.0,2.0,7.0,2.0,4.0,5.0,1.0,0.0,,100.0,3568.0,1845.0,3829.0,3127.0,3774.0,2438.0,4884.0,4244.0,3849.0,1901.0,,,,
0.0,1.0,5.0,3.0,4.0,5.0,8.0,2.0,5.0,2.0,0.0,0.0,0.0,383.0,538.0,357.0,1030.0,1352.0,452.0,1605.0,1709.0,1120.0,479.0,3.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1555,1637364465174,4109587944,CLASSIC,teambuilder-match-4109587944,1637362910041,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,56.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,6.0,0.0,1.0,5.0,2.0,6.0,7.0,6.0,7.0,8.0,7.0,6.0,8.0,8.0,7.0,7.0,1116.0,1348.0,161.0,3712.0,269.0,2272.0,296.0,795.0,1921.0,710.0,NA1_4109587944,50.0,19.0,55.0,52.0,9.0,17.0,76.0,9.0,38.0,61.0,294.0,1274.0,5723.0,1304.0,6703.0,230.0,3210.0,5288.0,997.0,4906.0,420,0.0,0.0,26822.0,40344.0,19367.0,13779.0,294897.0,67332.0,30433.0,119207.0,19816.0,1023.0,10.0,600208.0,1578.0,2623.0,5885.0,5209.0,7448.0,2503.0,3506.0,6183.0,3259.0,5616.0,2918.0,2763.0,4507.0,4765.0,5362.0,2752.0,4055.0,5044.0,3125.0,4604.0,0.0,0.0,168.0,0.0,0.0,191.0,475.0,0.0,0.0,99.0,340.0,0.0,0.0,3.0,2.0,5.0,2.0,2.0,5.0,3.0,2.0,3.0,4.0,0.0,,100.0,4053.0,2438.0,3334.0,4326.0,4002.0,2885.0,4618.0,4647.0,3654.0,3641.0,1.0,,,
0.0,1.0,2.0,2.0,3.0,1.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,257.0,473.0,2312.0,1176.0,119.0,615.0,1041.0,295.0,-104.0,762.0,3.0,4.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1811,1637362431191,4109553906,CLASSIC,teambuilder-match-4109553906,1637360619305,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,2.0,60.0,0.0,0.0,4.0,1.0,5.0,2.0,2.0,3.0,1.0,0.0,3.0,3.0,8.0,5.0,7.0,9.0,7.0,7.0,8.0,8.0,7.0,7.0,137.0,824.0,388.0,1958.0,173.0,932.0,0.0,611.0,0.0,530.0,NA1_4109553906,56.0,13.0,4.0,76.0,57.0,14.0,71.0,68.0,0.0,71.0,6359.0,761.0,2982.0,756.0,3046.0,1540.0,3792.0,1701.0,2372.0,2432.0,420,0.0,0.0,29791.0,62467.0,111975.0,46442.0,8520.0,31116.0,72429.0,236572.0,69833.0,165960.0,10.0,600179.0,6826.0,1693.0,3494.0,2716.0,3219.0,2777.0,3988.0,2313.0,2932.0,4309.0,4032.0,2648.0,4562.0,3956.0,3469.0,3425.0,3866.0,3025.0,4071.0,3997.0,0.0,0.0,330.0,108.0,123.0,1.0,0.0,305.0,196.0,0.0,560.0,1346.0,0.0,2.0,4.0,1.0,3.0,5.0,4.0,2.0,3.0,3.0,2.0,0.0,,100.0,4374.0,1969.0,3662.0,5157.0,3212.0,3387.0,4718.0,4621.0,3527.0,3736.0,,1.0,,
0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,361.0,224.0,2157.0,466.0,175.0,419.0,751.0,318.0,965.0,535.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2066,1637372340269,4109733668,CLASSIC,teambuilder-match-4109733668,1637370273505,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,8.0,4.0,7.0,8.0,7.0,6.0,8.0,6.0,8.0,6.0,208.0,263.0,316.0,3666.0,2534.0,877.0,1350.0,135.0,1942.0,0.0,NA1_4109733668,50.0,7.0,3.0,63.0,60.0,0.0,63.0,6.0,45.0,66.0,1847.0,253.0,1060.0,897.0,1299.0,686.0,3553.0,795.0,227.0,1208.0,400,1.0,0.0,65381.0,22492.0,222353.0,83764.0,170431.0,60521.0,200590.0,226987.0,16715.0,2114.0,10.0,600188.0,2691.0,570.0,1410.0,4844.0,3989.0,1563.0,4903.0,947.0,2340.0,1445.0,2786.0,1849.0,3532.0,3091.0,3425.0,3119.0,3526.0,2768.0,3180.0,2735.0,0.0,0.0,635.0,54.0,33.0,280.0,156.0,0.0,0.0,16.0,170.0,236.0,0.0,2.0,4.0,3.0,78.0,1.0,3.0,2.0,3.0,4.0,3.0,0.0,1.0,100.0,4619.0,1301.0,3720.0,4358.0,3199.0,2711.0,4971.0,2818.0,4894.0,3057.0,,,,
0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,413.0,406.0,426.0,46.0,933.0,908.0,645.0,2244.0,736.0,1117.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2442,1637366737816,4109660553,CLASSIC,teambuilder-match-4109660553,1637364295257,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,8.0,6.0,7.0,8.0,6.0,7.0,8.0,7.0,8.0,7.0,461.0,930.0,0.0,1182.0,84.0,1933.0,715.0,188.0,5020.0,146.0,NA1_4109660553,72.0,14.0,1.0,54.0,73.0,5.0,76.0,6.0,66.0,72.0,1110.0,432.0,1910.0,241.0,2170.0,405.0,2559.0,607.0,894.0,2521.0,400,0.0,0.0,198181.0,18007.0,109264.0,21962.0,10932.0,89354.0,32433.0,232807.0,8623.0,170721.0,10.0,600189.0,1571.0,1483.0,1986.0,1576.0,2254.0,2578.0,3274.0,876.0,6095.0,2807.0,2988.0,2306.0,2991.0,2921.0,3483.0,2583.0,3020.0,3579.0,3806.0,3742.0,0.0,0.0,0.0,120.0,76.0,152.0,0.0,240.0,0.0,80.0,180.0,139.0,0.0,3.0,0.0,1.0,1.0,1.0,4.0,4.0,3.0,4.0,4.0,0.0,,100.0,4129.0,2602.0,3369.0,4206.0,3172.0,3355.0,4862.0,4047.0,4880.0,3641.0,,,,
0.0,1.0,3.0,0.0,1.0,2.0,3.0,1.0,1.0,4.0,2.0,0.0,0.0,1433.0,104.0,1540.0,444.0,1579.0,86.0,1014.0,160.0,151.0,954.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1742,1637393313938,4110134274,CLASSIC,teambuilder-match-4110134274,1637391571197,MATCHED_GAME,11.23.409.111,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,3.0,40.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,2.0,2.0,5.0,1.0,2.0,8.0,7.0,8.0,6.0,8.0,5.0,8.0,6.0,5.0,8.0,2488.0,53.0,1686.0,1104.0,241.0,2248.0,137.0,314.0,1364.0,3357.0,NA1_4110134274,86.0,38.0,52.0,1.0,77.0,1.0,69.0,6.0,19.0,69.0,1085.0,2428.0,354.0,833.0,7849.0,904.0,2221.0,4431.0,834.0,636.0,440,1.0,0.0,89181.0,23117.0,24987.0,288376.0,15732.0,72251.0,59140.0,32726.0,68488.0,47561.0,10.0,600184.0,3703.0,2481.0,2370.0,2113.0,8281.0,3153.0,2359.0,4745.0,2625.0,4200.0,3918.0,2779.0,2855.0,3144.0,5779.0,3611.0,3564.0,4610.0,2651.0,3679.0,0.0,0.0,130.0,0.0,330.0,174.0,190.0,0.0,0.0,0.0,426.0,206.0,0.0,11.0,2.0,2.0,1.0,2.0,9.0,2.0,1.0,3.0,4.0,0.0,,200.0,4998.0,3330.0,4131.0,3106.0,4915.0,1971.0,4236.0,3163.0,2333.0,4201.0,,,,
0.0,1.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1145.0,514.0,19.0,140.0,586.0,451.0,167.0,76.0,1136.0,958.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1756,1637390537002,4110057124,CLASSIC,teambuilder-match-4110057124,1637388780647,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,1.0,0.0,0.0,0.0,0.0,52.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,8.0,6.0,6.0,8.0,6.0,5.0,8.0,8.0,6.0,7.0,1924.0,1941.0,121.0,1416.0,117.0,538.0,691.0,1867.0,32.0,116.0,NA1_4110057124,59.0,1.0,2.0,62.0,66.0,3.0,77.0,69.0,78.0,1.0,616.0,509.0,675.0,186.0,1174.0,268.0,1149.0,515.0,1556.0,866.0,440,0.0,0.0,49877.0,21116.0,112333.0,53822.0,12333.0,21313.0,62182.0,28845.0,10074.0,116842.0,10.0,600097.0,2540.0,2522.0,907.0,1602.0,1291.0,851.0,1841.0,3121.0,1589.0,982.0,3845.0,2309.0,3044.0,3365.0,3636.0,2011.0,3192.0,3801.0,3036.0,2908.0,0.0,0.0,0.0,72.0,110.0,0.0,0.0,44.0,0.0,738.0,0.0,0.0,1.0,3.0,6.0,2.0,2.0,3.0,2.0,4.0,8.0,2.0,2.0,0.0,,200.0,4761.0,2697.0,2993.0,4309.0,3072.0,2344.0,4179.0,4826.0,2914.0,3191.0,,,,
0.0,1.0,3.0,0.0,0.0,3.0,3.0,1.0,3.0,2.0,3.0,0.0,0.0,388.0,80.0,1613.0,1128.0,371.0,150.0,1089.0,1862.0,1426.0,28.0,3.0,2.0,0.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2113,1637380097615,4109874603,CLASSIC,teambuilder-match-4109874603,1637377984129,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,4.0,44.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,3.0,2.0,0.0,8.0,6.0,7.0,8.0,7.0,6.0,8.0,7.0,9.0,6.0,1117.0,0.0,715.0,1699.0,160.0,2365.0,2082.0,162.0,2377.0,222.0,NA1_4109874603,54.0,0.0,4.0,71.0,86.0,5.0,75.0,7.0,78.0,66.0,1351.0,2552.0,44.0,700.0,3677.0,476.0,1686.0,3355.0,302.0,1840.0,440,0.0,0.0,67362.0,15786.0,151313.0,308859.0,18824.0,64403.0,23617.0,248647.0,43466.0,198879.0,10.0,600216.0,2468.0,2611.0,866.0,2557.0,3837.0,2842.0,3768.0,3565.0,2680.0,2063.0,2963.0,2580.0,3638.0,3378.0,3646.0,2775.0,4814.0,4162.0,3816.0,3078.0,0.0,0.0,0.0,59.0,106.0,157.0,0.0,0.0,0.0,48.0,0.0,0.0,1.0,37.0,3.0,1.0,3.0,1.0,5.0,4.0,0.0,2.0,3.0,1.0,,200.0,4119.0,2480.0,3544.0,4201.0,3459.0,2775.0,4920.0,3997.0,5090.0,2964.0,,,,
