airdragon_team100,assistsplayer_1,assistsplayer_10,assistsplayer_2,assistsplayer_3,assistsplayer_4,assistsplayer_5,assistsplayer_6,assistsplayer_7,assistsplayer_8,assistsplayer_9,baron_team100,chemtechdragon_team100,currentGold_1,currentGold_10,currentGold_2,currentGold_3,currentGold_4,currentGold_5,currentGold_6,currentGold_7,currentGold_8,currentGold_9,deathsplayer_1,deathsplayer_10,deathsplayer_2,deathsplayer_3,deathsplayer_4,deathsplayer_5,deathsplayer_6,deathsplayer_7,deathsplayer_8,deathsplayer_9,dragon_team100,dragon_team200,earthdragon_team100,earthdragon_team200,firedragon_team100,firedragon_team200,gameDuration,gameEndTimestamp,gameId,gameMode,gameName,gameStartTimestamp,gameType,gameVersion,goldPerSecond_1,goldPerSecond_10,goldPerSecond_2,goldPerSecond_3,goldPerSecond_4,goldPerSecond_5,goldPerSecond_6,goldPerSecond_7,goldPerSecond_8,goldPerSecond_9,hextechdragon_team200,inhibs_lost_team200,jungleMinionsKilled_1,jungleMinionsKilled_10,jungleMinionsKilled_2,jungleMinionsKilled_3,jungleMinionsKilled_4,jungleMinionsKilled_5,jungleMinionsKilled_6,jungleMinionsKilled_7,jungleMinionsKilled_8,jungleMinionsKilled_9,killsplayer_0,killsplayer_1,killsplayer_10,killsplayer_2,killsplayer_3,killsplayer_4,killsplayer_5,killsplayer_6,killsplayer_7,killsplayer_8,killsplayer_9,level_1,level_10,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,magicDamageDoneToChampions_1,magicDamageDoneToChampions_10,magicDamageDoneToChampions_2,magicDamageDoneToChampions_3,magicDamageDoneToChampions_4,magicDamageDoneToChampions_5,magicDamageDoneToChampions_6,magicDamageDoneToChampions_7,magicDamageDoneToChampions_8,magicDamageDoneToChampions_9,matchId,minionsKilled_1,minionsKilled_10,minionsKilled_2,minionsKilled_3,minionsKilled_4,minionsKilled_5,minionsKilled_6,minionsKilled_7,minionsKilled_8,minionsKilled_9,physicalDamageDoneToChampions_1,physicalDamageDoneToChampions_10,physicalDamageDoneToChampions_2,physicalDamageDoneToChampions_3,physicalDamageDoneToChampions_4,physicalDamageDoneToChampions_5,physicalDamageDoneToChampions_6,physicalDamageDoneToChampions_7,physicalDamageDoneToChampions_8,physicalDamageDoneToChampions_9,queueId,riftherald_team100,riftherald_team300,timeEnemySpentControlled_1,timeEnemySpentControlled_10,timeEnemySpentControlled_2,timeEnemySpentControlled_3,timeEnemySpentControlled_4,timeEnemySpentControlled_5,timeEnemySpentControlled_6,timeEnemySpentControlled_7,timeEnemySpentControlled_8,timeEnemySpentControlled_9,time_cutoff,timestamp,totalDamageDoneToChampions_1,totalDamageDoneToChampions_10,totalDamageDoneToChampions_2,totalDamageDoneToChampions_3,totalDamageDoneToChampions_4,totalDamageDoneToChampions_5,totalDamageDoneToChampions_6,totalDamageDoneToChampions_7,totalDamageDoneToChampions_8,totalDamageDoneToChampions_9,totalGold_1,totalGold_10,totalGold_2,totalGold_3,totalGold_4,totalGold_5,totalGold_6,totalGold_7,totalGold_8,totalGold_9,towers_lost_team100,towers_lost_team200,trueDamageDoneToChampions_1,trueDamageDoneToChampions_10,trueDamageDoneToChampions_2,trueDamageDoneToChampions_3,trueDamageDoneToChampions_4,trueDamageDoneToChampions_5,trueDamageDoneToChampions_6,trueDamageDoneToChampions_7,trueDamageDoneToChampions_8,trueDamageDoneToChampions_9,ward_player_0,ward_player_1,ward_player_10,ward_player_2,ward_player_3,ward_player_4,ward_player_5,ward_player_6,ward_player_7,ward_player_8,ward_player_9,waterdragon_team100,waterdragon_team200,winningTeam,xp_1,xp_10,xp_2,xp_3,xp_4,xp_5,xp_6,xp_7,xp_8,xp_9,riftherald_team200,hextechdragon_team100,airdragon_team200,chemtechdragon_team200
0.0,1.0,2.0,5.0,1.0,1.0,7.0,2.0,7.0,3.0,3.0,0.0,0.0,552.0,972.0,174.0,152.0,501.0,405.0,116.0,197.0,437.0,1628.0,1.0,4.0,5.0,5.0,2.0,3.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1640,1637210056794,4107566693,CLASSIC,teambuilder-match-4107566693,1637208415785,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,64.0,4.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,7.0,1.0,2.0,4.0,5.0,3.0,9.0,6.0,8.0,8.0,8.0,7.0,9.0,9.0,9.0,8.0,4457.0,2454.0,1312.0,4151.0,97.0,1172.0,2812.0,330.0,7486.0,212.0,NA1_4107566693,72.0,7.0,1.0,73.0,77.0,15.0,69.0,8.0,100.0,88.0,662.0,584.0,1838.0,476.0,4569.0,823.0,632.0,4846.0,397.0,4573.0,420,0.0,0.0,47598.0,63426.0,213582.0,26677.0,192988.0,91423.0,129284.0,122435.0,203340.0,52331.0,12.0,720219.0,5120.0,3177.0,3454.0,4628.0,5324.0,2157.0,3708.0,5342.0,7884.0,4810.0,3327.0,3572.0,3774.0,4087.0,6201.0,3505.0,4241.0,5647.0,6037.0,5063.0,0.0,0.0,0.0,138.0,303.0,0.0,656.0,162.0,264.0,165.0,0.0,24.0,0.0,4.0,3.0,4.0,4.0,0.0,4.0,4.0,3.0,4.0,3.0,0.0,1.0,100.0,5294.0,2956.0,4330.0,4919.0,4158.0,3656.0,5782.0,5050.0,5740.0,4207.0,,,,
0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,363.0,293.0,1688.0,1659.0,547.0,176.0,262.0,2146.0,110.0,343.0,2.0,0.0,3.0,1.0,6.0,3.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2319,1637193865535,4107179574,CLASSIC,teambuilder-match-4107179574,1637191545906,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,64.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,0.0,0.0,1.0,2.0,2.0,7.0,9.0,8.0,7.0,10.0,6.0,6.0,8.0,8.0,9.0,8.0,0.0,155.0,34.0,4827.0,698.0,2156.0,6074.0,2184.0,1473.0,989.0,NA1_4107179574,79.0,3.0,3.0,87.0,66.0,3.0,59.0,9.0,102.0,100.0,5763.0,4937.0,870.0,931.0,2831.0,506.0,1657.0,514.0,3823.0,5573.0,400,0.0,0.0,15294.0,21076.0,122027.0,99436.0,17113.0,99998.0,6905.0,230146.0,35184.0,51798.0,12.0,720239.0,5763.0,5092.0,1063.0,5935.0,3529.0,2893.0,8031.0,2955.0,5564.0,6563.0,4288.0,4818.0,3338.0,4809.0,3197.0,2501.0,3912.0,4171.0,4680.0,5843.0,0.0,0.0,0.0,0.0,157.0,176.0,0.0,230.0,300.0,256.0,266.0,0.0,0.0,3.0,6.0,1.0,4.0,4.0,6.0,3.0,1.0,4.0,3.0,0.0,,100.0,5769.0,4203.0,3763.0,6151.0,2762.0,2567.0,5015.0,4696.0,5832.0,4263.0,,,,
1.0,1.0,3.0,3.0,2.0,2.0,7.0,0.0,1.0,3.0,1.0,0.0,0.0,502.0,151.0,1259.0,754.0,765.0,589.0,247.0,910.0,903.0,378.0,1.0,2.0,2.0,3.0,0.0,2.0,1.0,2.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1705,1637366060531,4109601154,CLASSIC,teambuilder-match-4109601154,1637364355109,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,70.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,6.0,1.0,0.0,4.0,3.0,0.0,8.0,6.0,9.0,8.0,9.0,6.0,9.0,9.0,8.0,6.0,626.0,473.0,841.0,497.0,5182.0,1721.0,165.0,389.0,5752.0,1499.0,NA1_4109601154,57.0,16.0,18.0,61.0,101.0,11.0,112.0,21.0,72.0,31.0,1363.0,699.0,3311.0,4992.0,851.0,792.0,408.0,4504.0,431.0,1038.0,420,0.0,0.0,51557.0,13176.0,102799.0,34485.0,90561.0,107748.0,9446.0,121612.0,149075.0,21714.0,12.0,720252.0,1989.0,1173.0,4711.0,5796.0,6033.0,2749.0,574.0,5422.0,6183.0,2537.0,3802.0,2986.0,4974.0,3909.0,6815.0,4124.0,4022.0,5035.0,4743.0,2578.0,0.0,1.0,0.0,0.0,559.0,306.0,0.0,236.0,0.0,528.0,0.0,0.0,0.0,165.0,5.0,2.0,5.0,4.0,12.0,2.0,5.0,7.0,3.0,0.0,,100.0,4395.0,2412.0,5339.0,4300.0,5380.0,3099.0,5674.0,5067.0,4795.0,2746.0,1.0,,,
0.0,1.0,5.0,3.0,4.0,5.0,9.0,2.0,5.0,2.0,0.0,0.0,0.0,697.0,1066.0,146.0,1684.0,2970.0,1072.0,1356.0,138.0,413.0,899.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1555,1637364465174,4109587944,CLASSIC,teambuilder-match-4109587944,1637362910041,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,60.0,0.0,4.0,0.0,1.0,1.0,4.0,6.0,7.0,0.0,1.0,6.0,2.0,6.0,9.0,6.0,8.0,9.0,9.0,7.0,9.0,9.0,8.0,8.0,2070.0,1348.0,161.0,5369.0,269.0,2562.0,352.0,845.0,1921.0,832.0,NA1_4109587944,67.0,22.0,74.0,73.0,12.0,22.0,95.0,9.0,41.0,77.0,559.0,1274.0,6104.0,1355.0,7350.0,230.0,3392.0,6648.0,997.0,5290.0,420,1.0,0.0,33429.0,41533.0,21351.0,16951.0,324262.0,73144.0,37434.0,128756.0,21930.0,1023.0,12.0,720237.0,2798.0,2623.0,6265.0,7000.0,8131.0,2793.0,3744.0,7900.0,3259.0,6122.0,3632.0,3291.0,5521.0,6479.0,6980.0,3382.0,5306.0,5738.0,3483.0,5399.0,1.0,1.0,168.0,0.0,0.0,275.0,511.0,0.0,0.0,406.0,340.0,0.0,0.0,3.0,4.0,6.0,2.0,2.0,6.0,4.0,2.0,4.0,4.0,0.0,,100.0,5081.0,2665.0,4710.0,5853.0,5247.0,3599.0,5552.0,5333.0,4135.0,4422.0,,1.0,,
0.0,3.0,2.0,2.0,4.0,1.0,7.0,2.0,0.0,1.0,1.0,0.0,0.0,39.0,260.0,3670.0,725.0,1303.0,427.0,96.0,37.0,-144.0,331.0,4.0,4.0,0.0,1.0,2.0,2.0,4.0,4.0,4.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1811,1637362431191,4109553906,CLASSIC,teambuilder-match-4109553906,1637360619305,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,7.0,66.0,0.0,0.0,4.0,1.0,7.0,2.0,3.0,3.0,1.0,0.0,4.0,3.0,9.0,6.0,8.0,10.0,8.0,8.0,9.0,9.0,8.0,8.0,221.0,824.0,444.0,3557.0,223.0,1047.0,0.0,631.0,0.0,530.0,NA1_4109553906,73.0,16.0,9.0,94.0,79.0,19.0,76.0,82.0,5.0,91.0,8361.0,761.0,4221.0,756.0,4023.0,1640.0,4973.0,1701.0,3987.0,2432.0,420,0.0,0.0,33490.0,68478.0,113230.0,50075.0,12020.0,36962.0,79629.0,271551.0,81696.0,203780.0,12.0,720215.0,8959.0,1693.0,4789.0,4315.0,4299.0,2993.0,5169.0,2333.0,4690.0,4309.0,4939.0,3610.0,5920.0,4865.0,4653.0,3897.0,4266.0,3667.0,5141.0,5221.0,1.0,0.0,376.0,108.0,123.0,1.0,52.0,305.0,196.0,0.0,703.0,1346.0,0.0,2.0,9.0,1.0,4.0,6.0,4.0,2.0,3.0,3.0,3.0,0.0,,100.0,5681.0,2607.0,4977.0,6274.0,4236.0,4111.0,5580.0,5430.0,4533.0,4498.0,1.0,,,
0.0,2.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,739.0,192.0,533.0,1208.0,1166.0,499.0,315.0,354.0,1479.0,913.0,2.0,3.0,0.0,2.0,1.0,1.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2066,1637372340269,4109733668,CLASSIC,teambuilder-match-4109733668,1637370273505,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,9.0,5.0,9.0,9.0,8.0,7.0,9.0,7.0,9.0,7.0,352.0,596.0,474.0,4779.0,4346.0,1538.0,1444.0,183.0,1942.0,0.0,NA1_4109733668,57.0,9.0,10.0,87.0,76.0,0.0,70.0,13.0,57.0,73.0,2742.0,541.0,1616.0,897.0,1630.0,1301.0,3959.0,1537.0,227.0,2311.0,400,1.0,0.0,70667.0,61244.0,296786.0,110075.0,221137.0,74131.0,220147.0,331119.0,23023.0,7498.0,12.0,720245.0,4063.0,1322.0,2124.0,5956.0,6133.0,2839.0,5403.0,1848.0,2340.0,2651.0,3514.0,2217.0,4558.0,3853.0,4416.0,3949.0,3890.0,3729.0,3704.0,3913.0,0.0,0.0,968.0,184.0,33.0,280.0,156.0,0.0,0.0,128.0,170.0,339.0,0.0,3.0,4.0,3.0,101.0,2.0,4.0,3.0,3.0,5.0,4.0,0.0,1.0,100.0,5355.0,2238.0,5130.0,5686.0,4214.0,3765.0,5638.0,3607.0,5929.0,3949.0,,,,
0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1250.0,1169.0,500.0,669.0,702.0,368.0,716.0,440.0,323.0,1483.0,0.0,1.0,3.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2442,1637366737816,4109660553,CLASSIC,teambuilder-match-4109660553,1637364295257,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,76.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,4.0,9.0,7.0,8.0,9.0,7.0,7.0,9.0,8.0,9.0,8.0,612.0,1264.0,0.0,1704.0,134.0,2597.0,818.0,188.0,6379.0,269.0,NA1_4109660553,94.0,18.0,1.0,70.0,84.0,5.0,91.0,10.0,82.0,90.0,1611.0,605.0,1967.0,346.0,2316.0,444.0,2797.0,607.0,949.0,3905.0,400,0.0,0.0,282224.0,31690.0,119715.0,31475.0,14830.0,104402.0,42109.0,286847.0,8623.0,220093.0,12.0,720237.0,2224.0,1989.0,2043.0,2202.0,2450.0,3282.0,3616.0,876.0,7738.0,4407.0,3825.0,3069.0,3515.0,3864.0,4152.0,2943.0,3976.0,4140.0,4378.0,5108.0,0.0,0.0,0.0,120.0,76.0,152.0,0.0,240.0,0.0,80.0,410.0,233.0,0.0,3.0,2.0,2.0,2.0,1.0,5.0,5.0,3.0,5.0,4.0,0.0,,100.0,5453.0,3704.0,4070.0,5691.0,3958.0,3355.0,5770.0,4937.0,5664.0,4806.0,,,1.0,
0.0,1.0,4.0,0.0,1.0,2.0,3.0,1.0,2.0,4.0,2.0,0.0,0.0,667.0,407.0,269.0,1174.0,266.0,762.0,235.0,527.0,53.0,985.0,3.0,3.0,1.0,1.0,2.0,6.0,2.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1742,1637393313938,4110134274,CLASSIC,teambuilder-match-4110134274,1637391571197,MATCHED_GAME,11.23.409.111,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,3.0,56.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,7.0,2.0,3.0,5.0,2.0,2.0,9.0,8.0,8.0,7.0,9.0,6.0,9.0,8.0,7.0,8.0,3023.0,53.0,2533.0,1104.0,241.0,2379.0,186.0,374.0,1906.0,4717.0,NA1_4110134274,97.0,47.0,58.0,4.0,94.0,4.0,93.0,6.0,25.0,84.0,1326.0,3014.0,409.0,833.0,9865.0,904.0,2422.0,5293.0,1127.0,636.0,440,1.0,0.0,139116.0,27480.0,27567.0,331370.0,20195.0,82728.0,72865.0,38606.0,81752.0,62573.0,12.0,720216.0,4689.0,3067.0,3272.0,2113.0,10683.0,3284.0,2608.0,5727.0,3508.0,5644.0,4702.0,3382.0,3494.0,3874.0,6666.0,4287.0,4960.0,5327.0,3588.0,4560.0,0.0,0.0,340.0,0.0,330.0,174.0,576.0,0.0,0.0,60.0,474.0,290.0,0.0,17.0,2.0,2.0,1.0,3.0,13.0,3.0,1.0,5.0,5.0,0.0,,200.0,5906.0,4138.0,4753.0,3901.0,5910.0,2668.0,5684.0,4467.0,3409.0,5013.0,,,1.0,
0.0,1.0,0.0,3.0,1.0,2.0,4.0,0.0,0.0,1.0,2.0,0.0,1.0,326.0,264.0,111.0,519.0,788.0,131.0,384.0,1173.0,818.0,111.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1756,1637390537002,4110057124,CLASSIC,teambuilder-match-4110057124,1637388780647,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,1.0,0.0,0.0,0.0,0.0,60.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,3.0,0.0,0.0,9.0,7.0,7.0,9.0,8.0,7.0,9.0,10.0,7.0,8.0,3557.0,2506.0,172.0,1896.0,354.0,966.0,1441.0,2539.0,87.0,169.0,NA1_4110057124,69.0,3.0,7.0,81.0,84.0,5.0,89.0,95.0,98.0,5.0,858.0,561.0,940.0,335.0,1745.0,440.0,1904.0,515.0,1831.0,1437.0,440,0.0,0.0,72210.0,24519.0,137637.0,65748.0,12762.0,29340.0,80947.0,38488.0,13840.0,193787.0,12.0,720144.0,4589.0,3208.0,1487.0,2232.0,2099.0,1480.0,3837.0,3968.0,1919.0,2096.0,4376.0,2989.0,3561.0,4589.0,4788.0,2681.0,4109.0,4918.0,4018.0,3611.0,0.0,0.0,173.0,140.0,374.0,0.0,0.0,74.0,491.0,913.0,0.0,489.0,1.0,4.0,8.0,2.0,4.0,5.0,3.0,5.0,12.0,3.0,2.0,0.0,,200.0,5374.0,3305.0,3716.0,5339.0,4143.0,3336.0,5093.0,6124.0,3815.0,4215.0,,,,
0.0,1.0,3.0,0.0,1.0,3.0,4.0,1.0,3.0,2.0,4.0,0.0,0.0,458.0,434.0,22.0,368.0,1483.0,676.0,1214.0,646.0,132.0,609.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2113,1637380097615,4109874603,CLASSIC,teambuilder-match-4109874603,1637377984129,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,4.0,0.0,4.0,48.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,0.0,8.0,6.0,7.0,8.0,8.0,7.0,9.0,8.0,9.0,7.0,1507.0,0.0,1504.0,3353.0,160.0,2819.0,3528.0,342.0,2562.0,222.0,NA1_4109874603,64.0,0.0,5.0,76.0,105.0,6.0,90.0,7.0,87.0,73.0,1554.0,2750.0,44.0,843.0,5547.0,655.0,2003.0,3773.0,362.0,2914.0,440,0.0,0.0,77965.0,18297.0,156399.0,329865.0,21502.0,71504.0,32498.0,284955.0,48257.0,232670.0,12.0,720258.0,3061.0,2822.0,1655.0,4404.0,5707.0,3474.0,5532.0,4163.0,2925.0,3136.0,3383.0,2934.0,3947.0,3768.0,4758.0,3301.0,5374.0,4822.0,4282.0,3659.0,0.0,0.0,0.0,71.0,106.0,206.0,0.0,0.0,0.0,48.0,0.0,0.0,1.0,47.0,6.0,2.0,4.0,1.0,8.0,4.0,1.0,3.0,4.0,1.0,,200.0,4751.0,2573.0,3978.0,4552.0,4419.0,3284.0,5794.0,4303.0,5751.0,3589.0,,,,
