airdragon_team100,assistsplayer_1,assistsplayer_10,assistsplayer_2,assistsplayer_3,assistsplayer_4,assistsplayer_5,assistsplayer_6,assistsplayer_7,assistsplayer_8,assistsplayer_9,baron_team100,chemtechdragon_team100,currentGold_1,currentGold_10,currentGold_2,currentGold_3,currentGold_4,currentGold_5,currentGold_6,currentGold_7,currentGold_8,currentGold_9,deathsplayer_1,deathsplayer_10,deathsplayer_2,deathsplayer_3,deathsplayer_4,deathsplayer_5,deathsplayer_6,deathsplayer_7,deathsplayer_8,deathsplayer_9,dragon_team100,dragon_team200,earthdragon_team100,earthdragon_team200,firedragon_team100,firedragon_team200,gameDuration,gameEndTimestamp,gameId,gameMode,gameName,gameStartTimestamp,gameType,gameVersion,goldPerSecond_1,goldPerSecond_10,goldPerSecond_2,goldPerSecond_3,goldPerSecond_4,goldPerSecond_5,goldPerSecond_6,goldPerSecond_7,goldPerSecond_8,goldPerSecond_9,hextechdragon_team200,inhibs_lost_team200,jungleMinionsKilled_1,jungleMinionsKilled_10,jungleMinionsKilled_2,jungleMinionsKilled_3,jungleMinionsKilled_4,jungleMinionsKilled_5,jungleMinionsKilled_6,jungleMinionsKilled_7,jungleMinionsKilled_8,jungleMinionsKilled_9,killsplayer_0,killsplayer_1,killsplayer_10,killsplayer_2,killsplayer_3,killsplayer_4,killsplayer_5,killsplayer_6,killsplayer_7,killsplayer_8,killsplayer_9,level_1,level_10,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,magicDamageDoneToChampions_1,magicDamageDoneToChampions_10,magicDamageDoneToChampions_2,magicDamageDoneToChampions_3,magicDamageDoneToChampions_4,magicDamageDoneToChampions_5,magicDamageDoneToChampions_6,magicDamageDoneToChampions_7,magicDamageDoneToChampions_8,magicDamageDoneToChampions_9,matchId,minionsKilled_1,minionsKilled_10,minionsKilled_2,minionsKilled_3,minionsKilled_4,minionsKilled_5,minionsKilled_6,minionsKilled_7,minionsKilled_8,minionsKilled_9,physicalDamageDoneToChampions_1,physicalDamageDoneToChampions_10,physicalDamageDoneToChampions_2,physicalDamageDoneToChampions_3,physicalDamageDoneToChampions_4,physicalDamageDoneToChampions_5,physicalDamageDoneToChampions_6,physicalDamageDoneToChampions_7,physicalDamageDoneToChampions_8,physicalDamageDoneToChampions_9,queueId,riftherald_team100,riftherald_team200,riftherald_team300,timeEnemySpentControlled_1,timeEnemySpentControlled_10,timeEnemySpentControlled_2,timeEnemySpentControlled_3,timeEnemySpentControlled_4,timeEnemySpentControlled_5,timeEnemySpentControlled_6,timeEnemySpentControlled_7,timeEnemySpentControlled_8,timeEnemySpentControlled_9,time_cutoff,timestamp,totalDamageDoneToChampions_1,totalDamageDoneToChampions_10,totalDamageDoneToChampions_2,totalDamageDoneToChampions_3,totalDamageDoneToChampions_4,totalDamageDoneToChampions_5,totalDamageDoneToChampions_6,totalDamageDoneToChampions_7,totalDamageDoneToChampions_8,totalDamageDoneToChampions_9,totalGold_1,totalGold_10,totalGold_2,totalGold_3,totalGold_4,totalGold_5,totalGold_6,totalGold_7,totalGold_8,totalGold_9,towers_lost_team100,towers_lost_team200,trueDamageDoneToChampions_1,trueDamageDoneToChampions_10,trueDamageDoneToChampions_2,trueDamageDoneToChampions_3,trueDamageDoneToChampions_4,trueDamageDoneToChampions_5,trueDamageDoneToChampions_6,trueDamageDoneToChampions_7,trueDamageDoneToChampions_8,trueDamageDoneToChampions_9,ward_player_0,ward_player_1,ward_player_10,ward_player_2,ward_player_3,ward_player_4,ward_player_5,ward_player_6,ward_player_7,ward_player_8,ward_player_9,waterdragon_team100,waterdragon_team200,winningTeam,xp_1,xp_10,xp_2,xp_3,xp_4,xp_5,xp_6,xp_7,xp_8,xp_9,hextechdragon_team100,airdragon_team200,chemtechdragon_team200,inhibs_lost_team100,baron_team200
0.0,2.0,9.0,9.0,5.0,1.0,14.0,6.0,9.0,6.0,5.0,0.0,0.0,787.0,797.0,620.0,80.0,144.0,471.0,1439.0,423.0,1175.0,1057.0,3.0,7.0,8.0,7.0,4.0,4.0,1.0,3.0,4.0,4.0,0.0,3.0,0.0,1.0,0.0,1.0,1640,1637210056794,4107566693,CLASSIC,teambuilder-match-4107566693,1637208415785,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,99.0,4.0,12.0,0.0,4.0,111.0,20.0,8.0,0.0,0.0,2.0,2.0,3.0,13.0,1.0,3.0,5.0,8.0,8.0,13.0,10.0,12.0,12.0,11.0,11.0,13.0,12.0,14.0,11.0,4886.0,5545.0,3131.0,8629.0,263.0,3454.0,4546.0,444.0,14984.0,815.0,NA1_4107566693,145.0,35.0,15.0,128.0,149.0,23.0,122.0,27.0,185.0,139.0,662.0,831.0,2535.0,721.0,13726.0,1955.0,907.0,9233.0,516.0,11242.0,420,0.0,1.0,0.0,111046.0,121200.0,279987.0,39566.0,302388.0,248807.0,542316.0,163899.0,330083.0,78626.0,21.0,1260409.0,5548.0,6721.0,6027.0,9350.0,15622.0,5829.0,5875.0,9893.0,15501.0,12322.0,6762.0,6532.0,7290.0,7350.0,12284.0,6221.0,7914.0,9023.0,11960.0,10027.0,4.0,2.0,0.0,344.0,360.0,0.0,1631.0,419.0,422.0,215.0,0.0,264.0,0.0,9.0,13.0,8.0,10.0,2.0,18.0,8.0,6.0,9.0,6.0,0.0,1.0,100.0,10041.0,6405.0,8678.0,8753.0,8295.0,7778.0,10182.0,9773.0,11532.0,8030.0,,,,,
0.0,0.0,12.0,4.0,1.0,3.0,4.0,2.0,4.0,1.0,4.0,0.0,0.0,783.0,194.0,59.0,846.0,2306.0,1149.0,651.0,1664.0,600.0,615.0,4.0,4.0,6.0,4.0,10.0,5.0,4.0,2.0,6.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,2319,1637193865535,4107179574,CLASSIC,teambuilder-match-4107179574,1637191545906,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,4.0,108.0,0.0,18.0,0.0,11.0,88.0,8.0,9.0,0.0,4.0,6.0,1.0,10.0,2.0,2.0,3.0,3.0,4.0,13.0,14.0,12.0,12.0,13.0,11.0,10.0,12.0,11.0,13.0,13.0,0.0,820.0,34.0,14630.0,2484.0,3221.0,11052.0,5405.0,3520.0,2183.0,NA1_4107179574,161.0,8.0,15.0,141.0,122.0,6.0,109.0,24.0,174.0,165.0,12974.0,12814.0,4209.0,1268.0,8821.0,848.0,2771.0,815.0,7001.0,12378.0,400,0.0,1.0,0.0,23157.0,32704.0,128204.0,171096.0,170541.0,157720.0,14965.0,296636.0,58785.0,90519.0,21.0,1260457.0,14127.0,13634.0,6360.0,16268.0,12630.0,4636.0,14414.0,6652.0,11021.0,14581.0,9273.0,8669.0,7134.0,11406.0,7506.0,5724.0,7091.0,6964.0,8850.0,11665.0,4.0,3.0,1152.0,0.0,2116.0,368.0,1323.0,566.0,590.0,431.0,498.0,20.0,0.0,6.0,14.0,2.0,6.0,6.0,21.0,6.0,1.0,6.0,6.0,0.0,,100.0,12681.0,8614.0,8986.0,11190.0,8166.0,6991.0,9494.0,7742.0,10030.0,11007.0,,,,,
1.0,2.0,10.0,4.0,4.0,6.0,12.0,3.0,4.0,6.0,1.0,0.0,0.0,1633.0,289.0,976.0,886.0,1351.0,855.0,428.0,391.0,774.0,187.0,2.0,4.0,4.0,6.0,2.0,4.0,1.0,3.0,9.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,1705,1637366060531,4109601154,CLASSIC,teambuilder-match-4109601154,1637364355109,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,121.0,7.0,8.0,0.0,12.0,89.0,5.0,4.0,0.0,3.0,1.0,8.0,3.0,9.0,3.0,3.0,6.0,7.0,1.0,12.0,9.0,13.0,13.0,12.0,10.0,14.0,12.0,12.0,11.0,1189.0,3028.0,1979.0,836.0,14337.0,4480.0,1812.0,501.0,14508.0,4458.0,NA1_4109601154,131.0,40.0,40.0,138.0,157.0,19.0,206.0,40.0,121.0,113.0,3667.0,1068.0,9740.0,8454.0,1285.0,963.0,4567.0,9188.0,474.0,1626.0,420,1.0,1.0,0.0,99296.0,46746.0,183861.0,79857.0,215559.0,181544.0,28573.0,131990.0,265185.0,332437.0,21.0,1260413.0,4857.0,4096.0,13324.0,9597.0,15673.0,5890.0,6379.0,10603.0,14982.0,6247.0,7216.0,5759.0,9616.0,7981.0,11026.0,6914.0,9678.0,8491.0,9564.0,6122.0,2.0,3.0,0.0,0.0,1604.0,306.0,50.0,446.0,0.0,913.0,0.0,162.0,0.0,294.0,21.0,3.0,9.0,6.0,38.0,7.0,8.0,9.0,19.0,1.0,,100.0,9253.0,6071.0,10704.0,10519.0,9579.0,6876.0,11964.0,9031.0,8592.0,8013.0,,,,,
0.0,9.0,14.0,13.0,11.0,13.0,22.0,5.0,11.0,8.0,2.0,0.0,1.0,156.0,63.0,2002.0,1276.0,1247.0,761.0,377.0,56.0,2005.0,1189.0,6.0,8.0,5.0,5.0,4.0,8.0,5.0,10.0,8.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,1555,1637364465174,4109587944,CLASSIC,teambuilder-match-4109587944,1637362910041,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,1.0,119.0,0.0,4.0,83.0,0.0,10.0,0.0,6.0,1.0,10.0,11.0,11.0,1.0,4.0,7.0,6.0,10.0,13.0,10.0,13.0,13.0,13.0,11.0,13.0,11.0,12.0,11.0,9058.0,3967.0,1502.0,14322.0,616.0,6191.0,1077.0,1610.0,7495.0,1659.0,NA1_4109587944,133.0,29.0,105.0,120.0,25.0,28.0,152.0,18.0,96.0,123.0,899.0,1957.0,20413.0,1942.0,19120.0,381.0,12884.0,13779.0,1972.0,15527.0,420,2.0,,0.0,62789.0,87131.0,72314.0,32280.0,494747.0,199646.0,71568.0,159179.0,89096.0,2213.0,21.0,1260413.0,10897.0,5925.0,22289.0,16862.0,21093.0,6573.0,13961.0,16386.0,10229.0,17223.0,8216.0,5638.0,10937.0,11701.0,11822.0,6346.0,9377.0,8381.0,8685.0,10304.0,2.0,3.0,939.0,0.0,373.0,597.0,1355.0,0.0,0.0,996.0,762.0,35.0,3.0,7.0,11.0,9.0,5.0,4.0,13.0,7.0,3.0,7.0,7.0,1.0,,100.0,10158.0,6186.0,10110.0,11025.0,10759.0,7580.0,10146.0,8424.0,8839.0,8121.0,1.0,,,,
0.0,7.0,6.0,3.0,8.0,6.0,15.0,2.0,1.0,2.0,2.0,0.0,0.0,1601.0,459.0,2662.0,652.0,100.0,940.0,737.0,190.0,40.0,459.0,4.0,8.0,0.0,4.0,5.0,4.0,9.0,6.0,9.0,7.0,1.0,2.0,0.0,1.0,0.0,1.0,1811,1637362431191,4109553906,CLASSIC,teambuilder-match-4109553906,1637360619305,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,94.0,4.0,12.0,0.0,4.0,7.0,114.0,0.0,0.0,11.0,2.0,14.0,4.0,6.0,4.0,2.0,0.0,6.0,7.0,14.0,10.0,13.0,13.0,12.0,11.0,13.0,12.0,12.0,12.0,1982.0,2829.0,1277.0,10113.0,876.0,3005.0,1018.0,1100.0,0.0,3933.0,NA1_4109553906,146.0,26.0,39.0,162.0,137.0,33.0,151.0,148.0,18.0,147.0,16348.0,1575.0,14294.0,866.0,10219.0,3384.0,11746.0,2760.0,9060.0,6345.0,420,1.0,1.0,0.0,136272.0,272756.0,192692.0,221555.0,43110.0,149886.0,93137.0,421251.0,115256.0,321491.0,21.0,1260362.0,19075.0,4714.0,16128.0,10981.0,11350.0,7464.0,12960.0,3860.0,10749.0,14508.0,10751.0,6679.0,10787.0,8832.0,8770.0,6660.0,7757.0,7170.0,9025.0,9399.0,5.0,2.0,744.0,308.0,556.0,1.0,253.0,1075.0,196.0,0.0,1688.0,4229.0,0.0,3.0,21.0,2.0,5.0,11.0,12.0,4.0,7.0,4.0,6.0,1.0,,100.0,12492.0,7052.0,10719.0,11002.0,9243.0,8393.0,10645.0,9334.0,9157.0,8582.0,,,,,
0.0,3.0,3.0,4.0,6.0,3.0,11.0,1.0,4.0,1.0,6.0,0.0,1.0,359.0,145.0,1779.0,349.0,465.0,123.0,489.0,417.0,710.0,975.0,6.0,9.0,1.0,4.0,3.0,3.0,4.0,5.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,2066,1637372340269,4109733668,CLASSIC,teambuilder-match-4109733668,1637370273505,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,4.0,8.0,0.0,0.0,88.0,0.0,5.0,0.0,3.0,1.0,7.0,4.0,7.0,3.0,5.0,1.0,7.0,3.0,11.0,8.0,13.0,13.0,11.0,10.0,14.0,11.0,13.0,11.0,606.0,1987.0,3632.0,16700.0,14549.0,4216.0,2870.0,308.0,9067.0,734.0,NA1_4109733668,82.0,10.0,24.0,147.0,133.0,6.0,146.0,22.0,111.0,126.0,5591.0,1193.0,6492.0,1429.0,2466.0,1643.0,7844.0,5608.0,729.0,6910.0,400,2.0,,0.0,107841.0,129957.0,542601.0,202122.0,427196.0,161632.0,440633.0,431141.0,35942.0,12915.0,21.0,1260346.0,8206.0,3668.0,11074.0,18463.0,17510.0,5859.0,10715.0,6582.0,11041.0,9475.0,6439.0,4320.0,9004.0,8269.0,8415.0,6493.0,7989.0,6292.0,8979.0,7615.0,1.0,3.0,2009.0,488.0,949.0,334.0,493.0,0.0,0.0,664.0,1245.0,1831.0,0.0,6.0,9.0,3.0,196.0,3.0,9.0,5.0,7.0,8.0,6.0,0.0,1.0,100.0,8167.0,4898.0,10827.0,10064.0,8212.0,6572.0,11461.0,7886.0,10483.0,8496.0,,,,,
0.0,1.0,12.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,5.0,0.0,1.0,616.0,466.0,932.0,2079.0,566.0,586.0,564.0,847.0,1204.0,1463.0,2.0,3.0,9.0,6.0,4.0,5.0,2.0,2.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,2442,1637366737816,4109660553,CLASSIC,teambuilder-match-4109660553,1637364295257,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,4.0,0.0,0.0,12.0,142.0,0.0,8.0,0.0,2.0,1.0,2.0,7.0,3.0,2.0,2.0,2.0,10.0,11.0,12.0,11.0,11.0,12.0,12.0,11.0,13.0,13.0,14.0,12.0,2056.0,5048.0,0.0,12639.0,274.0,6379.0,3642.0,1128.0,26588.0,1286.0,NA1_4109660553,132.0,29.0,10.0,93.0,141.0,12.0,149.0,12.0,143.0,135.0,5124.0,1320.0,6535.0,962.0,8973.0,687.0,9533.0,2162.0,1238.0,13909.0,400,0.0,1.0,0.0,529334.0,75424.0,287037.0,92842.0,40439.0,210295.0,76424.0,413972.0,157553.0,381323.0,21.0,1260373.0,7373.0,6802.0,6984.0,14161.0,9248.0,7702.0,13176.0,3729.0,28471.0,15978.0,6881.0,5891.0,6947.0,8284.0,8690.0,5946.0,8169.0,7847.0,10234.0,10288.0,4.0,1.0,192.0,434.0,448.0,559.0,0.0,635.0,1.0,438.0,645.0,782.0,0.0,6.0,9.0,2.0,6.0,1.0,11.0,8.0,4.0,10.0,6.0,0.0,,100.0,9902.0,7614.0,8394.0,9446.0,8926.0,7313.0,10588.0,10414.0,11491.0,8920.0,,1.0,,,
0.0,1.0,7.0,1.0,5.0,7.0,9.0,5.0,4.0,10.0,5.0,0.0,0.0,832.0,603.0,1468.0,296.0,1255.0,819.0,626.0,961.0,460.0,333.0,6.0,7.0,3.0,5.0,4.0,11.0,3.0,6.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1742,1637393313938,4110134274,CLASSIC,teambuilder-match-4110134274,1637391571197,MATCHED_GAME,11.23.409.111,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0,12.0,4.0,0.0,77.0,8.0,0.0,23.0,92.0,1.0,2.0,0.0,3.0,4.0,8.0,2.0,9.0,2.0,4.0,11.0,4.0,6.0,12.0,11.0,12.0,10.0,13.0,9.0,13.0,12.0,10.0,13.0,9921.0,109.0,10787.0,3754.0,625.0,5263.0,408.0,713.0,7659.0,15304.0,NA1_4110134274,155.0,90.0,87.0,5.0,162.0,11.0,149.0,25.0,39.0,155.0,2489.0,6529.0,1121.0,2143.0,17323.0,1175.0,8430.0,15461.0,1781.0,719.0,440,2.0,,0.0,363773.0,48071.0,41257.0,444084.0,88165.0,170531.0,108920.0,161858.0,255227.0,144034.0,21.0,1260369.0,13000.0,6844.0,12468.0,6507.0,19322.0,6439.0,8838.0,16827.0,10583.0,16710.0,8197.0,7073.0,8083.0,6471.0,11810.0,6744.0,8891.0,9761.0,6620.0,9458.0,3.0,3.0,590.0,205.0,560.0,610.0,1373.0,0.0,0.0,652.0,1142.0,686.0,0.0,44.0,5.0,6.0,1.0,6.0,27.0,3.0,3.0,22.0,5.0,0.0,,200.0,9689.0,7485.0,9236.0,7167.0,10542.0,5645.0,10606.0,9503.0,6704.0,10699.0,,1.0,,,
0.0,3.0,7.0,4.0,6.0,5.0,9.0,0.0,4.0,2.0,6.0,0.0,1.0,1013.0,778.0,674.0,73.0,358.0,677.0,1653.0,1450.0,1618.0,2077.0,3.0,2.0,2.0,6.0,5.0,1.0,3.0,1.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,1756,1637390537002,4110057124,CLASSIC,teambuilder-match-4110057124,1637388780647,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,130.0,0.0,5.0,0.0,19.0,0.0,0.0,92.0,0.0,5.0,1.0,3.0,2.0,2.0,0.0,4.0,6.0,6.0,0.0,12.0,10.0,12.0,11.0,11.0,9.0,13.0,13.0,11.0,11.0,6719.0,5127.0,1211.0,5559.0,1646.0,3966.0,5224.0,7926.0,250.0,666.0,NA1_4110057124,128.0,6.0,26.0,118.0,147.0,10.0,173.0,158.0,168.0,18.0,1279.0,700.0,4512.0,737.0,6234.0,791.0,3600.0,1164.0,8584.0,5246.0,440,0.0,1.0,0.0,139257.0,35651.0,238362.0,97839.0,24626.0,84584.0,168320.0,75775.0,24949.0,296510.0,21.0,1260303.0,8441.0,6206.0,7028.0,6297.0,8749.0,4986.0,9355.0,11376.0,9286.0,7405.0,8813.0,5138.0,8339.0,7718.0,8083.0,4927.0,9803.0,8685.0,9093.0,6752.0,4.0,3.0,442.0,378.0,1304.0,0.0,868.0,228.0,530.0,2285.0,452.0,1492.0,1.0,5.0,17.0,3.0,9.0,7.0,13.0,9.0,23.0,5.0,3.0,0.0,,200.0,9742.0,6994.0,9508.0,8432.0,8470.0,5608.0,11425.0,10796.0,8525.0,8151.0,,,,,
0.0,7.0,7.0,5.0,5.0,7.0,12.0,3.0,8.0,3.0,7.0,0.0,0.0,1094.0,686.0,1953.0,242.0,570.0,687.0,1400.0,1141.0,1121.0,545.0,3.0,5.0,2.0,4.0,2.0,5.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,2113,1637380097615,4109874603,CLASSIC,teambuilder-match-4109874603,1637377984129,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,8.0,0.0,12.0,104.0,8.0,0.0,0.0,4.0,1.0,3.0,2.0,5.0,1.0,6.0,5.0,4.0,0.0,12.0,9.0,12.0,11.0,11.0,9.0,12.0,11.0,13.0,10.0,2847.0,0.0,5266.0,6155.0,206.0,6387.0,9341.0,837.0,6836.0,667.0,NA1_4109874603,119.0,9.0,21.0,136.0,165.0,14.0,145.0,10.0,173.0,124.0,3052.0,5173.0,371.0,985.0,11607.0,906.0,2599.0,8882.0,694.0,4513.0,440,1.0,,0.0,170949.0,33067.0,186582.0,509525.0,30073.0,122004.0,74228.0,402376.0,109871.0,364453.0,21.0,1260448.0,5900.0,5354.0,5970.0,7569.0,12210.0,7294.0,12157.0,9966.0,7530.0,5181.0,7319.0,5661.0,7688.0,6922.0,10139.0,5697.0,9400.0,8656.0,8666.0,6310.0,2.0,3.0,0.0,180.0,333.0,428.0,397.0,0.0,216.0,246.0,0.0,0.0,1.0,87.0,16.0,3.0,8.0,4.0,22.0,8.0,9.0,6.0,7.0,1.0,,200.0,9765.0,5775.0,8835.0,8432.0,8004.0,5972.0,9836.0,8542.0,11046.0,6885.0,,,,,
