assistsplayer_10,assistsplayer_2,assistsplayer_6,assistsplayer_7,assistsplayer_3,assistsplayer_4,assistsplayer_5,assistsplayer_8,assistsplayer_9,assistsplayer_1,currentGold_1,currentGold_10,currentGold_2,currentGold_3,currentGold_4,currentGold_5,currentGold_6,currentGold_7,currentGold_8,currentGold_9,deathsplayer_1,deathsplayer_10,deathsplayer_2,deathsplayer_3,deathsplayer_4,deathsplayer_5,deathsplayer_6,deathsplayer_7,deathsplayer_8,deathsplayer_9,dragon_team100,dragon_team200,firedragon_team100,firedragon_team200,gameDuration,gameEndTimestamp,gameId,gameMode,gameName,gameStartTimestamp,gameType,gameVersion,goldPerSecond_1,goldPerSecond_10,goldPerSecond_2,goldPerSecond_3,goldPerSecond_4,goldPerSecond_5,goldPerSecond_6,goldPerSecond_7,goldPerSecond_8,goldPerSecond_9,hextechdragon_team200,inhibs_lost_team200,jungleMinionsKilled_1,jungleMinionsKilled_10,jungleMinionsKilled_2,jungleMinionsKilled_3,jungleMinionsKilled_4,jungleMinionsKilled_5,jungleMinionsKilled_6,jungleMinionsKilled_7,jungleMinionsKilled_8,jungleMinionsKilled_9,killsplayer_1,killsplayer_2,killsplayer_3,killsplayer_4,killsplayer_5,killsplayer_6,killsplayer_0,killsplayer_7,killsplayer_8,killsplayer_9,killsplayer_10,level_1,level_10,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,magicDamageDoneToChampions_1,magicDamageDoneToChampions_10,magicDamageDoneToChampions_2,magicDamageDoneToChampions_3,magicDamageDoneToChampions_4,magicDamageDoneToChampions_5,magicDamageDoneToChampions_6,magicDamageDoneToChampions_7,magicDamageDoneToChampions_8,magicDamageDoneToChampions_9,matchId,minionsKilled_1,minionsKilled_10,minionsKilled_2,minionsKilled_3,minionsKilled_4,minionsKilled_5,minionsKilled_6,minionsKilled_7,minionsKilled_8,minionsKilled_9,physicalDamageDoneToChampions_1,physicalDamageDoneToChampions_10,physicalDamageDoneToChampions_2,physicalDamageDoneToChampions_3,physicalDamageDoneToChampions_4,physicalDamageDoneToChampions_5,physicalDamageDoneToChampions_6,physicalDamageDoneToChampions_7,physicalDamageDoneToChampions_8,physicalDamageDoneToChampions_9,queueId,riftherald_team100,timeEnemySpentControlled_1,timeEnemySpentControlled_10,timeEnemySpentControlled_2,timeEnemySpentControlled_3,timeEnemySpentControlled_4,timeEnemySpentControlled_5,timeEnemySpentControlled_6,timeEnemySpentControlled_7,timeEnemySpentControlled_8,timeEnemySpentControlled_9,timestamp,totalDamageDoneToChampions_1,totalDamageDoneToChampions_10,totalDamageDoneToChampions_2,totalDamageDoneToChampions_3,totalDamageDoneToChampions_4,totalDamageDoneToChampions_5,totalDamageDoneToChampions_6,totalDamageDoneToChampions_7,totalDamageDoneToChampions_8,totalDamageDoneToChampions_9,totalGold_1,totalGold_10,totalGold_2,totalGold_3,totalGold_4,totalGold_5,totalGold_6,totalGold_7,totalGold_8,totalGold_9,towers_lost_team100,towers_lost_team200,trueDamageDoneToChampions_1,trueDamageDoneToChampions_10,trueDamageDoneToChampions_2,trueDamageDoneToChampions_3,trueDamageDoneToChampions_4,trueDamageDoneToChampions_5,trueDamageDoneToChampions_6,trueDamageDoneToChampions_7,trueDamageDoneToChampions_8,trueDamageDoneToChampions_9,ward_player_1,ward_player_10,ward_player_2,ward_player_3,ward_player_4,ward_player_5,ward_player_6,ward_player_7,ward_player_8,ward_player_9,waterdragon_team100,winningTeam,xp_1,xp_10,xp_2,xp_3,xp_4,xp_5,xp_6,xp_7,xp_8,xp_9,airdragon_team100,chemtechdragon_team100,earthdragon_team100,riftherald_team300,baron_team100,earthdragon_team200,ward_player_0,chemtechdragon_team200,riftherald_team200,inhibs_lost_team100,airdragon_team200,hextechdragon_team100,baron_team200,waterdragon_team200
3.0,3.0,0.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,734.0,425.0,206.0,393.0,305.0,742.0,2151.0,879.0,607.0,836.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,3.0,2.0,1.0,3.0,1.0,1.0,1878,1637366302139,4109601409,CLASSIC,teambuilder-match-4109601409,1637364423902,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,65.0,0.0,8.0,1.0,2.0,1.0,2.0,1.0,3.0,0.0,1.0,2.0,2.0,0.0,7.0,5.0,7.0,8.0,6.0,6.0,9.0,8.0,8.0,6.0,0.0,30.0,91.0,93.0,0.0,842.0,515.0,326.0,1478.0,135.0,NA1_4109601409,45.0,16.0,3.0,69.0,62.0,3.0,79.0,3.0,67.0,66.0,2852.0,389.0,1295.0,2061.0,2300.0,331.0,3035.0,1322.0,602.0,1700.0,420,0.0,33580.0,15492.0,295025.0,26959.0,3535.0,1254.0,30615.0,127846.0,14630.0,19058.0,600129.0,2852.0,445.0,1540.0,2284.0,2599.0,1212.0,3767.0,1697.0,2292.0,1835.0,2784.0,2425.0,3981.0,3213.0,3880.0,2412.0,4401.0,3779.0,3687.0,3686.0,10.0,4.0,0.0,26.0,153.0,130.0,299.0,38.0,216.0,48.0,212.0,0.0,7.0,28.0,7.0,7.0,11.0,27.0,9.0,1.0,2.0,39.0,0.0,200.0,3714.0,2317.0,3560.0,4522.0,3005.0,2864.0,5285.0,4163.0,4064.0,2799.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,,,,
7.0,1.0,0.0,2.0,1.0,0.0,4.0,0.0,3.0,0.0,831.0,576.0,592.0,236.0,188.0,539.0,289.0,358.0,503.0,1225.0,1.0,0.0,3.0,1.0,4.0,5.0,2.0,2.0,3.0,2.0,1.0,3.0,0.0,1.0,1538,1637363717529,4109596513,CLASSIC,teambuilder-match-4109596513,1637362179485,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,48.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,1.0,10.0,0.0,0.0,0.0,4.0,0.0,9.0,6.0,7.0,8.0,7.0,6.0,8.0,7.0,7.0,7.0,1585.0,1316.0,1328.0,2484.0,165.0,1292.0,276.0,507.0,557.0,601.0,NA1_4109596513,87.0,4.0,7.0,56.0,58.0,1.0,15.0,48.0,57.0,62.0,1110.0,983.0,55.0,882.0,3240.0,1070.0,5624.0,1077.0,1561.0,3549.0,420,0.0,237987.0,55724.0,23692.0,38186.0,18297.0,10484.0,124592.0,142066.0,7564.0,760.0,600206.0,3041.0,2376.0,1411.0,3705.0,3406.0,2363.0,7450.0,1584.0,2338.0,4370.0,4606.0,3501.0,3167.0,3341.0,4133.0,2964.0,6389.0,2808.0,2833.0,4725.0,3.0,8.0,345.0,76.0,28.0,338.0,0.0,0.0,1549.0,0.0,220.0,220.0,7.0,46.0,10.0,10.0,12.0,26.0,7.0,7.0,7.0,7.0,0.0,100.0,5071.0,2415.0,3263.0,4153.0,3204.0,2544.0,4221.0,3546.0,3369.0,3653.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,,2.0,,1.0,,,
1.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,2.0,426.0,917.0,1179.0,759.0,316.0,530.0,263.0,1369.0,186.0,319.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,1.0,4.0,1.0,3.0,2.0,0.0,0.0,2098,1637306207003,4109052863,CLASSIC,teambuilder-match-4109052863,1637304108876,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,2.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,7.0,5.0,7.0,8.0,7.0,6.0,7.0,7.0,7.0,6.0,895.0,467.0,680.0,272.0,612.0,2287.0,192.0,1675.0,207.0,122.0,NA1_4109052863,47.0,14.0,5.0,70.0,64.0,6.0,54.0,6.0,65.0,60.0,3308.0,862.0,1917.0,3894.0,1569.0,598.0,3753.0,171.0,1694.0,2285.0,420,1.0,40675.0,18866.0,258224.0,27757.0,0.0,60086.0,10142.0,328233.0,6978.0,25850.0,600201.0,4376.0,1395.0,2621.0,4358.0,2181.0,2886.0,3945.0,1921.0,2110.0,2408.0,3501.0,2592.0,3954.0,4174.0,3316.0,2490.0,2838.0,3379.0,2741.0,3044.0,9.0,4.0,172.0,66.0,24.0,192.0,0.0,0.0,0.0,75.0,208.0,0.0,12.0,22.0,18.0,5.0,17.0,30.0,12.0,3.0,8.0,36.0,0.0,200.0,3781.0,1914.0,3315.0,4471.0,3199.0,2533.0,3359.0,3951.0,3626.0,2739.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,,1.0,,
1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,260.0,716.0,1978.0,192.0,1670.0,246.0,721.0,481.0,820.0,967.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,3.0,1.0,0.0,0.0,1706,1637302473271,4108974806,CLASSIC,teambuilder-match-4108974806,1637300766688,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,5.0,8.0,8.0,7.0,6.0,9.0,7.0,6.0,6.0,175.0,1915.0,186.0,2391.0,866.0,0.0,0.0,1904.0,231.0,313.0,NA1_4108974806,64.0,3.0,9.0,52.0,72.0,14.0,62.0,48.0,7.0,68.0,3626.0,976.0,1054.0,1096.0,2901.0,1641.0,2135.0,846.0,1953.0,2843.0,420,1.0,31519.0,97953.0,101043.0,5320.0,3830.0,123346.0,25900.0,42990.0,28111.0,7564.0,600203.0,3801.0,3072.0,1273.0,3600.0,3881.0,2677.0,2287.0,2751.0,2365.0,3156.0,3585.0,2766.0,3778.0,3382.0,3770.0,2746.0,3346.0,3191.0,2970.0,3442.0,8.0,4.0,0.0,180.0,32.0,112.0,112.0,1036.0,152.0,0.0,179.0,0.0,5.0,34.0,3.0,12.0,9.0,30.0,15.0,10.0,5.0,9.0,0.0,200.0,3888.0,2192.0,4101.0,4272.0,3223.0,2430.0,5182.0,3799.0,2938.0,3071.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,,1.0,,1.0,2.0,
3.0,3.0,1.0,3.0,0.0,2.0,3.0,0.0,2.0,0.0,1177.0,1.0,792.0,570.0,160.0,1558.0,12.0,1198.0,1344.0,401.0,2.0,1.0,1.0,0.0,2.0,3.0,1.0,2.0,1.0,2.0,0.0,4.0,0.0,0.0,1596,1637292306897,4108744522,CLASSIC,teambuilder-match-4108744522,1637290710182,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,56.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,4.0,2.0,0.0,7.0,5.0,7.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,576.0,936.0,301.0,1956.0,0.0,2863.0,0.0,0.0,3168.0,208.0,NA1_4108744522,61.0,8.0,8.0,79.0,45.0,7.0,65.0,6.0,62.0,64.0,2062.0,422.0,1839.0,192.0,3916.0,621.0,4140.0,945.0,290.0,3412.0,420,2.0,28812.0,16516.0,110899.0,19254.0,129891.0,35510.0,4162.0,172750.0,23750.0,6841.0,600178.0,2934.0,1599.0,2140.0,2149.0,4525.0,3586.0,4140.0,1029.0,3656.0,3621.0,3237.0,2051.0,3367.0,3550.0,4085.0,3133.0,4077.0,3073.0,3874.0,3526.0,11.0,2.0,295.0,240.0,0.0,0.0,609.0,101.0,0.0,84.0,198.0,0.0,6.0,32.0,5.0,8.0,7.0,40.0,8.0,6.0,4.0,5.0,0.0,200.0,4002.0,2141.0,3744.0,4301.0,3146.0,3118.0,4486.0,3150.0,4420.0,3133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,3.0,1.0,,1.0,
0.0,4.0,2.0,1.0,3.0,1.0,5.0,1.0,4.0,0.0,347.0,728.0,137.0,1737.0,1584.0,8.0,783.0,688.0,1051.0,1049.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,0.0,0.0,1944,1637290074481,4108516426,CLASSIC,teambuilder-match-4108516426,1637288129557,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,57.0,2.0,0.0,0.0,0.0,40.0,0.0,0.0,4.0,0.0,3.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,8.0,6.0,7.0,9.0,7.0,5.0,8.0,7.0,8.0,6.0,0.0,4565.0,155.0,3740.0,661.0,951.0,460.0,199.0,2085.0,315.0,NA1_4108516426,63.0,6.0,1.0,83.0,72.0,14.0,58.0,9.0,62.0,66.0,4228.0,743.0,1457.0,978.0,3952.0,474.0,3782.0,2384.0,448.0,2612.0,420,2.0,12584.0,8058.0,141329.0,24805.0,0.0,60188.0,100414.0,11561.0,46003.0,20115.0,600192.0,4546.0,5511.0,1612.0,4718.0,4614.0,1620.0,5449.0,2660.0,2533.0,2927.0,4297.0,3638.0,3212.0,4537.0,4359.0,2493.0,3678.0,3738.0,2926.0,3574.0,5.0,9.0,318.0,202.0,0.0,0.0,0.0,194.0,1206.0,77.0,0.0,0.0,10.0,40.0,5.0,10.0,14.0,33.0,12.0,1.0,4.0,7.0,0.0,100.0,4665.0,2567.0,3204.0,5304.0,3288.0,2076.0,4118.0,3553.0,4555.0,2811.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,,,,2.0,,1.0
4.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,3.0,0.0,421.0,463.0,64.0,508.0,610.0,234.0,532.0,1140.0,505.0,919.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,2043,1637285728506,4108363839,CLASSIC,teambuilder-match-4108363839,1637283685154,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,53.0,2.0,4.0,0.0,0.0,66.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,8.0,5.0,6.0,9.0,6.0,5.0,8.0,7.0,8.0,6.0,0.0,1194.0,87.0,312.0,1324.0,1229.0,0.0,235.0,2074.0,161.0,NA1_4108363839,87.0,17.0,3.0,76.0,39.0,7.0,72.0,4.0,56.0,57.0,3724.0,615.0,47.0,2483.0,2126.0,657.0,1040.0,820.0,1004.0,2813.0,420,0.0,49757.0,18296.0,191977.0,9149.0,127015.0,91554.0,65529.0,96910.0,61793.0,15365.0,600216.0,3724.0,2086.0,272.0,2961.0,4300.0,1886.0,1421.0,1187.0,3138.0,3138.0,4221.0,3158.0,2739.0,3723.0,2530.0,2494.0,3082.0,3865.0,3005.0,4244.0,7.0,6.0,0.0,276.0,137.0,166.0,850.0,0.0,381.0,131.0,58.0,164.0,12.0,42.0,2.0,11.0,14.0,41.0,12.0,7.0,14.0,6.0,0.0,200.0,4874.0,2269.0,2949.0,5251.0,2430.0,1977.0,4765.0,3747.0,4084.0,2805.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,,2.0,1.0,
2.0,2.0,1.0,1.0,2.0,1.0,4.0,2.0,4.0,1.0,1491.0,752.0,396.0,272.0,1432.0,191.0,71.0,637.0,804.0,874.0,0.0,1.0,3.0,2.0,3.0,5.0,1.0,3.0,4.0,1.0,2.0,1.0,0.0,0.0,1604,1637283147757,4108298323,CLASSIC,teambuilder-match-4108298323,1637281543677,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,45.0,4.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0,6.0,3.0,1.0,3.0,8.0,5.0,7.0,8.0,6.0,5.0,7.0,7.0,8.0,7.0,143.0,0.0,5021.0,334.0,0.0,0.0,0.0,2913.0,4118.0,935.0,NA1_4108298323,80.0,7.0,14.0,65.0,48.0,11.0,49.0,2.0,62.0,68.0,1801.0,3047.0,236.0,3837.0,2672.0,1158.0,1679.0,238.0,96.0,2291.0,420,1.0,19287.0,8818.0,75176.0,37882.0,2148.0,60748.0,25370.0,19652.0,122940.0,825.0,600209.0,2211.0,3247.0,5545.0,4466.0,2872.0,1482.0,1679.0,3291.0,4404.0,3226.0,3316.0,3597.0,4981.0,3887.0,3582.0,2266.0,2651.0,5087.0,3919.0,3724.0,0.0,9.0,266.0,200.0,287.0,294.0,200.0,324.0,0.0,140.0,189.0,0.0,7.0,8.0,2.0,16.0,8.0,19.0,7.0,54.0,9.0,10.0,1.0,100.0,4824.0,2334.0,3989.0,4119.0,2656.0,2281.0,3551.0,3768.0,4112.0,3374.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,
3.0,1.0,0.0,5.0,1.0,1.0,5.0,1.0,2.0,0.0,568.0,299.0,683.0,124.0,105.0,551.0,150.0,862.0,219.0,457.0,0.0,3.0,2.0,4.0,1.0,2.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,1500,1637280743685,4108283279,CLASSIC,teambuilder-match-4108283279,1637279243490,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,2.0,0.0,4.0,3.0,0.0,0.0,1.0,6.0,1.0,1.0,7.0,5.0,7.0,8.0,7.0,6.0,6.0,7.0,8.0,6.0,926.0,667.0,219.0,631.0,156.0,3777.0,850.0,0.0,3717.0,0.0,NA1_4108283279,64.0,11.0,6.0,79.0,67.0,12.0,38.0,11.0,61.0,64.0,2268.0,789.0,1767.0,2173.0,5340.0,624.0,898.0,2302.0,683.0,3063.0,420,1.0,18046.0,52959.0,69723.0,28052.0,37003.0,32899.0,96495.0,140253.0,60496.0,40673.0,600154.0,3195.0,1622.0,2190.0,2805.0,5580.0,4535.0,1748.0,2884.0,4575.0,3063.0,3318.0,2674.0,3533.0,3304.0,4355.0,4176.0,2225.0,3312.0,4734.0,3307.0,1.0,7.0,0.0,166.0,204.0,0.0,84.0,134.0,0.0,582.0,174.0,0.0,5.0,19.0,4.0,8.0,4.0,21.0,9.0,3.0,3.0,7.0,0.0,100.0,3905.0,2117.0,3489.0,4398.0,3347.0,2845.0,2691.0,3756.0,4437.0,3015.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,1.0,,
3.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,400.0,660.0,674.0,183.0,592.0,400.0,69.0,502.0,11.0,728.0,0.0,2.0,0.0,1.0,2.0,2.0,3.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,1998,1637278441248,4108257012,CLASSIC,teambuilder-match-4108257012,1637276443068,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,56.0,0.0,2.0,0.0,4.0,40.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,9.0,6.0,7.0,8.0,6.0,5.0,7.0,6.0,8.0,7.0,536.0,2978.0,0.0,615.0,0.0,172.0,231.0,0.0,393.0,324.0,NA1_4108257012,78.0,4.0,4.0,54.0,66.0,5.0,62.0,1.0,82.0,75.0,2291.0,667.0,1706.0,103.0,2145.0,2848.0,2516.0,1472.0,2414.0,2045.0,420,2.0,19968.0,80736.0,131478.0,28753.0,2147.0,28851.0,28874.0,157870.0,104778.0,15822.0,600226.0,2828.0,3952.0,1910.0,718.0,2245.0,3020.0,2747.0,1818.0,3347.0,2370.0,4550.0,3085.0,3074.0,2718.0,3567.0,2925.0,2769.0,2477.0,3766.0,4278.0,10.0,6.0,0.0,305.0,203.0,0.0,100.0,0.0,0.0,346.0,539.0,0.0,10.0,34.0,9.0,5.0,11.0,47.0,12.0,7.0,8.0,8.0,0.0,200.0,5050.0,3177.0,3300.0,4186.0,3091.0,2076.0,3618.0,2883.0,4800.0,3228.0,0.0,1.0,0.0,0.0,1.0,0.0,9.0,,,2.0,3.0,,1.0,
