,airdragon_team100,assistsplayer_1,assistsplayer_10,assistsplayer_2,assistsplayer_3,assistsplayer_4,assistsplayer_5,assistsplayer_6,assistsplayer_7,assistsplayer_8,assistsplayer_9,baron_team100,baron_team200,chemtechdragon_team100,chemtechdragon_team200,currentGold_1,currentGold_10,currentGold_2,currentGold_3,currentGold_4,currentGold_5,currentGold_6,currentGold_7,currentGold_8,currentGold_9,deathsplayer_1,deathsplayer_10,deathsplayer_2,deathsplayer_3,deathsplayer_4,deathsplayer_5,deathsplayer_6,deathsplayer_7,deathsplayer_8,deathsplayer_9,dragon_team100,dragon_team200,earthdragon_team100,earthdragon_team200,firedragon_team100,firedragon_team200,gameDuration,gameEndTimestamp,gameId,gameMode,gameName,gameStartTimestamp,gameType,gameVersion,goldPerSecond_1,goldPerSecond_10,goldPerSecond_2,goldPerSecond_3,goldPerSecond_4,goldPerSecond_5,goldPerSecond_6,goldPerSecond_7,goldPerSecond_8,goldPerSecond_9,hextechdragon_team100,hextechdragon_team200,inhibs_lost_team100,inhibs_lost_team200,jungleMinionsKilled_1,jungleMinionsKilled_10,jungleMinionsKilled_2,jungleMinionsKilled_3,jungleMinionsKilled_4,jungleMinionsKilled_5,jungleMinionsKilled_6,jungleMinionsKilled_7,jungleMinionsKilled_8,jungleMinionsKilled_9,killsplayer_0,killsplayer_1,killsplayer_10,killsplayer_2,killsplayer_3,killsplayer_4,killsplayer_5,killsplayer_6,killsplayer_7,killsplayer_8,killsplayer_9,level_1,level_10,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,magicDamageDoneToChampions_1,magicDamageDoneToChampions_10,magicDamageDoneToChampions_2,magicDamageDoneToChampions_3,magicDamageDoneToChampions_4,magicDamageDoneToChampions_5,magicDamageDoneToChampions_6,magicDamageDoneToChampions_7,magicDamageDoneToChampions_8,magicDamageDoneToChampions_9,matchId,minionsKilled_1,minionsKilled_10,minionsKilled_2,minionsKilled_3,minionsKilled_4,minionsKilled_5,minionsKilled_6,minionsKilled_7,minionsKilled_8,minionsKilled_9,physicalDamageDoneToChampions_1,physicalDamageDoneToChampions_10,physicalDamageDoneToChampions_2,physicalDamageDoneToChampions_3,physicalDamageDoneToChampions_4,physicalDamageDoneToChampions_5,physicalDamageDoneToChampions_6,physicalDamageDoneToChampions_7,physicalDamageDoneToChampions_8,physicalDamageDoneToChampions_9,queueId,riftherald_team100,riftherald_team200,riftherald_team300,timeEnemySpentControlled_1,timeEnemySpentControlled_10,timeEnemySpentControlled_2,timeEnemySpentControlled_3,timeEnemySpentControlled_4,timeEnemySpentControlled_5,timeEnemySpentControlled_6,timeEnemySpentControlled_7,timeEnemySpentControlled_8,timeEnemySpentControlled_9,timestamp,totalDamageDoneToChampions_1,totalDamageDoneToChampions_10,totalDamageDoneToChampions_2,totalDamageDoneToChampions_3,totalDamageDoneToChampions_4,totalDamageDoneToChampions_5,totalDamageDoneToChampions_6,totalDamageDoneToChampions_7,totalDamageDoneToChampions_8,totalDamageDoneToChampions_9,totalGold_1,totalGold_10,totalGold_2,totalGold_3,totalGold_4,totalGold_5,totalGold_6,totalGold_7,totalGold_8,totalGold_9,towers_lost_team100,towers_lost_team200,trueDamageDoneToChampions_1,trueDamageDoneToChampions_10,trueDamageDoneToChampions_2,trueDamageDoneToChampions_3,trueDamageDoneToChampions_4,trueDamageDoneToChampions_5,trueDamageDoneToChampions_6,trueDamageDoneToChampions_7,trueDamageDoneToChampions_8,trueDamageDoneToChampions_9,ward_player_0,ward_player_1,ward_player_10,ward_player_2,ward_player_3,ward_player_4,ward_player_5,ward_player_6,ward_player_7,ward_player_8,ward_player_9,waterdragon_team100,winningTeam,xp_1,xp_10,xp_2,xp_3,xp_4,xp_5,xp_6,xp_7,xp_8,xp_9,waterdragon_team200,airdragon_team200
0,0.0,2.0,5.0,0.0,2.0,3.0,10.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,720.0,70.0,494.0,383.0,1255.0,721.0,797.0,-69.0,412.0,484.0,2.0,7.0,2.0,3.0,3.0,4.0,5.0,1.0,0.0,7.0,2.0,2.0,0.0,1.0,0.0,0.0,1681,1637427884537,4110434630,CLASSIC,teambuilder-match-4110434630,1637426203210,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,107.0,0.0,4.0,0.0,8.0,87.0,0.0,4.0,0.0,4.0,0.0,1.0,5.0,10.0,0.0,1.0,3.0,6.0,4.0,11.0,7.0,10.0,9.0,10.0,7.0,10.0,10.0,12.0,8.0,2380.0,1000.0,0.0,3544.0,410.0,3050.0,871.0,1617.0,996.0,9338.0,NA1_4110434630,100.0,19.0,13.0,74.0,127.0,22.0,97.0,5.0,152.0,109.0,5928.0,1097.0,1317.0,25.0,12205.0,856.0,4955.0,812.0,4465.0,257.0,420,1.0,1.0,0.0,436477.0,16910.0,32637.0,43959.0,107883.0,183652.0,76225.0,306352.0,43176.0,39894.0,900322.0,8309.0,2548.0,1872.0,3596.0,14223.0,4271.0,6006.0,2628.0,5554.0,9855.0,6420.0,3520.0,5234.0,5323.0,8950.0,4186.0,5297.0,6621.0,9036.0,5669.0,9.0,5.0,0.0,450.0,555.0,26.0,1606.0,364.0,180.0,198.0,92.0,259.0,12.0,7.0,22.0,3.0,10.0,12.0,23.0,8.0,5.0,7.0,4.0,0.0,200.0,8318.0,3993.0,6507.0,6115.0,6528.0,3903.0,6288.0,6278.0,8847.0,4759.0,,
1,0.0,1.0,4.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0,4.0,0.0,1.0,0.0,,305.0,1304.0,129.0,106.0,1801.0,1364.0,654.0,2262.0,351.0,265.0,3.0,4.0,3.0,5.0,7.0,2.0,3.0,0.0,3.0,3.0,0.0,4.0,0.0,0.0,0.0,1.0,1674,1637209470591,4107564740,CLASSIC,teambuilder-match-4107564740,1637207795666,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,91.0,4.0,0.0,0.0,5.0,6.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,3.0,11.0,9.0,9.0,9.0,8.0,8.0,11.0,11.0,10.0,9.0,1881.0,6816.0,196.0,2546.0,377.0,7630.0,1059.0,185.0,5809.0,1207.0,NA1_4107564740,133.0,43.0,27.0,73.0,79.0,23.0,107.0,5.0,97.0,75.0,9148.0,507.0,2966.0,378.0,4242.0,322.0,5547.0,6956.0,616.0,3717.0,420,2.0,,0.0,78394.0,16065.0,220249.0,58247.0,54779.0,118138.0,209963.0,193527.0,79447.0,0.0,900329.0,11030.0,7570.0,3320.0,3222.0,4619.0,8336.0,6607.0,7487.0,6425.0,5054.0,7955.0,6539.0,5914.0,4546.0,5176.0,5313.0,5549.0,7237.0,5616.0,5588.0,10.0,3.0,0.0,246.0,157.0,298.0,0.0,383.0,0.0,345.0,0.0,129.0,14.0,10.0,27.0,1.0,4.0,17.0,21.0,10.0,2.0,16.0,7.0,0.0,200.0,8511.0,5699.0,5691.0,5602.0,4330.0,4843.0,7470.0,7378.0,6980.0,5221.0,1.0,
3,0.0,1.0,5.0,1.0,1.0,5.0,10.0,4.0,1.0,2.0,2.0,1.0,,0.0,,65.0,678.0,1669.0,240.0,325.0,499.0,1323.0,777.0,46.0,622.0,7.0,4.0,4.0,3.0,4.0,1.0,2.0,3.0,4.0,6.0,4.0,0.0,0.0,0.0,2.0,0.0,1657,1637451591422,4110697578,CLASSIC,teambuilder-match-4110697578,1637449933642,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,,3.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,1.0,1.0,7.0,7.0,2.0,2.0,5.0,10.0,1.0,2.0,9.0,8.0,11.0,11.0,8.0,8.0,11.0,10.0,9.0,9.0,0.0,954.0,5212.0,6989.0,139.0,2620.0,123.0,4182.0,6376.0,316.0,NA1_4110697578,63.0,19.0,15.0,98.0,67.0,5.0,94.0,33.0,102.0,91.0,2646.0,1077.0,1161.0,1559.0,5328.0,1664.0,8044.0,3991.0,756.0,4297.0,400,0.0,1.0,1.0,10669.0,29788.0,140630.0,105202.0,8092.0,159343.0,61723.0,162410.0,31327.0,294192.0,900274.0,3521.0,2290.0,6681.0,8697.0,5468.0,4686.0,8260.0,8506.0,7133.0,4614.0,3815.0,4053.0,7639.0,7230.0,4800.0,5748.0,6993.0,7697.0,5686.0,5022.0,2.0,11.0,875.0,258.0,307.0,148.0,0.0,401.0,92.0,332.0,0.0,0.0,0.0,10.0,13.0,11.0,1.0,9.0,28.0,5.0,331.0,7.0,6.0,1.0,100.0,5922.0,4652.0,8002.0,7493.0,4809.0,4295.0,7355.0,6182.0,5781.0,5131.0,,
4,0.0,3.0,4.0,6.0,5.0,2.0,1.0,5.0,2.0,2.0,1.0,1.0,,1.0,1.0,707.0,676.0,338.0,248.0,910.0,326.0,138.0,388.0,1516.0,378.0,1.0,5.0,3.0,0.0,1.0,2.0,0.0,2.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1769,1637464117493,4111036626,CLASSIC,teambuilder-match-4111036626,1637462348320,MATCHED_GAME,11.23.409.111,0.0,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,1.0,0.0,,3.0,76.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,83.0,4.0,0.0,2.0,0.0,1.0,2.0,1.0,7.0,1.0,1.0,1.0,4.0,9.0,10.0,8.0,10.0,9.0,10.0,8.0,8.0,9.0,9.0,348.0,5121.0,2063.0,208.0,1091.0,8031.0,1365.0,140.0,0.0,279.0,NA1_4111036626,13.0,103.0,17.0,103.0,97.0,98.0,2.0,87.0,9.0,83.0,2405.0,1375.0,299.0,5563.0,4049.0,1674.0,492.0,2595.0,2312.0,4299.0,700,1.0,,1.0,211715.0,73294.0,24425.0,44141.0,0.0,46254.0,12957.0,343862.0,189842.0,9809.0,900272.0,2913.0,6496.0,2880.0,6075.0,5140.0,9705.0,2076.0,2736.0,2315.0,5730.0,5247.0,4161.0,3708.0,6038.0,4920.0,6501.0,3663.0,4683.0,4841.0,6218.0,4.0,9.0,159.0,0.0,518.0,304.0,0.0,0.0,218.0,0.0,2.0,1150.0,0.0,1.0,9.0,31.0,11.0,6.0,9.0,18.0,8.0,16.0,13.0,0.0,100.0,5385.0,6417.0,4066.0,7244.0,5685.0,7173.0,4875.0,4112.0,5390.0,5733.0,1.0,
5,0.0,0.0,5.0,1.0,0.0,0.0,5.0,1.0,3.0,1.0,1.0,0.0,,0.0,1.0,610.0,306.0,1214.0,1081.0,689.0,445.0,2073.0,711.0,622.0,448.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,1588,1637459304356,4110795813,CLASSIC,teambuilder-match-4110795813,1637457716007,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,2.0,,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,106.0,4.0,0.0,0.0,2.0,1.0,0.0,2.0,5.0,0.0,1.0,1.0,4.0,1.0,11.0,7.0,9.0,10.0,8.0,8.0,11.0,10.0,11.0,9.0,2442.0,2829.0,753.0,4710.0,439.0,1321.0,8690.0,270.0,492.0,293.0,NA1_4110795813,95.0,8.0,2.0,96.0,97.0,23.0,125.0,7.0,109.0,84.0,1381.0,1313.0,1416.0,1611.0,3759.0,1765.0,1135.0,4272.0,5776.0,7718.0,400,0.0,1.0,1.0,35766.0,123566.0,587281.0,285187.0,127419.0,32853.0,49078.0,270566.0,63755.0,14010.0,900276.0,3823.0,4544.0,2294.0,6338.0,5100.0,3448.0,10109.0,4781.0,6523.0,8011.0,4510.0,4676.0,4664.0,4841.0,5622.0,3895.0,6398.0,5721.0,5887.0,4123.0,3.0,2.0,0.0,402.0,124.0,17.0,901.0,362.0,283.0,238.0,254.0,0.0,0.0,161.0,30.0,6.0,6.0,8.0,25.0,9.0,2.0,13.0,7.0,0.0,200.0,7823.0,3879.0,5679.0,6994.0,4862.0,4497.0,7593.0,6426.0,7441.0,5094.0,,
6,1.0,0.0,8.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,568.0,274.0,91.0,90.0,461.0,234.0,1989.0,443.0,355.0,871.0,3.0,1.0,3.0,2.0,3.0,1.0,0.0,6.0,2.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,1978,1637457261651,4110788952,CLASSIC,teambuilder-match-4110788952,1637455282599,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,76.0,0.0,0.0,4.0,0.0,81.0,0.0,0.0,0.0,5.0,1.0,0.0,3.0,1.0,0.0,3.0,2.0,3.0,3.0,11.0,8.0,9.0,10.0,9.0,8.0,11.0,9.0,10.0,9.0,826.0,2563.0,0.0,5212.0,91.0,5714.0,1296.0,3096.0,5196.0,103.0,NA1_4110788952,109.0,3.0,13.0,84.0,94.0,21.0,129.0,4.0,101.0,93.0,5678.0,1490.0,2794.0,1077.0,3248.0,730.0,4366.0,527.0,329.0,3030.0,400,0.0,1.0,1.0,71442.0,168574.0,104175.0,337707.0,13014.0,74985.0,33225.0,64499.0,67933.0,48482.0,900303.0,6847.0,4398.0,3453.0,6289.0,3339.0,6662.0,5663.0,3751.0,5525.0,3133.0,6203.0,4624.0,4541.0,5030.0,4986.0,4749.0,6139.0,5018.0,5705.0,5296.0,10.0,3.0,342.0,344.0,658.0,0.0,0.0,217.0,0.0,128.0,0.0,0.0,0.0,10.0,56.0,10.0,16.0,12.0,31.0,10.0,1.0,13.0,10.0,0.0,200.0,7685.0,4727.0,5493.0,6980.0,5445.0,4237.0,7641.0,5679.0,6920.0,5612.0,,
8,0.0,0.0,6.0,1.0,4.0,1.0,4.0,5.0,2.0,6.0,4.0,0.0,1.0,1.0,,216.0,893.0,-67.0,709.0,771.0,588.0,655.0,205.0,492.0,1788.0,2.0,2.0,5.0,3.0,4.0,2.0,4.0,1.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,1763,1637439263020,4110522922,CLASSIC,teambuilder-match-4110522922,1637437499407,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0,3.0,0.0,0.0,11.0,4.0,0.0,11.0,7.0,9.0,10.0,8.0,7.0,10.0,11.0,10.0,9.0,661.0,1617.0,3080.0,479.0,94.0,2606.0,395.0,704.0,533.0,0.0,NA1_4110522922,105.0,29.0,5.0,95.0,111.0,8.0,112.0,8.0,56.0,106.0,3169.0,319.0,666.0,6701.0,4889.0,660.0,8722.0,9198.0,6719.0,3804.0,400,0.0,2.0,0.0,33620.0,30223.0,62437.0,52302.0,21706.0,82185.0,108851.0,197279.0,7809.0,7628.0,900308.0,3830.0,2080.0,3747.0,7975.0,4984.0,3531.0,9118.0,10239.0,7466.0,3804.0,5716.0,3717.0,5173.0,6249.0,5921.0,3513.0,5245.0,8620.0,5642.0,5438.0,9.0,6.0,0.0,144.0,0.0,794.0,0.0,264.0,0.0,337.0,214.0,0.0,0.0,8.0,30.0,1.0,5.0,10.0,60.0,9.0,4.0,8.0,10.0,0.0,200.0,7748.0,3907.0,5319.0,6384.0,4908.0,3852.0,6568.0,7303.0,6541.0,5286.0,,2.0
9,0.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,5.0,0.0,0.0,2.0,1.0,,345.0,324.0,257.0,476.0,1181.0,702.0,662.0,219.0,432.0,138.0,1.0,0.0,1.0,6.0,1.0,0.0,5.0,1.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,2277,1637446064261,4110634570,CLASSIC,teambuilder-match-4110634570,1637443787092,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,2.0,1.0,0.0,5.0,2.0,2.0,11.0,8.0,10.0,9.0,9.0,7.0,9.0,10.0,11.0,8.0,0.0,3521.0,1398.0,1502.0,0.0,2133.0,4854.0,2874.0,5274.0,45.0,NA1_4110634570,107.0,8.0,12.0,99.0,97.0,7.0,64.0,6.0,102.0,118.0,8521.0,503.0,277.0,3428.0,3170.0,1313.0,436.0,3299.0,961.0,2845.0,400,0.0,1.0,1.0,77795.0,161024.0,145375.0,51127.0,2741.0,79110.0,83216.0,227986.0,24579.0,31022.0,900323.0,9238.0,4094.0,1676.0,5000.0,3170.0,3853.0,5290.0,6620.0,6807.0,2890.0,6670.0,3374.0,5247.0,4561.0,4956.0,3777.0,3447.0,6469.0,5742.0,5388.0,8.0,7.0,716.0,70.0,0.0,70.0,0.0,406.0,0.0,446.0,571.0,0.0,0.0,10.0,32.0,16.0,11.0,12.0,69.0,9.0,409.0,16.0,17.0,2.0,200.0,7666.0,4352.0,6189.0,5659.0,5469.0,3841.0,5743.0,6541.0,7509.0,4499.0,,
10,0.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0,2.0,4.0,3.0,1.0,1.0,1.0,,585.0,551.0,2132.0,1270.0,2191.0,1704.0,816.0,825.0,573.0,1230.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,2472,1637443408042,4110549333,CLASSIC,teambuilder-match-4110549333,1637440935734,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,,7.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,2.0,0.0,2.0,2.0,2.0,1.0,10.0,8.0,10.0,11.0,8.0,8.0,11.0,9.0,10.0,8.0,868.0,4341.0,256.0,309.0,0.0,2060.0,600.0,498.0,3937.0,276.0,NA1_4110549333,80.0,15.0,12.0,108.0,107.0,6.0,132.0,12.0,76.0,101.0,1599.0,701.0,3369.0,5517.0,5087.0,684.0,2776.0,3265.0,388.0,3167.0,400,1.0,,1.0,68145.0,212133.0,247919.0,25385.0,7992.0,109815.0,46831.0,213967.0,93366.0,94563.0,900297.0,2467.0,5379.0,3992.0,6091.0,5087.0,3141.0,3376.0,4003.0,4326.0,3443.0,4150.0,4351.0,6272.0,7135.0,5071.0,3734.0,6016.0,5700.0,5028.0,4630.0,5.0,11.0,0.0,335.0,365.0,264.0,0.0,396.0,0.0,239.0,0.0,0.0,0.0,549.0,381.0,1.0,12.0,13.0,71.0,15.0,3.0,16.0,11.0,1.0,100.0,6500.0,4965.0,6757.0,7340.0,5028.0,4707.0,7594.0,5869.0,7003.0,4594.0,,
11,0.0,0.0,6.0,6.0,2.0,5.0,7.0,0.0,2.0,1.0,3.0,1.0,,0.0,1.0,1177.0,1869.0,838.0,23.0,1750.0,403.0,561.0,406.0,478.0,79.0,4.0,4.0,1.0,1.0,3.0,2.0,1.0,2.0,4.0,7.0,3.0,3.0,0.0,0.0,0.0,1.0,2311,1637393557379,4110153294,CLASSIC,teambuilder-match-4110153294,1637391245471,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0,0.0,0.0,96.0,0.0,0.0,0.0,4.0,60.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,5.0,4.0,6.0,2.0,0.0,3.0,10.0,7.0,10.0,11.0,8.0,8.0,11.0,8.0,9.0,8.0,437.0,1908.0,0.0,8528.0,303.0,4569.0,2281.0,1574.0,2661.0,1244.0,NA1_4110153294,97.0,4.0,12.0,112.0,91.0,11.0,116.0,2.0,60.0,89.0,3618.0,1395.0,5842.0,754.0,6521.0,894.0,2633.0,741.0,419.0,7425.0,400,0.0,1.0,0.0,50004.0,78813.0,274563.0,267292.0,40468.0,102094.0,16447.0,135002.0,195762.0,14370.0,900321.0,4262.0,3696.0,6455.0,10032.0,7078.0,5882.0,6819.0,2548.0,3081.0,8669.0,4777.0,3844.0,7078.0,6363.0,6900.0,5903.0,7866.0,5081.0,3548.0,5379.0,9.0,8.0,206.0,392.0,612.0,750.0,253.0,419.0,1904.0,232.0,0.0,0.0,0.0,1.0,69.0,6.0,10.0,12.0,38.0,7.0,625.0,14.0,9.0,0.0,200.0,6713.0,3816.0,7097.0,7887.0,4734.0,4560.0,7811.0,4520.0,5236.0,4912.0,,
