airdragon_team100,assistsplayer_1,assistsplayer_10,assistsplayer_2,assistsplayer_3,assistsplayer_4,assistsplayer_5,assistsplayer_6,assistsplayer_7,assistsplayer_8,assistsplayer_9,baron_team100,baron_team200,chemtechdragon_team100,chemtechdragon_team200,currentGold_1,currentGold_10,currentGold_2,currentGold_3,currentGold_4,currentGold_5,currentGold_6,currentGold_7,currentGold_8,currentGold_9,deathsplayer_1,deathsplayer_10,deathsplayer_2,deathsplayer_3,deathsplayer_4,deathsplayer_5,deathsplayer_6,deathsplayer_7,deathsplayer_8,deathsplayer_9,dragon_team100,dragon_team200,earthdragon_team100,earthdragon_team200,firedragon_team100,firedragon_team200,gameDuration,gameEndTimestamp,gameId,gameMode,gameName,gameStartTimestamp,gameType,gameVersion,goldPerSecond_1,goldPerSecond_10,goldPerSecond_2,goldPerSecond_3,goldPerSecond_4,goldPerSecond_5,goldPerSecond_6,goldPerSecond_7,goldPerSecond_8,goldPerSecond_9,hextechdragon_team100,hextechdragon_team200,inhibs_lost_team100,inhibs_lost_team200,jungleMinionsKilled_1,jungleMinionsKilled_10,jungleMinionsKilled_2,jungleMinionsKilled_3,jungleMinionsKilled_4,jungleMinionsKilled_5,jungleMinionsKilled_6,jungleMinionsKilled_7,jungleMinionsKilled_8,jungleMinionsKilled_9,killsplayer_0,killsplayer_1,killsplayer_10,killsplayer_2,killsplayer_3,killsplayer_4,killsplayer_5,killsplayer_6,killsplayer_7,killsplayer_8,killsplayer_9,level_1,level_10,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,magicDamageDoneToChampions_1,magicDamageDoneToChampions_10,magicDamageDoneToChampions_2,magicDamageDoneToChampions_3,magicDamageDoneToChampions_4,magicDamageDoneToChampions_5,magicDamageDoneToChampions_6,magicDamageDoneToChampions_7,magicDamageDoneToChampions_8,magicDamageDoneToChampions_9,matchId,minionsKilled_1,minionsKilled_10,minionsKilled_2,minionsKilled_3,minionsKilled_4,minionsKilled_5,minionsKilled_6,minionsKilled_7,minionsKilled_8,minionsKilled_9,physicalDamageDoneToChampions_1,physicalDamageDoneToChampions_10,physicalDamageDoneToChampions_2,physicalDamageDoneToChampions_3,physicalDamageDoneToChampions_4,physicalDamageDoneToChampions_5,physicalDamageDoneToChampions_6,physicalDamageDoneToChampions_7,physicalDamageDoneToChampions_8,physicalDamageDoneToChampions_9,queueId,riftherald_team100,riftherald_team200,riftherald_team300,timeEnemySpentControlled_1,timeEnemySpentControlled_10,timeEnemySpentControlled_2,timeEnemySpentControlled_3,timeEnemySpentControlled_4,timeEnemySpentControlled_5,timeEnemySpentControlled_6,timeEnemySpentControlled_7,timeEnemySpentControlled_8,timeEnemySpentControlled_9,timestamp,totalDamageDoneToChampions_1,totalDamageDoneToChampions_10,totalDamageDoneToChampions_2,totalDamageDoneToChampions_3,totalDamageDoneToChampions_4,totalDamageDoneToChampions_5,totalDamageDoneToChampions_6,totalDamageDoneToChampions_7,totalDamageDoneToChampions_8,totalDamageDoneToChampions_9,totalGold_1,totalGold_10,totalGold_2,totalGold_3,totalGold_4,totalGold_5,totalGold_6,totalGold_7,totalGold_8,totalGold_9,towers_lost_team100,towers_lost_team200,trueDamageDoneToChampions_1,trueDamageDoneToChampions_10,trueDamageDoneToChampions_2,trueDamageDoneToChampions_3,trueDamageDoneToChampions_4,trueDamageDoneToChampions_5,trueDamageDoneToChampions_6,trueDamageDoneToChampions_7,trueDamageDoneToChampions_8,trueDamageDoneToChampions_9,ward_player_0,ward_player_1,ward_player_10,ward_player_2,ward_player_3,ward_player_4,ward_player_5,ward_player_6,ward_player_7,ward_player_8,ward_player_9,waterdragon_team100,winningTeam,xp_1,xp_10,xp_2,xp_3,xp_4,xp_5,xp_6,xp_7,xp_8,xp_9,airdragon_team200,waterdragon_team200
0.0,3.0,4.0,0.0,4.0,1.0,4.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1140.0,379.0,2480.0,1431.0,141.0,1203.0,215.0,182.0,103.0,120.0,0.0,1.0,1.0,0.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1752,1637449991725,4110664149,CLASSIC,teambuilder-match-4110664149,1637448239216,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,84.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,9.0,7.0,9.0,10.0,8.0,7.0,9.0,8.0,9.0,8.0,4839.0,2120.0,363.0,1861.0,0.0,1602.0,285.0,205.0,3078.0,400.0,NA1_4110664149,65.0,5.0,23.0,64.0,83.0,27.0,84.0,4.0,92.0,106.0,1434.0,339.0,2170.0,3049.0,2832.0,1018.0,2634.0,1190.0,863.0,7891.0,440,1.0,1.0,0.0,8292.0,85405.0,273138.0,103734.0,104069.0,80829.0,80864.0,150536.0,325313.0,100600.0,900336.0,6598.0,2460.0,2644.0,4911.0,2832.0,2936.0,3365.0,1396.0,4536.0,8625.0,4635.0,3628.0,6655.0,5781.0,3941.0,3563.0,4065.0,4432.0,4303.0,5785.0,9.0,4.0,324.0,0.0,110.0,0.0,0.0,316.0,445.0,0.0,593.0,334.0,68.0,5.0,33.0,1.0,9.0,51.0,105.0,7.0,6.0,12.0,13.0,0.0,200.0,5927.0,3718.0,6023.0,6317.0,4414.0,3916.0,5756.0,4961.0,5855.0,4805.0,,
0.0,2.0,4.0,2.0,4.0,6.0,4.0,0.0,4.0,2.0,6.0,1.0,,1.0,,2010.0,174.0,459.0,495.0,557.0,531.0,124.0,361.0,661.0,62.0,1.0,3.0,3.0,4.0,3.0,4.0,6.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0,1.0,2.0,2225,1637462076871,4111070443,CLASSIC,teambuilder-match-4111070443,1637459851219,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,0.0,1.0,2.0,9.0,0.0,56.0,0.0,0.0,0.0,4.0,93.0,0.0,6.0,0.0,5.0,3.0,4.0,3.0,1.0,2.0,1.0,4.0,3.0,4.0,11.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,10.0,344.0,2228.0,2870.0,0.0,3593.0,3668.0,0.0,3504.0,710.0,293.0,NA1_4111070443,123.0,20.0,25.0,57.0,87.0,17.0,85.0,5.0,116.0,119.0,7700.0,695.0,952.0,2989.0,1075.0,1091.0,3048.0,1040.0,3754.0,9174.0,420,2.0,,0.0,44893.0,71819.0,334332.0,57386.0,95537.0,154269.0,73569.0,520053.0,61409.0,24082.0,900347.0,8117.0,3168.0,4063.0,3295.0,4899.0,4759.0,3577.0,5402.0,5233.0,10257.0,8035.0,4649.0,6529.0,5150.0,5107.0,4765.0,4224.0,6361.0,6836.0,7312.0,7.0,8.0,72.0,244.0,240.0,305.0,231.0,0.0,529.0,858.0,768.0,788.0,0.0,7.0,49.0,5.0,11.0,11.0,53.0,13.0,7.0,13.0,7.0,0.0,200.0,7599.0,4202.0,5510.0,4904.0,5185.0,4658.0,5595.0,5793.0,7292.0,6284.0,1.0,
0.0,2.0,3.0,2.0,5.0,9.0,7.0,3.0,4.0,6.0,5.0,1.0,,0.0,,843.0,96.0,6.0,375.0,141.0,45.0,231.0,294.0,246.0,2162.0,4.0,4.0,5.0,5.0,3.0,2.0,4.0,3.0,2.0,7.0,3.0,0.0,0.0,0.0,1.0,0.0,1572,1637459323343,4110795699,CLASSIC,teambuilder-match-4110795699,1637457750750,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,,1.0,4.0,0.0,65.0,0.0,0.0,0.0,0.0,75.0,4.0,4.0,0.0,2.0,1.0,6.0,2.0,5.0,5.0,2.0,6.0,4.0,6.0,9.0,7.0,9.0,9.0,9.0,9.0,11.0,9.0,11.0,9.0,0.0,1449.0,361.0,0.0,8149.0,2706.0,520.0,3561.0,449.0,156.0,NA1_4110795699,85.0,19.0,21.0,45.0,98.0,28.0,93.0,6.0,107.0,88.0,8150.0,778.0,6673.0,2867.0,2066.0,1193.0,6639.0,714.0,7744.0,6972.0,420,2.0,,0.0,71533.0,134751.0,205757.0,53802.0,343220.0,84087.0,97640.0,170516.0,30707.0,99604.0,900307.0,8830.0,2392.0,7644.0,3513.0,10216.0,4332.0,9383.0,6546.0,8419.0,9927.0,5793.0,3506.0,6466.0,5905.0,7826.0,5520.0,5451.0,6944.0,6171.0,7367.0,2.0,6.0,680.0,164.0,609.0,646.0,0.0,432.0,2223.0,2270.0,225.0,2798.0,0.0,8.0,21.0,5.0,5.0,11.0,27.0,5.0,8.0,5.0,13.0,1.0,100.0,6096.0,3895.0,6010.0,5697.0,5571.0,5207.0,7538.0,5342.0,7855.0,5724.0,,
0.0,1.0,6.0,0.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,865.0,1119.0,1399.0,346.0,1076.0,616.0,102.0,2035.0,922.0,861.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,0.0,4.0,0.0,2.0,0.0,1.0,1505,1637465231089,4111251390,CLASSIC,teambuilder-match-4111251390,1637463725301,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,4.0,98.0,0.0,4.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,2.0,4.0,1.0,4.0,10.0,9.0,11.0,10.0,8.0,8.0,11.0,11.0,10.0,9.0,107.0,1379.0,9182.0,249.0,77.0,2590.0,213.0,3390.0,471.0,0.0,NA1_4111251390,111.0,29.0,23.0,110.0,98.0,22.0,118.0,26.0,109.0,127.0,3110.0,689.0,293.0,5774.0,3067.0,541.0,8256.0,46.0,1388.0,7435.0,420,1.0,1.0,0.0,28909.0,66371.0,143123.0,22098.0,10174.0,129780.0,108728.0,544681.0,15196.0,33310.0,900352.0,4921.0,2367.0,10362.0,6587.0,3394.0,3131.0,8470.0,3762.0,1876.0,7451.0,4540.0,4024.0,7124.0,5316.0,5326.0,3466.0,5847.0,6370.0,5757.0,7261.0,10.0,2.0,1703.0,298.0,886.0,564.0,249.0,0.0,0.0,326.0,16.0,15.0,0.0,11.0,40.0,2.0,7.0,6.0,22.0,10.0,3.0,8.0,13.0,0.0,200.0,6977.0,5195.0,7359.0,7112.0,4845.0,4105.0,7897.0,8017.0,6555.0,5482.0,,
1.0,1.0,4.0,0.0,2.0,1.0,2.0,1.0,4.0,3.0,1.0,1.0,,0.0,,1089.0,158.0,440.0,302.0,1066.0,265.0,1188.0,2404.0,541.0,945.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1740,1637390822385,4110087805,CLASSIC,teambuilder-match-4110087805,1637389082235,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,84.0,5.0,0.0,0.0,0.0,90.0,4.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,1.0,4.0,3.0,1.0,2.0,11.0,7.0,9.0,10.0,8.0,7.0,11.0,10.0,10.0,8.0,174.0,1880.0,149.0,4648.0,4359.0,0.0,691.0,0.0,3825.0,1150.0,NA1_4110087805,111.0,2.0,15.0,112.0,105.0,10.0,125.0,4.0,88.0,117.0,4994.0,725.0,3875.0,1030.0,674.0,5750.0,5918.0,4825.0,595.0,3176.0,420,0.0,1.0,1.0,102813.0,15128.0,87767.0,45259.0,208494.0,13045.0,90259.0,120500.0,85758.0,8240.0,900231.0,5169.0,2605.0,4144.0,6567.0,5034.0,6004.0,6966.0,5223.0,4421.0,4327.0,5539.0,3633.0,5365.0,5747.0,5016.0,5010.0,6743.0,5654.0,5461.0,5218.0,6.0,7.0,0.0,0.0,120.0,887.0,0.0,254.0,356.0,398.0,0.0,0.0,0.0,14.0,30.0,7.0,56.0,13.0,32.0,17.0,2.0,4.0,7.0,0.0,100.0,7818.0,3493.0,5911.0,7280.0,4698.0,3948.0,7891.0,6276.0,6514.0,4919.0,,1.0
1.0,3.0,3.0,1.0,2.0,6.0,6.0,0.0,2.0,3.0,5.0,0.0,1.0,0.0,1.0,272.0,523.0,715.0,540.0,206.0,95.0,3270.0,336.0,640.0,214.0,2.0,3.0,1.0,4.0,3.0,4.0,2.0,2.0,3.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,1685,1637387297940,4109978422,CLASSIC,teambuilder-match-4109978422,1637385612493,MATCHED_GAME,11.23.409.111,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,,2.0,2.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,8.0,86.0,8.0,0.0,0.0,0.0,3.0,11.0,1.0,1.0,1.0,2.0,4.0,3.0,2.0,9.0,9.0,11.0,10.0,9.0,8.0,11.0,10.0,10.0,8.0,3678.0,2218.0,0.0,3623.0,318.0,1685.0,0.0,205.0,4070.0,3310.0,NA1_4109978422,84.0,114.0,11.0,94.0,91.0,10.0,121.0,19.0,102.0,8.0,654.0,5339.0,8770.0,851.0,4254.0,1016.0,8104.0,3466.0,2545.0,726.0,420,0.0,2.0,0.0,350668.0,0.0,179209.0,58176.0,82729.0,54950.0,89170.0,134154.0,13578.0,90396.0,900124.0,4552.0,7558.0,9608.0,4474.0,4572.0,2997.0,8382.0,3919.0,7182.0,4401.0,4512.0,5898.0,8389.0,4585.0,5231.0,4245.0,6820.0,6161.0,6965.0,4509.0,10.0,3.0,219.0,0.0,838.0,0.0,0.0,295.0,278.0,248.0,566.0,365.0,66.0,5.0,15.0,4.0,7.0,14.0,103.0,6.0,4.0,8.0,30.0,0.0,200.0,6039.0,5317.0,7895.0,6628.0,5808.0,4111.0,7765.0,6285.0,6989.0,4499.0,,
1.0,0.0,8.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,7.0,1.0,,0.0,,418.0,303.0,622.0,774.0,623.0,977.0,1228.0,253.0,618.0,247.0,1.0,1.0,3.0,4.0,4.0,5.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,1901,1637394563536,4110156633,CLASSIC,teambuilder-match-4110156633,1637392661856,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,0.0,,1.0,4.0,0.0,84.0,4.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,5.0,6.0,4.0,10.0,8.0,8.0,9.0,8.0,8.0,11.0,9.0,11.0,9.0,1658.0,1702.0,1857.0,6658.0,174.0,5239.0,6477.0,3223.0,5810.0,494.0,NA1_4110156633,117.0,18.0,4.0,77.0,104.0,19.0,143.0,17.0,112.0,102.0,2702.0,788.0,103.0,1545.0,5251.0,718.0,2294.0,41.0,1542.0,5647.0,440,0.0,1.0,1.0,44636.0,28050.0,157510.0,274013.0,24576.0,112352.0,399465.0,406848.0,176519.0,27219.0,900231.0,4361.0,2626.0,2139.0,8204.0,5426.0,6507.0,8772.0,3517.0,7353.0,6508.0,5083.0,4253.0,4247.0,3964.0,5123.0,4777.0,6178.0,6853.0,6828.0,6712.0,7.0,9.0,0.0,136.0,178.0,0.0,0.0,549.0,0.0,253.0,0.0,366.0,0.0,10.0,26.0,11.0,11.0,9.0,247.0,19.0,0.0,7.0,11.0,0.0,100.0,7057.0,4680.0,4770.0,5756.0,4619.0,4856.0,7919.0,5829.0,7647.0,5967.0,1.0,
2.0,0.0,5.0,4.0,4.0,2.0,4.0,1.0,2.0,2.0,3.0,1.0,,0.0,,741.0,683.0,549.0,92.0,819.0,267.0,249.0,324.0,1268.0,620.0,1.0,1.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,6.0,3.0,1.0,0.0,0.0,1.0,0.0,1754,1637369401448,4109667658,CLASSIC,teambuilder-match-4109667658,1637367646668,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,1.0,,1.0,4.0,0.0,78.0,0.0,0.0,0.0,0.0,80.0,18.0,4.0,0.0,3.0,3.0,3.0,5.0,1.0,4.0,2.0,3.0,1.0,5.0,10.0,9.0,9.0,11.0,9.0,9.0,11.0,10.0,10.0,9.0,0.0,2502.0,342.0,9389.0,3493.0,2872.0,5244.0,0.0,0.0,0.0,NA1_4109667658,99.0,31.0,3.0,122.0,98.0,32.0,83.0,33.0,77.0,97.0,5834.0,1183.0,4690.0,1734.0,137.0,627.0,799.0,5988.0,2510.0,11255.0,420,0.0,2.0,0.0,52998.0,58596.0,105015.0,116327.0,10142.0,57861.0,234720.0,210542.0,77729.0,66461.0,900344.0,6088.0,4169.0,5399.0,11689.0,3631.0,3782.0,6044.0,6447.0,3694.0,11749.0,6224.0,5208.0,5374.0,7067.0,4854.0,4742.0,4874.0,7009.0,4608.0,7580.0,6.0,8.0,253.0,484.0,366.0,566.0,0.0,282.0,0.0,459.0,1184.0,494.0,0.0,7.0,22.0,6.0,7.0,10.0,20.0,16.0,5.0,6.0,2.0,0.0,100.0,6940.0,5167.0,5499.0,8361.0,5797.0,5482.0,7409.0,6937.0,6142.0,5544.0,,
0.0,2.0,6.0,1.0,3.0,3.0,1.0,4.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,522.0,166.0,119.0,350.0,150.0,62.0,253.0,113.0,1160.0,528.0,5.0,2.0,4.0,3.0,5.0,2.0,4.0,3.0,6.0,2.0,3.0,4.0,0.0,0.0,2.0,2.0,2714,1637364976603,4109586763,CLASSIC,teambuilder-match-4109586763,1637362262328,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,0.0,82.0,0.0,0.0,4.0,0.0,80.0,1.0,0.0,0.0,3.0,1.0,6.0,4.0,2.0,2.0,1.0,12.0,0.0,5.0,11.0,9.0,10.0,11.0,8.0,8.0,10.0,11.0,10.0,9.0,985.0,519.0,4705.0,3895.0,238.0,3794.0,657.0,1136.0,458.0,7978.0,NA1_4109586763,136.0,23.0,8.0,100.0,80.0,17.0,102.0,5.0,117.0,136.0,3972.0,881.0,763.0,2118.0,6134.0,261.0,4396.0,9350.0,4258.0,65.0,420,2.0,,0.0,12681.0,35125.0,153134.0,310595.0,29392.0,9016.0,792.0,128946.0,114502.0,18068.0,900289.0,4957.0,1750.0,5728.0,6710.0,6387.0,4294.0,5456.0,11104.0,5087.0,8195.0,7197.0,5215.0,6344.0,6105.0,5155.0,4662.0,5693.0,8427.0,5700.0,7358.0,11.0,5.0,0.0,350.0,260.0,696.0,14.0,238.0,402.0,617.0,370.0,152.0,0.0,16.0,47.0,69.0,9.0,17.0,58.0,68.0,22.0,11.0,5.0,0.0,200.0,7689.0,5341.0,6239.0,7390.0,4964.0,4713.0,7170.0,7864.0,6828.0,5702.0,1.0,
1.0,1.0,1.0,3.0,3.0,4.0,5.0,2.0,1.0,1.0,0.0,1.0,,1.0,1.0,818.0,269.0,429.0,553.0,460.0,368.0,430.0,313.0,739.0,306.0,3.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1661,1637277773070,4108256239,CLASSIC,teambuilder-match-4108256239,1637276111294,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,102.0,4.0,0.0,0.0,0.0,76.0,0.0,4.0,0.0,1.0,0.0,4.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,10.0,8.0,10.0,10.0,9.0,8.0,10.0,9.0,10.0,8.0,0.0,742.0,5350.0,5675.0,274.0,2246.0,3914.0,225.0,680.0,3981.0,NA1_4108256239,114.0,36.0,9.0,92.0,128.0,22.0,92.0,8.0,120.0,102.0,10315.0,605.0,651.0,192.0,5020.0,503.0,771.0,4098.0,4301.0,497.0,420,2.0,,0.0,114609.0,25532.0,81733.0,49234.0,30609.0,115195.0,366923.0,236459.0,77850.0,106040.0,900282.0,10638.0,1647.0,6489.0,6384.0,5570.0,2883.0,4746.0,4534.0,5917.0,4478.0,5683.0,3304.0,6679.0,5403.0,6310.0,4003.0,4770.0,4853.0,4749.0,4631.0,2.0,6.0,323.0,300.0,487.0,516.0,275.0,134.0,60.0,210.0,934.0,0.0,0.0,7.0,26.0,58.0,8.0,9.0,28.0,11.0,4.0,8.0,10.0,0.0,100.0,6483.0,4754.0,6675.0,6771.0,5192.0,4691.0,6222.0,5254.0,7084.0,4177.0,,
