assistsplayer_10,assistsplayer_2,assistsplayer_6,assistsplayer_7,assistsplayer_3,assistsplayer_4,assistsplayer_5,assistsplayer_8,assistsplayer_9,assistsplayer_1,currentGold_1,currentGold_10,currentGold_2,currentGold_3,currentGold_4,currentGold_5,currentGold_6,currentGold_7,currentGold_8,currentGold_9,deathsplayer_1,deathsplayer_10,deathsplayer_2,deathsplayer_3,deathsplayer_4,deathsplayer_5,deathsplayer_6,deathsplayer_7,deathsplayer_8,deathsplayer_9,dragon_team100,dragon_team200,firedragon_team100,firedragon_team200,gameDuration,gameEndTimestamp,gameId,gameMode,gameName,gameStartTimestamp,gameType,gameVersion,goldPerSecond_1,goldPerSecond_10,goldPerSecond_2,goldPerSecond_3,goldPerSecond_4,goldPerSecond_5,goldPerSecond_6,goldPerSecond_7,goldPerSecond_8,goldPerSecond_9,hextechdragon_team200,inhibs_lost_team200,jungleMinionsKilled_1,jungleMinionsKilled_10,jungleMinionsKilled_2,jungleMinionsKilled_3,jungleMinionsKilled_4,jungleMinionsKilled_5,jungleMinionsKilled_6,jungleMinionsKilled_7,jungleMinionsKilled_8,jungleMinionsKilled_9,killsplayer_1,killsplayer_2,killsplayer_3,killsplayer_4,killsplayer_5,killsplayer_6,killsplayer_0,killsplayer_7,killsplayer_8,killsplayer_9,killsplayer_10,level_1,level_10,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,magicDamageDoneToChampions_1,magicDamageDoneToChampions_10,magicDamageDoneToChampions_2,magicDamageDoneToChampions_3,magicDamageDoneToChampions_4,magicDamageDoneToChampions_5,magicDamageDoneToChampions_6,magicDamageDoneToChampions_7,magicDamageDoneToChampions_8,magicDamageDoneToChampions_9,matchId,minionsKilled_1,minionsKilled_10,minionsKilled_2,minionsKilled_3,minionsKilled_4,minionsKilled_5,minionsKilled_6,minionsKilled_7,minionsKilled_8,minionsKilled_9,physicalDamageDoneToChampions_1,physicalDamageDoneToChampions_10,physicalDamageDoneToChampions_2,physicalDamageDoneToChampions_3,physicalDamageDoneToChampions_4,physicalDamageDoneToChampions_5,physicalDamageDoneToChampions_6,physicalDamageDoneToChampions_7,physicalDamageDoneToChampions_8,physicalDamageDoneToChampions_9,queueId,riftherald_team100,timeEnemySpentControlled_1,timeEnemySpentControlled_10,timeEnemySpentControlled_2,timeEnemySpentControlled_3,timeEnemySpentControlled_4,timeEnemySpentControlled_5,timeEnemySpentControlled_6,timeEnemySpentControlled_7,timeEnemySpentControlled_8,timeEnemySpentControlled_9,timestamp,totalDamageDoneToChampions_1,totalDamageDoneToChampions_10,totalDamageDoneToChampions_2,totalDamageDoneToChampions_3,totalDamageDoneToChampions_4,totalDamageDoneToChampions_5,totalDamageDoneToChampions_6,totalDamageDoneToChampions_7,totalDamageDoneToChampions_8,totalDamageDoneToChampions_9,totalGold_1,totalGold_10,totalGold_2,totalGold_3,totalGold_4,totalGold_5,totalGold_6,totalGold_7,totalGold_8,totalGold_9,towers_lost_team100,towers_lost_team200,trueDamageDoneToChampions_1,trueDamageDoneToChampions_10,trueDamageDoneToChampions_2,trueDamageDoneToChampions_3,trueDamageDoneToChampions_4,trueDamageDoneToChampions_5,trueDamageDoneToChampions_6,trueDamageDoneToChampions_7,trueDamageDoneToChampions_8,trueDamageDoneToChampions_9,ward_player_1,ward_player_10,ward_player_2,ward_player_3,ward_player_4,ward_player_5,ward_player_6,ward_player_7,ward_player_8,ward_player_9,waterdragon_team100,winningTeam,xp_1,xp_10,xp_2,xp_3,xp_4,xp_5,xp_6,xp_7,xp_8,xp_9,airdragon_team100,chemtechdragon_team100,earthdragon_team100,riftherald_team300,baron_team100,earthdragon_team200,ward_player_0,chemtechdragon_team200,riftherald_team200,time_cutoff,hextechdragon_team100,airdragon_team200,waterdragon_team200,inhibs_lost_team100
9.0,7.0,2.0,4.0,2.0,7.0,4.0,3.0,4.0,3.0,331.0,190.0,989.0,46.0,942.0,705.0,80.0,70.0,1182.0,142.0,4.0,7.0,4.0,4.0,4.0,5.0,5.0,2.0,6.0,4.0,0.0,2.0,0.0,0.0,1878,1637366302139,4109601409,CLASSIC,teambuilder-match-4109601409,1637364423902,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,103.0,0.0,4.0,0.0,0.0,129.0,0.0,12.0,3.0,6.0,5.0,4.0,6.0,3.0,0.0,9.0,3.0,6.0,0.0,13.0,9.0,12.0,12.0,12.0,10.0,12.0,13.0,12.0,11.0,0.0,2130.0,317.0,448.0,0.0,7808.0,2374.0,1036.0,6165.0,769.0,NA1_4109601409,140.0,24.0,39.0,133.0,146.0,13.0,145.0,14.0,144.0,148.0,8163.0,1457.0,6958.0,7576.0,6705.0,415.0,7064.0,8052.0,1238.0,5376.0,420,0.0,71695.0,59057.0,502163.0,64579.0,8952.0,13442.0,381515.0,192056.0,94938.0,64136.0,1200275.0,8163.0,3936.0,8617.0,8421.0,9842.0,8840.0,10358.0,9697.0,8044.0,6146.0,7571.0,5065.0,8929.0,7986.0,8692.0,6740.0,8684.0,10168.0,8322.0,8966.0,5.0,1.0,0.0,348.0,1341.0,396.0,3137.0,617.0,919.0,608.0,640.0,0.0,6.0,14.0,4.0,6.0,8.0,8.0,6.0,1.0,1.0,21.0,0.0,200.0,10258.0,5400.0,9638.0,9884.0,8995.0,7190.0,9805.0,10798.0,9850.0,7873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,20.0,,,,
15.0,8.0,0.0,5.0,2.0,2.0,15.0,2.0,4.0,5.0,1331.0,38.0,2029.0,908.0,332.0,149.0,308.0,509.0,390.0,729.0,1.0,3.0,6.0,4.0,7.0,8.0,6.0,2.0,7.0,5.0,1.0,2.0,0.0,1.0,1538,1637363717529,4109596513,CLASSIC,teambuilder-match-4109596513,1637362179485,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,91.0,3.0,0.0,0.0,124.0,4.0,0.0,0.0,3.0,5.0,4.0,9.0,2.0,15.0,0.0,0.0,1.0,9.0,1.0,13.0,10.0,11.0,12.0,11.0,10.0,12.0,12.0,11.0,11.0,4179.0,6583.0,9709.0,6913.0,325.0,4168.0,475.0,1578.0,2048.0,3191.0,NA1_4109596513,172.0,16.0,13.0,109.0,121.0,5.0,18.0,131.0,130.0,134.0,1925.0,1311.0,253.0,1044.0,12857.0,1816.0,11434.0,2343.0,5765.0,13774.0,420,0.0,470784.0,179628.0,95301.0,76271.0,54339.0,20228.0,171440.0,655490.0,29465.0,760.0,1200392.0,7565.0,8276.0,10438.0,8707.0,13998.0,5984.0,16749.0,3922.0,8389.0,17572.0,8706.0,7263.0,8444.0,6628.0,9577.0,6189.0,11357.0,7059.0,6285.0,9164.0,3.0,2.0,1460.0,381.0,476.0,750.0,814.0,0.0,4839.0,0.0,576.0,606.0,6.0,32.0,7.0,8.0,8.0,20.0,6.0,5.0,6.0,6.0,0.0,100.0,10697.0,6820.0,8273.0,8798.0,7642.0,6735.0,9902.0,8698.0,7563.0,8225.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,,2.0,20.0,,,,
8.0,4.0,5.0,10.0,5.0,2.0,5.0,2.0,8.0,3.0,277.0,595.0,383.0,1501.0,816.0,52.0,1551.0,1601.0,1306.0,794.0,3.0,5.0,2.0,5.0,6.0,3.0,6.0,2.0,6.0,4.0,2.0,0.0,0.0,0.0,2098,1637306207003,4109052863,CLASSIC,teambuilder-match-4109052863,1637304108876,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,4.0,0.0,0.0,8.0,96.0,0.0,0.0,6.0,7.0,6.0,3.0,1.0,4.0,0.0,5.0,5.0,3.0,2.0,12.0,9.0,11.0,12.0,11.0,9.0,11.0,12.0,11.0,11.0,3324.0,2785.0,1896.0,628.0,1675.0,4501.0,791.0,14305.0,467.0,953.0,NA1_4109052863,119.0,20.0,11.0,107.0,142.0,16.0,112.0,15.0,125.0,121.0,8041.0,1909.0,6933.0,11091.0,5203.0,844.0,9309.0,303.0,7006.0,8355.0,420,1.0,98056.0,63098.0,424397.0,77110.0,1585.0,158344.0,24774.0,691221.0,62718.0,52938.0,1200331.0,12163.0,5193.0,9071.0,12411.0,7228.0,5346.0,10100.0,15432.0,7683.0,9309.0,8702.0,4755.0,8383.0,7526.0,7166.0,4952.0,7491.0,7861.0,7896.0,6769.0,0.0,2.0,798.0,498.0,241.0,692.0,349.0,0.0,0.0,824.0,208.0,0.0,7.0,9.0,9.0,3.0,10.0,17.0,8.0,2.0,7.0,21.0,0.0,200.0,9433.0,5557.0,8052.0,8966.0,7450.0,5065.0,8351.0,8651.0,8567.0,7721.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,20.0,1.0,,,
10.0,1.0,3.0,5.0,1.0,2.0,7.0,5.0,3.0,2.0,229.0,97.0,1020.0,1026.0,574.0,-87.0,561.0,217.0,717.0,60.0,9.0,5.0,4.0,1.0,5.0,3.0,4.0,3.0,1.0,5.0,2.0,0.0,0.0,0.0,1706,1637302473271,4108974806,CLASSIC,teambuilder-match-4108974806,1637300766688,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,114.0,4.0,4.0,4.0,0.0,0.0,94.0,4.0,3.0,4.0,5.0,5.0,1.0,7.0,1.0,4.0,3.0,5.0,2.0,11.0,10.0,12.0,13.0,11.0,9.0,13.0,12.0,12.0,11.0,587.0,4007.0,473.0,7682.0,2933.0,0.0,973.0,7680.0,1333.0,590.0,NA1_4108974806,124.0,6.0,33.0,125.0,139.0,29.0,109.0,119.0,28.0,145.0,8371.0,1156.0,5286.0,1334.0,9100.0,3475.0,11223.0,1924.0,4197.0,7587.0,420,1.0,94090.0,193454.0,153980.0,17442.0,31744.0,171210.0,61662.0,140875.0,90131.0,25766.0,1200341.0,8958.0,5554.0,6170.0,9255.0,12620.0,5545.0,12675.0,9787.0,6086.0,8544.0,7019.0,5821.0,8595.0,8611.0,8549.0,5848.0,8286.0,7507.0,7040.0,8430.0,2.0,4.0,0.0,390.0,411.0,238.0,587.0,2070.0,478.0,182.0,555.0,366.0,5.0,19.0,3.0,9.0,6.0,13.0,10.0,6.0,5.0,7.0,0.0,200.0,8027.0,6407.0,8937.0,9967.0,7803.0,5908.0,10866.0,9585.0,8838.0,7340.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,,20.0,,,,
10.0,6.0,4.0,9.0,4.0,5.0,6.0,3.0,5.0,4.0,39.0,650.0,351.0,582.0,490.0,1122.0,464.0,837.0,682.0,1412.0,4.0,3.0,4.0,3.0,6.0,4.0,4.0,3.0,3.0,5.0,0.0,3.0,0.0,0.0,1596,1637292306897,4108744522,CLASSIC,teambuilder-match-4108744522,1637290710182,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,92.0,8.0,3.0,0.0,12.0,116.0,0.0,0.0,2.0,3.0,2.0,7.0,4.0,2.0,0.0,0.0,12.0,6.0,1.0,13.0,9.0,11.0,12.0,10.0,10.0,13.0,11.0,13.0,11.0,1198.0,1899.0,966.0,7504.0,264.0,8873.0,972.0,0.0,19572.0,410.0,NA1_4108744522,147.0,28.0,18.0,132.0,79.0,21.0,148.0,27.0,114.0,136.0,4783.0,550.0,7670.0,468.0,10111.0,967.0,8079.0,4795.0,1023.0,10136.0,420,2.0,74201.0,40894.0,157138.0,45152.0,268953.0,78082.0,11295.0,277833.0,80932.0,11465.0,1200305.0,6742.0,2823.0,9318.0,7973.0,11727.0,10044.0,9163.0,5527.0,21353.0,10786.0,7694.0,5050.0,8501.0,6882.0,7690.0,6772.0,9379.0,6837.0,9212.0,8447.0,5.0,2.0,760.0,372.0,681.0,0.0,1351.0,203.0,110.0,731.0,756.0,238.0,5.0,20.0,4.0,6.0,6.0,29.0,7.0,3.0,4.0,5.0,0.0,200.0,10085.0,5850.0,8252.0,8912.0,7028.0,6620.0,10276.0,8473.0,10201.0,7807.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,20.0,,1.0,,
6.0,7.0,5.0,3.0,8.0,7.0,13.0,2.0,7.0,0.0,123.0,368.0,153.0,389.0,1009.0,462.0,487.0,48.0,1470.0,1242.0,3.0,5.0,5.0,5.0,2.0,6.0,5.0,5.0,3.0,5.0,0.0,3.0,0.0,0.0,1944,1637290074481,4108516426,CLASSIC,teambuilder-match-4108516426,1637288129557,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,93.0,12.0,0.0,0.0,8.0,86.0,14.0,0.0,7.0,3.0,6.0,6.0,1.0,3.0,0.0,9.0,2.0,1.0,6.0,11.0,10.0,11.0,13.0,12.0,9.0,12.0,12.0,12.0,11.0,0.0,15984.0,816.0,13907.0,3580.0,2535.0,1817.0,766.0,5277.0,365.0,NA1_4108516426,107.0,22.0,25.0,158.0,146.0,23.0,121.0,23.0,123.0,138.0,6777.0,1084.0,6830.0,1428.0,12453.0,598.0,9040.0,11060.0,727.0,6012.0,420,2.0,20511.0,22097.0,198512.0,70318.0,0.0,115289.0,179927.0,44734.0,108366.0,28472.0,1200346.0,7567.0,17468.0,8128.0,15336.0,16033.0,3608.0,12943.0,12439.0,6005.0,6768.0,8446.0,7317.0,8078.0,9909.0,9152.0,5702.0,8602.0,8688.0,6840.0,7382.0,1.0,4.0,790.0,399.0,481.0,0.0,0.0,474.0,2085.0,612.0,0.0,390.0,6.0,20.0,2.0,6.0,9.0,11.0,6.0,1.0,4.0,4.0,0.0,100.0,8163.0,6862.0,7796.0,10770.0,8813.0,5554.0,9053.0,9146.0,9285.0,7322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,20.0,,,1.0,
9.0,9.0,3.0,2.0,4.0,4.0,12.0,6.0,10.0,1.0,217.0,362.0,327.0,352.0,69.0,166.0,863.0,948.0,3235.0,113.0,3.0,5.0,3.0,2.0,6.0,7.0,2.0,0.0,7.0,5.0,3.0,0.0,0.0,0.0,2043,1637285728506,4108363839,CLASSIC,teambuilder-match-4108363839,1637283685154,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,8.0,4.0,0.0,1.0,122.0,4.0,8.0,6.0,1.0,7.0,5.0,0.0,1.0,0.0,8.0,4.0,5.0,3.0,13.0,10.0,11.0,13.0,10.0,8.0,12.0,11.0,11.0,11.0,52.0,4431.0,5073.0,1892.0,4408.0,2958.0,0.0,589.0,7950.0,414.0,NA1_4108363839,176.0,32.0,7.0,150.0,96.0,9.0,136.0,11.0,105.0,127.0,10885.0,989.0,704.0,10770.0,3560.0,1038.0,4082.0,5829.0,1269.0,9991.0,420,0.0,123560.0,54836.0,362764.0,36684.0,179046.0,172164.0,153818.0,326035.0,148511.0,51769.0,1200378.0,11136.0,5889.0,6585.0,13504.0,10219.0,3996.0,5275.0,7140.0,9366.0,11327.0,9392.0,5957.0,6392.0,9397.0,7179.0,5216.0,6653.0,9363.0,9110.0,8403.0,2.0,3.0,198.0,468.0,807.0,841.0,2250.0,0.0,1192.0,722.0,146.0,921.0,6.0,17.0,1.0,7.0,9.0,17.0,6.0,3.0,8.0,2.0,0.0,200.0,10780.0,6507.0,7869.0,10408.0,6455.0,4906.0,9135.0,8511.0,8445.0,7424.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,1.0,20.0,1.0,,,
6.0,7.0,2.0,4.0,2.0,8.0,13.0,4.0,4.0,3.0,771.0,309.0,1079.0,750.0,338.0,243.0,250.0,287.0,282.0,902.0,1.0,5.0,5.0,5.0,5.0,8.0,2.0,8.0,10.0,4.0,1.0,1.0,0.0,0.0,1604,1637283147757,4108298323,CLASSIC,teambuilder-match-4108298323,1637281543677,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,106.0,8.0,4.0,0.0,0.0,83.0,0.0,8.0,1.0,15.0,4.0,6.0,3.0,1.0,0.0,9.0,6.0,4.0,4.0,13.0,10.0,13.0,11.0,11.0,11.0,11.0,11.0,12.0,10.0,298.0,134.0,21388.0,715.0,0.0,0.0,0.0,11771.0,10153.0,2050.0,NA1_4108298323,172.0,34.0,22.0,134.0,102.0,29.0,128.0,13.0,109.0,125.0,5248.0,8381.0,278.0,9206.0,7585.0,4418.0,4782.0,674.0,735.0,5690.0,420,1.0,51497.0,24043.0,135681.0,90992.0,6610.0,136093.0,77010.0,36504.0,225808.0,3239.0,1200407.0,7183.0,9116.0,22514.0,10425.0,8829.0,5694.0,4782.0,12719.0,11822.0,8386.0,7341.0,6994.0,11629.0,8675.0,9413.0,7967.0,6505.0,8797.0,8472.0,8427.0,0.0,3.0,1635.0,600.0,847.0,504.0,1243.0,1276.0,0.0,273.0,933.0,646.0,3.0,6.0,1.0,11.0,7.0,8.0,7.0,35.0,6.0,8.0,1.0,100.0,10326.0,6648.0,10376.0,8412.0,7969.0,7969.0,8247.0,7679.0,8863.0,7250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,20.0,,,,
9.0,3.0,3.0,6.0,6.0,6.0,12.0,3.0,7.0,0.0,298.0,86.0,171.0,1361.0,396.0,1026.0,929.0,894.0,2022.0,271.0,3.0,6.0,4.0,8.0,4.0,6.0,2.0,4.0,4.0,7.0,2.0,0.0,0.0,0.0,1500,1637280743685,4108283279,CLASSIC,teambuilder-match-4108283279,1637279243490,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,96.0,32.0,0.0,4.0,0.0,60.0,0.0,8.0,2.0,5.0,1.0,7.0,8.0,0.0,0.0,4.0,14.0,5.0,2.0,12.0,9.0,11.0,13.0,11.0,11.0,12.0,12.0,12.0,11.0,2575.0,2054.0,471.0,2965.0,313.0,15508.0,4669.0,0.0,17482.0,0.0,NA1_4108283279,136.0,23.0,12.0,141.0,136.0,44.0,94.0,35.0,106.0,123.0,6356.0,1153.0,3543.0,5558.0,15477.0,797.0,3173.0,7291.0,1424.0,7148.0,420,1.0,102089.0,113195.0,97968.0,74280.0,89073.0,83617.0,272369.0,327269.0,133449.0,72022.0,1200354.0,9136.0,3797.0,4608.0,8631.0,16142.0,16638.0,7843.0,9653.0,19525.0,7148.0,7648.0,5436.0,7346.0,8071.0,9136.0,9066.0,5029.0,7344.0,10962.0,7921.0,0.0,3.0,204.0,589.0,594.0,108.0,352.0,332.0,0.0,2362.0,618.0,0.0,4.0,11.0,3.0,7.0,3.0,14.0,8.0,3.0,3.0,5.0,0.0,100.0,9072.0,5747.0,7511.0,10043.0,7695.0,8168.0,8701.0,8798.0,9737.0,8138.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,20.0,,,,
9.0,2.0,0.0,4.0,3.0,7.0,9.0,4.0,4.0,3.0,155.0,1481.0,206.0,729.0,769.0,461.0,1206.0,1554.0,128.0,2115.0,4.0,5.0,2.0,2.0,6.0,5.0,6.0,4.0,4.0,4.0,2.0,0.0,1.0,0.0,1998,1637278441248,4108257012,CLASSIC,teambuilder-match-4108257012,1637276443068,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,100.0,12.0,6.0,0.0,20.0,80.0,4.0,0.0,10.0,6.0,2.0,2.0,2.0,0.0,1.0,3.0,3.0,7.0,6.0,13.0,11.0,11.0,13.0,10.0,9.0,12.0,11.0,12.0,11.0,2646.0,11892.0,0.0,5092.0,0.0,255.0,342.0,0.0,1302.0,909.0,NA1_4108257012,168.0,5.0,30.0,120.0,114.0,10.0,149.0,20.0,149.0,153.0,8165.0,899.0,6135.0,1122.0,5667.0,7398.0,4841.0,4846.0,7281.0,8304.0,420,2.0,53326.0,154829.0,221431.0,420197.0,8919.0,40875.0,94086.0,265990.0,193724.0,29302.0,1200433.0,10959.0,13683.0,6435.0,6214.0,6259.0,7653.0,5184.0,5691.0,10602.0,10089.0,11325.0,7766.0,8631.0,6814.0,6554.0,6031.0,7081.0,7679.0,7983.0,10040.0,3.0,2.0,147.0,890.0,300.0,0.0,592.0,0.0,0.0,845.0,2018.0,875.0,6.0,14.0,6.0,5.0,7.0,24.0,5.0,5.0,5.0,5.0,0.0,200.0,11416.0,7870.0,8568.0,10326.0,6922.0,5900.0,9060.0,8270.0,9403.0,8374.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,,,20.0,,,,
