assistsplayer_10,assistsplayer_2,assistsplayer_6,assistsplayer_7,assistsplayer_3,assistsplayer_4,assistsplayer_5,assistsplayer_8,assistsplayer_9,assistsplayer_1,currentGold_1,currentGold_10,currentGold_2,currentGold_3,currentGold_4,currentGold_5,currentGold_6,currentGold_7,currentGold_8,currentGold_9,deathsplayer_1,deathsplayer_10,deathsplayer_2,deathsplayer_3,deathsplayer_4,deathsplayer_5,deathsplayer_6,deathsplayer_7,deathsplayer_8,deathsplayer_9,dragon_team100,dragon_team200,firedragon_team100,firedragon_team200,gameDuration,gameEndTimestamp,gameId,gameMode,gameName,gameStartTimestamp,gameType,gameVersion,goldPerSecond_1,goldPerSecond_10,goldPerSecond_2,goldPerSecond_3,goldPerSecond_4,goldPerSecond_5,goldPerSecond_6,goldPerSecond_7,goldPerSecond_8,goldPerSecond_9,hextechdragon_team200,inhibs_lost_team200,jungleMinionsKilled_1,jungleMinionsKilled_10,jungleMinionsKilled_2,jungleMinionsKilled_3,jungleMinionsKilled_4,jungleMinionsKilled_5,jungleMinionsKilled_6,jungleMinionsKilled_7,jungleMinionsKilled_8,jungleMinionsKilled_9,killsplayer_1,killsplayer_2,killsplayer_3,killsplayer_4,killsplayer_5,killsplayer_6,killsplayer_0,killsplayer_7,killsplayer_8,killsplayer_9,killsplayer_10,level_1,level_10,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,magicDamageDoneToChampions_1,magicDamageDoneToChampions_10,magicDamageDoneToChampions_2,magicDamageDoneToChampions_3,magicDamageDoneToChampions_4,magicDamageDoneToChampions_5,magicDamageDoneToChampions_6,magicDamageDoneToChampions_7,magicDamageDoneToChampions_8,magicDamageDoneToChampions_9,matchId,minionsKilled_1,minionsKilled_10,minionsKilled_2,minionsKilled_3,minionsKilled_4,minionsKilled_5,minionsKilled_6,minionsKilled_7,minionsKilled_8,minionsKilled_9,physicalDamageDoneToChampions_1,physicalDamageDoneToChampions_10,physicalDamageDoneToChampions_2,physicalDamageDoneToChampions_3,physicalDamageDoneToChampions_4,physicalDamageDoneToChampions_5,physicalDamageDoneToChampions_6,physicalDamageDoneToChampions_7,physicalDamageDoneToChampions_8,physicalDamageDoneToChampions_9,queueId,riftherald_team100,timeEnemySpentControlled_1,timeEnemySpentControlled_10,timeEnemySpentControlled_2,timeEnemySpentControlled_3,timeEnemySpentControlled_4,timeEnemySpentControlled_5,timeEnemySpentControlled_6,timeEnemySpentControlled_7,timeEnemySpentControlled_8,timeEnemySpentControlled_9,timestamp,totalDamageDoneToChampions_1,totalDamageDoneToChampions_10,totalDamageDoneToChampions_2,totalDamageDoneToChampions_3,totalDamageDoneToChampions_4,totalDamageDoneToChampions_5,totalDamageDoneToChampions_6,totalDamageDoneToChampions_7,totalDamageDoneToChampions_8,totalDamageDoneToChampions_9,totalGold_1,totalGold_10,totalGold_2,totalGold_3,totalGold_4,totalGold_5,totalGold_6,totalGold_7,totalGold_8,totalGold_9,towers_lost_team100,towers_lost_team200,trueDamageDoneToChampions_1,trueDamageDoneToChampions_10,trueDamageDoneToChampions_2,trueDamageDoneToChampions_3,trueDamageDoneToChampions_4,trueDamageDoneToChampions_5,trueDamageDoneToChampions_6,trueDamageDoneToChampions_7,trueDamageDoneToChampions_8,trueDamageDoneToChampions_9,ward_player_1,ward_player_10,ward_player_2,ward_player_3,ward_player_4,ward_player_5,ward_player_6,ward_player_7,ward_player_8,ward_player_9,waterdragon_team100,winningTeam,xp_1,xp_10,xp_2,xp_3,xp_4,xp_5,xp_6,xp_7,xp_8,xp_9,airdragon_team100,chemtechdragon_team100,earthdragon_team100,riftherald_team300,baron_team100,earthdragon_team200,ward_player_0,chemtechdragon_team200,riftherald_team200,inhibs_lost_team100,airdragon_team200,hextechdragon_team100,baron_team200,waterdragon_team200
7.0,5.0,2.0,4.0,1.0,5.0,3.0,1.0,3.0,1.0,36.0,301.0,283.0,412.0,686.0,270.0,149.0,1210.0,862.0,1010.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,1.0,6.0,3.0,1.0,3.0,1.0,1.0,1878,1637366302139,4109601409,CLASSIC,teambuilder-match-4109601409,1637364423902,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,97.0,0.0,8.0,2.0,4.0,4.0,3.0,4.0,3.0,0.0,7.0,3.0,4.0,0.0,10.0,7.0,10.0,10.0,9.0,9.0,11.0,11.0,10.0,9.0,0.0,1253.0,178.0,314.0,0.0,4097.0,1452.0,589.0,3210.0,567.0,NA1_4109601409,93.0,19.0,20.0,91.0,98.0,7.0,111.0,7.0,99.0,102.0,5502.0,1249.0,3860.0,5480.0,4039.0,331.0,4458.0,5916.0,937.0,3365.0,420,0.0,52208.0,36895.0,387476.0,42846.0,7531.0,9479.0,181394.0,146705.0,54048.0,40753.0,900201.0,5502.0,2767.0,4851.0,6016.0,5031.0,4812.0,6326.0,6860.0,4572.0,3932.0,5276.0,3601.0,6233.0,5352.0,6061.0,5070.0,6254.0,7533.0,5562.0,6085.0,10.0,4.0,0.0,264.0,812.0,222.0,991.0,383.0,416.0,353.0,424.0,0.0,7.0,28.0,7.0,7.0,11.0,27.0,9.0,1.0,2.0,39.0,0.0,200.0,6874.0,3452.0,6316.0,7096.0,5439.0,5255.0,7685.0,7538.0,6847.0,5158.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,,,,
10.0,3.0,0.0,3.0,1.0,1.0,7.0,0.0,3.0,3.0,208.0,345.0,810.0,749.0,291.0,497.0,912.0,406.0,60.0,852.0,1.0,1.0,5.0,1.0,5.0,6.0,4.0,2.0,4.0,3.0,1.0,3.0,0.0,1.0,1538,1637363717529,4109596513,CLASSIC,teambuilder-match-4109596513,1637362179485,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,76.0,3.0,0.0,0.0,96.0,4.0,0.0,0.0,3.0,3.0,2.0,4.0,2.0,11.0,0.0,0.0,0.0,7.0,0.0,11.0,7.0,9.0,10.0,9.0,8.0,10.0,9.0,9.0,9.0,3127.0,3598.0,4593.0,3238.0,200.0,2824.0,276.0,518.0,1255.0,1760.0,NA1_4109596513,133.0,12.0,8.0,88.0,93.0,3.0,16.0,86.0,103.0,99.0,1622.0,1100.0,185.0,882.0,6810.0,1487.0,7378.0,1077.0,2344.0,8859.0,420,0.0,365015.0,114446.0,67717.0,65003.0,23680.0,16331.0,150915.0,287438.0,19291.0,760.0,900321.0,5505.0,4837.0,5011.0,4459.0,7010.0,4312.0,10254.0,1595.0,4010.0,10992.0,6783.0,5070.0,5975.0,4704.0,6166.0,4712.0,8512.0,4806.0,4400.0,7062.0,3.0,8.0,754.0,137.0,232.0,338.0,0.0,0.0,2600.0,0.0,410.0,372.0,7.0,46.0,10.0,10.0,12.0,26.0,7.0,7.0,7.0,7.0,0.0,100.0,8222.0,3608.0,5610.0,6303.0,5227.0,4071.0,7184.0,6036.0,5519.0,5738.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,,2.0,,1.0,,,
5.0,3.0,2.0,6.0,4.0,2.0,2.0,1.0,5.0,2.0,28.0,300.0,1221.0,308.0,255.0,468.0,405.0,936.0,1179.0,110.0,2.0,3.0,1.0,2.0,4.0,2.0,5.0,1.0,5.0,1.0,3.0,2.0,0.0,0.0,2098,1637306207003,4109052863,CLASSIC,teambuilder-match-4109052863,1637304108876,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,5.0,4.0,4.0,1.0,1.0,2.0,0.0,3.0,2.0,2.0,2.0,10.0,7.0,9.0,10.0,9.0,7.0,9.0,9.0,10.0,9.0,2346.0,1198.0,811.0,338.0,1139.0,3597.0,368.0,6270.0,358.0,495.0,NA1_4109052863,88.0,17.0,9.0,88.0,113.0,11.0,77.0,8.0,98.0,106.0,5850.0,1197.0,3064.0,6959.0,2195.0,789.0,5373.0,303.0,4602.0,4556.0,420,1.0,93365.0,37139.0,344338.0,55835.0,792.0,103565.0,17211.0,485048.0,56268.0,40850.0,900238.0,8705.0,2684.0,3900.0,7628.0,3334.0,4387.0,5741.0,6910.0,5169.0,5052.0,6828.0,3735.0,6046.0,5633.0,5055.0,3818.0,4505.0,5861.0,5669.0,5335.0,9.0,4.0,508.0,288.0,24.0,330.0,0.0,0.0,0.0,336.0,208.0,0.0,12.0,22.0,18.0,5.0,17.0,30.0,12.0,3.0,8.0,36.0,0.0,200.0,7148.0,3261.0,5679.0,6269.0,5451.0,3621.0,5119.0,5942.0,6506.0,5808.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,,1.0,,
4.0,1.0,3.0,3.0,1.0,1.0,6.0,2.0,1.0,1.0,514.0,948.0,522.0,1141.0,1053.0,435.0,543.0,224.0,1289.0,181.0,6.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,0.0,4.0,3.0,1.0,0.0,0.0,1706,1637302473271,4108974806,CLASSIC,teambuilder-match-4108974806,1637300766688,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,3.0,1.0,2.0,5.0,1.0,4.0,1.0,1.0,2.0,4.0,2.0,9.0,7.0,10.0,10.0,9.0,7.0,11.0,10.0,10.0,8.0,374.0,2794.0,244.0,3054.0,2067.0,0.0,178.0,3509.0,621.0,485.0,NA1_4108974806,86.0,4.0,18.0,105.0,107.0,21.0,75.0,89.0,23.0,104.0,5741.0,1014.0,1873.0,1277.0,6303.0,2455.0,6811.0,1400.0,2915.0,5196.0,420,1.0,73836.0,141575.0,144861.0,6376.0,6836.0,140224.0,44299.0,64298.0,68159.0,13345.0,900253.0,6115.0,4023.0,2230.0,4443.0,8703.0,3886.0,7342.0,4909.0,3864.0,5774.0,4979.0,4463.0,5922.0,5701.0,6603.0,4270.0,5643.0,5014.0,4889.0,6051.0,8.0,4.0,0.0,214.0,112.0,112.0,332.0,1430.0,352.0,0.0,327.0,91.0,5.0,34.0,3.0,12.0,9.0,30.0,15.0,10.0,5.0,9.0,0.0,200.0,5636.0,3831.0,6780.0,7059.0,5357.0,4042.0,7774.0,6819.0,6289.0,5011.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,,1.0,,1.0,2.0,
8.0,4.0,1.0,8.0,1.0,2.0,3.0,1.0,4.0,2.0,531.0,664.0,471.0,219.0,187.0,579.0,556.0,80.0,223.0,1182.0,3.0,2.0,3.0,2.0,4.0,4.0,3.0,2.0,1.0,3.0,0.0,4.0,0.0,0.0,1596,1637292306897,4108744522,CLASSIC,teambuilder-match-4108744522,1637290710182,MATCHED_GAME,11.23.409.111,0.0,20.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,72.0,0.0,0.0,0.0,8.0,85.0,0.0,0.0,1.0,1.0,1.0,6.0,2.0,2.0,0.0,0.0,9.0,5.0,0.0,10.0,8.0,9.0,10.0,9.0,8.0,11.0,9.0,11.0,9.0,849.0,1488.0,525.0,4047.0,127.0,5031.0,585.0,0.0,9026.0,327.0,NA1_4108744522,100.0,17.0,15.0,108.0,63.0,10.0,110.0,12.0,83.0,102.0,2962.0,526.0,2973.0,304.0,6997.0,838.0,6079.0,2572.0,515.0,7872.0,420,2.0,57452.0,31116.0,121234.0,32895.0,220567.0,46243.0,7695.0,212914.0,68705.0,10110.0,900249.0,4245.0,2331.0,3498.0,4352.0,8183.0,6018.0,6665.0,2706.0,9993.0,8200.0,5591.0,3464.0,5721.0,5069.0,6012.0,4454.0,7021.0,4980.0,6803.0,6417.0,11.0,2.0,433.0,317.0,0.0,0.0,1059.0,148.0,0.0,134.0,452.0,0.0,6.0,32.0,5.0,8.0,7.0,40.0,8.0,6.0,4.0,5.0,0.0,200.0,6491.0,4249.0,5968.0,6331.0,5264.0,4135.0,7322.0,5837.0,7498.0,5756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,3.0,1.0,,1.0,
4.0,5.0,4.0,3.0,6.0,3.0,10.0,2.0,5.0,0.0,1591.0,1414.0,40.0,159.0,829.0,204.0,2977.0,592.0,1078.0,591.0,3.0,4.0,3.0,4.0,2.0,5.0,3.0,4.0,2.0,4.0,2.0,3.0,0.0,0.0,1944,1637290074481,4108516426,CLASSIC,teambuilder-match-4108516426,1637288129557,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,73.0,4.0,0.0,0.0,4.0,64.0,8.0,0.0,5.0,3.0,5.0,4.0,0.0,3.0,0.0,8.0,0.0,1.0,5.0,10.0,9.0,9.0,11.0,9.0,7.0,11.0,10.0,10.0,9.0,0.0,8832.0,397.0,8646.0,2046.0,1718.0,726.0,477.0,3474.0,365.0,NA1_4108516426,90.0,17.0,18.0,112.0,111.0,16.0,99.0,14.0,95.0,100.0,5804.0,1030.0,4748.0,1367.0,7239.0,556.0,6945.0,7670.0,665.0,4412.0,420,2.0,19454.0,17011.0,180014.0,46737.0,0.0,81663.0,136581.0,30687.0,75170.0,26259.0,900265.0,6265.0,10262.0,5483.0,10014.0,9286.0,2559.0,9312.0,8569.0,4139.0,4973.0,6181.0,6064.0,6590.0,7379.0,6397.0,4039.0,6922.0,7042.0,4648.0,5741.0,5.0,9.0,460.0,399.0,337.0,0.0,0.0,284.0,1640.0,420.0,0.0,195.0,10.0,40.0,5.0,10.0,14.0,33.0,12.0,1.0,4.0,7.0,0.0,100.0,6664.0,5364.0,6045.0,7519.0,5730.0,3612.0,7739.0,6522.0,6994.0,5072.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,,,,2.0,,1.0
5.0,3.0,2.0,2.0,1.0,2.0,6.0,4.0,6.0,1.0,244.0,178.0,697.0,1274.0,1142.0,534.0,779.0,210.0,255.0,591.0,2.0,2.0,3.0,1.0,4.0,5.0,1.0,0.0,5.0,3.0,4.0,1.0,0.0,0.0,2043,1637285728506,4108363839,CLASSIC,teambuilder-match-4108363839,1637283685154,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,73.0,8.0,4.0,0.0,0.0,86.0,0.0,4.0,3.0,1.0,5.0,2.0,0.0,0.0,0.0,7.0,1.0,4.0,3.0,11.0,8.0,8.0,11.0,8.0,7.0,10.0,9.0,9.0,9.0,0.0,2343.0,1875.0,1066.0,2488.0,2464.0,0.0,367.0,4129.0,254.0,NA1_4108363839,127.0,26.0,6.0,120.0,70.0,8.0,103.0,8.0,86.0,95.0,6949.0,861.0,241.0,6188.0,2757.0,939.0,2617.0,3805.0,1139.0,5771.0,420,0.0,73510.0,43202.0,244921.0,25282.0,157539.0,142381.0,98922.0,183127.0,90237.0,22070.0,900270.0,6949.0,3481.0,2832.0,7785.0,7170.0,3404.0,3369.0,4466.0,5328.0,6485.0,6244.0,4598.0,4422.0,6819.0,4837.0,3854.0,4729.0,7450.0,5480.0,6341.0,7.0,6.0,0.0,276.0,715.0,531.0,1925.0,0.0,751.0,293.0,58.0,460.0,12.0,42.0,2.0,11.0,14.0,41.0,12.0,7.0,14.0,6.0,0.0,200.0,7511.0,4176.0,4868.0,8506.0,4374.0,3385.0,6955.0,6087.0,5978.0,5044.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,,2.0,1.0,
4.0,5.0,1.0,2.0,2.0,4.0,10.0,3.0,4.0,3.0,553.0,380.0,718.0,1744.0,1271.0,575.0,915.0,815.0,199.0,663.0,0.0,3.0,5.0,4.0,3.0,6.0,1.0,6.0,7.0,2.0,2.0,1.0,0.0,0.0,1604,1637283147757,4108298323,CLASSIC,teambuilder-match-4108298323,1637281543677,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,8.0,73.0,4.0,4.0,0.0,0.0,72.0,0.0,0.0,0.0,10.0,2.0,6.0,1.0,1.0,0.0,8.0,4.0,2.0,3.0,10.0,7.0,10.0,10.0,9.0,8.0,10.0,9.0,9.0,9.0,220.0,0.0,13410.0,534.0,0.0,0.0,0.0,6074.0,7378.0,1163.0,NA1_4108298323,122.0,9.0,15.0,101.0,79.0,23.0,98.0,9.0,86.0,111.0,2934.0,5263.0,278.0,6162.0,5831.0,2744.0,2613.0,497.0,339.0,3290.0,420,1.0,30159.0,17603.0,97512.0,64338.0,5454.0,91239.0,58508.0,20380.0,196380.0,3239.0,900320.0,3797.0,5633.0,14236.0,7200.0,6595.0,3351.0,2613.0,6725.0,8032.0,4626.0,5178.0,5065.0,8003.0,5879.0,7446.0,5300.0,4970.0,7115.0,5949.0,5963.0,0.0,9.0,642.0,370.0,548.0,504.0,764.0,606.0,0.0,153.0,315.0,172.0,7.0,8.0,2.0,16.0,8.0,19.0,7.0,54.0,9.0,10.0,1.0,100.0,7290.0,3876.0,6542.0,6131.0,5685.0,5033.0,6346.0,5750.0,6081.0,5807.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,
6.0,2.0,0.0,5.0,2.0,5.0,8.0,3.0,7.0,0.0,1568.0,88.0,276.0,1642.0,299.0,662.0,516.0,619.0,1420.0,247.0,0.0,5.0,3.0,6.0,3.0,5.0,0.0,3.0,2.0,6.0,3.0,0.0,0.0,0.0,1500,1637280743685,4108283279,CLASSIC,teambuilder-match-4108283279,1637279243490,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,72.0,8.0,0.0,0.0,0.0,40.0,0.0,4.0,1.0,3.0,1.0,5.0,6.0,0.0,0.0,4.0,9.0,2.0,2.0,10.0,8.0,9.0,10.0,9.0,8.0,9.0,9.0,10.0,9.0,1625.0,1249.0,405.0,1239.0,209.0,7212.0,2057.0,0.0,7980.0,0.0,NA1_4108283279,111.0,19.0,7.0,116.0,95.0,27.0,70.0,24.0,88.0,90.0,3905.0,1095.0,2812.0,4319.0,9309.0,712.0,1934.0,5008.0,980.0,6366.0,420,1.0,36281.0,77940.0,93311.0,54527.0,62646.0,57445.0,199492.0,247719.0,93829.0,63368.0,900256.0,5530.0,2788.0,3628.0,5666.0,9826.0,8211.0,3991.0,6626.0,9170.0,6366.0,5818.0,4264.0,5201.0,5667.0,6449.0,6777.0,3566.0,5569.0,7495.0,5447.0,1.0,7.0,0.0,443.0,410.0,108.0,308.0,286.0,0.0,1618.0,210.0,0.0,5.0,19.0,4.0,8.0,4.0,21.0,9.0,3.0,3.0,7.0,0.0,100.0,7027.0,4152.0,5203.0,6862.0,5390.0,4885.0,5657.0,6111.0,6902.0,5405.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,1.0,,
6.0,2.0,0.0,3.0,3.0,4.0,5.0,2.0,1.0,2.0,324.0,63.0,910.0,290.0,130.0,322.0,964.0,348.0,325.0,99.0,2.0,4.0,1.0,2.0,4.0,5.0,5.0,3.0,2.0,3.0,2.0,3.0,1.0,0.0,1998,1637278441248,4108257012,CLASSIC,teambuilder-match-4108257012,1637276443068,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,80.0,0.0,6.0,0.0,16.0,60.0,0.0,0.0,8.0,3.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,6.0,4.0,11.0,9.0,9.0,10.0,8.0,8.0,10.0,9.0,10.0,9.0,1484.0,7973.0,0.0,2905.0,0.0,232.0,283.0,0.0,883.0,845.0,NA1_4108257012,120.0,4.0,14.0,76.0,88.0,7.0,99.0,10.0,118.0,108.0,5497.0,806.0,4722.0,753.0,3787.0,5233.0,3591.0,3898.0,5348.0,4519.0,420,2.0,44507.0,133784.0,182322.0,50720.0,5947.0,33840.0,64118.0,203692.0,161274.0,28244.0,900327.0,7128.0,9556.0,4979.0,3658.0,4142.0,5466.0,3875.0,4594.0,7479.0,5924.0,8494.0,5882.0,6035.0,4410.0,5165.0,4717.0,4764.0,5498.0,5680.0,7424.0,10.0,6.0,147.0,776.0,256.0,0.0,355.0,0.0,0.0,696.0,1247.0,559.0,10.0,34.0,9.0,5.0,11.0,47.0,12.0,7.0,8.0,8.0,0.0,200.0,7985.0,5605.0,5767.0,6411.0,4934.0,4244.0,6224.0,5719.0,7001.0,5549.0,0.0,1.0,0.0,0.0,1.0,0.0,9.0,,,2.0,3.0,,1.0,
