assistsplayer_10,assistsplayer_2,assistsplayer_6,assistsplayer_7,assistsplayer_3,assistsplayer_4,assistsplayer_5,assistsplayer_8,assistsplayer_9,assistsplayer_1,currentGold_1,currentGold_10,currentGold_2,currentGold_3,currentGold_4,currentGold_5,currentGold_6,currentGold_7,currentGold_8,currentGold_9,deathsplayer_1,deathsplayer_10,deathsplayer_2,deathsplayer_3,deathsplayer_4,deathsplayer_5,deathsplayer_6,deathsplayer_7,deathsplayer_8,deathsplayer_9,dragon_team100,dragon_team200,firedragon_team100,firedragon_team200,gameDuration,gameEndTimestamp,gameId,gameMode,gameName,gameStartTimestamp,gameType,gameVersion,goldPerSecond_1,goldPerSecond_10,goldPerSecond_2,goldPerSecond_3,goldPerSecond_4,goldPerSecond_5,goldPerSecond_6,goldPerSecond_7,goldPerSecond_8,goldPerSecond_9,hextechdragon_team200,inhibs_lost_team200,jungleMinionsKilled_1,jungleMinionsKilled_10,jungleMinionsKilled_2,jungleMinionsKilled_3,jungleMinionsKilled_4,jungleMinionsKilled_5,jungleMinionsKilled_6,jungleMinionsKilled_7,jungleMinionsKilled_8,jungleMinionsKilled_9,killsplayer_1,killsplayer_2,killsplayer_3,killsplayer_4,killsplayer_5,killsplayer_6,killsplayer_0,killsplayer_7,killsplayer_8,killsplayer_9,killsplayer_10,level_1,level_10,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,magicDamageDoneToChampions_1,magicDamageDoneToChampions_10,magicDamageDoneToChampions_2,magicDamageDoneToChampions_3,magicDamageDoneToChampions_4,magicDamageDoneToChampions_5,magicDamageDoneToChampions_6,magicDamageDoneToChampions_7,magicDamageDoneToChampions_8,magicDamageDoneToChampions_9,matchId,minionsKilled_1,minionsKilled_10,minionsKilled_2,minionsKilled_3,minionsKilled_4,minionsKilled_5,minionsKilled_6,minionsKilled_7,minionsKilled_8,minionsKilled_9,physicalDamageDoneToChampions_1,physicalDamageDoneToChampions_10,physicalDamageDoneToChampions_2,physicalDamageDoneToChampions_3,physicalDamageDoneToChampions_4,physicalDamageDoneToChampions_5,physicalDamageDoneToChampions_6,physicalDamageDoneToChampions_7,physicalDamageDoneToChampions_8,physicalDamageDoneToChampions_9,queueId,riftherald_team100,timeEnemySpentControlled_1,timeEnemySpentControlled_10,timeEnemySpentControlled_2,timeEnemySpentControlled_3,timeEnemySpentControlled_4,timeEnemySpentControlled_5,timeEnemySpentControlled_6,timeEnemySpentControlled_7,timeEnemySpentControlled_8,timeEnemySpentControlled_9,timestamp,totalDamageDoneToChampions_1,totalDamageDoneToChampions_10,totalDamageDoneToChampions_2,totalDamageDoneToChampions_3,totalDamageDoneToChampions_4,totalDamageDoneToChampions_5,totalDamageDoneToChampions_6,totalDamageDoneToChampions_7,totalDamageDoneToChampions_8,totalDamageDoneToChampions_9,totalGold_1,totalGold_10,totalGold_2,totalGold_3,totalGold_4,totalGold_5,totalGold_6,totalGold_7,totalGold_8,totalGold_9,towers_lost_team100,towers_lost_team200,trueDamageDoneToChampions_1,trueDamageDoneToChampions_10,trueDamageDoneToChampions_2,trueDamageDoneToChampions_3,trueDamageDoneToChampions_4,trueDamageDoneToChampions_5,trueDamageDoneToChampions_6,trueDamageDoneToChampions_7,trueDamageDoneToChampions_8,trueDamageDoneToChampions_9,ward_player_1,ward_player_10,ward_player_2,ward_player_3,ward_player_4,ward_player_5,ward_player_6,ward_player_7,ward_player_8,ward_player_9,waterdragon_team100,winningTeam,xp_1,xp_10,xp_2,xp_3,xp_4,xp_5,xp_6,xp_7,xp_8,xp_9,airdragon_team100,chemtechdragon_team100,earthdragon_team100,riftherald_team300,baron_team100,earthdragon_team200,ward_player_0,hextechdragon_team100,airdragon_team200,riftherald_team200,baron_team200,inhibs_lost_team100,chemtechdragon_team200,waterdragon_team200
4.0,1.0,2.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,850.0,412.0,289.0,580.0,142.0,748.0,709.0,657.0,350.0,1520.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,1601,1637550077149,4112373447,CLASSIC,teambuilder-match-4112373447,1637548475464,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,0.0,82.0,0.0,4.0,0.0,71.0,0.0,2.0,2.0,0.0,2.0,1.0,4.0,0.0,1.0,2.0,2.0,1.0,11.0,7.0,8.0,10.0,9.0,8.0,10.0,10.0,8.0,11.0,305.0,1709.0,180.0,2069.0,621.0,909.0,0.0,1188.0,1697.0,2289.0,NA1_4112373447,131.0,23.0,95.0,102.0,8.0,29.0,112.0,101.0,8.0,112.0,5340.0,743.0,2682.0,357.0,2709.0,1295.0,5268.0,91.0,1704.0,4778.0,700,1.0,165020.0,23590.0,28864.0,212229.0,171878.0,34126.0,135226.0,67950.0,153020.0,59159.0,900234.0,5752.0,2668.0,2862.0,2540.0,3431.0,2336.0,6417.0,1349.0,3524.0,7067.0,5800.0,3647.0,5039.0,5130.0,5292.0,3773.0,6059.0,4382.0,4675.0,5520.0,4.0,6.0,106.0,216.0,0.0,113.0,100.0,131.0,1149.0,69.0,122.0,0.0,11.0,31.0,11.0,10.0,9.0,28.0,9.0,10.0,12.0,7.0,0.0,100.0,7499.0,3835.0,4244.0,6426.0,5389.0,4101.0,6202.0,6890.0,5006.0,8076.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,,,,
1.0,6.0,2.0,0.0,1.0,2.0,5.0,1.0,1.0,0.0,1676.0,556.0,107.0,74.0,1062.0,1461.0,311.0,782.0,233.0,460.0,2.0,5.0,0.0,0.0,3.0,0.0,4.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,1865,1637536278782,4112115679,CLASSIC,teambuilder-match-4112115679,1637534412759,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,72.0,4.0,0.0,4.0,0.0,84.0,0.0,4.0,5.0,3.0,5.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,11.0,7.0,9.0,12.0,8.0,8.0,10.0,9.0,10.0,8.0,2471.0,2503.0,3500.0,389.0,1748.0,3368.0,84.0,276.0,3171.0,510.0,NA1_4112115679,109.0,5.0,7.0,138.0,96.0,19.0,101.0,13.0,93.0,96.0,6065.0,766.0,632.0,5788.0,3416.0,911.0,5440.0,1303.0,356.0,5222.0,400,1.0,76140.0,201322.0,324987.0,159915.0,0.0,207483.0,14272.0,131175.0,30061.0,0.0,900259.0,8777.0,3681.0,4497.0,6462.0,5313.0,4279.0,5629.0,1674.0,3697.0,5733.0,6876.0,3566.0,5732.0,7794.0,5415.0,4686.0,4836.0,4892.0,4263.0,5135.0,3.0,10.0,240.0,411.0,363.0,284.0,148.0,0.0,104.0,94.0,170.0,0.0,10.0,31.0,10.0,7.0,12.0,24.0,115.0,4.0,9.0,30.0,0.0,100.0,8419.0,3935.0,5784.0,9043.0,4789.0,4571.0,7040.0,5465.0,6271.0,4693.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,,,1.0,,,
4.0,1.0,2.0,5.0,4.0,3.0,0.0,0.0,1.0,1.0,734.0,76.0,1074.0,1718.0,435.0,925.0,354.0,359.0,418.0,166.0,3.0,2.0,1.0,2.0,2.0,2.0,0.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,1770,1637469421460,4111312643,CLASSIC,teambuilder-match-4111312643,1637467651029,MATCHED_GAME,11.23.409.111,0.0,0.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,76.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,4.0,4.0,0.0,1.0,3.0,2.0,0.0,8.0,9.0,10.0,9.0,7.0,11.0,9.0,8.0,10.0,10.0,215.0,1241.0,3052.0,496.0,1882.0,7096.0,1419.0,2358.0,358.0,4616.0,NA1_4111312643,98.0,3.0,98.0,10.0,25.0,115.0,111.0,1.0,80.0,114.0,5424.0,3405.0,262.0,1370.0,221.0,2461.0,5932.0,236.0,4628.0,936.0,700,1.0,25536.0,153088.0,399749.0,262941.0,58240.0,173246.0,23787.0,83413.0,20083.0,194797.0,900271.0,5640.0,4823.0,3552.0,2046.0,2103.0,9558.0,7725.0,2935.0,4987.0,5552.0,5284.0,4666.0,4724.0,4893.0,3360.0,6435.0,6254.0,3884.0,4693.0,5566.0,9.0,3.0,0.0,176.0,238.0,180.0,0.0,0.0,374.0,340.0,0.0,0.0,8.0,6.0,11.0,3.0,26.0,8.0,8.0,37.0,11.0,11.0,0.0,200.0,4685.0,5743.0,7046.0,5719.0,3884.0,8042.0,5521.0,4518.0,6216.0,7277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,1.0,,
0.0,2.0,0.0,1.0,5.0,0.0,9.0,0.0,1.0,3.0,852.0,49.0,153.0,1294.0,278.0,763.0,816.0,1235.0,686.0,197.0,0.0,3.0,1.0,1.0,2.0,0.0,3.0,2.0,3.0,1.0,3.0,0.0,0.0,0.0,1515,1637466339390,4111224016,CLASSIC,teambuilder-match-4111224016,1637464823841,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,4.0,54.0,0.0,0.0,77.0,0.0,0.0,0.0,6.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,9.0,7.0,10.0,8.0,11.0,8.0,8.0,10.0,7.0,10.0,0.0,1365.0,2781.0,410.0,7636.0,1457.0,153.0,4799.0,211.0,3996.0,NA1_4111224016,109.0,20.0,98.0,8.0,118.0,21.0,5.0,81.0,95.0,111.0,7625.0,774.0,431.0,1998.0,3011.0,355.0,755.0,1929.0,3041.0,529.0,700,1.0,71826.0,56039.0,135043.0,77802.0,312891.0,15077.0,502454.0,100631.0,55855.0,48030.0,900301.0,8578.0,2275.0,3462.0,2549.0,11039.0,1813.0,1088.0,6728.0,3253.0,4873.0,6902.0,2924.0,4903.0,5144.0,5798.0,3963.0,4606.0,4460.0,4111.0,5407.0,0.0,11.0,953.0,136.0,250.0,140.0,392.0,0.0,179.0,0.0,0.0,348.0,9.0,10.0,9.0,5.0,3.0,12.0,10.0,14.0,35.0,4.0,0.0,100.0,5440.0,3330.0,6826.0,4472.0,7621.0,4240.0,5032.0,6232.0,3813.0,7250.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,
0.0,1.0,1.0,2.0,5.0,3.0,3.0,1.0,2.0,5.0,327.0,530.0,1222.0,582.0,725.0,24.0,779.0,678.0,1245.0,843.0,1.0,5.0,0.0,2.0,0.0,2.0,2.0,1.0,6.0,2.0,4.0,0.0,1.0,0.0,1737,1637463705589,4111055504,CLASSIC,teambuilder-match-4111055504,1637461967824,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,81.0,4.0,1.0,3.0,3.0,5.0,0.0,0.0,1.0,1.0,2.0,1.0,10.0,7.0,10.0,9.0,8.0,10.0,9.0,11.0,10.0,9.0,405.0,1017.0,2591.0,904.0,3583.0,0.0,730.0,4108.0,33.0,297.0,NA1_4111055504,105.0,20.0,118.0,7.0,14.0,95.0,106.0,113.0,60.0,7.0,6348.0,519.0,109.0,1838.0,429.0,10314.0,3129.0,333.0,7906.0,3784.0,700,2.0,50223.0,28247.0,164825.0,328979.0,31148.0,110975.0,0.0,43077.0,125949.0,54522.0,900269.0,6753.0,1912.0,2700.0,3219.0,4337.0,11130.0,3860.0,4441.0,7940.0,4453.0,6402.0,3205.0,5107.0,5032.0,4630.0,6459.0,4429.0,4888.0,4195.0,5493.0,0.0,11.0,0.0,375.0,0.0,476.0,324.0,815.0,0.0,0.0,0.0,371.0,45.0,30.0,10.0,9.0,23.0,8.0,7.0,12.0,5.0,1.0,1.0,100.0,6133.0,3293.0,7092.0,5082.0,4648.0,7146.0,5160.0,7337.0,6370.0,6023.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,
7.0,0.0,0.0,4.0,3.0,1.0,2.0,0.0,1.0,0.0,1115.0,607.0,33.0,1237.0,667.0,342.0,1126.0,1227.0,1387.0,1095.0,4.0,1.0,6.0,2.0,3.0,1.0,2.0,1.0,4.0,1.0,0.0,4.0,0.0,2.0,1675,1637459587718,4110805456,CLASSIC,teambuilder-match-4110805456,1637457912036,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,52.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,2.0,4.0,2.0,1.0,0.0,4.0,0.0,2.0,3.0,7.0,0.0,10.0,8.0,8.0,10.0,8.0,8.0,11.0,10.0,11.0,9.0,417.0,1642.0,345.0,290.0,166.0,2999.0,80.0,973.0,658.0,0.0,NA1_4110805456,84.0,22.0,3.0,81.0,82.0,20.0,111.0,5.0,116.0,102.0,5195.0,734.0,4582.0,6316.0,3111.0,204.0,8417.0,2131.0,4238.0,6914.0,400,1.0,83201.0,18232.0,235757.0,16859.0,17645.0,121035.0,37093.0,239727.0,58955.0,189890.0,900274.0,6177.0,2546.0,5386.0,7208.0,3278.0,3431.0,8950.0,3366.0,5385.0,8315.0,4420.0,3832.0,4923.0,6397.0,4217.0,3642.0,6769.0,5077.0,5427.0,6520.0,10.0,4.0,564.0,170.0,458.0,601.0,0.0,227.0,452.0,262.0,488.0,1400.0,7.0,19.0,3.0,4.0,5.0,19.0,6.0,3.0,16.0,12.0,0.0,200.0,6596.0,4489.0,4739.0,7079.0,4392.0,4549.0,7751.0,6174.0,7773.0,6088.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,2.0,1.0,
2.0,4.0,3.0,2.0,3.0,1.0,4.0,3.0,4.0,0.0,1133.0,496.0,1826.0,157.0,1399.0,1659.0,1192.0,258.0,302.0,26.0,4.0,3.0,2.0,4.0,1.0,3.0,3.0,3.0,6.0,1.0,3.0,1.0,1.0,0.0,1835,1637457537758,4110839983,CLASSIC,teambuilder-match-4110839983,1637455701885,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,3.0,3.0,7.0,3.0,0.0,1.0,0.0,4.0,4.0,2.0,3.0,11.0,7.0,9.0,12.0,9.0,8.0,10.0,10.0,9.0,8.0,6169.0,0.0,386.0,1234.0,53.0,0.0,0.0,192.0,714.0,6411.0,NA1_4110839983,114.0,20.0,2.0,109.0,122.0,7.0,90.0,10.0,73.0,98.0,999.0,2121.0,3142.0,7690.0,4718.0,2978.0,6741.0,3650.0,5966.0,681.0,440,0.0,316976.0,38184.0,395840.0,82058.0,39315.0,18441.0,61757.0,282894.0,20147.0,157956.0,900345.0,7168.0,2344.0,3900.0,9537.0,4946.0,3122.0,7077.0,4219.0,7095.0,7303.0,5453.0,4196.0,5376.0,8157.0,6399.0,4334.0,5217.0,6243.0,5542.0,5176.0,5.0,8.0,0.0,223.0,371.0,612.0,174.0,144.0,336.0,377.0,413.0,210.0,7.0,32.0,9.0,15.0,11.0,16.0,5.0,3.0,7.0,10.0,1.0,100.0,8019.0,4039.0,5844.0,8721.0,5844.0,4088.0,7242.0,6632.0,5641.0,4905.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,,1.0,,,,1.0
12.0,4.0,5.0,8.0,7.0,6.0,3.0,2.0,2.0,5.0,207.0,142.0,711.0,117.0,378.0,497.0,809.0,126.0,630.0,869.0,2.0,2.0,6.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,2.0,0.0,0.0,2044,1637441485460,4110516792,CLASSIC,teambuilder-match-4110516792,1637439441002,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,5.0,1.0,5.0,2.0,3.0,2.0,0.0,2.0,4.0,9.0,0.0,10.0,7.0,8.0,11.0,7.0,9.0,10.0,9.0,10.0,8.0,2147.0,4109.0,1395.0,6137.0,970.0,0.0,475.0,340.0,5282.0,568.0,NA1_4110516792,95.0,1.0,9.0,100.0,19.0,120.0,89.0,8.0,120.0,102.0,7248.0,547.0,6286.0,1405.0,883.0,2632.0,5417.0,5161.0,639.0,7947.0,420,1.0,38282.0,80462.0,140218.0,111058.0,32731.0,1816.0,53441.0,330437.0,36332.0,43640.0,900243.0,9396.0,4657.0,8614.0,7542.0,2091.0,2763.0,7232.0,5812.0,5922.0,8563.0,7107.0,4367.0,5151.0,7342.0,4003.0,6497.0,5059.0,5841.0,6370.0,7519.0,8.0,4.0,0.0,0.0,932.0,0.0,236.0,130.0,1338.0,310.0,0.0,48.0,12.0,42.0,9.0,14.0,35.0,8.0,11.0,13.0,13.0,17.0,0.0,200.0,6711.0,3261.0,5037.0,7510.0,3823.0,5932.0,6600.0,5703.0,7122.0,4977.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,1.0,2.0,2.0,2.0,
2.0,1.0,2.0,1.0,1.0,2.0,7.0,1.0,2.0,0.0,713.0,392.0,416.0,1341.0,102.0,323.0,673.0,2318.0,353.0,166.0,4.0,4.0,2.0,4.0,2.0,2.0,0.0,2.0,2.0,3.0,3.0,2.0,0.0,0.0,2095,1637438819674,4110570390,CLASSIC,teambuilder-match-4110570390,1637436723806,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,88.0,4.0,0.0,0.0,8.0,96.0,0.0,0.0,0.0,2.0,2.0,6.0,1.0,2.0,0.0,7.0,4.0,1.0,0.0,9.0,7.0,9.0,11.0,9.0,8.0,11.0,11.0,11.0,8.0,784.0,1066.0,0.0,6648.0,644.0,0.0,1181.0,4388.0,456.0,209.0,NA1_4110570390,97.0,22.0,10.0,93.0,119.0,9.0,107.0,5.0,94.0,92.0,2544.0,1645.0,3222.0,317.0,4117.0,5833.0,3145.0,688.0,6536.0,6188.0,400,1.0,59128.0,61656.0,260681.0,200603.0,41610.0,14362.0,36908.0,278473.0,53826.0,0.0,900303.0,3838.0,3044.0,3614.0,7573.0,5001.0,5833.0,4327.0,5605.0,7827.0,6873.0,4513.0,3142.0,5166.0,5241.0,6627.0,5023.0,6673.0,7008.0,5608.0,4466.0,4.0,11.0,510.0,332.0,391.0,607.0,240.0,0.0,0.0,529.0,834.0,475.0,13.0,124.0,11.0,10.0,15.0,20.0,10.0,9.0,8.0,10.0,0.0,100.0,5622.0,3931.0,5387.0,7419.0,5697.0,4387.0,8058.0,7518.0,7361.0,4410.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,,,1.0,,1.0,1.0
7.0,6.0,0.0,5.0,3.0,5.0,7.0,5.0,1.0,3.0,149.0,698.0,740.0,28.0,1221.0,702.0,440.0,1091.0,669.0,477.0,2.0,4.0,1.0,4.0,2.0,5.0,3.0,4.0,1.0,2.0,5.0,1.0,0.0,0.0,2216,1637435952770,4110456309,CLASSIC,teambuilder-match-4110456309,1637433736084,MATCHED_GAME,11.23.409.111,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,100.0,0.0,6.0,0.0,0.0,83.0,4.0,4.0,1.0,5.0,4.0,4.0,0.0,2.0,0.0,4.0,0.0,8.0,0.0,10.0,8.0,10.0,9.0,9.0,7.0,10.0,10.0,10.0,8.0,369.0,2088.0,8242.0,3924.0,261.0,753.0,0.0,417.0,4260.0,0.0,NA1_4110456309,96.0,29.0,6.0,87.0,114.0,21.0,115.0,6.0,112.0,97.0,3199.0,602.0,327.0,454.0,4234.0,572.0,8450.0,5399.0,91.0,7022.0,420,1.0,83874.0,43383.0,407622.0,84371.0,80288.0,35486.0,40470.0,321598.0,64397.0,11528.0,900295.0,4601.0,2996.0,9055.0,4485.0,4652.0,1552.0,8966.0,6056.0,4351.0,7860.0,4824.0,3748.0,7825.0,5338.0,6446.0,3747.0,5268.0,5856.0,4954.0,7527.0,3.0,9.0,1032.0,306.0,484.0,106.0,156.0,226.0,515.0,240.0,0.0,837.0,15.0,46.0,6.0,5.0,14.0,48.0,7.0,10.0,373.0,8.0,3.0,100.0,6997.0,4115.0,6310.0,5686.0,5753.0,3880.0,7163.0,6273.0,6591.0,4918.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,,,1.0,,,,
