killsplayer_1,killsplayer_2,killsplayer_3,killsplayer_4,killsplayer_5,killsplayer_6,killsplayer_7,killsplayer_8,killsplayer_9,deathsplayer_2,deathsplayer_3,deathsplayer_4,deathsplayer_5,deathsplayer_6,deathsplayer_7,deathsplayer_8,deathsplayer_9,deathsplayer_10,assistsplayer_1,assistsplayer_2,assistsplayer_3,assistsplayer_4,assistsplayer_5,assistsplayer_6,assistsplayer_7,assistsplayer_9,assistsplayer_10,dragon_team100,riftherald_team100,winningTeam,ward_player_0,ward_player_1,ward_player_2,ward_player_3,ward_player_4,ward_player_5,ward_player_6,ward_player_7,ward_player_8,ward_player_9,ward_player_10,towers_lost_team100,towers_lost_team200,inhibs_lost_team200,currentGold_1,magicDamageDoneToChampions_1,physicalDamageDoneToChampions_1,trueDamageDoneToChampions_1,totalDamageDoneToChampions_1,goldPerSecond_1,jungleMinionsKilled_1,level_1,minionsKilled_1,timeEnemySpentControlled_1,totalGold_1,xp_1,currentGold_2,magicDamageDoneToChampions_2,physicalDamageDoneToChampions_2,trueDamageDoneToChampions_2,totalDamageDoneToChampions_2,goldPerSecond_2,jungleMinionsKilled_2,level_2,minionsKilled_2,timeEnemySpentControlled_2,totalGold_2,xp_2,currentGold_3,magicDamageDoneToChampions_3,physicalDamageDoneToChampions_3,trueDamageDoneToChampions_3,totalDamageDoneToChampions_3,goldPerSecond_3,jungleMinionsKilled_3,level_3,minionsKilled_3,timeEnemySpentControlled_3,totalGold_3,xp_3,currentGold_4,magicDamageDoneToChampions_4,physicalDamageDoneToChampions_4,trueDamageDoneToChampions_4,totalDamageDoneToChampions_4,goldPerSecond_4,jungleMinionsKilled_4,level_4,minionsKilled_4,timeEnemySpentControlled_4,totalGold_4,xp_4,currentGold_5,magicDamageDoneToChampions_5,physicalDamageDoneToChampions_5,trueDamageDoneToChampions_5,totalDamageDoneToChampions_5,goldPerSecond_5,jungleMinionsKilled_5,level_5,minionsKilled_5,timeEnemySpentControlled_5,totalGold_5,xp_5,currentGold_6,magicDamageDoneToChampions_6,physicalDamageDoneToChampions_6,trueDamageDoneToChampions_6,totalDamageDoneToChampions_6,goldPerSecond_6,jungleMinionsKilled_6,level_6,minionsKilled_6,timeEnemySpentControlled_6,totalGold_6,xp_6,currentGold_7,magicDamageDoneToChampions_7,physicalDamageDoneToChampions_7,trueDamageDoneToChampions_7,totalDamageDoneToChampions_7,goldPerSecond_7,jungleMinionsKilled_7,level_7,minionsKilled_7,timeEnemySpentControlled_7,totalGold_7,xp_7,currentGold_8,magicDamageDoneToChampions_8,physicalDamageDoneToChampions_8,trueDamageDoneToChampions_8,totalDamageDoneToChampions_8,goldPerSecond_8,jungleMinionsKilled_8,level_8,minionsKilled_8,timeEnemySpentControlled_8,totalGold_8,xp_8,currentGold_9,magicDamageDoneToChampions_9,physicalDamageDoneToChampions_9,trueDamageDoneToChampions_9,totalDamageDoneToChampions_9,goldPerSecond_9,jungleMinionsKilled_9,level_9,minionsKilled_9,timeEnemySpentControlled_9,totalGold_9,xp_9,currentGold_10,magicDamageDoneToChampions_10,physicalDamageDoneToChampions_10,trueDamageDoneToChampions_10,totalDamageDoneToChampions_10,goldPerSecond_10,jungleMinionsKilled_10,level_10,minionsKilled_10,timeEnemySpentControlled_10,totalGold_10,xp_10,timestamp,gameMode,gameType,gameVersion,assistsplayer_8,deathsplayer_1,dragon_team200,inhibs_lost_team100,killsplayer_10,riftherald_team200,riftherald_team300,baron_team200,baron_team100,killsplayer_0,team_deathsplayer_100,team_deathsplayer_200,team_goldPerSecond_100,team_goldPerSecond_200,team_jungleMinionsKilled_100,team_jungleMinionsKilled_200,team_killsplayer_100,team_killsplayer_200,team_level_100,team_level_200,team_magicDamageDoneToChampions_100,team_magicDamageDoneToChampions_200,team_minionsKilled_100,team_minionsKilled_200,team_physicalDamageDoneToChampions_100,team_physicalDamageDoneToChampions_200,team_timeEnemySpentControlled_100,team_timeEnemySpentControlled_200,team_totalDamageDoneToChampions_100,team_totalDamageDoneToChampions_200,team_totalGold_100,team_totalGold_200,team_trueDamageDoneToChampions_100,team_trueDamageDoneToChampions_200,team_ward_player_100,team_ward_player_200,team_assistsplayer_100,team_assistsplayer_200,team_xp_100,team_xp_200
2.0,4.0,2.0,9.0,2.0,1.0,2.0,2.0,5.0,2.0,3.0,2.0,3.0,3.0,2.0,7.0,5.0,2.0,2.0,9.0,7.0,3.0,7.0,2.0,3.0,2.0,7.0,3.0,1.0,100.0,4.0,8.0,5.0,8.0,5.0,26.0,8.0,4.0,9.0,8.0,12.0,4.0,10.0,1.0,542.0,0.0,3581.0,262.0,3844.0,0.0,16.0,13.0,158.0,85052.0,8817.0,10219.0,440.0,399.0,6196.0,563.0,7158.0,0.0,73.0,11.0,20.0,286823.0,7315.0,8058.0,432.0,6699.0,771.0,0.0,7471.0,0.0,8.0,12.0,150.0,176676.0,8822.0,9530.0,723.0,962.0,10408.0,172.0,11543.0,0.0,8.0,12.0,168.0,133056.0,9993.0,9356.0,465.0,2843.0,719.0,458.0,4021.0,30.0,0.0,10.0,28.0,50793.0,5415.0,7093.0,1322.0,394.0,4041.0,0.0,4436.0,0.0,11.0,13.0,167.0,168634.0,7512.0,10423.0,555.0,460.0,5924.0,463.0,6848.0,0.0,96.0,11.0,10.0,478134.0,6305.0,7378.0,739.0,883.0,3484.0,536.0,4904.0,0.0,5.0,12.0,168.0,98099.0,7809.0,8787.0,267.0,0.0,5792.0,1044.0,6837.0,0.0,8.0,10.0,137.0,225350.0,7767.0,6726.0,459.0,3042.0,684.0,680.0,4407.0,30.0,0.0,10.0,8.0,32744.0,4759.0,6308.0,1200365.0,CLASSIC,MATCHED_GAME,11.22.406.3587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,19,30,30,105,120,19,10,58,56,10903,4779,524,490,21675,19925,732400,1002961,34037,27432,40362,34152,1455,2723,52,41,28,14,44256,39622
4.0,4.0,4.0,4.0,0.0,3.0,8.0,5.0,4.0,4.0,7.0,5.0,6.0,6.0,2.0,3.0,3.0,2.0,0.0,1.0,6.0,2.0,0.0,4.0,3.0,8.0,5.0,0.0,0.0,200.0,0.0,92.0,0.0,9.0,9.0,12.0,12.0,39.0,10.0,2.0,30.0,7.0,4.0,1.0,522.0,0.0,14562.0,0.0,14562.0,0.0,0.0,13.0,160.0,13839.0,8442.0,10971.0,642.0,1458.0,4888.0,330.0,6676.0,0.0,84.0,11.0,12.0,302669.0,7122.0,7801.0,1164.0,9972.0,1130.0,182.0,11285.0,0.0,0.0,13.0,105.0,95689.0,7789.0,10041.0,354.0,67.0,6513.0,1249.0,7829.0,0.0,0.0,10.0,103.0,3600.0,6654.0,6781.0,70.0,1865.0,266.0,0.0,2132.0,30.0,0.0,9.0,5.0,46109.0,3445.0,5826.0,174.0,2062.0,10248.0,0.0,12310.0,0.0,4.0,12.0,73.0,79847.0,6149.0,9547.0,1082.0,11243.0,1460.0,400.0,13103.0,0.0,126.0,14.0,33.0,88824.0,9991.0,11596.0,1410.0,1886.0,8647.0,1925.0,12458.0,0.0,19.0,13.0,148.0,91334.0,8740.0,11380.0,631.0,12639.0,1327.0,925.0,14891.0,0.0,0.0,11.0,135.0,352371.0,8431.0,8190.0,423.0,0.0,6551.0,1158.0,7710.0,30.0,0.0,11.0,36.0,73723.0,8123.0,7895.0,1200376.0,CLASSIC,MATCHED_GAME,11.21.403.3002,4.0,5.0,4.0,2.0,7.0,1.0,1.0,0.0,0.0,0.0,27,16,30,30,84,149,16,27,56,61,13362,27830,385,425,27359,28233,461906,686099,42484,60472,33452,41434,1761,4408,122,93,9,24,41420,48608
5.0,3.0,12.0,11.0,2.0,2.0,7.0,4.0,6.0,5.0,3.0,5.0,5.0,5.0,7.0,8.0,6.0,7.0,1.0,12.0,5.0,12.0,23.0,2.0,7.0,5.0,7.0,4.0,1.0,100.0,0.0,17.0,18.0,16.0,56.0,36.0,10.0,7.0,18.0,9.0,44.0,3.0,9.0,3.0,671.0,8796.0,2384.0,502.0,11682.0,0.0,16.0,13.0,149.0,821777.0,9431.0,11299.0,44.0,2518.0,1513.0,684.0,4715.0,0.0,84.0,11.0,3.0,129913.0,7069.0,8439.0,636.0,18478.0,325.0,130.0,18933.0,0.0,6.0,13.0,136.0,307439.0,10750.0,10383.0,234.0,820.0,16094.0,362.0,17277.0,0.0,5.0,12.0,134.0,103791.0,10584.0,8658.0,757.0,6817.0,689.0,622.0,8129.0,30.0,0.0,11.0,5.0,43864.0,7042.0,8418.0,322.0,1286.0,10038.0,886.0,12211.0,0.0,0.0,12.0,128.0,59564.0,6747.0,9214.0,2192.0,1487.0,14104.0,2876.0,18468.0,0.0,100.0,12.0,24.0,175459.0,9682.0,9612.0,438.0,1247.0,10752.0,160.0,12159.0,0.0,4.0,12.0,125.0,86188.0,8153.0,9135.0,911.0,15486.0,268.0,0.0,15755.0,0.0,7.0,12.0,150.0,130892.0,10711.0,9944.0,243.0,0.0,3091.0,648.0,3739.0,30.0,0.0,10.0,42.0,37154.0,5838.0,6604.0,1200370.0,CLASSIC,MATCHED_GAME,11.22.406.3587,8.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,20,33,30,30,111,111,33,20,60,58,37429,19506,427,469,21005,38253,1406784,489257,60736,62332,44876,41131,2300,4570,143,88,53,29,47197,44509
1.0,5.0,2.0,4.0,2.0,7.0,6.0,9.0,3.0,7.0,5.0,4.0,4.0,4.0,1.0,0.0,5.0,4.0,3.0,3.0,2.0,5.0,6.0,6.0,9.0,2.0,8.0,0.0,0.0,200.0,0.0,9.0,4.0,5.0,39.0,16.0,7.0,7.0,8.0,9.0,22.0,11.0,0.0,0.0,858.0,0.0,6298.0,528.0,6827.0,0.0,0.0,11.0,137.0,78596.0,5993.0,8578.0,169.0,3948.0,5481.0,1189.0,10618.0,0.0,83.0,11.0,15.0,559893.0,7779.0,7762.0,503.0,3464.0,768.0,514.0,4746.0,0.0,0.0,11.0,126.0,8323.0,6333.0,7927.0,214.0,534.0,5564.0,0.0,6098.0,0.0,0.0,10.0,137.0,92401.0,7039.0,7178.0,331.0,3070.0,570.0,248.0,3889.0,30.0,0.0,9.0,8.0,23920.0,4966.0,5824.0,3152.0,432.0,8497.0,1021.0,9951.0,0.0,8.0,13.0,156.0,290402.0,12062.0,10422.0,70.0,10648.0,0.0,540.0,11188.0,0.0,116.0,12.0,5.0,226142.0,9285.0,9501.0,1788.0,14848.0,958.0,736.0,16542.0,0.0,23.0,14.0,168.0,179096.0,10503.0,12467.0,643.0,51.0,7831.0,0.0,7883.0,0.0,16.0,12.0,152.0,25004.0,8968.0,8930.0,495.0,2340.0,514.0,270.0,3125.0,30.0,0.0,10.0,30.0,34189.0,6070.0,6332.0,1200371.0,CLASSIC,MATCHED_GAME,11.20.400.7328,4.0,7.0,2.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,27,14,30,30,83,163,14,27,52,61,11016,28319,423,511,18681,17800,763133,754833,32178,48689,32110,46888,2479,2567,73,53,19,29,37269,47652
2.0,1.0,9.0,3.0,0.0,4.0,8.0,2.0,6.0,3.0,4.0,6.0,6.0,3.0,2.0,4.0,4.0,2.0,2.0,6.0,2.0,3.0,7.0,5.0,6.0,7.0,8.0,1.0,0.0,200.0,1.0,10.0,6.0,15.0,0.0,34.0,133.0,13.0,15.0,9.0,28.0,7.0,1.0,0.0,226.0,5897.0,774.0,0.0,6671.0,0.0,0.0,12.0,121.0,117540.0,6361.0,9301.0,1216.0,4439.0,388.0,310.0,5137.0,0.0,123.0,12.0,12.0,72381.0,7101.0,9384.0,508.0,1221.0,11831.0,816.0,13869.0,0.0,17.0,12.0,160.0,136731.0,11228.0,9866.0,395.0,4228.0,365.0,450.0,5044.0,0.0,0.0,11.0,107.0,189949.0,6885.0,7380.0,157.0,0.0,6315.0,121.0,6436.0,30.0,0.0,9.0,25.0,32014.0,5547.0,6021.0,1502.0,3360.0,6429.0,1137.0,10927.0,0.0,0.0,14.0,170.0,206625.0,8542.0,12204.0,1107.0,8297.0,503.0,720.0,9520.0,0.0,135.0,13.0,40.0,254097.0,9882.0,10447.0,425.0,3530.0,1098.0,388.0,5017.0,0.0,0.0,11.0,124.0,160023.0,6775.0,8082.0,659.0,3103.0,9773.0,0.0,12876.0,0.0,7.0,11.0,150.0,19248.0,9167.0,8343.0,814.0,4658.0,1940.0,48.0,6647.0,30.0,0.0,10.0,30.0,42988.0,6389.0,6628.0,1200342.0,CLASSIC,MATCHED_GAME,11.22.406.3587,3.0,5.0,3.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,24,15,30,30,140,142,15,24,56,59,15785,22948,425,514,19673,19743,548615,682981,37157,44987,37122,40755,1697,2293,65,198,20,29,41952,45704
2.0,7.0,4.0,4.0,1.0,4.0,5.0,4.0,15.0,6.0,2.0,10.0,8.0,5.0,1.0,5.0,3.0,5.0,4.0,4.0,6.0,0.0,4.0,6.0,7.0,6.0,8.0,1.0,2.0,200.0,0.0,9.0,1.0,8.0,7.0,26.0,13.0,3.0,7.0,6.0,31.0,8.0,4.0,0.0,35.0,0.0,10787.0,164.0,10951.0,0.0,11.0,13.0,150.0,56784.0,8425.0,10085.0,226.0,9485.0,691.0,1032.0,11209.0,0.0,93.0,11.0,18.0,286706.0,9266.0,8121.0,691.0,3106.0,10474.0,2172.0,15753.0,0.0,8.0,13.0,154.0,93533.0,9516.0,10321.0,634.0,16816.0,197.0,258.0,17273.0,0.0,13.0,12.0,124.0,144107.0,7884.0,8849.0,487.0,261.0,3547.0,1318.0,5128.0,30.0,0.0,9.0,34.0,37221.0,4737.0,5681.0,920.0,3094.0,8713.0,846.0,12653.0,0.0,0.0,12.0,162.0,38785.0,8070.0,9769.0,861.0,7571.0,742.0,515.0,8828.0,0.0,108.0,13.0,39.0,69929.0,9131.0,10835.0,1591.0,664.0,7321.0,559.0,8545.0,0.0,5.0,12.0,102.0,58217.0,7191.0,8697.0,1546.0,0.0,21517.0,236.0,21753.0,0.0,12.0,13.0,155.0,72126.0,14266.0,10326.0,711.0,7008.0,606.0,508.0,8122.0,30.0,1.0,9.0,26.0,61410.0,6346.0,6010.0,1200405.0,CLASSIC,MATCHED_GAME,11.20.400.7328,3.0,6.0,3.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,32,19,30,30,125,126,18,32,58,59,29668,18337,480,484,25696,38899,618351,300467,60314,59901,39828,45004,4944,2664,51,60,18,30,43057,45637
2.0,12.0,2.0,2.0,0.0,3.0,7.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,6.0,2.0,6.0,1.0,5.0,8.0,4.0,10.0,6.0,3.0,0.0,6.0,2.0,2.0,100.0,0.0,246.0,6.0,6.0,2.0,14.0,6.0,7.0,6.0,7.0,25.0,2.0,10.0,2.0,937.0,6060.0,4102.0,0.0,10162.0,0.0,4.0,11.0,125.0,58000.0,7107.0,8116.0,1593.0,12940.0,2815.0,417.0,16172.0,0.0,110.0,13.0,41.0,362219.0,11967.0,10251.0,472.0,8217.0,1607.0,887.0,10712.0,0.0,0.0,12.0,130.0,124753.0,7247.0,9358.0,1034.0,960.0,7865.0,848.0,9673.0,0.0,8.0,11.0,155.0,75587.0,7834.0,8058.0,871.0,3066.0,678.0,712.0,4456.0,30.0,0.0,10.0,3.0,29233.0,5616.0,6508.0,851.0,4338.0,4136.0,4479.0,12955.0,0.0,4.0,11.0,95.0,81661.0,7311.0,7939.0,232.0,1010.0,7425.0,1341.0,9777.0,0.0,103.0,12.0,19.0,170260.0,8397.0,8594.0,249.0,452.0,6966.0,562.0,7981.0,0.0,12.0,12.0,142.0,792.0,6724.0,9182.0,663.0,1025.0,2634.0,197.0,3857.0,0.0,0.0,10.0,150.0,16447.0,6978.0,6585.0,182.0,5842.0,592.0,306.0,6742.0,30.0,0.0,8.0,6.0,112422.0,4731.0,4278.0,1200294.0,CLASSIC,MATCHED_GAME,11.12.379.4946,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13,18,30,30,122,119,18,13,57,53,31243,12667,454,412,17067,21753,649792,381582,51175,41312,39771,34141,2864,6885,274,51,28,17,42291,36578
1.0,3.0,8.0,1.0,0.0,1.0,5.0,4.0,2.0,4.0,4.0,3.0,2.0,2.0,4.0,7.0,1.0,0.0,2.0,5.0,0.0,0.0,3.0,2.0,6.0,5.0,7.0,1.0,1.0,200.0,8.0,12.0,2.0,4.0,12.0,29.0,10.0,0.0,13.0,9.0,23.0,5.0,4.0,0.0,597.0,599.0,6279.0,1873.0,8752.0,0.0,0.0,12.0,152.0,89024.0,7837.0,9822.0,1251.0,5184.0,561.0,763.0,6509.0,0.0,96.0,11.0,16.0,315749.0,7141.0,7745.0,1494.0,1261.0,10496.0,712.0,12470.0,0.0,8.0,14.0,152.0,66419.0,9769.0,11616.0,74.0,1110.0,4449.0,262.0,5821.0,0.0,0.0,10.0,156.0,0.0,6674.0,6461.0,199.0,1947.0,204.0,0.0,2152.0,30.0,0.0,9.0,12.0,98079.0,4523.0,5289.0,965.0,0.0,4715.0,247.0,4963.0,0.0,12.0,12.0,123.0,13815.0,6595.0,8689.0,414.0,4429.0,1915.0,532.0,6877.0,0.0,114.0,12.0,25.0,295628.0,8563.0,9223.0,780.0,10452.0,984.0,0.0,11437.0,0.0,4.0,12.0,127.0,157917.0,8390.0,9183.0,330.0,5226.0,811.0,0.0,6037.0,0.0,0.0,11.0,138.0,118633.0,6765.0,7975.0,519.0,0.0,7461.0,0.0,7461.0,30.0,0.0,10.0,16.0,65023.0,6643.0,6849.0,1200436.0,CLASSIC,MATCHED_GAME,11.19.398.9466,7.0,2.0,3.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,15,14,30,30,104,130,13,15,56,57,10101,20107,488,429,21989,15886,569271,651016,35704,36775,35944,36956,3610,779,59,55,10,27,40933,41919
2.0,5.0,2.0,4.0,0.0,5.0,5.0,6.0,7.0,6.0,5.0,6.0,3.0,3.0,4.0,1.0,2.0,3.0,2.0,4.0,3.0,3.0,7.0,1.0,9.0,3.0,14.0,1.0,2.0,200.0,0.0,5.0,39.0,7.0,10.0,20.0,6.0,6.0,10.0,12.0,18.0,10.0,2.0,0.0,1031.0,878.0,7713.0,0.0,8592.0,0.0,3.0,11.0,116.0,58826.0,7481.0,8078.0,822.0,7334.0,657.0,337.0,8329.0,0.0,91.0,10.0,16.0,97545.0,7522.0,6807.0,1349.0,8843.0,384.0,0.0,9228.0,0.0,8.0,10.0,99.0,624278.0,6914.0,7264.0,14.0,271.0,7799.0,0.0,8071.0,0.0,9.0,10.0,139.0,48493.0,8039.0,6871.0,749.0,5192.0,485.0,152.0,5830.0,30.0,0.0,9.0,22.0,39274.0,5374.0,6056.0,1417.0,665.0,4806.0,1697.0,7169.0,0.0,8.0,12.0,128.0,131742.0,8557.0,9402.0,945.0,451.0,10128.0,563.0,11142.0,0.0,93.0,11.0,27.0,239698.0,8355.0,8211.0,730.0,11971.0,997.0,701.0,13670.0,0.0,0.0,12.0,140.0,151775.0,8530.0,9517.0,440.0,1133.0,15882.0,310.0,17326.0,0.0,0.0,11.0,152.0,179894.0,9040.0,8088.0,552.0,3130.0,731.0,0.0,3861.0,30.0,0.0,9.0,6.0,102033.0,5677.0,5959.0,1200436.0,CLASSIC,MATCHED_GAME,11.21.403.3002,8.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,23,13,30,30,111,101,13,23,50,55,22518,17350,392,453,17038,32544,868416,805142,40050,53168,35330,40159,489,3271,81,52,19,35,35076,41177
3.0,8.0,2.0,11.0,2.0,3.0,1.0,5.0,2.0,1.0,2.0,3.0,2.0,5.0,5.0,2.0,8.0,6.0,2.0,5.0,4.0,8.0,14.0,3.0,4.0,3.0,4.0,3.0,2.0,200.0,0.0,8.0,2.0,4.0,13.0,53.0,9.0,5.0,11.0,9.0,29.0,5.0,11.0,2.0,1283.0,2354.0,7969.0,0.0,10324.0,0.0,12.0,13.0,167.0,46704.0,9581.0,10320.0,309.0,1250.0,6452.0,542.0,8244.0,0.0,106.0,11.0,8.0,314430.0,8884.0,8380.0,253.0,6996.0,852.0,0.0,7849.0,0.0,0.0,13.0,152.0,65600.0,7128.0,10097.0,203.0,903.0,24334.0,264.0,25502.0,0.0,4.0,12.0,168.0,45131.0,11988.0,8714.0,73.0,2672.0,1261.0,668.0,4602.0,30.0,0.0,10.0,22.0,29886.0,7068.0,6960.0,792.0,11781.0,189.0,248.0,12219.0,0.0,7.0,11.0,107.0,209128.0,6232.0,8469.0,25.0,626.0,4332.0,797.0,5757.0,0.0,92.0,12.0,35.0,125444.0,6640.0,8580.0,20.0,10791.0,1498.0,152.0,12442.0,0.0,1.0,13.0,140.0,138925.0,8255.0,10103.0,464.0,0.0,6422.0,999.0,7422.0,0.0,4.0,10.0,102.0,13706.0,6514.0,7039.0,692.0,2805.0,753.0,701.0,4260.0,30.0,0.0,9.0,37.0,53425.0,5492.0,5837.0,1200364.0,CLASSIC,MATCHED_GAME,11.22.406.3587,5.0,6.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,14,26,30,30,122,104,26,14,59,55,14175,26003,517,421,40868,13194,501751,540628,56521,42100,44649,33133,1474,2897,80,63,33,19,44471,40028
